Squad,# Pl,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Atalanta,25,,,3,470,475,82,764,476,469,9,2,0,3940,567,547,50.9
Benevento,41,,,4,472,468,83,675,475,410,2,11,2,3271,364,464,44.0
Bologna,30,,,4,476,466,65,550,458,446,2,4,3,3466,583,525,52.6
Cagliari,29,,,4,580,462,90,748,436,442,5,12,1,3696,767,666,53.5
Chievo,25,,,1,449,458,95,808,470,389,2,7,4,3637,613,638,49.0
Crotone,29,,,1,478,474,85,652,583,409,2,7,0,3925,619,679,47.7
Fiorentina,27,,,3,509,444,83,831,521,496,6,3,0,3825,524,625,45.6
Genoa,33,,,0,528,481,86,782,398,408,5,4,2,3715,573,609,48.5
Hellas Verona,32,,,4,519,412,84,680,589,446,3,8,2,3422,493,531,48.1
Inter,22,,,0,440,402,97,1046,422,442,6,2,3,3422,490,450,52.1
Juventus,24,,,1,424,503,82,675,424,370,5,4,2,3316,422,356,54.2
Lazio,24,,,3,409,359,98,747,529,437,9,10,2,3730,425,385,52.5
Milan,23,,,4,460,491,90,884,376,347,4,3,1,3470,357,405,46.9
Napoli,23,,,1,348,377,82,674,367,426,7,1,0,3785,322,394,45.0
Roma,27,,,1,371,444,73,956,503,383,4,3,0,3855,554,359,60.7
Sampdoria,27,,,2,407,493,55,789,376,415,6,10,1,3595,447,551,44.8
Sassuolo,28,,,4,472,565,81,794,554,389,6,3,2,3732,553,493,52.9
SPAL,29,,,2,455,653,99,740,539,424,5,11,4,3237,512,541,48.6
Torino,27,,,4,537,514,76,616,458,366,2,7,0,3567,581,502,53.6
Udinese,27,,,0,482,403,66,719,482,407,5,6,5,3375,513,559,47.9
