Squad,# Pl,MP,Min,Mn/MP,Min%,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Atalanta,25,38,"3,420",90,100,418,,108,0,313,1.58,57,39,+18,+0.47,67.3,37.1,+30.2,+0.79
Benevento,41,38,"3,420",90,100,418,,113,0,311,0.55,33,84,-51,-1.34,39.2,74.8,-35.7,-0.94
Bologna,30,38,"3,420",90,100,418,,113,0,331,1.03,40,52,-12,-0.32,36.9,53.7,-16.8,-0.44
Cagliari,29,38,"3,420",90,100,418,,114,0,295,1.03,33,61,-28,-0.74,40.0,58.8,-18.7,-0.49
Chievo,25,38,"3,420",90,100,418,,109,0,345,1.05,36,59,-23,-0.61,32.3,54.4,-22.1,-0.58
Crotone,29,38,"3,420",90,100,418,,114,0,318,0.92,40,66,-26,-0.68,36.2,58.8,-22.7,-0.60
Fiorentina,27,38,"3,420",90,100,418,,111,0,325,1.50,54,46,+8,+0.21,57.4,42.5,+14.9,+0.39
Genoa,33,38,"3,420",90,100,418,,113,0,329,1.08,33,43,-10,-0.26,43.3,45.5,-2.2,-0.06
Hellas Verona,32,38,"3,420",90,100,418,,113,0,317,0.66,30,78,-48,-1.26,34.3,75.9,-41.6,-1.09
Inter,22,38,"3,420",90,100,418,,110,0,283,1.89,66,30,+36,+0.95,60.9,35.3,+25.7,+0.68
Juventus,24,38,"3,420",90,100,418,,111,0,267,2.50,86,24,+62,+1.63,59.6,28.8,+30.8,+0.81
Lazio,24,38,"3,420",90,100,418,,114,0,313,1.89,89,49,+40,+1.05,63.2,44.3,+18.9,+0.50
Milan,23,38,"3,420",90,100,418,,107,0,334,1.68,56,42,+14,+0.37,54.4,39.0,+15.4,+0.41
Napoli,23,38,"3,420",90,100,418,,113,0,308,2.39,77,29,+48,+1.26,66.6,25.5,+41.1,+1.08
Roma,27,38,"3,420",90,100,418,,114,0,305,2.03,61,28,+33,+0.87,69.6,39.9,+29.7,+0.78
Sampdoria,27,38,"3,420",90,100,418,,110,0,311,1.42,56,60,-4,-0.11,51.3,63.4,-12.1,-0.32
Sassuolo,28,38,"3,420",90,100,418,,113,0,322,1.13,29,59,-30,-0.79,49.6,49.6,0.0,0.00
SPAL,29,38,"3,420",90,100,418,,110,0,332,1.00,39,59,-20,-0.53,37.8,59.8,-22.0,-0.58
Torino,27,38,"3,420",90,100,418,,106,0,315,1.42,54,46,+8,+0.21,46.7,52.3,-5.7,-0.15
Udinese,27,38,"3,420",90,100,418,,113,0,319,1.05,48,63,-15,-0.39,43.7,50.9,-7.2,-0.19
