Squad,# Pl,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA
Atalanta,25,55.2,38,418,"3,420",57,38,5,9,,,57,38,2.50,1.37,2.37,67.3,60.6,43.4,67.3,43.4,2.91,60.6,2.74
Benevento,41,47.7,38,418,"3,420",32,23,2,3,,,32,23,1.45,0.79,1.39,39.2,37.0,27.7,39.2,27.7,1.76,37.0,1.70
Bologna,30,47.2,38,418,"3,420",37,18,2,3,,,37,18,1.45,0.92,1.39,36.9,34.7,23.2,36.9,23.2,1.58,34.7,1.52
Cagliari,29,45.2,38,418,"3,420",33,21,4,7,,,33,21,1.42,0.76,1.32,40.0,34.7,25.4,40.0,25.4,1.72,34.7,1.58
Chievo,25,44.3,38,418,"3,420",36,20,1,2,,,36,20,1.47,0.92,1.45,32.3,30.8,22.2,32.3,22.2,1.43,30.8,1.39
Crotone,29,40.1,38,418,"3,420",38,21,2,3,,,38,21,1.55,0.95,1.50,36.2,33.7,24.0,36.2,24.0,1.58,33.7,1.52
Fiorentina,27,52.6,38,418,"3,420",53,32,7,8,,,53,32,2.24,1.21,2.05,57.4,51.4,37.2,57.4,37.2,2.49,51.4,2.33
Genoa,33,46.3,38,418,"3,420",31,18,4,5,,,31,18,1.29,0.71,1.18,43.3,39.5,31.8,43.3,31.8,1.98,39.5,1.88
Hellas Verona,32,41.8,38,418,"3,420",30,19,7,7,,,30,19,1.29,0.61,1.11,34.3,29.1,20.5,34.3,20.5,1.44,29.1,1.31
Inter,22,56.9,38,418,"3,420",64,34,6,7,,,64,34,2.58,1.53,2.42,60.9,55.7,44.6,60.9,44.6,2.78,55.7,2.64
Juventus,24,57.1,38,418,"3,420",82,39,4,8,,,82,39,3.18,2.05,3.08,59.6,53.8,38.2,59.6,38.2,2.57,53.8,2.42
Lazio,24,51.1,38,418,"3,420",86,51,9,11,,,86,51,3.61,2.03,3.37,63.2,55.0,42.2,63.2,42.2,2.77,55.0,2.56
Milan,23,55.9,38,418,"3,420",54,28,4,6,,,54,28,2.16,1.32,2.05,54.4,50.1,36.4,54.4,36.4,2.39,50.1,2.28
Napoli,23,63.2,38,418,"3,420",73,45,6,8,,,73,45,3.11,1.76,2.95,66.6,60.4,48.4,66.6,48.4,3.03,60.4,2.86
Roma,27,58.0,38,418,"3,420",56,37,3,6,,,56,37,2.45,1.39,2.37,69.6,65.2,48.9,69.6,48.9,3.12,65.2,3.00
Sampdoria,27,53.4,38,418,"3,420",56,33,7,8,,,56,33,2.34,1.29,2.16,51.3,45.2,32.7,51.3,32.7,2.21,45.2,2.05
Sassuolo,28,43.2,38,418,"3,420",28,16,4,10,,,28,16,1.16,0.63,1.05,49.6,42.0,29.4,49.6,29.4,2.08,42.0,1.88
SPAL,29,45.1,38,418,"3,420",37,14,5,6,,,37,14,1.34,0.84,1.21,37.8,33.2,20.1,37.8,20.1,1.52,33.2,1.40
Torino,27,51.0,38,418,"3,420",53,36,0,2,,,53,36,2.34,1.39,2.34,46.7,45.1,34.4,46.7,34.4,2.13,45.1,2.09
Udinese,27,44.7,38,418,"3,420",45,27,7,7,,,45,27,1.89,1.00,1.71,43.7,38.4,29.8,43.7,29.8,1.93,38.4,1.79
