Squad,# Pl,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Atalanta,25,57,582,196,33.7,15.32,5.16,0.09,0.27,13,5,9,67.3,60.6,0.11,-10.3,-8.6
Benevento,41,32,470,146,31.1,12.37,3.84,0.06,0.21,23,2,3,39.2,37.0,0.08,-7.2,-7.0
Bologna,30,37,353,120,34.0,9.29,3.16,0.10,0.29,31,2,3,36.9,34.7,0.10,+0.1,+0.3
Cagliari,29,33,378,115,30.4,9.95,3.03,0.08,0.25,16,4,7,40.0,34.7,0.10,-7.0,-5.7
Chievo,25,36,396,137,34.6,10.42,3.61,0.09,0.26,8,1,2,32.3,30.8,0.08,+3.7,+4.2
Crotone,29,38,385,136,35.3,10.13,3.58,0.09,0.26,11,2,3,36.2,33.7,0.09,+1.8,+2.3
Fiorentina,27,53,624,185,29.6,16.42,4.87,0.07,0.25,20,7,8,57.4,51.4,0.08,-4.4,-5.4
Genoa,33,31,421,125,29.7,11.08,3.29,0.06,0.22,11,4,5,43.3,39.5,0.10,-12.3,-12.5
Hellas Verona,32,30,362,92,25.4,9.53,2.42,0.06,0.25,20,7,7,34.3,29.1,0.09,-4.3,-6.1
Inter,22,64,584,202,34.6,15.37,5.32,0.10,0.29,13,6,7,60.9,55.7,0.10,+3.1,+2.3
Juventus,24,82,564,201,35.6,14.84,5.29,0.14,0.39,40,4,8,59.6,53.8,0.10,+22.4,+24.2
Lazio,24,86,557,208,37.3,14.66,5.47,0.14,0.37,15,9,11,63.2,55.0,0.10,+22.8,+22.0
Milan,23,54,633,224,35.4,16.66,5.89,0.08,0.22,25,4,6,54.4,50.1,0.08,+0.6,+0.9
Napoli,23,73,651,247,37.9,17.13,6.50,0.10,0.27,19,6,8,66.6,60.4,0.10,+6.4,+6.6
Roma,27,56,667,202,30.3,17.55,5.32,0.08,0.26,28,3,6,69.6,65.2,0.10,-13.6,-12.2
Sampdoria,27,56,474,164,34.6,12.47,4.32,0.10,0.30,27,7,8,51.3,45.2,0.10,+4.7,+3.8
Sassuolo,28,28,496,132,26.6,13.05,3.47,0.05,0.18,18,4,10,49.6,42.0,0.09,-21.6,-18.0
SPAL,29,37,374,109,29.1,9.84,2.87,0.09,0.29,23,5,6,37.8,33.2,0.09,-0.8,-1.2
Torino,27,53,460,154,33.5,12.11,4.05,0.12,0.34,20,0,2,46.7,45.1,0.10,+6.3,+7.9
Udinese,27,45,445,133,29.9,11.71,3.50,0.09,0.29,13,7,7,43.7,38.4,0.09,+2.3,+0.6
