Squad,# Pl,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Atalanta,25,16813,20966,80.2,337538,111390,16813,20966,80.2,16813,20966,80.2,16813,20966,80.2,38,43.4,+0.6,435,1376,464,93,2053
Benevento,41,14168,17812,79.5,279119,92879,14168,17812,79.5,14168,17812,79.5,14168,17812,79.5,23,27.7,-2.7,339,937,213,76,1314
Bologna,30,13638,17602,77.5,276434,100889,13638,17602,77.5,13638,17602,77.5,13638,17602,77.5,18,23.2,-1.2,239,964,247,60,1446
Cagliari,29,12167,16636,73.1,245407,93621,12167,16636,73.1,12167,16636,73.1,12167,16636,73.1,21,25.4,-2.4,267,989,278,101,1514
Chievo,25,12575,16823,74.7,255658,94908,12575,16823,74.7,12575,16823,74.7,12575,16823,74.7,20,22.2,+5.8,299,960,310,111,1623
Crotone,29,10310,14837,69.5,208381,86854,10310,14837,69.5,10310,14837,69.5,10310,14837,69.5,21,24.0,+2.0,256,884,234,74,1472
Fiorentina,27,15290,19375,78.9,300312,104764,15290,19375,78.9,15290,19375,78.9,15290,19375,78.9,32,37.2,-3.2,463,1200,350,96,1886
Genoa,33,13219,17523,75.4,263548,94574,13219,17523,75.4,13219,17523,75.4,13219,17523,75.4,18,31.8,-10.8,313,992,306,79,1584
Hellas Verona,32,11493,15515,74.1,233720,85245,11493,15515,74.1,11493,15515,74.1,11493,15515,74.1,19,20.5,-4.5,237,763,192,64,1224
Inter,22,18754,22641,82.8,348732,115116,18754,22641,82.8,18754,22641,82.8,18754,22641,82.8,34,44.6,-2.6,448,1423,388,120,1842
Juventus,24,20058,23398,85.7,408358,115305,20058,23398,85.7,20058,23398,85.7,20058,23398,85.7,39,38.2,+23.8,410,1429,340,110,1755
Lazio,24,16308,20212,80.7,317284,110399,16308,20212,80.7,16308,20212,80.7,16308,20212,80.7,51,42.2,+22.8,438,1393,397,89,1914
Milan,23,17744,21543,82.4,350431,112992,17744,21543,82.4,17744,21543,82.4,17744,21543,82.4,28,36.4,-0.4,458,1456,380,114,1923
Napoli,23,24985,29004,86.1,425699,132297,24985,29004,86.1,24985,29004,86.1,24985,29004,86.1,45,48.4,+0.6,526,2095,465,85,2294
Roma,27,17296,21399,80.8,346453,119630,17296,21399,80.8,17296,21399,80.8,17296,21399,80.8,37,48.9,-4.9,492,1581,444,138,2203
Sampdoria,27,16148,20144,80.2,300179,103509,16148,20144,80.2,16148,20144,80.2,16148,20144,80.2,33,32.7,+0.3,317,1183,345,67,1865
Sassuolo,28,11498,15749,73.0,237237,92359,11498,15749,73.0,11498,15749,73.0,11498,15749,73.0,16,29.4,-13.4,360,1039,258,92,1647
SPAL,29,12213,16025,76.2,244246,85667,12213,16025,76.2,12213,16025,76.2,12213,16025,76.2,14,20.1,-1.1,248,852,216,65,1363
Torino,27,14426,18318,78.8,285068,97128,14426,18318,78.8,14426,18318,78.8,14426,18318,78.8,36,34.4,+5.6,341,971,307,75,1592
Udinese,27,12619,16647,75.8,257575,94228,12619,16647,75.8,12619,16647,75.8,12619,16647,75.8,27,29.8,-0.8,333,927,265,79,1586
