Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
23,Luca Antonelli,it,"DF,MF",Milan,30,1987,6,144,24,4.2,1.6,1,,5,,24,2.17,2,3,-1,-0.62,-1.04,1.3,1.1,+0.1,+0.09,-1.04,/en/players/40f0ed6c/matchlogs/2017-2018/summary/Luca-Antonelli-Match-Logs
24,Mirko Antonucci,it,FW,Roma,18,1999,2,31,16,0.9,0.3,0,,2,,14,0.50,1,1,0,0.00,-0.88,1.0,1.4,-0.4,-1.26,-0.88,/en/players/91976866/matchlogs/2017-2018/summary/Mirko-Antonucci-Match-Logs
25,Mattia Aramu,it,MF,Torino,22,1995,0,,,,,0,,0,,1,,,,,,,,,,,,/en/players/0847b5a5/matchlogs/2017-2018/summary/Mattia-Aramu-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Samuel Armenteros,se,FW,Benevento,27,1990,9,429,48,12.5,4.8,5,,4,,8,0.00,3,11,-8,-1.68,-0.38,3.3,13.3,-10.0,-2.09,-0.38,/en/players/9c8f641a/matchlogs/2017-2018/summary/Samuel-Armenteros-Match-Logs
27,Kwadwo Asamoah,gh,DF,Juventus,28,1988,19,"1,568",83,45.8,17.4,18,,1,,18,2.21,28,10,+18,+1.03,-1.11,25.3,13.5,+11.8,+0.67,-1.11,/en/players/089550f5/matchlogs/2017-2018/summary/Kwadwo-Asamoah-Match-Logs
28,Davide Astori,it,DF,Fiorentina,30,1987,25,"2,250",90,65.8,25.0,25,,0,,0,1.40,34,29,+5,+0.20,-0.03,36.6,26.0,+10.6,+0.42,-0.03,/en/players/1522dab2/matchlogs/2017-2018/summary/Davide-Astori-Match-Logs
29,Felipe Avenatti,uy,"FW,MF",Bologna,24,1993,11,468,43,13.7,5.2,4,,7,,5,0.27,3,5,-2,-0.38,-0.08,4.3,8.5,-4.2,-0.82,-0.08,/en/players/23f9e9d3/matchlogs/2017-2018/summary/Felipe-Avenatti-Match-Logs
30,Khouma Babacar,sn,FW,Sassuolo,24,1993,13,750,58,21.9,8.3,8,,5,,3,1.23,7,16,-9,-1.08,-0.37,10.3,9.3,+1.0,+0.12,-0.37,/en/players/422ec08a/matchlogs/2017-2018/summary/Khouma-Babacar-Match-Logs
31,Khouma Babacar,sn,"FW,MF",Fiorentina,24,1993,16,448,28,13.1,5.0,1,,15,,6,1.25,8,5,+3,+0.60,+0.45,11.2,6.5,+4.6,+0.96,+0.45,/en/players/422ec08a/matchlogs/2017-2018/summary/Khouma-Babacar-Match-Logs
32,Milan Badelj,hr,MF,Fiorentina,28,1989,27,"2,351",87,68.7,26.1,27,,0,,2,1.56,38,28,+10,+0.38,+0.55,41.8,23.9,+17.9,+0.68,+0.55,/en/players/e8c930bb/matchlogs/2017-2018/summary/Milan-Badelj-Match-Logs
33,Riad Bajić,ba,"FW,MF",Udinese,23,1994,5,80,16,2.3,0.9,0,,5,,14,0.00,1,2,-1,-1.13,-0.75,1.2,1.7,-0.6,-0.71,-0.75,/en/players/49d399d5/matchlogs/2017-2018/summary/Riad-Bajic-Match-Logs
34,Andrija Balić,hr,MF,Udinese,19,1997,21,"1,083",52,31.7,12.0,11,,10,,16,0.71,11,25,-14,-1.16,-1.12,14.3,20.1,-5.8,-0.48,-1.12,/en/players/9be4ee80/matchlogs/2017-2018/summary/Andrija-Balic-Match-Logs
35,Mattia Bani,it,DF,Chievo,23,1993,16,"1,317",82,38.5,14.6,15,,1,,17,0.75,12,25,-13,-0.89,-0.46,7.2,21.4,-14.2,-0.97,-0.46,/en/players/0821331c/matchlogs/2017-2018/summary/Mattia-Bani-Match-Logs
36,Antonín Barák,cz,MF,Udinese,22,1994,34,"2,713",80,79.3,30.1,31,,3,,3,1.09,37,44,-7,-0.23,+0.79,34.3,38.1,-3.9,-0.13,+0.79,/en/players/01efac19/matchlogs/2017-2018/summary/Antonin-Barak-Match-Logs
37,Andrea Barberis,it,MF,Crotone,23,1993,38,"3,029",80,88.6,33.7,34,,4,,0,0.92,32,60,-28,-0.83,-1.29,28.8,50.9,-22.1,-0.66,-1.29,/en/players/32ebfe1e/matchlogs/2017-2018/summary/Andrea-Barberis-Match-Logs
38,Gabriel Barbosa,br,"FW,MF",Inter,20,1996,0,,,,,0,,0,,2,,,,,,,,,,,,/en/players/72d0e1b6/matchlogs/2017-2018/summary/Gabriel-Barbosa-Match-Logs
39,Gabriel Barbosa,br,FW,SPAL,18,1999,0,,,,,0,,0,,1,,,,,,,,,,,,/en/players/16280959/matchlogs/2017-2018/summary/Gabriel-Barbosa-Match-Logs
40,Renato Barbosa,br,DF,SPAL,19,1998,0,,,,,0,,0,,1,,,,,,,,,,,,/en/players/ca34d0d8/matchlogs/2017-2018/summary/Renato-Barbosa-Match-Logs
41,Nicolò Barella,it,MF,Cagliari,20,1997,34,"2,955",87,86.4,32.8,34,,0,,0,1.00,28,49,-21,-0.64,+0.72,35.6,48.1,-12.5,-0.38,+0.72,/en/players/6928979a/matchlogs/2017-2018/summary/Nicolo-Barella-Match-Logs
42,Antonio Barreca,it,"DF,MF",Torino,22,1995,9,468,52,13.7,5.2,3,,6,,17,1.00,8,11,-3,-0.58,-0.91,6.7,8.2,-1.5,-0.30,-0.91,/en/players/6a189491/matchlogs/2017-2018/summary/Antonio-Barreca-Match-Logs
43,Édgar Barreto,py,MF,Sampdoria,33,1984,28,"1,965",70,57.5,21.8,24,,4,,5,1.32,30,42,-12,-0.55,-1.04,29.0,40.8,-11.8,-0.54,-1.04,/en/players/43a1bea5/matchlogs/2017-2018/summary/Edgar-Barreto-Match-Logs
44,Musa Barrow,gm,"FW,MF",Atalanta,18,1998,12,443,37,13.0,4.9,5,,7,,5,1.67,11,4,+7,+1.42,+1.09,14.3,4.2,+10.1,+2.05,+1.09,/en/players/e5bf73f3/matchlogs/2017-2018/summary/Musa-Barrow-Match-Logs
45,Andrea Barzagli,it,DF,Juventus,36,1981,25,"1,447",58,42.3,16.1,14,,11,,12,2.64,34,9,+25,+1.55,-0.13,25.0,11.1,+13.9,+0.87,-0.13,/en/players/7c0000fd/matchlogs/2017-2018/summary/Andrea-Barzagli-Match-Logs
46,Daniele Baselli,it,MF,Torino,25,1992,32,"2,521",79,73.7,28.0,30,,2,,0,1.50,43,32,+11,+0.39,+0.69,36.9,37.7,-0.7,-0.03,+0.69,/en/players/ea06dd97/matchlogs/2017-2018/summary/Daniele-Baselli-Match-Logs
47,Dušan Basta,rs,"DF,MF",Lazio,32,1984,11,775,70,22.7,8.6,9,,2,,20,1.73,19,16,+3,+0.35,-0.91,11.2,12.7,-1.5,-0.17,-0.91,/en/players/3b57f7f8/matchlogs/2017-2018/summary/Dusan-Basta-Match-Logs
48,Gil Bastião Dias,pt,"FW,MF",Fiorentina,20,1996,27,"1,190",44,34.8,13.2,9,,18,,9,1.07,17,20,-3,-0.23,-0.67,16.9,18.0,-1.1,-0.08,-0.67,/en/players/e61bdd69/matchlogs/2017-2018/summary/Gil-Bastiao-Dias-Match-Logs
49,Samuel Bastien,be,"MF,FW",Chievo,20,1996,21,"1,355",65,39.6,15.1,15,,6,,13,1.05,9,24,-15,-1.00,-0.65,10.9,24.1,-13.3,-0.89,-0.65,/en/players/ec30b9c8/matchlogs/2017-2018/summary/Samuel-Bastien-Match-Logs
50,Alessandro Bastoni,it,DF,Atalanta,18,1999,4,91,23,2.7,1.0,0,,4,,18,2.25,0,1,-1,-0.99,-1.50,1.3,0.4,+0.9,+0.92,-1.50,/en/players/75b86fb3/matchlogs/2017-2018/summary/Alessandro-Bastoni-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Bastos,ao,DF,Lazio,26,1991,21,"1,407",67,41.1,15.6,16,,5,,15,1.71,32,21,+11,+0.70,-0.59,26.1,20.3,+5.8,+0.37,-0.59,/en/players/c01c66d9/matchlogs/2017-2018/summary/Bastos-Match-Logs
52,Enrico Bearzotti,it,"DF,FW",Hellas Verona,20,1996,6,410,68,12.0,4.6,4,,2,,31,0.17,3,11,-8,-1.76,-0.56,3.4,8.3,-4.9,-1.07,-0.56,/en/players/c67836b8/matchlogs/2017-2018/summary/Enrico-Bearzotti-Match-Logs
53,Valon Behrami,ch,MF,Udinese,32,1985,20,"1,398",70,40.9,15.5,18,,2,,4,1.45,20,22,-2,-0.13,+0.45,18.8,18.5,+0.3,+0.02,+0.45,/en/players/d3d758d8/matchlogs/2017-2018/summary/Valon-Behrami-Match-Logs
54,Vid Belec,si,GK,Sampdoria,27,1990,2,180,90,5.3,2.0,2,,0,,11,0.00,1,5,-4,-2.00,-2.00,1.1,3.4,-2.4,-1.18,-2.00,/en/players/4f8ce0e1/matchlogs/2017-2018/summary/Vid-Belec-Match-Logs
55,Vid Belec,si,GK,Benevento,27,1990,13,"1,113",86,32.5,12.4,13,,0,,8,0.46,7,27,-20,-1.62,-0.41,14.5,26.3,-11.7,-0.95,-0.41,/en/players/4f8ce0e1/matchlogs/2017-2018/summary/Vid-Belec-Match-Logs
