Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
1,Rolando Aarons,eng,"MF,FW",Hellas Verona,21,1995,5.7,173,2,20,82,87,7,167,9,18,50.0,11,0,136,993,583,212,126,59.4,10,15,/en/players/c5942695/matchlogs/2017-2018/possession/Rolando-Aarons-Match-Logs
2,Ignazio Abate,it,DF,Milan,30,1986,11.7,870,40,231,464,226,12,757,1,5,20.0,2,0,552,2524,1494,605,565,93.4,3,6,/en/players/1c529186/matchlogs/2017-2018/possession/Ignazio-Abate-Match-Logs
3,Francesco Acerbi,it,DF,Sassuolo,29,1988,38.0,2090,332,1100,959,156,26,1995,15,20,75.0,16,0,1150,7603,3311,1047,1004,95.9,19,13,/en/players/b96b595c/matchlogs/2017-2018/possession/Francesco-Acerbi-Match-Logs
4,Afriyie Acquah,gh,MF,Torino,25,1992,10.6,573,11,101,398,127,6,568,14,22,63.6,15,0,449,3124,1561,435,406,93.3,8,18,/en/players/d7403bd5/matchlogs/2017-2018/possession/Afriyie-Acquah-Match-Logs
5,Claud Adjapong,it,"DF,MF",Sassuolo,19,1998,13.6,693,42,210,319,222,34,631,16,25,64.0,18,0,443,3143,1831,455,379,83.3,17,26,/en/players/ce5b170a/matchlogs/2017-2018/possession/Claud-Adjapong-Match-Logs
6,Ali Adnan Kadhim,iq,"DF,MF",Udinese,23,1993,18.6,1145,99,355,536,313,7,938,25,32,78.1,25,0,562,3124,1761,602,548,91.0,17,17,/en/players/06050480/matchlogs/2017-2018/possession/Ali-Adnan-Kadhim-Match-Logs
7,Arlind Ajeti,al,"DF,MF",Crotone,23,1993,14.1,551,113,331,219,19,9,541,9,10,90.0,9,0,259,1319,610,211,203,96.2,3,4,/en/players/f9714604/matchlogs/2017-2018/possession/Arlind-Ajeti-Match-Logs
8,Luis Alberto,es,"MF,FW",Lazio,24,1992,29.7,2156,7,156,1090,1103,93,1903,51,84,60.7,56,10,1611,10377,6597,1809,1567,86.6,54,53,/en/players/5294a83f/matchlogs/2017-2018/possession/Luis-Alberto-Match-Logs
9,Raúl Albiol,es,DF,Napoli,31,1985,30.5,2733,177,1040,1810,71,32,2701,2,5,40.0,2,0,1881,10618,6866,1996,1985,99.4,3,4,/en/players/4bd414c1/matchlogs/2017-2018/possession/Raul-Albiol-Match-Logs
10,Alisson,br,GK,Roma,24,1992,37.0,1326,1095,1318,12,0,0,1089,6,6,100.0,6,0,793,3063,1575,644,643,99.8,2,0,/en/players/7a2e46a8/matchlogs/2017-2018/possession/Alisson-Match-Logs
11,Allan,br,MF,Napoli,26,1991,31.7,2239,41,248,1381,780,53,2215,73,121,60.3,78,4,1781,9010,5160,1844,1670,90.6,52,68,/en/players/cc700722/matchlogs/2017-2018/possession/Allan-Match-Logs
12,Ricky Álvarez,ar,"MF,FW",Sampdoria,29,1988,3.0,226,3,21,113,105,7,210,4,8,50.0,4,0,149,997,516,206,164,79.6,9,13,/en/players/92a5ac34/matchlogs/2017-2018/possession/Ricky-Alvarez-Match-Logs
13,Joachim Andersen,dk,DF,Sampdoria,21,1996,6.1,486,80,255,250,12,4,474,0,0,,0,0,313,1730,1127,334,333,99.7,1,1,/en/players/e34fc66d/matchlogs/2017-2018/possession/Joachim-Andersen-Match-Logs
14,Felipe Anderson,br,"MF,FW",Lazio,24,1993,12.9,945,8,75,432,549,78,863,72,117,61.5,77,2,772,6619,4403,822,670,81.5,48,44,/en/players/9f1893b9/matchlogs/2017-2018/possession/Felipe-Anderson-Match-Logs
15,Nícolas Andrade,br,GK,Hellas Verona,29,1988,36.0,1517,1390,1514,6,0,0,1048,1,1,100.0,1,0,666,3503,1936,536,535,99.8,0,0,/en/players/326d09ef/matchlogs/2017-2018/possession/Nicolas-Andrade-Match-Logs
16,Marco Andreolli,it,DF,Cagliari,31,1986,20.3,1069,174,604,490,29,12,1023,2,3,66.7,2,0,578,2954,1615,620,610,98.4,2,2,/en/players/13d820de/matchlogs/2017-2018/possession/Marco-Andreolli-Match-Logs
17,Gabriele Angella,it,DF,Udinese,28,1989,9.9,615,75,326,288,27,6,590,2,2,100.0,2,0,334,1298,530,337,332,98.5,2,0,/en/players/0c971997/matchlogs/2017-2018/possession/Gabriele-Angella-Match-Logs
18,Cristian Ansaldi,ar,"DF,MF",Torino,30,1986,20.8,1247,79,441,569,336,33,1081,56,73,76.7,59,2,840,6603,3697,817,736,90.1,35,39,/en/players/bbafc0c4/matchlogs/2017-2018/possession/Cristian-Ansaldi-Match-Logs
19,Luca Antei,it,DF,Benevento,25,1992,6.6,452,64,249,229,9,1,433,2,3,66.7,2,0,270,1821,1137,285,285,100.0,0,4,/en/players/97c9bce3/matchlogs/2017-2018/possession/Luca-Antei-Match-Logs
20,Mirco Antenucci,it,FW,SPAL,32,1984,28.6,1016,13,83,460,539,121,980,40,65,61.5,45,2,776,4944,1925,1152,765,66.4,87,56,/en/players/43a2e16c/matchlogs/2017-2018/possession/Mirco-Antenucci-Match-Logs
21,Luca Antonelli,it,"DF,MF",Milan,30,1987,1.6,114,6,26,69,27,4,108,1,1,100.0,1,0,82,286,167,86,78,90.7,3,2,/en/players/40f0ed6c/matchlogs/2017-2018/possession/Luca-Antonelli-Match-Logs
22,Mirko Antonucci,it,FW,Roma,18,1999,0.3,20,0,1,4,15,4,19,0,0,,0,0,10,36,10,19,15,78.9,1,0,/en/players/91976866/matchlogs/2017-2018/possession/Mirko-Antonucci-Match-Logs
23,Samuel Armenteros,se,FW,Benevento,27,1990,4.8,141,4,16,80,54,13,125,9,10,90.0,9,0,90,362,110,208,95,45.7,23,6,/en/players/9c8f641a/matchlogs/2017-2018/possession/Samuel-Armenteros-Match-Logs
24,Kwadwo Asamoah,gh,DF,Juventus,28,1988,17.4,1427,50,389,817,315,12,1314,29,40,72.5,31,0,1119,5538,3307,1108,1051,94.9,16,20,/en/players/089550f5/matchlogs/2017-2018/possession/Kwadwo-Asamoah-Match-Logs
25,Davide Astori,it,DF,Fiorentina,30,1987,25.0,1802,201,814,989,116,20,1748,14,21,66.7,14,2,1178,6431,4157,1142,1132,99.1,6,9,/en/players/1522dab2/matchlogs/2017-2018/possession/Davide-Astori-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Felipe Avenatti,uy,"FW,MF",Bologna,24,1993,5.2,196,7,20,102,80,20,196,1,2,50.0,1,1,109,577,162,216,147,68.1,18,9,/en/players/23f9e9d3/matchlogs/2017-2018/possession/Felipe-Avenatti-Match-Logs
27,Khouma Babacar,sn,FW,Sassuolo,24,1993,8.3,239,4,14,97,144,47,231,3,4,75.0,3,0,160,929,437,344,158,45.9,20,18,/en/players/422ec08a/matchlogs/2017-2018/possession/Khouma-Babacar-Match-Logs
28,Khouma Babacar,sn,"FW,MF",Fiorentina,24,1993,5.0,169,7,19,65,94,34,163,5,5,100.0,5,0,125,830,444,219,123,56.2,14,9,/en/players/422ec08a/matchlogs/2017-2018/possession/Khouma-Babacar-Match-Logs
29,Milan Badelj,hr,MF,Fiorentina,28,1989,26.1,2123,67,487,1338,408,35,2058,35,55,63.6,38,1,1376,5442,2651,1479,1428,96.6,22,32,/en/players/e8c930bb/matchlogs/2017-2018/possession/Milan-Badelj-Match-Logs
30,Riad Bajić,ba,"FW,MF",Udinese,23,1994,0.9,28,3,4,11,14,4,27,1,1,100.0,1,0,17,56,23,33,23,69.7,1,1,/en/players/49d399d5/matchlogs/2017-2018/possession/Riad-Bajic-Match-Logs
31,Andrija Balić,hr,MF,Udinese,19,1997,12.0,670,22,157,377,178,19,631,26,32,81.3,27,0,485,2660,1282,431,398,92.3,20,11,/en/players/9be4ee80/matchlogs/2017-2018/possession/Andrija-Balic-Match-Logs
32,Mattia Bani,it,DF,Chievo,23,1993,14.6,834,119,490,340,37,10,810,0,0,,0,0,446,2115,918,478,468,97.9,2,3,/en/players/0821331c/matchlogs/2017-2018/possession/Mattia-Bani-Match-Logs
33,Antonín Barák,cz,MF,Udinese,22,1994,30.1,1487,36,287,891,439,63,1476,30,48,62.5,33,0,1052,7542,4284,1190,1012,85.0,43,49,/en/players/01efac19/matchlogs/2017-2018/possession/Antonin-Barak-Match-Logs
34,Andrea Barberis,it,MF,Crotone,23,1993,33.7,1480,78,358,824,361,25,1353,19,33,57.6,23,0,784,3373,1675,856,696,81.3,37,33,/en/players/32ebfe1e/matchlogs/2017-2018/possession/Andrea-Barberis-Match-Logs
35,Nicolò Barella,it,MF,Cagliari,20,1997,32.8,2048,61,419,1190,594,44,1940,53,87,60.9,58,2,1437,8957,4399,1405,1269,90.3,49,49,/en/players/6928979a/matchlogs/2017-2018/possession/Nicolo-Barella-Match-Logs
36,Antonio Barreca,it,"DF,MF",Torino,22,1995,5.2,333,14,112,156,86,3,258,3,8,37.5,3,0,173,1091,634,178,157,88.2,6,5,/en/players/6a189491/matchlogs/2017-2018/possession/Antonio-Barreca-Match-Logs
37,Édgar Barreto,py,MF,Sampdoria,33,1984,21.8,1313,26,214,788,360,32,1297,6,13,46.2,6,1,756,2171,1008,1017,910,89.5,25,15,/en/players/43a1bea5/matchlogs/2017-2018/possession/Edgar-Barreto-Match-Logs
38,Musa Barrow,gm,"FW,MF",Atalanta,18,1998,4.9,220,2,12,76,142,43,211,13,21,61.9,16,0,170,969,470,306,186,60.8,31,11,/en/players/e5bf73f3/matchlogs/2017-2018/possession/Musa-Barrow-Match-Logs
39,Andrea Barzagli,it,DF,Juventus,36,1981,16.1,1388,84,515,854,79,1,1333,3,4,75.0,3,0,1006,4026,1919,1040,1031,99.1,3,5,/en/players/7c0000fd/matchlogs/2017-2018/possession/Andrea-Barzagli-Match-Logs
40,Daniele Baselli,it,MF,Torino,25,1992,28.0,1682,67,426,957,437,46,1643,25,41,61.0,28,1,1163,6917,3306,1231,1130,91.8,32,42,/en/players/ea06dd97/matchlogs/2017-2018/possession/Daniele-Baselli-Match-Logs
41,Dušan Basta,rs,"DF,MF",Lazio,32,1984,8.6,457,22,134,204,147,18,400,4,6,66.7,5,0,286,1473,749,319,273,85.6,6,3,/en/players/3b57f7f8/matchlogs/2017-2018/possession/Dusan-Basta-Match-Logs
42,Gil Bastião Dias,pt,"FW,MF",Fiorentina,20,1996,13.2,689,15,108,301,341,55,675,36,61,59.0,38,1,546,4099,2678,580,469,80.9,22,39,/en/players/e61bdd69/matchlogs/2017-2018/possession/Gil-Bastiao-Dias-Match-Logs
43,Samuel Bastien,be,"MF,FW",Chievo,20,1996,15.1,641,26,128,347,214,11,634,9,17,52.9,10,0,430,2728,1350,489,408,83.4,15,25,/en/players/ec30b9c8/matchlogs/2017-2018/possession/Samuel-Bastien-Match-Logs
44,Alessandro Bastoni,it,DF,Atalanta,18,1999,1.0,99,2,27,55,19,6,89,1,2,50.0,2,0,61,262,142,66,63,95.5,0,2,/en/players/75b86fb3/matchlogs/2017-2018/possession/Alessandro-Bastoni-Match-Logs
45,Bastos,ao,DF,Lazio,26,1991,15.6,1013,96,539,497,55,12,988,14,16,87.5,14,1,713,4117,2095,703,692,98.4,5,6,/en/players/c01c66d9/matchlogs/2017-2018/possession/Bastos-Match-Logs
46,Enrico Bearzotti,it,"DF,FW",Hellas Verona,20,1996,4.6,230,21,93,96,53,2,204,2,3,66.7,2,0,134,580,329,153,129,84.3,9,4,/en/players/c67836b8/matchlogs/2017-2018/possession/Enrico-Bearzotti-Match-Logs
47,Valon Behrami,ch,MF,Udinese,32,1985,15.5,709,38,191,442,111,7,695,10,16,62.5,10,1,391,2084,996,340,314,92.4,5,14,/en/players/d3d758d8/matchlogs/2017-2018/possession/Valon-Behrami-Match-Logs
48,Vid Belec,si,GK,Sampdoria,27,1990,2.0,97,87,97,0,0,0,75,0,0,,0,0,52,170,86,48,48,100.0,0,0,/en/players/4f8ce0e1/matchlogs/2017-2018/possession/Vid-Belec-Match-Logs
49,Vid Belec,si,GK,Benevento,27,1990,12.4,406,370,406,1,0,0,270,0,0,,0,0,164,940,556,120,118,98.3,0,0,/en/players/4f8ce0e1/matchlogs/2017-2018/possession/Vid-Belec-Match-Logs
50,Andrea Belotti,it,FW,Torino,23,1993,29.8,1038,23,88,479,530,166,1002,27,49,55.1,30,1,691,4173,2256,1357,772,56.9,87,70,/en/players/d705ba44/matchlogs/2017-2018/possession/Andrea-Belotti-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
