Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Alisson,br,GK,Roma,24,1992,37.0,28,3,0,2,0,38.9,0.26,+10.9,+0.29,245,443,55.3,443,198,35.7,35.2,443,35.7,35.2,306,25,8.2,49,1.32,17.5,/en/players/7a2e46a8/matchlogs/2017-2018/keeper/Alisson-Match-Logs
2,Nícolas Andrade,br,GK,Hellas Verona,29,1988,36.0,71,6,4,9,2,75.5,0.30,+6.5,+0.18,371,904,41.0,904,222,59.2,44.5,904,59.2,44.5,466,48,10.3,22,0.61,13.9,/en/players/326d09ef/matchlogs/2017-2018/keeper/Nicolas-Andrade-Match-Logs
3,Vid Belec,si,GK,Sampdoria,27,1990,2.0,5,1,0,1,0,5.6,0.31,+0.6,+0.28,9,24,37.5,24,11,27.1,26.6,24,27.1,26.6,21,2,9.5,3,1.50,13.3,/en/players/4f8ce0e1/matchlogs/2017-2018/keeper/Vid-Belec-Match-Logs
4,Vid Belec,si,GK,Benevento,27,1990,12.4,32,3,1,1,2,24.3,0.30,-0.7,-0.06,63,183,34.4,183,68,48.6,40.4,183,48.6,40.4,133,10,7.5,5,0.40,12.2,/en/players/4f8ce0e1/matchlogs/2017-2018/keeper/Vid-Belec-Match-Logs
5,Etrit Berisha,al,GK,Atalanta,28,1989,31.0,34,1,2,2,0,27.3,0.26,-6.7,-0.22,196,438,44.7,438,156,42.9,37.8,438,42.9,37.8,249,14,5.6,15,0.48,14.3,/en/players/ee833569/matchlogs/2017-2018/keeper/Etrit-Berisha-Match-Logs
6,Albano Bizzarri,ar,GK,Udinese,39,1977,32.0,52,2,1,9,4,41.7,0.29,-6.3,-0.20,262,612,42.8,612,135,52.5,41.1,612,52.5,41.1,306,26,8.5,13,0.41,13.0,/en/players/32b9b5fa/matchlogs/2017-2018/keeper/Albano-Bizzarri-Match-Logs
7,Alberto Brignoli,it,GK,Benevento,25,1991,12.5,31,2,0,6,0,29.2,0.40,-1.8,-0.14,92,266,34.6,266,61,51.3,43.2,266,51.3,43.2,144,25,17.4,16,1.28,17.0,/en/players/6989550f/matchlogs/2017-2018/keeper/Alberto-Brignoli-Match-Logs
8,Gianluigi Buffon,it,GK,Juventus,39,1978,20.7,14,3,0,2,2,15.8,0.22,+3.8,+0.18,87,187,46.5,187,71,32.5,34.2,187,32.5,34.2,167,12,7.2,14,0.68,14.5,/en/players/e40d028b/matchlogs/2017-2018/keeper/Gianluigi-Buffon-Match-Logs
9,Andrea Consigli,it,GK,Sassuolo,30,1987,36.8,58,2,3,10,1,52.3,0.29,-4.7,-0.13,283,620,45.6,620,160,53.2,43.2,620,53.2,43.2,411,36,8.8,19,0.52,13.3,/en/players/8cabdc1e/matchlogs/2017-2018/keeper/Andrea-Consigli-Match-Logs
10,Alex Cordaz,it,GK,Crotone,34,1983,38.0,66,6,3,11,0,64.3,0.30,-1.7,-0.04,304,884,34.4,884,95,72.3,51.6,884,72.3,51.6,428,21,4.9,26,0.68,14.4,/en/players/e66ebabb/matchlogs/2017-2018/keeper/Alex-Cordaz-Match-Logs
