Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
11,Angelo da Costa Júnior,br,GK,Bologna,33,1983,4.0,5,1,0,1,0,4.7,0.24,-0.3,-0.08,30,78,38.5,78,25,38.8,36.8,78,38.8,36.8,37,3,8.1,5,1.25,15.9,/en/players/18736214/matchlogs/2017-2018/keeper/Angelo-da-Costa-Junior-Match-Logs
12,Alessio Cragno,it,GK,Cagliari,23,1994,28.2,47,6,4,1,1,43.3,0.31,-2.7,-0.10,213,476,44.7,476,123,51.1,41.1,476,51.1,41.1,285,24,8.4,13,0.46,13.5,/en/players/f554e29b/matchlogs/2017-2018/keeper/Alessio-Cragno-Match-Logs
13,Luca Crosta,it,GK,Cagliari,19,1998,1.0,3,1,0,0,0,2.1,0.66,-0.9,-0.85,2,11,18.2,11,4,28.6,36.4,11,28.6,36.4,14,2,14.3,0,0.00,13.0,/en/players/a4ec7d09/matchlogs/2017-2018/keeper/Luca-Crosta-Match-Logs
14,Gianluigi Donnarumma,it,GK,Milan,18,1999,38.0,42,2,0,4,1,40.3,0.30,-0.7,-0.02,192,402,47.8,402,136,33.0,31.5,402,33.0,31.5,305,23,7.5,14,0.37,14.4,/en/players/08f5afaa/matchlogs/2017-2018/keeper/Gianluigi-Donnarumma-Match-Logs
15,Bartłomiej Drągowski,pl,GK,Fiorentina,19,1997,2.4,8,0,1,1,0,5.9,0.36,-2.1,-0.89,9,26,34.6,26,5,57.1,46.8,26,57.1,46.8,20,1,5.0,1,0.42,14.5,/en/players/085e71a7/matchlogs/2017-2018/keeper/Bartlomiej-Dragowski-Match-Logs
16,Pierluigi Gollini,it,GK,Atalanta,22,1995,6.9,4,0,0,1,0,5.3,0.31,+1.3,+0.19,33,58,56.9,58,26,26.9,32.5,58,26.9,32.5,51,2,3.9,5,0.72,17.4,/en/players/f0f7f62f/matchlogs/2017-2018/keeper/Pierluigi-Gollini-Match-Logs
17,Alfred Gomis,sn,GK,SPAL,23,1993,25.1,43,6,1,5,2,43.7,0.29,+2.7,+0.11,173,489,35.4,489,101,61.9,47.8,489,61.9,47.8,257,14,5.4,12,0.48,12.9,/en/players/cecbce23/matchlogs/2017-2018/keeper/Alfred-Gomis-Match-Logs
18,Samir Handanović,si,GK,Inter,33,1984,38.0,30,2,1,2,4,33.1,0.26,+7.1,+0.19,167,321,52.0,321,234,24.7,28.5,321,24.7,28.5,369,21,5.7,10,0.26,12.9,/en/players/74419746/matchlogs/2017-2018/keeper/Samir-Handanovic-Match-Logs
19,Eugenio Lamanna,it,GK,Genoa,27,1989,1.0,1,0,0,0,0,1.6,0.54,+0.6,+0.62,7,16,43.8,16,1,56.3,47.3,16,56.3,47.3,11,0,0.0,0,0.00,13.5,/en/players/349601c3/matchlogs/2017-2018/keeper/Eugenio-Lamanna-Match-Logs
20,Gabriele Marchegiani,it,GK,SPAL,21,1996,0.0,0,0,0,0,0,0.0,,0.0,,0,0,,0,0,,,0,,,0,0,,0,,,/en/players/8cf63012/matchlogs/2017-2018/keeper/Gabriele-Marchegiani-Match-Logs
21,Alex Meret,it,GK,SPAL,20,1997,12.9,16,3,0,2,2,19.4,0.28,+5.4,+0.42,88,229,38.4,229,25,56.0,42.5,229,56.0,42.5,132,13,9.8,3,0.23,13.0,/en/players/9413b19f/matchlogs/2017-2018/keeper/Alex-Meret-Match-Logs
22,Vanja Milinković-Savić,rs,GK,Torino,20,1997,1.0,1,0,0,0,0,1.1,0.27,+0.1,+0.09,8,23,34.8,23,6,39.0,41.5,23,39.0,41.5,11,1,9.1,0,0.00,14.0,/en/players/9fa26bc2/matchlogs/2017-2018/keeper/Vanja-Milinkovic-Savic-Match-Logs
23,Antonio Mirante,it,GK,Bologna,34,1983,33.0,46,2,1,5,3,41.4,0.28,-1.6,-0.05,372,715,52.0,715,139,53.5,42.7,715,53.5,42.7,403,28,6.9,31,0.94,15.1,/en/players/30223b33/matchlogs/2017-2018/keeper/Antonio-Mirante-Match-Logs
24,Gianluca Pegolo,it,GK,Sassuolo,36,1981,1.2,1,0,0,0,1,0.7,0.15,+0.7,+0.65,5,26,19.2,26,7,66.7,42.7,26,66.7,42.7,14,0,0.0,0,0.00,11.0,/en/players/f058ed1f/matchlogs/2017-2018/keeper/Gianluca-Pegolo-Match-Logs
25,Mattia Perin,it,GK,Genoa,24,1992,37.0,42,4,1,2,2,43.5,0.24,+3.5,+0.10,323,791,40.8,791,114,58.0,43.9,791,58.0,43.9,365,21,5.8,20,0.54,13.9,/en/players/4c62d0c8/matchlogs/2017-2018/keeper/Mattia-Perin-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Carlo Pinsoglio,it,GK,Juventus,27,1990,0.3,1,0,0,0,0,0.8,0.42,-0.2,-0.55,1,2,50.0,2,3,33.3,28.5,2,33.3,28.5,4,2,50.0,0,0.00,,/en/players/f6a06749/matchlogs/2017-2018/keeper/Carlo-Pinsoglio-Match-Logs
27,Christian Puggioni,it,GK,Sampdoria,36,1981,9.0,12,3,0,1,0,15.4,0.27,+3.4,+0.38,54,127,42.5,127,45,43.8,36.9,127,43.8,36.9,93,10,10.8,13,1.44,16.6,/en/players/b39dfab0/matchlogs/2017-2018/keeper/Christian-Puggioni-Match-Logs
28,Christian Puggioni,it,GK,Benevento,36,1981,13.1,26,5,0,3,0,23.8,0.34,-2.2,-0.16,81,187,43.3,187,71,36.5,34.9,187,36.5,34.9,147,16,10.9,9,0.69,14.3,/en/players/b39dfab0/matchlogs/2017-2018/keeper/Christian-Puggioni-Match-Logs
29,Rafael,br,GK,Cagliari,35,1982,8.8,11,1,0,3,0,14.5,0.35,+3.5,+0.40,72,173,41.6,173,25,64.7,43.9,173,64.7,43.9,113,10,8.8,2,0.23,13.1,/en/players/dd06d56c/matchlogs/2017-2018/keeper/Rafael-Match-Logs
30,Pepe Reina,es,GK,Napoli,34,1982,37.0,29,2,2,4,0,26.2,0.25,-2.8,-0.07,173,361,47.9,361,150,30.5,33.3,361,30.5,33.3,223,10,4.5,31,0.84,16.7,/en/players/e358587b/matchlogs/2017-2018/keeper/Pepe-Reina-Match-Logs
31,Francesco Rossi,it,GK,Atalanta,26,1991,0.1,1,0,0,1,0,0.9,0.46,-0.1,-1.15,1,1,100.0,1,2,33.3,29.7,1,33.3,29.7,0,0,,0,0.00,9.0,/en/players/7b5f516f/matchlogs/2017-2018/keeper/Francesco-Rossi-Match-Logs
32,Antonio Santurro,it,GK,Bologna,25,1992,1.0,1,0,0,0,0,2.1,0.42,+1.1,+1.08,10,33,30.3,33,3,69.0,54.2,33,69.0,54.2,14,0,0.0,1,1.00,10.9,/en/players/61228681/matchlogs/2017-2018/keeper/Antonio-Santurro-Match-Logs
33,Simone Scuffet,it,GK,Udinese,21,1996,6.0,11,0,0,2,1,8.1,0.28,-1.9,-0.32,36,99,36.4,99,20,60.2,43.1,99,60.2,43.1,52,6,11.5,1,0.17,12.4,/en/players/41bd99ea/matchlogs/2017-2018/keeper/Simone-Scuffet-Match-Logs
34,Luigi Sepe,it,GK,Napoli,26,1991,1.0,0,0,0,0,0,0.3,0.28,+0.3,+0.28,3,4,75.0,4,2,14.3,27.7,4,14.3,27.7,5,1,20.0,0,0.00,14.5,/en/players/343f753a/matchlogs/2017-2018/keeper/Luigi-Sepe-Match-Logs
35,Marco Silvestri,it,GK,Hellas Verona,26,1991,2.0,7,0,0,1,0,7.5,0.30,+0.5,+0.26,13,24,54.2,24,10,31.0,31.9,24,31.0,31.9,21,2,9.5,0,0.00,12.3,/en/players/0d422df7/matchlogs/2017-2018/keeper/Marco-Silvestri-Match-Logs
36,Salvatore Sirigu,it,GK,Torino,30,1987,37.0,45,5,3,5,0,48.5,0.27,+3.5,+0.10,255,571,44.7,571,185,42.0,37.4,571,42.0,37.4,399,31,7.8,34,0.92,14.6,/en/players/10dc46f0/matchlogs/2017-2018/keeper/Salvatore-Sirigu-Match-Logs
37,Łukasz Skorupski,pl,GK,Roma,26,1991,1.0,0,0,0,0,0,0.5,0.15,+0.5,+0.46,6,12,50.0,12,11,33.3,34.7,12,33.3,34.7,10,0,0.0,1,1.00,13.4,/en/players/ab4449d6/matchlogs/2017-2018/keeper/Lukasz-Skorupski-Match-Logs
38,Stefano Sorrentino,it,GK,Chievo,38,1979,38.0,59,4,2,13,4,55.5,0.28,+0.5,+0.01,257,653,39.4,653,170,51.0,39.7,653,51.0,39.7,434,16,3.7,14,0.37,12.6,/en/players/048877f5/matchlogs/2017-2018/keeper/Stefano-Sorrentino-Match-Logs
39,Marco Sportiello,it,GK,Fiorentina,25,1992,35.6,38,2,2,5,0,40.8,0.29,+2.8,+0.08,153,394,38.8,394,185,36.8,34.8,394,36.8,34.8,318,40,12.6,11,0.31,13.7,/en/players/ac4003af/matchlogs/2017-2018/keeper/Marco-Sportiello-Match-Logs
40,Thomas Strakosha,al,GK,Lazio,22,1995,38.0,49,9,2,5,2,51.3,0.29,+4.3,+0.11,248,509,48.7,509,163,45.8,37.9,509,45.8,37.9,290,12,4.1,23,0.61,15.2,/en/players/339fe0e8/matchlogs/2017-2018/keeper/Thomas-Strakosha-Match-Logs
41,Wojciech Szczęsny,pl,GK,Juventus,27,1990,17.0,9,0,1,2,0,11.5,0.35,+2.5,+0.15,107,194,55.2,194,74,38.4,36.2,194,38.4,36.2,126,6,4.8,2,0.12,12.5,/en/players/01b8a2b2/matchlogs/2017-2018/keeper/Wojciech-Szczesny-Match-Logs
42,Emiliano Viviano,it,GK,Sampdoria,31,1985,27.0,43,2,1,5,1,42.0,0.30,0.0,0.00,181,444,40.8,444,82,52.2,41.6,444,52.2,41.6,275,12,4.4,16,0.59,15.1,/en/players/03760df0/matchlogs/2017-2018/keeper/Emiliano-Viviano-Match-Logs
