Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
29,Milan Badelj,hr,MF,Fiorentina,28,1989,26.1,9,2,1,47,26,0,16,71,51,0,0,0,348,27,40,40.3,/en/players/e8c930bb/matchlogs/2017-2018/misc/Milan-Badelj-Match-Logs
30,Riad Bajić,ba,"FW,MF",Udinese,23,1994,0.9,0,0,0,1,0,1,0,0,0,0,0,0,2,3,6,33.3,/en/players/49d399d5/matchlogs/2017-2018/misc/Riad-Bajic-Match-Logs
31,Andrija Balić,hr,MF,Udinese,19,1997,12.0,2,0,0,15,10,1,37,18,17,0,0,0,148,6,9,40.0,/en/players/9be4ee80/matchlogs/2017-2018/misc/Andrija-Balic-Match-Logs
32,Mattia Bani,it,DF,Chievo,23,1993,14.6,5,1,0,16,12,1,5,26,15,0,0,0,132,37,16,69.8,/en/players/0821331c/matchlogs/2017-2018/misc/Mattia-Bani-Match-Logs
33,Antonín Barák,cz,MF,Udinese,22,1994,30.1,5,0,0,46,28,0,34,21,31,0,0,0,266,34,30,53.1,/en/players/01efac19/matchlogs/2017-2018/misc/Antonin-Barak-Match-Logs
34,Andrea Barberis,it,MF,Crotone,23,1993,33.7,1,0,0,29,23,1,91,57,56,0,1,0,363,39,46,45.9,/en/players/32ebfe1e/matchlogs/2017-2018/misc/Andrea-Barberis-Match-Logs
35,Nicolò Barella,it,MF,Cagliari,20,1997,32.8,14,2,1,76,64,1,106,39,60,0,1,0,396,29,29,50.0,/en/players/6928979a/matchlogs/2017-2018/misc/Nicolo-Barella-Match-Logs
36,Antonio Barreca,it,"DF,MF",Torino,22,1995,5.2,0,1,0,4,2,2,12,3,4,0,0,0,61,7,2,77.8,/en/players/6a189491/matchlogs/2017-2018/misc/Antonio-Barreca-Match-Logs
37,Édgar Barreto,py,MF,Sampdoria,33,1984,21.8,5,2,1,26,24,0,34,21,33,0,1,0,212,21,42,33.3,/en/players/43a1bea5/matchlogs/2017-2018/misc/Edgar-Barreto-Match-Logs
38,Musa Barrow,gm,"FW,MF",Atalanta,18,1998,4.9,0,0,0,2,3,3,8,0,1,0,0,0,9,2,7,22.2,/en/players/e5bf73f3/matchlogs/2017-2018/misc/Musa-Barrow-Match-Logs
39,Andrea Barzagli,it,DF,Juventus,36,1981,16.1,2,0,0,10,12,0,4,14,19,0,0,1,171,27,14,65.9,/en/players/7c0000fd/matchlogs/2017-2018/misc/Andrea-Barzagli-Match-Logs
40,Daniele Baselli,it,MF,Torino,25,1992,28.0,13,2,1,52,52,3,26,57,39,0,0,0,265,29,29,50.0,/en/players/ea06dd97/matchlogs/2017-2018/misc/Daniele-Baselli-Match-Logs
41,Dušan Basta,rs,"DF,MF",Lazio,32,1984,8.6,0,0,0,7,4,3,29,14,4,0,1,0,79,4,6,40.0,/en/players/3b57f7f8/matchlogs/2017-2018/misc/Dusan-Basta-Match-Logs
42,Gil Bastião Dias,pt,"FW,MF",Fiorentina,20,1996,13.2,1,0,0,14,15,4,19,22,28,0,0,0,98,12,18,40.0,/en/players/e61bdd69/matchlogs/2017-2018/misc/Gil-Bastiao-Dias-Match-Logs
43,Samuel Bastien,be,"MF,FW",Chievo,20,1996,15.1,3,2,1,15,15,3,12,22,17,0,0,0,124,16,32,33.3,/en/players/ec30b9c8/matchlogs/2017-2018/misc/Samuel-Bastien-Match-Logs
44,Alessandro Bastoni,it,DF,Atalanta,18,1999,1.0,0,0,0,2,5,0,0,1,3,0,0,0,15,0,3,0.0,/en/players/75b86fb3/matchlogs/2017-2018/misc/Alessandro-Bastoni-Match-Logs
45,Bastos,ao,DF,Lazio,26,1991,15.6,4,0,0,12,5,0,1,24,24,0,3,0,138,18,10,64.3,/en/players/c01c66d9/matchlogs/2017-2018/misc/Bastos-Match-Logs
46,Enrico Bearzotti,it,"DF,FW",Hellas Verona,20,1996,4.6,0,0,0,2,2,0,14,4,1,0,1,0,35,3,2,60.0,/en/players/c67836b8/matchlogs/2017-2018/misc/Enrico-Bearzotti-Match-Logs
47,Valon Behrami,ch,MF,Udinese,32,1985,15.5,5,0,0,46,23,0,1,26,49,0,0,0,187,19,5,79.2,/en/players/d3d758d8/matchlogs/2017-2018/misc/Valon-Behrami-Match-Logs
48,Vid Belec,si,GK,Sampdoria,27,1990,2.0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,,/en/players/4f8ce0e1/matchlogs/2017-2018/misc/Vid-Belec-Match-Logs
49,Vid Belec,si,GK,Benevento,27,1990,12.4,1,1,0,2,3,0,0,1,0,0,1,0,68,0,0,,/en/players/4f8ce0e1/matchlogs/2017-2018/misc/Vid-Belec-Match-Logs
50,Andrea Belotti,it,FW,Torino,23,1993,29.8,2,0,0,56,94,22,10,7,24,1,0,0,124,73,99,42.4,/en/players/d705ba44/matchlogs/2017-2018/misc/Andrea-Belotti-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,
51,Ahmad Benali,ly,MF,Crotone,25,1992,9.0,2,0,0,8,15,0,11,7,19,0,0,0,88,7,13,35.0,/en/players/a128b07e/matchlogs/2017-2018/misc/Ahmad-Benali-Match-Logs
52,Marco Benassi,it,"MF,FW",Fiorentina,22,1994,30.9,6,0,0,33,23,4,68,32,39,0,0,0,279,30,59,33.7,/en/players/0000acda/matchlogs/2017-2018/misc/Marco-Benassi-Match-Logs
53,Medhi Benatia,ma,DF,Juventus,30,1987,19.5,8,0,0,27,13,3,0,43,24,0,0,0,266,37,23,61.7,/en/players/3b15ef2d/matchlogs/2017-2018/misc/Medhi-Benatia-Match-Logs
54,Rodrigo Bentancur,uy,MF,Juventus,20,1997,6.5,0,0,0,13,12,0,2,3,19,0,0,0,80,10,7,58.8,/en/players/3b8674e6/matchlogs/2017-2018/misc/Rodrigo-Bentancur-Match-Logs
55,Domenico Berardi,it,FW,Sassuolo,22,1994,25.5,8,1,0,43,48,21,122,16,21,0,0,0,193,14,34,29.2,/en/players/53a0e358/matchlogs/2017-2018/misc/Domenico-Berardi-Match-Logs
56,Álex Berenguer,es,FW,Torino,22,1995,11.6,1,0,0,22,20,3,44,12,12,0,0,0,86,9,14,39.1,/en/players/dc1c2fce/matchlogs/2017-2018/misc/Alex-Berenguer-Match-Logs
