Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
1,Rolando Aarons,eng,"MF,FW",Hellas Verona,21,1995,5.7,3,0.52,3,0,0,0,0,0,0.00,3,0,0,0,0,0,/en/players/c5942695/matchlogs/2017-2018/gca/Rolando-Aarons-Match-Logs
2,Ignazio Abate,it,DF,Milan,30,1986,11.7,26,2.22,22,2,0,2,0,4,0.34,22,2,0,2,0,0,/en/players/1c529186/matchlogs/2017-2018/gca/Ignazio-Abate-Match-Logs
3,Francesco Acerbi,it,DF,Sassuolo,29,1988,38.0,27,0.71,25,0,0,0,2,0,0.00,25,0,0,0,2,0,/en/players/b96b595c/matchlogs/2017-2018/gca/Francesco-Acerbi-Match-Logs
4,Afriyie Acquah,gh,MF,Torino,25,1992,10.6,15,1.45,11,0,1,1,2,0,0.00,11,0,1,1,2,0,/en/players/d7403bd5/matchlogs/2017-2018/gca/Afriyie-Acquah-Match-Logs
5,Claud Adjapong,it,"DF,MF",Sassuolo,19,1998,13.6,22,1.63,16,0,2,2,2,3,0.22,16,0,2,2,2,0,/en/players/ce5b170a/matchlogs/2017-2018/gca/Claud-Adjapong-Match-Logs
6,Ali Adnan Kadhim,iq,"DF,MF",Udinese,23,1993,18.6,33,1.78,24,8,0,0,1,5,0.27,24,8,0,0,1,0,/en/players/06050480/matchlogs/2017-2018/gca/Ali-Adnan-Kadhim-Match-Logs
7,Arlind Ajeti,al,"DF,MF",Crotone,23,1993,14.1,9,0.64,7,0,0,1,1,2,0.14,7,0,0,1,1,0,/en/players/f9714604/matchlogs/2017-2018/gca/Arlind-Ajeti-Match-Logs
8,Luis Alberto,es,"MF,FW",Lazio,24,1992,29.7,162,5.44,99,49,9,3,2,26,0.87,99,49,9,3,2,0,/en/players/5294a83f/matchlogs/2017-2018/gca/Luis-Alberto-Match-Logs
9,Raúl Albiol,es,DF,Napoli,31,1985,30.5,24,0.79,22,0,0,2,0,2,0.07,22,0,0,2,0,0,/en/players/4bd414c1/matchlogs/2017-2018/gca/Raul-Albiol-Match-Logs
10,Alisson,br,GK,Roma,24,1992,37.0,5,0.14,4,1,0,0,0,1,0.03,4,1,0,0,0,0,/en/players/7a2e46a8/matchlogs/2017-2018/gca/Alisson-Match-Logs
11,Allan,br,MF,Napoli,26,1991,31.7,91,2.87,74,1,6,3,7,13,0.41,74,1,6,3,7,0,/en/players/cc700722/matchlogs/2017-2018/gca/Allan-Match-Logs
12,Ricky Álvarez,ar,"MF,FW",Sampdoria,29,1988,3.0,12,4.20,7,3,0,2,0,0,0.00,7,3,0,2,0,0,/en/players/92a5ac34/matchlogs/2017-2018/gca/Ricky-Alvarez-Match-Logs
13,Joachim Andersen,dk,DF,Sampdoria,21,1996,6.1,4,0.66,4,0,0,0,0,0,0.00,4,0,0,0,0,0,/en/players/e34fc66d/matchlogs/2017-2018/gca/Joachim-Andersen-Match-Logs
14,Felipe Anderson,br,"MF,FW",Lazio,24,1993,12.9,69,5.40,47,10,10,2,0,13,1.02,47,10,10,2,0,0,/en/players/9f1893b9/matchlogs/2017-2018/gca/Felipe-Anderson-Match-Logs
15,Nícolas Andrade,br,GK,Hellas Verona,29,1988,36.0,7,0.19,4,3,0,0,0,1,0.03,4,3,0,0,0,0,/en/players/326d09ef/matchlogs/2017-2018/gca/Nicolas-Andrade-Match-Logs
16,Marco Andreolli,it,DF,Cagliari,31,1986,20.3,1,0.05,1,0,0,0,0,0,0.00,1,0,0,0,0,0,/en/players/13d820de/matchlogs/2017-2018/gca/Marco-Andreolli-Match-Logs
17,Gabriele Angella,it,DF,Udinese,28,1989,9.9,10,1.01,9,0,0,0,1,0,0.00,9,0,0,0,1,0,/en/players/0c971997/matchlogs/2017-2018/gca/Gabriele-Angella-Match-Logs
18,Cristian Ansaldi,ar,"DF,MF",Torino,30,1986,20.8,48,2.31,30,1,10,3,4,7,0.34,30,1,10,3,4,0,/en/players/bbafc0c4/matchlogs/2017-2018/gca/Cristian-Ansaldi-Match-Logs
19,Luca Antei,it,DF,Benevento,25,1992,6.6,2,0.30,1,0,0,1,0,0,0.00,1,0,0,1,0,0,/en/players/97c9bce3/matchlogs/2017-2018/gca/Luca-Antei-Match-Logs
20,Mirco Antenucci,it,FW,SPAL,32,1984,28.6,65,2.27,45,0,5,7,8,11,0.38,45,0,5,7,8,0,/en/players/43a2e16c/matchlogs/2017-2018/gca/Mirco-Antenucci-Match-Logs
21,Luca Antonelli,it,"DF,MF",Milan,30,1987,1.6,1,0.65,1,0,0,0,0,0,0.00,1,0,0,0,0,0,/en/players/40f0ed6c/matchlogs/2017-2018/gca/Luca-Antonelli-Match-Logs
22,Mirko Antonucci,it,FW,Roma,18,1999,0.3,2,6.43,2,0,0,0,0,1,3.21,2,0,0,0,0,0,/en/players/91976866/matchlogs/2017-2018/gca/Mirko-Antonucci-Match-Logs
23,Samuel Armenteros,se,FW,Benevento,27,1990,4.8,3,0.63,3,0,0,0,0,0,0.00,3,0,0,0,0,0,/en/players/9c8f641a/matchlogs/2017-2018/gca/Samuel-Armenteros-Match-Logs
24,Kwadwo Asamoah,gh,DF,Juventus,28,1988,17.4,31,1.78,27,1,1,0,2,4,0.23,27,1,1,0,2,0,/en/players/089550f5/matchlogs/2017-2018/gca/Kwadwo-Asamoah-Match-Logs
