Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
454,Sandro,br,MF,Benevento,28,1989,12.8,1,15,4,26.7,1.17,0.31,0.07,0.25,0,0,0,0.6,0.6,0.04,+0.4,+0.4,/en/players/c1c2c925/matchlogs/2017-2018/summary/Sandro-Match-Logs
455,Alex Sandro,br,DF,Juventus,26,1991,23.5,4,21,7,33.3,0.89,0.30,0.19,0.57,0,0,0,2.6,2.6,0.13,+1.4,+1.4,/en/players/0d82903c/matchlogs/2017-2018/summary/Alex-Sandro-Match-Logs
456,Siriki Sanogo,ci,MF,Benevento,15,2001,0.4,0,2,0,0.0,4.62,0.00,0.00,,0,0,0,0.1,0.1,0.04,-0.1,-0.1,/en/players/ff120e44/matchlogs/2017-2018/summary/Siriki-Sanogo-Match-Logs
457,Davide Santon,it,DF,Inter,26,1991,9.3,0,7,2,28.6,0.75,0.22,0.00,0.00,0,0,0,0.2,0.2,0.02,-0.2,-0.2,/en/players/88c89891/matchlogs/2017-2018/summary/Davide-Santon-Match-Logs
458,Samir Santos,br,DF,Udinese,22,1994,28.5,2,8,2,25.0,0.28,0.07,0.25,1.00,0,0,0,1.0,1.0,0.13,+1.0,+1.0,/en/players/92b4758e/matchlogs/2017-2018/summary/Samir-Santos-Match-Logs
459,Antonio Santurro,it,GK,Bologna,25,1992,1.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/61228681/matchlogs/2017-2018/summary/Antonio-Santurro-Match-Logs
460,Riccardo Saponara,it,"MF,FW",Fiorentina,25,1991,10.0,0,23,7,30.4,2.30,0.70,0.00,0.00,0,0,0,1.6,1.6,0.07,-1.6,-1.6,/en/players/3bb7af3b/matchlogs/2017-2018/summary/Riccardo-Saponara-Match-Logs
461,Marco Sau,it,"FW,MF",Cagliari,29,1987,14.6,2,24,10,41.7,1.65,0.69,0.08,0.20,1,0,1,4.2,3.4,0.14,-2.2,-1.4,/en/players/1ad1f50d/matchlogs/2017-2018/summary/Marco-Sau-Match-Logs
462,Gianluca Scamacca,it,FW,Sassuolo,18,1999,0.3,0,3,0,0.0,11.74,0.00,0.00,,0,0,0,0.1,0.1,0.03,-0.1,-0.1,/en/players/8790f988/matchlogs/2017-2018/summary/Gianluca-Scamacca-Match-Logs
463,Pasquale Schiattarella,it,MF,SPAL,30,1987,22.1,1,22,3,13.6,0.99,0.14,0.05,0.33,0,0,0,0.8,0.8,0.04,+0.2,+0.2,/en/players/bd84fc61/matchlogs/2017-2018/summary/Pasquale-Schiattarella-Match-Logs
