Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
513,Ľubomír Tupta,sk,"FW,MF",Hellas Verona,19,1998,0.4,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/b02af64f/matchlogs/2017-2018/summary/Lubomir-Tupta-Match-Logs
514,Cengiz Ünder,tr,FW,Roma,20,1997,13.9,7,49,17,34.7,3.53,1.22,0.14,0.41,1,0,0,4.6,4.6,0.09,+2.4,+2.4,/en/players/1880614f/matchlogs/2017-2018/summary/Cengiz-Under-Match-Logs
515,Sauli Väisänen,fi,DF,SPAL,23,1994,6.0,0,3,0,0.0,0.50,0.00,0.00,,0,0,0,0.5,0.5,0.18,-0.5,-0.5,/en/players/23214a49/matchlogs/2017-2018/summary/Sauli-Vaisanen-Match-Logs
516,Mirko Valdifiori,it,MF,Torino,31,1986,6.9,0,2,0,0.0,0.29,0.00,0.00,,0,0,0,0.1,0.1,0.03,-0.1,-0.1,/en/players/c710f7d5/matchlogs/2017-2018/summary/Mirko-Valdifiori-Match-Logs
517,Borja Valero,es,MF,Inter,32,1985,28.5,2,18,8,44.4,0.63,0.28,0.11,0.25,0,0,0,2.1,2.1,0.12,-0.1,-0.1,/en/players/0e21fc3c/matchlogs/2017-2018/summary/Borja-Valero-Match-Logs
518,Mattia Valoti,it,"MF,FW",Hellas Verona,23,1993,17.5,3,21,9,42.9,1.20,0.51,0.14,0.33,0,0,0,3.3,3.3,0.16,-0.3,-0.3,/en/players/c414df9d/matchlogs/2017-2018/summary/Mattia-Valoti-Match-Logs
519,Matías Vecino,uy,MF,Inter,25,1991,23.7,3,40,15,37.5,1.68,0.63,0.08,0.20,0,0,0,2.8,2.8,0.07,+0.2,+0.2,/en/players/44ac04e9/matchlogs/2017-2018/summary/Matias-Vecino-Match-Logs
520,Miguel Veloso,pt,MF,Genoa,31,1986,19.3,1,28,6,21.4,1.45,0.31,0.04,0.17,5,0,0,1.1,1.1,0.04,-0.1,-0.1,/en/players/ab1ca213/matchlogs/2017-2018/summary/Miguel-Veloso-Match-Logs
521,Lorenzo Venuti,it,DF,Benevento,22,1995,26.6,0,4,1,25.0,0.15,0.04,0.00,0.00,0,0,0,0.3,0.3,0.08,-0.3,-0.3,/en/players/983ff2c7/matchlogs/2017-2018/summary/Lorenzo-Venuti-Match-Logs
522,Daniele Verde,it,"FW,MF",Hellas Verona,21,1996,21.7,2,34,10,29.4,1.57,0.46,0.06,0.20,7,0,0,1.9,1.9,0.06,+0.1,+0.1,/en/players/d3298c99/matchlogs/2017-2018/summary/Daniele-Verde-Match-Logs
523,Simone Verdi,it,"FW,MF",Bologna,25,1992,31.4,10,89,28,31.5,2.83,0.89,0.09,0.29,25,2,2,8.1,6.5,0.07,+1.9,+1.5,/en/players/0375723e/matchlogs/2017-2018/summary/Simone-Verdi-Match-Logs
524,Jordan Veretout,fr,MF,Fiorentina,24,1993,35.7,8,60,16,26.7,1.68,0.45,0.10,0.38,11,2,3,5.4,3.1,0.05,+2.6,+2.9,/en/players/4a56052c/matchlogs/2017-2018/summary/Jordan-Veretout-Match-Logs
525,Valerio Verre,it,MF,Sampdoria,23,1994,4.0,0,6,1,16.7,1.50,0.25,0.00,0.00,0,0,0,0.2,0.2,0.03,-0.2,-0.2,/en/players/33ecf462/matchlogs/2017-2018/summary/Valerio-Verre-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,
526,Francesco Vicari,it,DF,SPAL,22,1994,31.7,0,8,1,12.5,0.25,0.03,0.00,0.00,0,0,0,0.3,0.3,0.04,-0.3,-0.3,/en/players/de045b15/matchlogs/2017-2018/summary/Francesco-Vicari-Match-Logs
527,Luca Vido,it,"FW,MF",Atalanta,20,1997,0.8,0,5,2,40.0,6.08,2.43,0.00,0.00,0,0,0,0.3,0.3,0.07,-0.3,-0.3,/en/players/eb0d77a4/matchlogs/2017-2018/summary/Luca-Vido-Match-Logs
528,Nicolas Viola,it,MF,Benevento,27,1989,20.6,2,34,14,41.2,1.65,0.68,0.06,0.14,7,0,1,2.0,1.3,0.04,0.0,+0.7,/en/players/45392b06/matchlogs/2017-2018/summary/Nicolas-Viola-Match-Logs
529,Mattia Vitale,it,MF,SPAL,19,1997,1.1,0,2,0,0.0,1.84,0.00,0.00,,0,0,0,0.1,0.1,0.07,-0.1,-0.1,/en/players/8e4b894b/matchlogs/2017-2018/summary/Mattia-Vitale-Match-Logs
530,Federico Viviani,it,MF,SPAL,25,1992,27.6,3,50,14,28.0,1.81,0.51,0.06,0.21,19,0,1,3.3,2.5,0.05,-0.3,+0.5,/en/players/2258c078/matchlogs/2017-2018/summary/Federico-Viviani-Match-Logs
531,Emiliano Viviano,it,GK,Sampdoria,31,1985,27.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/03760df0/matchlogs/2017-2018/summary/Emiliano-Viviano-Match-Logs
532,Giovanni Volpicelli,it,FW,Benevento,17,1999,0.0,0,1,0,0.0,22.50,0.00,0.00,,0,0,0,0.0,0.0,0.02,0.0,0.0,/en/players/844a87c2/matchlogs/2017-2018/summary/Giovanni-Volpicelli-Match-Logs
533,Stefan de Vrij,nl,DF,Lazio,25,1992,33.7,6,13,7,53.8,0.39,0.21,0.46,0.86,0,0,0,1.5,1.5,0.12,+4.5,+4.5,/en/players/d0d8dd44/matchlogs/2017-2018/summary/Stefan-de-Vrij-Match-Logs
534,Jagoš Vuković,rs,DF,Hellas Verona,29,1988,14.8,1,3,1,33.3,0.20,0.07,0.33,1.00,0,0,0,0.3,0.3,0.09,+0.7,+0.7,/en/players/ba06950a/matchlogs/2017-2018/summary/Jagos-Vukovic-Match-Logs
535,Molla Wagué,ml,DF,Udinese,26,1991,0.6,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/a440d8ca/matchlogs/2017-2018/summary/Molla-Wague-Match-Logs
536,Wallace,br,DF,Lazio,22,1994,11.1,0,11,1,9.1,0.99,0.09,0.00,0.00,0,0,0,0.6,0.6,0.06,-0.6,-0.6,/en/players/d61b3354/matchlogs/2017-2018/summary/Wallace-Match-Logs
537,Silvan Widmer,ch,"DF,MF",Udinese,24,1993,18.1,3,11,3,27.3,0.61,0.17,0.27,1.00,0,0,0,0.7,0.7,0.06,+2.3,+2.3,/en/players/f68b64fc/matchlogs/2017-2018/summary/Silvan-Widmer-Match-Logs
538,Jawad El Yamiq,ma,DF,Genoa,25,1992,4.0,0,1,0,0.0,0.25,0.00,0.00,,0,0,0,0.0,0.0,0.01,0.0,0.0,/en/players/f6f6b6e8/matchlogs/2017-2018/summary/Jawad-El-Yamiq-Match-Logs
539,Mattia Zaccagni,it,"MF,FW",Hellas Verona,22,1995,1.7,0,2,1,50.0,1.18,0.59,0.00,0.00,0,0,0,0.6,0.6,0.28,-0.6,-0.6,/en/players/d85c238b/matchlogs/2017-2018/summary/Mattia-Zaccagni-Match-Logs
540,Francesco Zampano,it,"DF,MF",Udinese,23,1993,4.6,0,2,0,0.0,0.44,0.00,0.00,,0,0,0,0.1,0.1,0.04,-0.1,-0.1,/en/players/8e45910b/matchlogs/2017-2018/summary/Francesco-Zampano-Match-Logs
541,Niccolò Zanellato,it,MF,Crotone,19,1998,0.8,0,2,0,0.0,2.40,0.00,0.00,,0,0,0,0.1,0.1,0.04,-0.1,-0.1,/en/players/741e058f/matchlogs/2017-2018/summary/Niccolo-Zanellato-Match-Logs
542,Cristián Zapata,co,DF,Milan,30,1986,11.0,0,4,2,50.0,0.36,0.18,0.00,0.00,0,0,0,0.1,0.1,0.04,-0.1,-0.1,/en/players/b1deecf8/matchlogs/2017-2018/summary/Cristian-Zapata-Match-Logs
543,Duván Zapata,co,FW,Sampdoria,26,1991,23.4,11,56,23,41.1,2.39,0.98,0.20,0.48,0,0,0,8.8,8.8,0.16,+2.2,+2.2,/en/players/d3de9af0/matchlogs/2017-2018/summary/Duvan-Zapata-Match-Logs
544,Davide Zappacosta,it,DF,Torino,25,1992,1.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/7fe90ccd/matchlogs/2017-2018/summary/Davide-Zappacosta-Match-Logs
545,Rafik Zekhnini,no,MF,Fiorentina,19,1998,0.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/1b62a7df/matchlogs/2017-2018/summary/Rafik-Zekhnini-Match-Logs
546,Piotr Zieliński,pl,"MF,FW",Napoli,23,1994,18.5,4,38,17,44.7,2.05,0.92,0.11,0.24,0,0,0,3.4,3.4,0.09,+0.6,+0.6,/en/players/a5296e55/matchlogs/2017-2018/summary/Piotr-Zielinski-Match-Logs
547,Bruno Zuculini,ar,MF,Hellas Verona,24,1993,13.5,2,7,2,28.6,0.52,0.15,0.29,1.00,0,0,0,0.9,0.9,0.12,+1.1,+1.1,/en/players/17cddb4d/matchlogs/2017-2018/summary/Bruno-Zuculini-Match-Logs
548,Franco Zuculini,ar,MF,Hellas Verona,26,1990,3.7,0,4,2,50.0,1.09,0.55,0.00,0.00,0,0,0,0.1,0.1,0.03,-0.1,-0.1,/en/players/9c31bb89/matchlogs/2017-2018/summary/Franco-Zuculini-Match-Logs
549,Ervin Zukanović,ba,DF,Genoa,30,1987,31.9,0,22,3,13.6,0.69,0.09,0.00,0.00,1,0,0,1.5,1.5,0.07,-1.5,-1.5,/en/players/1253a12e/matchlogs/2017-2018/summary/Ervin-Zukanovic-Match-Logs
550,Filip Đuričić,rs,FW,Sampdoria,25,1992,0.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,/en/players/eccbe56a/matchlogs/2017-2018/summary/Filip-Djuricic-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,
551,Filip Đuričić,rs,"FW,MF",Benevento,25,1992,10.8,0,14,7,50.0,1.30,0.65,0.00,0.00,0,0,0,0.6,0.6,0.04,-0.6,-0.6,/en/players/eccbe56a/matchlogs/2017-2018/summary/Filip-Djuricic-Match-Logs
552,Christian Rutjens,,,Benevento,,,0.0,0,,0,,,0.00,,,,0,0,,,,,,
