Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
32,Mattia Bani,it,DF,Chievo,23,1993,16,15,"1,317",0,0,0,0,5,1,0,0,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.0,0.02,0.3,0.02,/en/players/0821331c/matchlogs/2017-2018/summary/Mattia-Bani-Match-Logs
33,Antonín Barák,cz,MF,Udinese,22,1994,34,31,"2,713",7,3,0,0,5,0,7,3,0.33,0.23,0.33,3.5,3.5,3.0,3.5,3.0,0.22,3.5,0.22,/en/players/01efac19/matchlogs/2017-2018/summary/Antonin-Barak-Match-Logs
34,Andrea Barberis,it,MF,Crotone,23,1993,38,34,"3,029",2,1,0,0,1,0,2,1,0.09,0.06,0.09,1.5,1.5,2.1,1.5,2.1,0.11,1.5,0.11,/en/players/32ebfe1e/matchlogs/2017-2018/summary/Andrea-Barberis-Match-Logs
35,Nicolò Barella,it,MF,Cagliari,20,1997,34,34,"2,955",6,2,3,3,14,2,6,2,0.24,0.09,0.15,3.3,1.1,2.2,3.3,2.2,0.17,1.1,0.10,/en/players/6928979a/matchlogs/2017-2018/summary/Nicolo-Barella-Match-Logs
36,Antonio Barreca,it,"DF,MF",Torino,22,1995,9,3,468,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.0,0.0,0.4,0.0,0.4,0.08,0.0,0.08,/en/players/6a189491/matchlogs/2017-2018/summary/Antonio-Barreca-Match-Logs
37,Édgar Barreto,py,MF,Sampdoria,33,1984,28,24,"1,965",1,2,0,0,5,2,1,2,0.14,0.05,0.14,1.3,1.3,2.1,1.3,2.1,0.15,1.3,0.15,/en/players/43a1bea5/matchlogs/2017-2018/summary/Edgar-Barreto-Match-Logs
38,Musa Barrow,gm,"FW,MF",Atalanta,18,1998,12,5,443,3,1,0,0,0,0,3,1,0.81,0.61,0.81,3.0,3.0,1.1,3.0,1.1,0.83,3.0,0.83,/en/players/e5bf73f3/matchlogs/2017-2018/summary/Musa-Barrow-Match-Logs
39,Andrea Barzagli,it,DF,Juventus,36,1981,25,14,"1,447",0,1,0,0,2,0,0,1,0.06,0.00,0.06,0.0,0.0,0.4,0.0,0.4,0.03,0.0,0.03,/en/players/7c0000fd/matchlogs/2017-2018/summary/Andrea-Barzagli-Match-Logs
40,Daniele Baselli,it,MF,Torino,25,1992,32,30,"2,521",4,0,0,0,13,2,4,0,0.14,0.14,0.14,3.6,3.6,1.9,3.6,1.9,0.20,3.6,0.20,/en/players/ea06dd97/matchlogs/2017-2018/summary/Daniele-Baselli-Match-Logs
41,Dušan Basta,rs,"DF,MF",Lazio,32,1984,11,9,775,0,1,0,0,0,0,0,1,0.12,0.00,0.12,0.6,0.6,0.4,0.6,0.4,0.11,0.6,0.11,/en/players/3b57f7f8/matchlogs/2017-2018/summary/Dusan-Basta-Match-Logs
42,Gil Bastião Dias,pt,"FW,MF",Fiorentina,20,1996,27,9,"1,190",2,3,0,0,1,0,2,3,0.38,0.15,0.38,2.8,2.8,1.1,2.8,1.1,0.30,2.8,0.30,/en/players/e61bdd69/matchlogs/2017-2018/summary/Gil-Bastiao-Dias-Match-Logs
43,Samuel Bastien,be,"MF,FW",Chievo,20,1996,21,15,"1,355",1,0,0,0,3,2,1,0,0.07,0.07,0.07,0.7,0.7,0.3,0.7,0.3,0.07,0.7,0.07,/en/players/ec30b9c8/matchlogs/2017-2018/summary/Samuel-Bastien-Match-Logs
44,Alessandro Bastoni,it,DF,Atalanta,18,1999,4,0,91,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.0,0.0,0.1,0.0,0.1,0.19,0.0,0.19,/en/players/75b86fb3/matchlogs/2017-2018/summary/Alessandro-Bastoni-Match-Logs
45,Bastos,ao,DF,Lazio,26,1991,21,16,"1,407",4,0,0,0,4,0,4,0,0.26,0.26,0.26,2.9,2.9,0.1,2.9,0.1,0.19,2.9,0.19,/en/players/c01c66d9/matchlogs/2017-2018/summary/Bastos-Match-Logs
46,Enrico Bearzotti,it,"DF,FW",Hellas Verona,20,1996,6,4,410,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.1,0.03,0.1,0.03,/en/players/c67836b8/matchlogs/2017-2018/summary/Enrico-Bearzotti-Match-Logs
47,Valon Behrami,ch,MF,Udinese,32,1985,20,18,"1,398",1,0,0,0,5,0,1,0,0.06,0.06,0.06,0.6,0.6,0.2,0.6,0.2,0.05,0.6,0.05,/en/players/d3d758d8/matchlogs/2017-2018/summary/Valon-Behrami-Match-Logs
48,Vid Belec,si,GK,Sampdoria,27,1990,2,2,180,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00,/en/players/4f8ce0e1/matchlogs/2017-2018/summary/Vid-Belec-Match-Logs
49,Vid Belec,si,GK,Benevento,27,1990,13,13,"1,113",0,0,0,0,1,1,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00,/en/players/4f8ce0e1/matchlogs/2017-2018/summary/Vid-Belec-Match-Logs
50,Andrea Belotti,it,FW,Torino,23,1993,32,29,"2,683",10,5,0,2,2,0,10,5,0.50,0.34,0.50,11.3,9.8,4.6,11.3,4.6,0.54,9.8,0.48,/en/players/d705ba44/matchlogs/2017-2018/summary/Andrea-Belotti-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Ahmad Benali,ly,MF,Crotone,25,1992,10,10,811,1,1,0,0,2,0,1,1,0.22,0.11,0.22,1.1,1.1,0.2,1.1,0.2,0.15,1.1,0.15,/en/players/a128b07e/matchlogs/2017-2018/summary/Ahmad-Benali-Match-Logs
52,Marco Benassi,it,"MF,FW",Fiorentina,22,1994,35,35,"2,782",5,3,0,0,6,0,5,3,0.26,0.16,0.26,4.9,4.9,3.2,4.9,3.2,0.26,4.9,0.26,/en/players/0000acda/matchlogs/2017-2018/summary/Marco-Benassi-Match-Logs
53,Medhi Benatia,ma,DF,Juventus,30,1987,20,19,"1,755",2,0,0,0,8,0,2,0,0.10,0.10,0.10,2.4,2.4,0.0,2.4,0.0,0.12,2.4,0.12,/en/players/3b15ef2d/matchlogs/2017-2018/summary/Medhi-Benatia-Match-Logs
54,Rodrigo Bentancur,uy,MF,Juventus,20,1997,20,5,581,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.2,0.2,0.5,0.2,0.5,0.10,0.2,0.10,/en/players/3b8674e6/matchlogs/2017-2018/summary/Rodrigo-Bentancur-Match-Logs
55,Domenico Berardi,it,FW,Sassuolo,22,1994,31,29,"2,296",4,2,2,4,8,1,4,2,0.24,0.08,0.16,8.9,5.9,5.2,8.9,5.2,0.55,5.9,0.43,/en/players/53a0e358/matchlogs/2017-2018/summary/Domenico-Berardi-Match-Logs
56,Álex Berenguer,es,FW,Torino,22,1995,22,11,"1,043",1,3,0,0,1,0,1,3,0.35,0.09,0.35,1.2,1.2,1.7,1.2,1.7,0.25,1.2,0.25,/en/players/dc1c2fce/matchlogs/2017-2018/summary/Alex-Berenguer-Match-Logs
57,Bartosz Bereszyński,pl,DF,Sampdoria,25,1992,31,28,"2,480",0,1,0,0,5,0,0,1,0.04,0.00,0.04,0.2,0.2,0.7,0.2,0.7,0.03,0.2,0.03,/en/players/61b3978f/matchlogs/2017-2018/summary/Bartosz-Bereszynski-Match-Logs
58,Etrit Berisha,al,GK,Atalanta,28,1989,31,31,"2,790",0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00,/en/players/ee833569/matchlogs/2017-2018/summary/Etrit-Berisha-Match-Logs
59,Federico Bernardeschi,it,"FW,MF",Juventus,23,1994,22,7,847,4,3,0,0,4,0,4,3,0.74,0.43,0.74,3.0,3.0,2.0,3.0,2.0,0.55,3.0,0.55,/en/players/ee93c1a9/matchlogs/2017-2018/summary/Federico-Bernardeschi-Match-Logs
60,Andrea Bertolacci,it,MF,Genoa,26,1991,33,33,"2,895",1,0,0,0,7,1,1,0,0.03,0.03,0.03,1.1,1.1,2.0,1.1,2.0,0.10,1.1,0.10,/en/players/c75b6a02/matchlogs/2017-2018/summary/Andrea-Bertolacci-Match-Logs
61,Daniel Bessa,it,"MF,FW",Hellas Verona,24,1993,17,15,"1,389",1,1,0,0,5,0,1,1,0.13,0.06,0.13,0.9,0.9,1.2,0.9,1.2,0.14,0.9,0.14,/en/players/88895312/matchlogs/2017-2018/summary/Daniel-Bessa-Match-Logs
62,Daniel Bessa,it,MF,Genoa,24,1993,11,6,438,2,0,0,0,0,0,2,0,0.41,0.41,0.41,1.2,1.2,0.8,1.2,0.8,0.40,1.2,0.40,/en/players/88895312/matchlogs/2017-2018/summary/Daniel-Bessa-Match-Logs
63,Matteo Bianchetti,it,DF,Hellas Verona,24,1993,2,1,124,0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00,/en/players/b3a20f18/matchlogs/2017-2018/summary/Matteo-Bianchetti-Match-Logs
64,Lucas Biglia,ar,MF,Milan,31,1986,28,24,"2,039",1,0,0,0,5,0,1,0,0.04,0.04,0.04,0.8,0.8,0.7,0.8,0.7,0.07,0.8,0.07,/en/players/5710a281/matchlogs/2017-2018/summary/Lucas-Biglia-Match-Logs
65,Jean-Claude Billong,fr,DF,Benevento,23,1993,5,3,294,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00,/en/players/a3e1d20d/matchlogs/2017-2018/summary/Jean-Claude-Billong-Match-Logs
66,Davide Biondini,it,"MF,FW",Sassuolo,34,1983,7,2,206,0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.0,0.0,0.2,0.0,0.2,0.10,0.0,0.10,/en/players/b4c3070a/matchlogs/2017-2018/summary/Davide-Biondini-Match-Logs
67,Cristiano Biraghi,it,DF,Fiorentina,24,1992,34,34,"2,980",1,4,0,0,7,0,1,4,0.15,0.03,0.15,1.8,1.8,5.2,1.8,5.2,0.21,1.8,0.21,/en/players/9e1577aa/matchlogs/2017-2018/summary/Cristiano-Biraghi-Match-Logs
68,Davide Biraschi,it,DF,Genoa,23,1994,23,20,"1,796",0,1,0,0,2,0,0,1,0.05,0.00,0.05,0.6,0.6,0.4,0.6,0.4,0.05,0.6,0.05,/en/players/64cd167d/matchlogs/2017-2018/summary/Davide-Biraschi-Match-Logs
69,Valter Birsa,si,"MF,FW",Chievo,30,1986,35,29,"2,504",3,6,0,0,3,0,3,6,0.32,0.11,0.32,2.6,2.6,5.1,2.6,5.1,0.28,2.6,0.28,/en/players/455a2b79/matchlogs/2017-2018/summary/Valter-Birsa-Match-Logs
70,Albano Bizzarri,ar,GK,Udinese,39,1977,32,32,"2,880",0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00,/en/players/32b9b5fa/matchlogs/2017-2018/summary/Albano-Bizzarri-Match-Logs
71,Deian Boldor,ro,DF,Hellas Verona,22,1995,1,1,90,0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,/en/players/9b7533de/matchlogs/2017-2018/summary/Deian-Boldor-Match-Logs
72,Giacomo Bonaventura,it,MF,Milan,27,1989,33,30,"2,541",8,2,0,0,3,0,8,2,0.35,0.28,0.35,5.2,5.2,3.2,5.2,3.2,0.30,5.2,0.30,/en/players/d995ed27/matchlogs/2017-2018/summary/Giacomo-Bonaventura-Match-Logs
73,Federico Bonazzoli,it,FW,Sampdoria,20,1997,1,0,28,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,/en/players/bf57eaab/matchlogs/2017-2018/summary/Federico-Bonazzoli-Match-Logs
74,Federico Bonazzoli,it,FW,SPAL,20,1997,11,2,176,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.0,0.27,0.5,0.27,/en/players/bf57eaab/matchlogs/2017-2018/summary/Federico-Bonazzoli-Match-Logs
75,Kevin Bonifazi,it,"DF,FW",Torino,21,1996,6,4,408,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,/en/players/fb77bfef/matchlogs/2017-2018/summary/Kevin-Bonifazi-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Leonardo Bonucci,it,DF,Milan,30,1987,35,35,"3,085",2,1,0,0,5,1,2,1,0.09,0.06,0.09,2.5,2.5,0.4,2.5,0.4,0.08,2.5,0.08,/en/players/52ec54d0/matchlogs/2017-2018/summary/Leonardo-Bonucci-Match-Logs
77,Fabio Borini,it,"FW,DF",Milan,26,1991,29,19,"1,610",2,3,0,0,5,0,2,3,0.28,0.11,0.28,2.2,2.2,1.0,2.2,1.0,0.18,2.2,0.18,/en/players/ef5b337e/matchlogs/2017-2018/summary/Fabio-Borini-Match-Logs
78,Marco Borriello,it,FW,SPAL,35,1982,15,9,773,1,0,0,0,6,0,1,0,0.12,0.12,0.12,1.2,1.2,0.8,1.2,0.8,0.23,1.2,0.23,/en/players/a889ffc7/matchlogs/2017-2018/summary/Marco-Borriello-Match-Logs
79,Lucas Boyé,ar,"FW,MF",Torino,21,1996,11,0,155,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.0,0.0,0.4,0.0,0.4,0.23,0.0,0.23,/en/players/d49f3e6b/matchlogs/2017-2018/summary/Lucas-Boye-Match-Logs
80,Enrico Brignola,it,"FW,MF",Benevento,18,1999,18,16,"1,347",3,2,0,0,5,0,3,2,0.33,0.20,0.33,2.7,2.7,1.6,2.7,1.6,0.29,2.7,0.29,/en/players/d0643f8f/matchlogs/2017-2018/summary/Enrico-Brignola-Match-Logs
81,Alberto Brignoli,it,GK,Benevento,25,1991,13,11,"1,126",1,0,0,0,2,0,1,0,0.08,0.08,0.08,0.1,0.1,0.0,0.1,0.0,0.01,0.1,0.01,/en/players/6989550f/matchlogs/2017-2018/summary/Alberto-Brignoli-Match-Logs
82,Petar Brlek,hr,MF,Genoa,23,1994,5,3,232,0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.1,0.1,0.2,0.1,0.2,0.12,0.1,0.12,/en/players/4590c6e7/matchlogs/2017-2018/summary/Petar-Brlek-Match-Logs
83,Marcelo Brozović,hr,MF,Inter,24,1992,31,21,"1,926",4,8,0,0,9,0,4,8,0.56,0.19,0.56,2.4,2.4,4.8,2.4,4.8,0.34,2.4,0.34,/en/players/33b8d077/matchlogs/2017-2018/summary/Marcelo-Brozovic-Match-Logs
84,Marcel Büchel,li,MF,Hellas Verona,26,1991,23,20,"1,696",0,0,0,0,9,0,0,0,0.00,0.00,0.00,0.2,0.2,0.3,0.2,0.3,0.03,0.2,0.03,/en/players/2edeb221/matchlogs/2017-2018/summary/Marcel-Buchel-Match-Logs
85,Ante Budimir,hr,FW,Crotone,26,1991,22,17,"1,588",6,0,0,0,8,0,6,0,0.34,0.34,0.34,5.8,5.8,1.7,5.8,1.7,0.42,5.8,0.42,/en/players/8f3565b3/matchlogs/2017-2018/summary/Ante-Budimir-Match-Logs
86,Gianluigi Buffon,it,GK,Juventus,39,1978,21,21,"1,862",0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00,/en/players/e40d028b/matchlogs/2017-2018/summary/Gianluigi-Buffon-Match-Logs
87,Alessandro Buongiorno,it,DF,Torino,18,1999,1,0,9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00,/en/players/4ae67f27/matchlogs/2017-2018/summary/Alessandro-Buongiorno-Match-Logs
88,Nicolás Burdisso,ar,DF,Torino,36,1981,24,23,"2,069",0,0,0,0,6,0,0,0,0.00,0.00,0.00,1.0,1.0,0.4,1.0,0.4,0.06,1.0,0.06,/en/players/9417f322/matchlogs/2017-2018/summary/Nicolas-Burdisso-Match-Logs
89,Leandro Cabrera,uy,DF,Crotone,26,1991,5,4,365,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.1,0.08,0.2,0.08,/en/players/69cbc8b6/matchlogs/2017-2018/summary/Leandro-Cabrera-Match-Logs
90,Fabrizio Cacciatore,it,DF,Chievo,30,1986,33,32,"2,871",2,2,0,0,5,1,2,2,0.13,0.06,0.13,1.1,1.1,3.6,1.1,3.6,0.15,1.1,0.15,/en/players/00b0bb87/matchlogs/2017-2018/summary/Fabrizio-Cacciatore-Match-Logs
91,Martín Cáceres,uy,DF,Hellas Verona,30,1987,14,14,"1,165",3,1,0,0,3,0,3,1,0.31,0.23,0.31,2.2,2.2,0.7,2.2,0.7,0.22,2.2,0.22,/en/players/e94d79e3/matchlogs/2017-2018/summary/Martin-Caceres-Match-Logs
92,Martín Cáceres,uy,DF,Lazio,30,1987,6,4,441,1,0,0,0,0,0,1,0,0.20,0.20,0.20,0.3,0.3,0.2,0.3,0.2,0.11,0.3,0.11,/en/players/e94d79e3/matchlogs/2017-2018/summary/Martin-Caceres-Match-Logs
93,Felipe Caicedo,ec,FW,Lazio,28,1988,22,4,717,3,2,0,0,1,0,3,2,0.63,0.38,0.63,3.9,3.9,0.8,3.9,0.8,0.59,3.9,0.59,/en/players/93b891d1/matchlogs/2017-2018/summary/Felipe-Caicedo-Match-Logs
94,Davide Calabria,it,DF,Milan,20,1996,21,18,"1,564",1,2,0,0,1,2,1,2,0.17,0.06,0.17,0.9,0.9,1.7,0.9,1.7,0.15,0.9,0.15,/en/players/2146785a/matchlogs/2017-2018/summary/Davide-Calabria-Match-Logs
95,Mattia Caldara,it,DF,Atalanta,23,1994,24,24,"2,160",3,1,0,1,5,0,3,1,0.17,0.12,0.17,3.5,2.7,0.1,3.5,0.1,0.15,2.7,0.12,/en/players/ac7e640b/matchlogs/2017-2018/summary/Mattia-Caldara-Match-Logs
96,Hakan Çalhanoğlu,tr,"FW,MF",Milan,23,1994,31,25,"2,172",6,6,0,0,6,2,6,6,0.50,0.25,0.50,5.8,5.8,8.1,5.8,8.1,0.58,5.8,0.58,/en/players/cd0fa27b/matchlogs/2017-2018/summary/Hakan-Calhanoglu-Match-Logs
97,Fabrizio Caligara,it,MF,Cagliari,17,2000,1,0,18,0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00,/en/players/22ca11f1/matchlogs/2017-2018/summary/Fabrizio-Caligara-Match-Logs
