Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Rolando Aarons,eng,"MF,FW",Hellas Verona,21,1995,11,6,517,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.2,0.2,0.2,0.2,0.2,0.08,0.2,0.08,/en/players/c5942695/matchlogs/2017-2018/summary/Rolando-Aarons-Match-Logs
2,Ignazio Abate,it,DF,Milan,30,1986,17,11,"1,057",1,0,0,0,3,0,1,0,0.09,0.09,0.09,0.2,0.2,0.6,0.2,0.6,0.07,0.2,0.07,/en/players/1c529186/matchlogs/2017-2018/summary/Ignazio-Abate-Match-Logs
3,Francesco Acerbi,it,DF,Sassuolo,29,1988,38,38,"3,420",0,0,0,0,4,0,0,0,0.00,0.00,0.00,1.6,1.6,0.8,1.6,0.8,0.06,1.6,0.06,/en/players/b96b595c/matchlogs/2017-2018/summary/Francesco-Acerbi-Match-Logs
4,Afriyie Acquah,gh,MF,Torino,25,1992,22,9,951,1,0,0,0,4,2,1,0,0.09,0.09,0.09,0.6,0.6,0.1,0.6,0.1,0.07,0.6,0.07,/en/players/d7403bd5/matchlogs/2017-2018/summary/Afriyie-Acquah-Match-Logs
5,Claud Adjapong,it,"DF,MF",Sassuolo,19,1998,16,14,"1,220",0,0,0,0,5,1,0,0,0.00,0.00,0.00,0.6,0.6,0.7,0.6,0.7,0.10,0.6,0.10,/en/players/ce5b170a/matchlogs/2017-2018/summary/Claud-Adjapong-Match-Logs
6,Ali Adnan Kadhim,iq,"DF,MF",Udinese,23,1993,23,18,"1,674",0,1,0,0,4,0,0,1,0.05,0.00,0.05,0.4,0.4,1.8,0.4,1.8,0.12,0.4,0.12,/en/players/06050480/matchlogs/2017-2018/summary/Ali-Adnan-Kadhim-Match-Logs
7,Arlind Ajeti,al,"DF,MF",Crotone,23,1993,21,15,"1,271",0,1,0,0,7,0,0,1,0.07,0.00,0.07,0.7,0.7,1.1,0.7,1.1,0.13,0.7,0.13,/en/players/f9714604/matchlogs/2017-2018/summary/Arlind-Ajeti-Match-Logs
8,Luis Alberto,es,"MF,FW",Lazio,24,1992,34,32,"2,669",11,14,1,2,5,0,11,14,0.84,0.34,0.81,7.9,6.4,10.2,7.9,10.2,0.61,6.4,0.56,/en/players/5294a83f/matchlogs/2017-2018/summary/Luis-Alberto-Match-Logs
9,Raúl Albiol,es,DF,Napoli,31,1985,31,30,"2,742",3,1,0,0,7,0,3,1,0.13,0.10,0.13,1.8,1.8,1.2,1.8,1.2,0.10,1.8,0.10,/en/players/4bd414c1/matchlogs/2017-2018/summary/Raul-Albiol-Match-Logs
10,Alisson,br,GK,Roma,24,1992,37,37,"3,330",0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00,/en/players/7a2e46a8/matchlogs/2017-2018/summary/Alisson-Match-Logs
11,Allan,br,MF,Napoli,26,1991,38,32,"2,850",4,5,0,0,2,0,4,5,0.28,0.13,0.28,4.3,4.3,4.3,4.3,4.3,0.27,4.3,0.27,/en/players/cc700722/matchlogs/2017-2018/summary/Allan-Match-Logs
12,Ricky Álvarez,ar,"MF,FW",Sampdoria,29,1988,12,2,267,1,1,0,0,0,0,1,1,0.67,0.34,0.67,0.4,0.4,0.3,0.4,0.3,0.25,0.4,0.25,/en/players/92a5ac34/matchlogs/2017-2018/summary/Ricky-Alvarez-Match-Logs
13,Joachim Andersen,dk,DF,Sampdoria,21,1996,7,6,546,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.0,0.02,0.1,0.02,/en/players/e34fc66d/matchlogs/2017-2018/summary/Joachim-Andersen-Match-Logs
14,Felipe Anderson,br,"MF,FW",Lazio,24,1993,21,9,"1,162",4,6,0,0,0,0,4,6,0.77,0.31,0.77,2.1,2.1,3.9,2.1,3.9,0.47,2.1,0.47,/en/players/9f1893b9/matchlogs/2017-2018/summary/Felipe-Anderson-Match-Logs
15,Nícolas Andrade,br,GK,Hellas Verona,29,1988,36,36,"3,240",0,0,0,0,2,1,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00,/en/players/326d09ef/matchlogs/2017-2018/summary/Nicolas-Andrade-Match-Logs
16,Marco Andreolli,it,DF,Cagliari,31,1986,23,20,"1,829",0,0,0,0,5,0,0,0,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.0,0.01,0.2,0.01,/en/players/13d820de/matchlogs/2017-2018/summary/Marco-Andreolli-Match-Logs
17,Gabriele Angella,it,DF,Udinese,28,1989,12,9,893,0,0,0,0,3,0,0,0,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.0,0.02,0.2,0.02,/en/players/0c971997/matchlogs/2017-2018/summary/Gabriele-Angella-Match-Logs
18,Cristian Ansaldi,ar,"DF,MF",Torino,30,1986,25,20,"1,872",1,3,0,0,6,2,1,3,0.19,0.05,0.19,0.7,0.7,3.2,0.7,3.2,0.19,0.7,0.19,/en/players/bbafc0c4/matchlogs/2017-2018/summary/Cristian-Ansaldi-Match-Logs
19,Luca Antei,it,DF,Benevento,25,1992,8,8,592,0,0,0,0,1,1,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00,/en/players/97c9bce3/matchlogs/2017-2018/summary/Luca-Antei-Match-Logs
20,Mirco Antenucci,it,FW,SPAL,32,1984,33,28,"2,571",11,4,5,5,1,0,11,4,0.53,0.21,0.35,8.7,4.9,2.1,8.7,2.1,0.38,4.9,0.24,/en/players/43a2e16c/matchlogs/2017-2018/summary/Mirco-Antenucci-Match-Logs
21,Luca Antonelli,it,"DF,MF",Milan,30,1987,6,1,144,0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,/en/players/40f0ed6c/matchlogs/2017-2018/summary/Luca-Antonelli-Match-Logs
22,Mirko Antonucci,it,FW,Roma,18,1999,2,0,31,0,1,0,0,0,0,0,1,2.90,0.00,2.90,0.5,0.5,0.2,0.5,0.2,2.37,0.5,2.37,/en/players/91976866/matchlogs/2017-2018/summary/Mirko-Antonucci-Match-Logs
23,Samuel Armenteros,se,FW,Benevento,27,1990,9,5,429,1,0,0,0,1,0,1,0,0.21,0.21,0.21,1.1,1.1,0.0,1.1,0.0,0.24,1.1,0.24,/en/players/9c8f641a/matchlogs/2017-2018/summary/Samuel-Armenteros-Match-Logs
24,Kwadwo Asamoah,gh,DF,Juventus,28,1988,19,18,"1,568",0,0,0,0,4,0,0,0,0.00,0.00,0.00,0.2,0.2,1.1,0.2,1.1,0.08,0.2,0.08,/en/players/089550f5/matchlogs/2017-2018/summary/Kwadwo-Asamoah-Match-Logs
25,Davide Astori,it,DF,Fiorentina,30,1987,25,25,"2,250",1,1,0,0,5,0,1,1,0.08,0.04,0.08,0.8,0.8,0.2,0.8,0.2,0.04,0.8,0.04,/en/players/1522dab2/matchlogs/2017-2018/summary/Davide-Astori-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Felipe Avenatti,uy,"FW,MF",Bologna,24,1993,11,4,468,0,0,0,0,1,0,0,0,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.1,0.05,0.1,0.05,/en/players/23f9e9d3/matchlogs/2017-2018/summary/Felipe-Avenatti-Match-Logs
27,Khouma Babacar,sn,FW,Sassuolo,24,1993,13,8,750,2,1,1,1,0,0,2,1,0.36,0.12,0.24,3.3,2.6,1.0,3.3,1.0,0.52,2.6,0.43,/en/players/422ec08a/matchlogs/2017-2018/summary/Khouma-Babacar-Match-Logs
28,Khouma Babacar,sn,"FW,MF",Fiorentina,24,1993,16,1,448,4,1,2,2,1,0,4,1,1.00,0.40,0.60,4.7,3.2,0.4,4.7,0.4,1.06,3.2,0.76,/en/players/422ec08a/matchlogs/2017-2018/summary/Khouma-Babacar-Match-Logs
29,Milan Badelj,hr,MF,Fiorentina,28,1989,27,27,"2,351",2,1,0,0,9,2,2,1,0.11,0.08,0.11,1.9,1.9,2.4,1.9,2.4,0.17,1.9,0.17,/en/players/e8c930bb/matchlogs/2017-2018/summary/Milan-Badelj-Match-Logs
30,Riad Bajić,ba,"FW,MF",Udinese,23,1994,5,0,80,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.2,0.2,0.2,0.2,0.2,0.46,0.2,0.46,/en/players/49d399d5/matchlogs/2017-2018/summary/Riad-Bajic-Match-Logs
31,Andrija Balić,hr,MF,Udinese,19,1997,21,11,"1,083",0,1,0,0,2,0,0,1,0.08,0.00,0.08,0.7,0.7,0.7,0.7,0.7,0.11,0.7,0.11,/en/players/9be4ee80/matchlogs/2017-2018/summary/Andrija-Balic-Match-Logs
