Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Rolando Aarons,eng,"MF,FW",Hellas Verona,21,1995,5.7,12,9,4,5,3,12,5,20.0,4,117,32,27.4,4,5,3,4,0,0,4,1,13,0,0,/en/players/c5942695/matchlogs/2017-2018/defense/Rolando-Aarons-Match-Logs
2,Ignazio Abate,it,DF,Milan,30,1986,11.7,21,15,12,8,1,21,18,61.1,7,141,46,32.6,12,8,1,29,2,0,27,9,30,17,0,/en/players/1c529186/matchlogs/2017-2018/defense/Ignazio-Abate-Match-Logs
3,Francesco Acerbi,it,DF,Sassuolo,29,1988,38.0,55,34,33,18,4,55,33,51.5,16,328,112,34.1,33,18,4,73,26,0,47,91,146,225,2,/en/players/b96b595c/matchlogs/2017-2018/defense/Francesco-Acerbi-Match-Logs
4,Afriyie Acquah,gh,MF,Torino,25,1992,10.6,11,7,2,7,2,11,12,8.3,11,161,32,19.9,2,7,2,10,1,0,9,19,30,7,1,/en/players/d7403bd5/matchlogs/2017-2018/defense/Afriyie-Acquah-Match-Logs
5,Claud Adjapong,it,"DF,MF",Sassuolo,19,1998,13.6,29,19,16,8,5,29,10,60.0,4,278,79,28.4,16,8,5,31,3,0,28,25,54,30,0,/en/players/ce5b170a/matchlogs/2017-2018/defense/Claud-Adjapong-Match-Logs
6,Ali Adnan Kadhim,iq,"DF,MF",Udinese,23,1993,18.6,57,23,38,16,3,57,54,53.7,25,259,72,27.8,38,16,3,41,7,0,34,42,99,72,0,/en/players/06050480/matchlogs/2017-2018/defense/Ali-Adnan-Kadhim-Match-Logs
7,Arlind Ajeti,al,"DF,MF",Crotone,23,1993,14.1,41,24,22,17,2,41,28,50.0,14,174,55,31.6,22,17,2,34,17,0,17,32,73,86,2,/en/players/f9714604/matchlogs/2017-2018/defense/Arlind-Ajeti-Match-Logs
8,Luis Alberto,es,"MF,FW",Lazio,24,1992,29.7,31,28,5,19,7,31,38,13.2,33,525,156,29.7,5,19,7,38,4,0,34,18,49,3,0,/en/players/5294a83f/matchlogs/2017-2018/defense/Luis-Alberto-Match-Logs
9,Raúl Albiol,es,DF,Napoli,31,1985,30.5,43,25,21,22,0,43,28,60.7,11,164,61,37.2,21,22,0,32,15,1,17,36,79,107,1,/en/players/4bd414c1/matchlogs/2017-2018/defense/Raul-Albiol-Match-Logs
10,Alisson,br,GK,Roma,24,1992,37.0,0,0,0,0,0,0,1,0.0,1,3,0,0.0,0,0,0,0,0,0,0,2,2,1,2,/en/players/7a2e46a8/matchlogs/2017-2018/defense/Alisson-Match-Logs
11,Allan,br,MF,Napoli,26,1991,31.7,111,80,23,66,22,111,103,26.2,76,925,292,31.6,23,66,22,55,2,0,53,31,142,14,0,/en/players/cc700722/matchlogs/2017-2018/defense/Allan-Match-Logs
12,Ricky Álvarez,ar,"MF,FW",Sampdoria,29,1988,3.0,6,3,3,2,1,6,9,33.3,6,84,18,21.4,3,2,1,5,0,0,5,3,9,3,0,/en/players/92a5ac34/matchlogs/2017-2018/defense/Ricky-Alvarez-Match-Logs
