Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Rolando Aarons,eng,"MF,FW",Hellas Verona,21,1995,5.7,115,106,9,4,0,32,4,11,0,0,0,0,76,19,20,79,26,2,2,0,81,0,0,1,7,/en/players/c5942695/matchlogs/2017-2018/passing_types/Rolando-Aarons-Match-Logs
2,Ignazio Abate,it,DF,Milan,30,1986,11.7,774,659,115,9,0,122,16,32,2,0,0,1,466,119,189,65,584,16,104,0,625,4,0,9,26,/en/players/1c529186/matchlogs/2017-2018/passing_types/Ignazio-Abate-Match-Logs
3,Francesco Acerbi,it,DF,Sassuolo,29,1988,38.0,1644,1547,97,72,1,235,74,11,0,0,0,0,1007,234,403,1151,271,131,25,3,1360,3,0,20,17,/en/players/b96b595c/matchlogs/2017-2018/passing_types/Francesco-Acerbi-Match-Logs
4,Afriyie Acquah,gh,MF,Torino,25,1992,10.6,480,475,5,4,0,88,5,12,0,0,0,0,373,45,62,25,423,19,0,1,403,2,0,6,10,/en/players/d7403bd5/matchlogs/2017-2018/passing_types/Afriyie-Acquah-Match-Logs
5,Claud Adjapong,it,"DF,MF",Sassuolo,19,1998,13.6,514,452,62,1,0,86,2,30,1,0,0,0,286,78,150,81,323,41,60,2,360,2,0,9,27,/en/players/ce5b170a/matchlogs/2017-2018/passing_types/Claud-Adjapong-Match-Logs
6,Ali Adnan Kadhim,iq,"DF,MF",Udinese,23,1993,18.6,902,692,210,17,0,124,27,86,24,6,3,1,373,161,368,473,153,63,169,5,588,0,3,12,38,/en/players/06050480/matchlogs/2017-2018/passing_types/Ali-Adnan-Kadhim-Match-Logs
7,Arlind Ajeti,al,"DF,MF",Crotone,23,1993,14.1,365,355,10,10,1,52,6,2,0,0,0,0,218,50,97,40,280,30,0,3,286,0,0,5,7,/en/players/f9714604/matchlogs/2017-2018/passing_types/Arlind-Ajeti-Match-Logs
8,Luis Alberto,es,"MF,FW",Lazio,24,1992,29.7,1824,1568,256,62,15,332,93,220,162,34,25,6,1208,214,402,109,1643,25,23,16,1339,21,25,40,62,/en/players/5294a83f/matchlogs/2017-2018/passing_types/Luis-Alberto-Match-Logs
9,Raúl Albiol,es,DF,Napoli,31,1985,30.5,2510,2474,36,36,2,271,161,4,0,0,0,0,1716,394,400,309,2001,138,0,10,2223,4,0,23,19,/en/players/4bd414c1/matchlogs/2017-2018/passing_types/Raul-Albiol-Match-Logs
10,Alisson,br,GK,Roma,24,1992,37.0,1175,935,240,58,0,124,54,0,0,0,0,0,619,121,435,89,847,5,1,198,959,2,0,4,0,/en/players/7a2e46a8/matchlogs/2017-2018/passing_types/Alisson-Match-Logs
11,Allan,br,MF,Napoli,26,1991,31.7,1821,1795,26,7,5,311,25,30,4,1,0,2,1373,236,212,167,1577,49,15,9,1558,6,0,39,37,/en/players/cc700722/matchlogs/2017-2018/passing_types/Allan-Match-Logs
12,Ricky Álvarez,ar,"MF,FW",Sampdoria,29,1988,3.0,174,158,16,3,0,27,4,21,10,4,2,2,111,26,37,144,16,7,2,3,131,1,2,6,6,/en/players/92a5ac34/matchlogs/2017-2018/passing_types/Ricky-Alvarez-Match-Logs
13,Joachim Andersen,dk,DF,Sampdoria,21,1996,6.1,420,407,13,9,0,38,19,0,0,0,0,0,301,45,74,79,309,18,4,1,369,0,0,2,7,/en/players/e34fc66d/matchlogs/2017-2018/passing_types/Joachim-Andersen-Match-Logs
14,Felipe Anderson,br,"MF,FW",Lazio,24,1993,12.9,709,623,86,14,1,98,27,74,35,2,14,3,444,109,156,69,588,16,31,2,504,4,14,18,44,/en/players/9f1893b9/matchlogs/2017-2018/passing_types/Felipe-Anderson-Match-Logs
15,Nícolas Andrade,br,GK,Hellas Verona,29,1988,36.0,1357,884,473,111,0,121,77,0,0,0,0,0,332,110,915,121,937,1,0,224,796,6,0,6,7,/en/players/326d09ef/matchlogs/2017-2018/passing_types/Nicolas-Andrade-Match-Logs
16,Marco Andreolli,it,DF,Cagliari,31,1986,20.3,847,800,47,33,0,108,32,4,0,0,0,0,557,93,197,179,601,50,2,1,681,3,0,7,7,/en/players/13d820de/matchlogs/2017-2018/passing_types/Marco-Andreolli-Match-Logs
17,Gabriele Angella,it,DF,Udinese,28,1989,9.9,494,468,26,16,0,48,18,2,0,0,0,0,300,62,132,37,383,44,10,5,408,1,0,1,4,/en/players/0c971997/matchlogs/2017-2018/passing_types/Gabriele-Angella-Match-Logs
18,Cristian Ansaldi,ar,"DF,MF",Torino,30,1986,20.8,972,802,170,12,0,141,76,77,3,0,0,1,454,156,362,324,456,26,155,7,695,3,0,14,31,/en/players/bbafc0c4/matchlogs/2017-2018/passing_types/Cristian-Ansaldi-Match-Logs
19,Luca Antei,it,DF,Benevento,25,1992,6.6,371,348,23,19,0,34,8,1,0,0,0,0,280,29,62,29,322,8,4,0,315,0,0,5,3,/en/players/97c9bce3/matchlogs/2017-2018/passing_types/Luca-Antei-Match-Logs
20,Mirco Antenucci,it,FW,SPAL,32,1984,28.6,647,614,33,3,1,184,17,37,0,0,0,0,429,114,104,98,464,47,2,18,475,6,0,16,25,/en/players/43a2e16c/matchlogs/2017-2018/passing_types/Mirco-Antenucci-Match-Logs
21,Luca Antonelli,it,"DF,MF",Milan,30,1987,1.6,95,89,6,0,0,8,0,0,0,0,0,0,67,12,16,64,19,4,6,1,79,0,0,3,0,/en/players/40f0ed6c/matchlogs/2017-2018/passing_types/Luca-Antonelli-Match-Logs
22,Mirko Antonucci,it,FW,Roma,18,1999,0.3,15,14,1,0,0,1,1,5,0,0,0,0,4,7,4,2,10,2,1,0,11,0,0,0,1,/en/players/91976866/matchlogs/2017-2018/passing_types/Mirko-Antonucci-Match-Logs
23,Samuel Armenteros,se,FW,Benevento,27,1990,4.8,84,68,16,0,0,16,0,1,0,0,0,0,60,10,14,61,12,6,0,0,66,0,0,1,1,/en/players/9c8f641a/matchlogs/2017-2018/passing_types/Samuel-Armenteros-Match-Logs
24,Kwadwo Asamoah,gh,DF,Juventus,28,1988,17.4,1276,1159,117,10,0,177,30,31,0,0,0,0,928,192,156,1064,69,24,107,4,1118,4,0,16,25,/en/players/089550f5/matchlogs/2017-2018/passing_types/Kwadwo-Asamoah-Match-Logs
25,Davide Astori,it,DF,Fiorentina,30,1987,25.0,1507,1448,59,55,0,156,47,17,0,0,0,0,1074,179,254,1239,176,61,4,2,1306,6,0,12,17,/en/players/1522dab2/matchlogs/2017-2018/passing_types/Davide-Astori-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Felipe Avenatti,uy,"FW,MF",Bologna,24,1993,5.2,140,140,0,0,0,35,3,6,0,0,0,0,62,13,65,91,2,25,0,2,80,1,0,2,4,/en/players/23f9e9d3/matchlogs/2017-2018/passing_types/Felipe-Avenatti-Match-Logs
27,Khouma Babacar,sn,FW,Sassuolo,24,1993,8.3,140,133,7,0,0,41,2,2,0,0,0,0,90,31,19,20,96,8,1,10,114,1,0,1,2,/en/players/422ec08a/matchlogs/2017-2018/passing_types/Khouma-Babacar-Match-Logs
28,Khouma Babacar,sn,"FW,MF",Fiorentina,24,1993,5.0,101,96,5,2,0,18,1,5,0,0,0,0,66,25,10,7,85,3,1,2,76,1,0,1,4,/en/players/422ec08a/matchlogs/2017-2018/passing_types/Khouma-Babacar-Match-Logs
29,Milan Badelj,hr,MF,Fiorentina,28,1989,26.1,1773,1702,71,43,2,301,65,16,0,0,0,0,1140,310,323,286,1369,82,5,7,1470,5,0,30,28,/en/players/e8c930bb/matchlogs/2017-2018/passing_types/Milan-Badelj-Match-Logs
30,Riad Bajić,ba,"FW,MF",Udinese,23,1994,0.9,22,21,1,0,1,6,0,0,0,0,0,0,11,9,2,11,5,2,0,2,16,0,0,1,2,/en/players/49d399d5/matchlogs/2017-2018/passing_types/Riad-Bajic-Match-Logs
31,Andrija Balić,hr,MF,Udinese,19,1997,12.0,555,515,40,21,0,92,30,37,17,4,1,0,381,75,99,37,487,18,2,5,444,2,1,13,16,/en/players/9be4ee80/matchlogs/2017-2018/passing_types/Andrija-Balic-Match-Logs
32,Mattia Bani,it,DF,Chievo,23,1993,14.6,641,616,25,12,0,68,32,5,0,0,0,0,421,65,155,50,525,33,13,4,516,1,0,8,6,/en/players/0821331c/matchlogs/2017-2018/passing_types/Mattia-Bani-Match-Logs
33,Antonín Barák,cz,MF,Udinese,22,1994,30.1,1158,1147,11,3,2,235,27,34,5,3,1,0,816,177,165,923,155,44,3,8,912,4,1,29,35,/en/players/01efac19/matchlogs/2017-2018/passing_types/Antonin-Barak-Match-Logs
34,Andrea Barberis,it,MF,Crotone,23,1993,33.7,1130,1005,125,47,0,195,39,91,57,16,8,5,601,220,309,152,842,84,7,8,807,6,8,17,40,/en/players/32ebfe1e/matchlogs/2017-2018/passing_types/Andrea-Barberis-Match-Logs
35,Nicolò Barella,it,MF,Cagliari,20,1997,32.8,1631,1516,115,49,2,269,82,106,42,8,16,3,940,277,414,153,1376,61,10,11,1225,8,16,26,56,/en/players/6928979a/matchlogs/2017-2018/passing_types/Nicolo-Barella-Match-Logs
36,Antonio Barreca,it,"DF,MF",Torino,22,1995,5.2,281,204,77,5,0,39,3,12,4,0,1,0,141,80,60,173,13,18,68,2,230,0,1,3,9,/en/players/6a189491/matchlogs/2017-2018/passing_types/Antonio-Barreca-Match-Logs
