Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
11,Allan,br,MF,Napoli,26,1991,31.7,1558,1821,85.6,24416,6223,1558,1821,85.6,1558,1821,85.6,1558,1821,85.6,5,4.3,+0.7,32,182,51,2,173,/en/players/cc700722/matchlogs/2017-2018/passing/Allan-Match-Logs
12,Ricky Álvarez,ar,"MF,FW",Sampdoria,29,1988,3.0,131,174,75.3,2034,552,131,174,75.3,131,174,75.3,131,174,75.3,1,0.3,+0.7,5,10,6,3,15,/en/players/92a5ac34/matchlogs/2017-2018/passing/Ricky-Alvarez-Match-Logs
13,Joachim Andersen,dk,DF,Sampdoria,21,1996,6.1,369,420,87.9,7875,2081,369,420,87.9,369,420,87.9,369,420,87.9,0,0.0,0.0,1,19,1,0,26,/en/players/e34fc66d/matchlogs/2017-2018/passing/Joachim-Andersen-Match-Logs
14,Felipe Anderson,br,"MF,FW",Lazio,24,1993,12.9,504,709,71.1,8701,2919,504,709,71.1,504,709,71.1,504,709,71.1,6,3.9,+2.1,36,39,43,7,106,/en/players/9f1893b9/matchlogs/2017-2018/passing/Felipe-Anderson-Match-Logs
15,Nícolas Andrade,br,GK,Hellas Verona,29,1988,36.0,796,1357,58.7,32125,21016,796,1357,58.7,796,1357,58.7,796,1357,58.7,0,0.0,0.0,0,9,0,0,1,/en/players/326d09ef/matchlogs/2017-2018/passing/Nicolas-Andrade-Match-Logs
16,Marco Andreolli,it,DF,Cagliari,31,1986,20.3,681,847,80.4,15703,5003,681,847,80.4,681,847,80.4,681,847,80.4,0,0.0,0.0,1,38,4,0,39,/en/players/13d820de/matchlogs/2017-2018/passing/Marco-Andreolli-Match-Logs
17,Gabriele Angella,it,DF,Udinese,28,1989,9.9,408,494,82.6,9984,3434,408,494,82.6,408,494,82.6,408,494,82.6,0,0.0,0.0,2,24,2,0,38,/en/players/0c971997/matchlogs/2017-2018/passing/Gabriele-Angella-Match-Logs
18,Cristian Ansaldi,ar,"DF,MF",Torino,30,1986,20.8,695,972,71.5,14251,5247,695,972,71.5,695,972,71.5,695,972,71.5,3,3.2,-0.2,19,51,28,15,120,/en/players/bbafc0c4/matchlogs/2017-2018/passing/Cristian-Ansaldi-Match-Logs
19,Luca Antei,it,DF,Benevento,25,1992,6.6,315,371,84.9,6951,2289,315,371,84.9,315,371,84.9,315,371,84.9,0,0.0,0.0,0,20,0,0,23,/en/players/97c9bce3/matchlogs/2017-2018/passing/Luca-Antei-Match-Logs
20,Mirco Antenucci,it,FW,SPAL,32,1984,28.6,475,647,73.4,6950,1042,475,647,73.4,475,647,73.4,475,647,73.4,4,2.1,+1.9,30,26,14,6,35,/en/players/43a2e16c/matchlogs/2017-2018/passing/Mirco-Antenucci-Match-Logs
21,Luca Antonelli,it,"DF,MF",Milan,30,1987,1.6,79,95,83.2,1165,412,79,95,83.2,79,95,83.2,79,95,83.2,0,0.0,0.0,1,7,1,0,8,/en/players/40f0ed6c/matchlogs/2017-2018/passing/Luca-Antonelli-Match-Logs
22,Mirko Antonucci,it,FW,Roma,18,1999,0.3,11,15,73.3,192,41,11,15,73.3,11,15,73.3,11,15,73.3,1,0.2,+0.8,2,0,1,1,2,/en/players/91976866/matchlogs/2017-2018/passing/Mirko-Antonucci-Match-Logs
23,Samuel Armenteros,se,FW,Benevento,27,1990,4.8,66,84,78.6,912,128,66,84,78.6,66,84,78.6,66,84,78.6,0,0.0,0.0,1,2,1,0,4,/en/players/9c8f641a/matchlogs/2017-2018/passing/Samuel-Armenteros-Match-Logs
24,Kwadwo Asamoah,gh,DF,Juventus,28,1988,17.4,1118,1276,87.6,20951,5838,1118,1276,87.6,1118,1276,87.6,1118,1276,87.6,0,1.1,-1.1,14,95,15,8,106,/en/players/089550f5/matchlogs/2017-2018/passing/Kwadwo-Asamoah-Match-Logs
25,Davide Astori,it,DF,Fiorentina,30,1987,25.0,1306,1507,86.7,27670,8553,1306,1507,86.7,1306,1507,86.7,1306,1507,86.7,1,0.2,+0.8,6,86,7,0,80,/en/players/1522dab2/matchlogs/2017-2018/passing/Davide-Astori-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Felipe Avenatti,uy,"FW,MF",Bologna,24,1993,5.2,80,140,57.1,1162,202,80,140,57.1,80,140,57.1,80,140,57.1,0,0.1,-0.1,3,5,5,0,8,/en/players/23f9e9d3/matchlogs/2017-2018/passing/Felipe-Avenatti-Match-Logs
27,Khouma Babacar,sn,FW,Sassuolo,24,1993,8.3,114,140,81.4,1892,251,114,140,81.4,114,140,81.4,114,140,81.4,1,1.0,0.0,5,6,1,0,10,/en/players/422ec08a/matchlogs/2017-2018/passing/Khouma-Babacar-Match-Logs
28,Khouma Babacar,sn,"FW,MF",Fiorentina,24,1993,5.0,76,101,75.2,1227,222,76,101,75.2,76,101,75.2,76,101,75.2,1,0.4,+0.6,7,6,3,0,8,/en/players/422ec08a/matchlogs/2017-2018/passing/Khouma-Babacar-Match-Logs
29,Milan Badelj,hr,MF,Fiorentina,28,1989,26.1,1470,1773,82.9,29350,8610,1470,1773,82.9,1470,1773,82.9,1470,1773,82.9,1,2.4,-1.4,44,170,38,7,208,/en/players/e8c930bb/matchlogs/2017-2018/passing/Milan-Badelj-Match-Logs
30,Riad Bajić,ba,"FW,MF",Udinese,23,1994,0.9,16,22,72.7,256,93,16,22,72.7,16,22,72.7,16,22,72.7,0,0.2,-0.2,2,2,1,0,3,/en/players/49d399d5/matchlogs/2017-2018/passing/Riad-Bajic-Match-Logs
31,Andrija Balić,hr,MF,Udinese,19,1997,12.0,444,555,80.0,8763,1936,444,555,80.0,444,555,80.0,444,555,80.0,1,0.7,+0.3,16,41,7,1,53,/en/players/9be4ee80/matchlogs/2017-2018/passing/Andrija-Balic-Match-Logs
32,Mattia Bani,it,DF,Chievo,23,1993,14.6,516,641,80.5,12296,3629,516,641,80.5,516,641,80.5,516,641,80.5,0,0.0,0.0,0,32,2,0,32,/en/players/0821331c/matchlogs/2017-2018/passing/Mattia-Bani-Match-Logs
33,Antonín Barák,cz,MF,Udinese,22,1994,30.1,912,1158,78.8,15784,4691,912,1158,78.8,912,1158,78.8,912,1158,78.8,3,3.0,0.0,28,96,30,5,136,/en/players/01efac19/matchlogs/2017-2018/passing/Antonin-Barak-Match-Logs
34,Andrea Barberis,it,MF,Crotone,23,1993,33.7,807,1130,71.4,14272,4520,807,1130,71.4,807,1130,71.4,807,1130,71.4,1,2.1,-1.1,30,68,12,6,110,/en/players/32ebfe1e/matchlogs/2017-2018/passing/Andrea-Barberis-Match-Logs
35,Nicolò Barella,it,MF,Cagliari,20,1997,32.8,1225,1631,75.1,23422,6555,1225,1631,75.1,1225,1631,75.1,1225,1631,75.1,2,2.2,-0.2,31,145,37,7,172,/en/players/6928979a/matchlogs/2017-2018/passing/Nicolo-Barella-Match-Logs
36,Antonio Barreca,it,"DF,MF",Torino,22,1995,5.2,230,281,81.9,4060,1851,230,281,81.9,230,281,81.9,230,281,81.9,0,0.4,-0.4,3,10,3,1,38,/en/players/6a189491/matchlogs/2017-2018/passing/Antonio-Barreca-Match-Logs
37,Édgar Barreto,py,MF,Sampdoria,33,1984,21.8,861,1083,79.5,13794,4584,861,1083,79.5,861,1083,79.5,861,1083,79.5,2,2.1,-0.1,19,76,21,5,104,/en/players/43a1bea5/matchlogs/2017-2018/passing/Edgar-Barreto-Match-Logs
38,Musa Barrow,gm,"FW,MF",Atalanta,18,1998,4.9,97,126,77.0,1658,343,97,126,77.0,97,126,77.0,97,126,77.0,1,1.1,-0.1,10,8,5,1,17,/en/players/e5bf73f3/matchlogs/2017-2018/passing/Musa-Barrow-Match-Logs
39,Andrea Barzagli,it,DF,Juventus,36,1981,16.1,1164,1264,92.1,25441,7625,1164,1264,92.1,1164,1264,92.1,1164,1264,92.1,1,0.4,+0.6,4,89,4,2,75,/en/players/7c0000fd/matchlogs/2017-2018/passing/Andrea-Barzagli-Match-Logs
40,Daniele Baselli,it,MF,Torino,25,1992,28.0,1091,1335,81.7,20260,4906,1091,1335,81.7,1091,1335,81.7,1091,1335,81.7,0,1.9,-1.9,27,92,25,3,123,/en/players/ea06dd97/matchlogs/2017-2018/passing/Daniele-Baselli-Match-Logs
41,Dušan Basta,rs,"DF,MF",Lazio,32,1984,8.6,291,394,73.9,5081,1914,291,394,73.9,291,394,73.9,291,394,73.9,1,0.4,+0.6,7,17,14,7,38,/en/players/3b57f7f8/matchlogs/2017-2018/passing/Dusan-Basta-Match-Logs
42,Gil Bastião Dias,pt,"FW,MF",Fiorentina,20,1996,13.2,360,471,76.4,5575,1391,360,471,76.4,360,471,76.4,360,471,76.4,3,1.1,+1.9,25,21,18,2,43,/en/players/e61bdd69/matchlogs/2017-2018/passing/Gil-Bastiao-Dias-Match-Logs
43,Samuel Bastien,be,"MF,FW",Chievo,20,1996,15.1,403,487,82.8,7184,1405,403,487,82.8,403,487,82.8,403,487,82.8,0,0.3,-0.3,7,26,8,2,30,/en/players/ec30b9c8/matchlogs/2017-2018/passing/Samuel-Bastien-Match-Logs
44,Alessandro Bastoni,it,DF,Atalanta,18,1999,1.0,72,84,85.7,1302,384,72,84,85.7,72,84,85.7,72,84,85.7,0,0.1,-0.1,2,6,0,0,10,/en/players/75b86fb3/matchlogs/2017-2018/passing/Alessandro-Bastoni-Match-Logs
45,Bastos,ao,DF,Lazio,26,1991,15.6,786,866,90.8,15922,4527,786,866,90.8,786,866,90.8,786,866,90.8,0,0.1,-0.1,3,45,2,1,36,/en/players/c01c66d9/matchlogs/2017-2018/passing/Bastos-Match-Logs
46,Enrico Bearzotti,it,"DF,FW",Hellas Verona,20,1996,4.6,128,174,73.6,2415,1037,128,174,73.6,128,174,73.6,128,174,73.6,0,0.1,-0.1,1,9,1,0,19,/en/players/c67836b8/matchlogs/2017-2018/passing/Enrico-Bearzotti-Match-Logs
47,Valon Behrami,ch,MF,Udinese,32,1985,15.5,419,513,81.7,6747,1726,419,513,81.7,419,513,81.7,419,513,81.7,0,0.2,-0.2,9,23,1,0,33,/en/players/d3d758d8/matchlogs/2017-2018/passing/Valon-Behrami-Match-Logs
48,Vid Belec,si,GK,Sampdoria,27,1990,2.0,70,86,81.4,1540,927,70,86,81.4,70,86,81.4,70,86,81.4,0,0.0,0.0,0,2,0,0,0,/en/players/4f8ce0e1/matchlogs/2017-2018/passing/Vid-Belec-Match-Logs
49,Vid Belec,si,GK,Benevento,27,1990,12.4,235,361,65.1,7723,4686,235,361,65.1,235,361,65.1,235,361,65.1,0,0.0,0.0,1,3,0,0,0,/en/players/4f8ce0e1/matchlogs/2017-2018/passing/Vid-Belec-Match-Logs
50,Andrea Belotti,it,FW,Torino,23,1993,29.8,441,610,72.3,6518,1009,441,610,72.3,441,610,72.3,441,610,72.3,5,4.6,+0.4,28,27,12,1,28,/en/players/d705ba44/matchlogs/2017-2018/passing/Andrea-Belotti-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Ahmad Benali,ly,MF,Crotone,25,1992,9.0,288,379,76.0,4934,1696,288,379,76.0,288,379,76.0,288,379,76.0,1,0.2,+0.8,5,31,10,0,45,/en/players/a128b07e/matchlogs/2017-2018/passing/Ahmad-Benali-Match-Logs
52,Marco Benassi,it,"MF,FW",Fiorentina,22,1994,30.9,994,1322,75.2,16901,5625,994,1322,75.2,994,1322,75.2,994,1322,75.2,3,3.2,-0.2,38,112,36,10,165,/en/players/0000acda/matchlogs/2017-2018/passing/Marco-Benassi-Match-Logs
53,Medhi Benatia,ma,DF,Juventus,30,1987,19.5,1251,1375,91.0,27239,7915,1251,1375,91.0,1251,1375,91.0,1251,1375,91.0,0,0.0,0.0,0,60,3,0,52,/en/players/3b15ef2d/matchlogs/2017-2018/passing/Medhi-Benatia-Match-Logs
54,Rodrigo Bentancur,uy,MF,Juventus,20,1997,6.5,474,532,89.1,8866,1923,474,532,89.1,474,532,89.1,474,532,89.1,0,0.5,-0.5,10,42,4,0,38,/en/players/3b8674e6/matchlogs/2017-2018/passing/Rodrigo-Bentancur-Match-Logs
55,Domenico Berardi,it,FW,Sassuolo,22,1994,25.5,647,979,66.1,11505,3847,647,979,66.1,647,979,66.1,647,979,66.1,2,5.2,-3.2,56,49,38,12,138,/en/players/53a0e358/matchlogs/2017-2018/passing/Domenico-Berardi-Match-Logs
56,Álex Berenguer,es,FW,Torino,22,1995,11.6,336,467,71.9,4935,1595,336,467,71.9,336,467,71.9,336,467,71.9,3,1.7,+1.3,21,25,15,2,51,/en/players/dc1c2fce/matchlogs/2017-2018/passing/Alex-Berenguer-Match-Logs
57,Bartosz Bereszyński,pl,DF,Sampdoria,25,1992,27.6,1265,1592,79.5,21303,8452,1265,1592,79.5,1265,1592,79.5,1265,1592,79.5,1,0.7,+0.3,12,90,17,7,213,/en/players/61b3978f/matchlogs/2017-2018/passing/Bartosz-Bereszynski-Match-Logs
58,Etrit Berisha,al,GK,Atalanta,28,1989,31.0,543,801,67.8,19253,12822,543,801,67.8,543,801,67.8,543,801,67.8,0,0.0,0.0,0,6,0,0,2,/en/players/ee833569/matchlogs/2017-2018/passing/Etrit-Berisha-Match-Logs
59,Federico Bernardeschi,it,"FW,MF",Juventus,23,1994,9.4,307,380,80.8,6024,1328,307,380,80.8,307,380,80.8,307,380,80.8,3,2.0,+1.0,13,18,14,2,47,/en/players/ee93c1a9/matchlogs/2017-2018/passing/Federico-Bernardeschi-Match-Logs
60,Andrea Bertolacci,it,MF,Genoa,26,1991,32.2,1310,1641,79.8,25012,7294,1310,1641,79.8,1310,1641,79.8,1310,1641,79.8,0,2.0,-2.0,26,161,35,1,194,/en/players/c75b6a02/matchlogs/2017-2018/passing/Andrea-Bertolacci-Match-Logs
61,Daniel Bessa,it,"MF,FW",Hellas Verona,24,1993,15.4,556,687,80.9,10261,2178,556,687,80.9,556,687,80.9,556,687,80.9,1,1.2,-0.2,20,46,10,3,54,/en/players/88895312/matchlogs/2017-2018/passing/Daniel-Bessa-Match-Logs
62,Daniel Bessa,it,MF,Genoa,24,1993,4.9,170,213,79.8,2862,719,170,213,79.8,170,213,79.8,170,213,79.8,0,0.8,-0.8,6,13,4,0,24,/en/players/88895312/matchlogs/2017-2018/passing/Daniel-Bessa-Match-Logs
63,Matteo Bianchetti,it,DF,Hellas Verona,24,1993,1.4,47,67,70.1,785,423,47,67,70.1,47,67,70.1,47,67,70.1,0,0.0,0.0,0,2,1,0,10,/en/players/b3a20f18/matchlogs/2017-2018/passing/Matteo-Bianchetti-Match-Logs
64,Lucas Biglia,ar,MF,Milan,31,1986,22.7,1469,1634,89.9,29578,6915,1469,1634,89.9,1469,1634,89.9,1469,1634,89.9,0,0.7,-0.7,27,138,14,1,159,/en/players/5710a281/matchlogs/2017-2018/passing/Lucas-Biglia-Match-Logs
65,Jean-Claude Billong,fr,DF,Benevento,23,1993,3.3,141,160,88.1,2891,787,141,160,88.1,141,160,88.1,141,160,88.1,0,0.0,0.0,0,4,0,0,6,/en/players/a3e1d20d/matchlogs/2017-2018/passing/Jean-Claude-Billong-Match-Logs
66,Davide Biondini,it,"MF,FW",Sassuolo,34,1983,2.3,93,109,85.3,1689,414,93,109,85.3,93,109,85.3,93,109,85.3,0,0.2,-0.2,3,9,1,1,10,/en/players/b4c3070a/matchlogs/2017-2018/passing/Davide-Biondini-Match-Logs
67,Cristiano Biraghi,it,DF,Fiorentina,24,1992,33.1,1246,1762,70.7,24461,9531,1246,1762,70.7,1246,1762,70.7,1246,1762,70.7,4,5.2,-1.2,65,57,44,21,213,/en/players/9e1577aa/matchlogs/2017-2018/passing/Cristiano-Biraghi-Match-Logs
68,Davide Biraschi,it,DF,Genoa,23,1994,20.0,772,1011,76.4,15336,5678,772,1011,76.4,772,1011,76.4,772,1011,76.4,1,0.4,+0.6,9,77,10,5,76,/en/players/64cd167d/matchlogs/2017-2018/passing/Davide-Biraschi-Match-Logs
69,Valter Birsa,si,"MF,FW",Chievo,30,1986,27.8,1079,1503,71.8,19892,5427,1079,1503,71.8,1079,1503,71.8,1079,1503,71.8,6,5.1,+0.9,67,119,45,14,174,/en/players/455a2b79/matchlogs/2017-2018/passing/Valter-Birsa-Match-Logs
70,Albano Bizzarri,ar,GK,Udinese,39,1977,32.0,664,1045,63.5,24203,15565,664,1045,63.5,664,1045,63.5,664,1045,63.5,0,0.0,0.0,1,11,0,0,1,/en/players/32b9b5fa/matchlogs/2017-2018/passing/Albano-Bizzarri-Match-Logs
71,Deian Boldor,ro,DF,Hellas Verona,22,1995,1.0,27,34,79.4,719,279,27,34,79.4,27,34,79.4,27,34,79.4,0,0.0,0.0,1,3,0,0,2,/en/players/9b7533de/matchlogs/2017-2018/passing/Deian-Boldor-Match-Logs
72,Giacomo Bonaventura,it,MF,Milan,27,1989,28.2,1275,1503,84.8,21621,4509,1275,1503,84.8,1275,1503,84.8,1275,1503,84.8,2,3.2,-1.2,50,87,32,6,123,/en/players/d995ed27/matchlogs/2017-2018/passing/Giacomo-Bonaventura-Match-Logs
73,Federico Bonazzoli,it,FW,Sampdoria,20,1997,0.3,12,14,85.7,198,15,12,14,85.7,12,14,85.7,12,14,85.7,0,0.0,0.0,0,1,0,0,0,/en/players/bf57eaab/matchlogs/2017-2018/passing/Federico-Bonazzoli-Match-Logs
74,Federico Bonazzoli,it,FW,SPAL,20,1997,2.0,29,38,76.3,519,49,29,38,76.3,29,38,76.3,29,38,76.3,0,0.0,0.0,0,1,0,0,1,/en/players/bf57eaab/matchlogs/2017-2018/passing/Federico-Bonazzoli-Match-Logs
75,Kevin Bonifazi,it,"DF,FW",Torino,21,1996,4.5,158,183,86.3,3356,827,158,183,86.3,158,183,86.3,158,183,86.3,0,0.0,0.0,0,5,0,0,6,/en/players/fb77bfef/matchlogs/2017-2018/passing/Kevin-Bonifazi-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Leonardo Bonucci,it,DF,Milan,30,1987,34.3,1761,2094,84.1,44495,17247,1761,2094,84.1,1761,2094,84.1,1761,2094,84.1,1,0.4,+0.6,13,230,19,2,170,/en/players/52ec54d0/matchlogs/2017-2018/passing/Leonardo-Bonucci-Match-Logs
77,Fabio Borini,it,"FW,DF",Milan,26,1991,17.9,643,839,76.6,12222,3828,643,839,76.6,643,839,76.6,643,839,76.6,3,1.0,+2.0,17,48,19,9,102,/en/players/ef5b337e/matchlogs/2017-2018/passing/Fabio-Borini-Match-Logs
78,Marco Borriello,it,FW,SPAL,35,1982,8.6,120,161,74.5,1513,201,120,161,74.5,120,161,74.5,120,161,74.5,0,0.8,-0.8,8,3,1,0,6,/en/players/a889ffc7/matchlogs/2017-2018/passing/Marco-Borriello-Match-Logs
79,Lucas Boyé,ar,"FW,MF",Torino,21,1996,1.7,62,90,68.9,909,223,62,90,68.9,62,90,68.9,62,90,68.9,0,0.4,-0.4,5,5,0,0,4,/en/players/d49f3e6b/matchlogs/2017-2018/passing/Lucas-Boye-Match-Logs
80,Enrico Brignola,it,"FW,MF",Benevento,18,1999,15.0,383,472,81.1,6296,1401,383,472,81.1,383,472,81.1,383,472,81.1,2,1.6,+0.4,17,16,16,1,40,/en/players/d0643f8f/matchlogs/2017-2018/passing/Enrico-Brignola-Match-Logs
81,Alberto Brignoli,it,GK,Benevento,25,1991,12.5,292,477,61.2,10326,6118,292,477,61.2,292,477,61.2,292,477,61.2,0,0.0,0.0,0,8,0,0,0,/en/players/6989550f/matchlogs/2017-2018/passing/Alberto-Brignoli-Match-Logs
82,Petar Brlek,hr,MF,Genoa,23,1994,2.6,88,109,80.7,1660,333,88,109,80.7,88,109,80.7,88,109,80.7,0,0.2,-0.2,1,7,1,0,10,/en/players/4590c6e7/matchlogs/2017-2018/passing/Petar-Brlek-Match-Logs
83,Marcelo Brozović,hr,MF,Inter,24,1992,21.4,1504,1781,84.4,30863,9216,1504,1781,84.4,1504,1781,84.4,1504,1781,84.4,8,4.8,+3.2,62,194,46,7,219,/en/players/33b8d077/matchlogs/2017-2018/passing/Marcelo-Brozovic-Match-Logs
84,Marcel Büchel,li,MF,Hellas Verona,26,1991,18.8,647,843,76.7,11701,2306,647,843,76.7,647,843,76.7,647,843,76.7,0,0.3,-0.3,12,45,4,1,48,/en/players/2edeb221/matchlogs/2017-2018/passing/Marcel-Buchel-Match-Logs
85,Ante Budimir,hr,FW,Crotone,26,1991,17.6,256,391,65.5,3325,628,256,391,65.5,256,391,65.5,256,391,65.5,0,1.7,-1.7,18,17,8,1,22,/en/players/8f3565b3/matchlogs/2017-2018/passing/Ante-Budimir-Match-Logs
86,Gianluigi Buffon,it,GK,Juventus,39,1978,20.7,422,532,79.3,12311,6368,422,532,79.3,422,532,79.3,422,532,79.3,0,0.0,0.0,1,0,0,0,0,/en/players/e40d028b/matchlogs/2017-2018/passing/Gianluigi-Buffon-Match-Logs
87,Alessandro Buongiorno,it,DF,Torino,18,1999,0.1,6,7,85.7,92,28,6,7,85.7,6,7,85.7,6,7,85.7,0,0.0,0.0,0,0,0,0,0,/en/players/4ae67f27/matchlogs/2017-2018/passing/Alessandro-Buongiorno-Match-Logs
88,Nicolás Burdisso,ar,DF,Torino,36,1981,23.0,947,1101,86.0,24452,7750,947,1101,86.0,947,1101,86.0,947,1101,86.0,0,0.4,-0.4,3,36,3,1,53,/en/players/9417f322/matchlogs/2017-2018/passing/Nicolas-Burdisso-Match-Logs
89,Leandro Cabrera,uy,DF,Crotone,26,1991,4.1,76,118,64.4,1856,976,76,118,64.4,76,118,64.4,76,118,64.4,0,0.1,-0.1,1,10,1,0,8,/en/players/69cbc8b6/matchlogs/2017-2018/passing/Leandro-Cabrera-Match-Logs
90,Fabrizio Cacciatore,it,DF,Chievo,30,1986,31.9,1494,1975,75.6,29003,13071,1494,1975,75.6,1494,1975,75.6,1494,1975,75.6,2,3.6,-1.6,38,105,68,26,292,/en/players/00b0bb87/matchlogs/2017-2018/passing/Fabrizio-Cacciatore-Match-Logs
91,Martín Cáceres,uy,DF,Hellas Verona,30,1987,12.9,409,556,73.6,8054,3759,409,556,73.6,409,556,73.6,409,556,73.6,1,0.7,+0.3,5,36,5,3,61,/en/players/e94d79e3/matchlogs/2017-2018/passing/Martin-Caceres-Match-Logs
92,Martín Cáceres,uy,DF,Lazio,30,1987,4.9,185,227,81.5,3996,1287,185,227,81.5,185,227,81.5,185,227,81.5,0,0.2,-0.2,5,17,3,2,17,/en/players/e94d79e3/matchlogs/2017-2018/passing/Martin-Caceres-Match-Logs
93,Felipe Caicedo,ec,FW,Lazio,28,1988,8.0,143,178,80.3,1922,435,143,178,80.3,143,178,80.3,143,178,80.3,2,0.8,+1.2,8,8,6,0,16,/en/players/93b891d1/matchlogs/2017-2018/passing/Felipe-Caicedo-Match-Logs
94,Davide Calabria,it,DF,Milan,20,1996,17.4,885,1126,78.6,15630,6143,885,1126,78.6,885,1126,78.6,885,1126,78.6,2,1.7,+0.3,17,64,22,15,123,/en/players/2146785a/matchlogs/2017-2018/passing/Davide-Calabria-Match-Logs
95,Mattia Caldara,it,DF,Atalanta,23,1994,24.0,870,1011,86.1,21097,4478,870,1011,86.1,870,1011,86.1,870,1011,86.1,1,0.1,+0.9,2,27,0,0,28,/en/players/ac7e640b/matchlogs/2017-2018/passing/Mattia-Caldara-Match-Logs
96,Hakan Çalhanoğlu,tr,"FW,MF",Milan,23,1994,24.1,1023,1346,76.0,19914,4931,1023,1346,76.0,1023,1346,76.0,1023,1346,76.0,6,8.1,-2.1,70,87,47,18,161,/en/players/cd0fa27b/matchlogs/2017-2018/passing/Hakan-Calhanoglu-Match-Logs
97,Fabrizio Caligara,it,MF,Cagliari,17,2000,0.2,5,5,100.0,69,0,5,5,100.0,5,5,100.0,5,5,100.0,0,0.0,0.0,0,0,0,0,0,/en/players/22ca11f1/matchlogs/2017-2018/passing/Fabrizio-Caligara-Match-Logs
98,José Callejón,es,FW,Napoli,30,1987,36.0,1290,1675,77.0,21170,4220,1290,1675,77.0,1290,1675,77.0,1290,1675,77.0,9,7.5,+1.5,72,62,41,20,134,/en/players/78841da9/matchlogs/2017-2018/passing/Jose-Callejon-Match-Logs
99,Simone Calvano,it,MF,Hellas Verona,24,1993,7.2,188,242,77.7,3580,983,188,242,77.7,188,242,77.7,188,242,77.7,0,0.2,-0.2,2,21,1,1,23,/en/players/9dabfcf5/matchlogs/2017-2018/passing/Simone-Calvano-Match-Logs
