Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Rolando Aarons,eng,"MF,FW",Hellas Verona,21,1995,5.7,81,115,70.4,1095,304,81,115,70.4,81,115,70.4,81,115,70.4,0,0.2,-0.2,3,5,6,1,10,/en/players/c5942695/matchlogs/2017-2018/passing/Rolando-Aarons-Match-Logs
2,Ignazio Abate,it,DF,Milan,30,1986,11.7,625,774,80.7,11501,4742,625,774,80.7,625,774,80.7,625,774,80.7,0,0.6,-0.6,11,58,20,8,95,/en/players/1c529186/matchlogs/2017-2018/passing/Ignazio-Abate-Match-Logs
3,Francesco Acerbi,it,DF,Sassuolo,29,1988,38.0,1360,1644,82.7,30665,9087,1360,1644,82.7,1360,1644,82.7,1360,1644,82.7,0,0.8,-0.8,13,104,6,3,111,/en/players/b96b595c/matchlogs/2017-2018/passing/Francesco-Acerbi-Match-Logs
4,Afriyie Acquah,gh,MF,Torino,25,1992,10.6,403,480,84.0,7022,1590,403,480,84.0,403,480,84.0,403,480,84.0,0,0.1,-0.1,3,42,2,0,36,/en/players/d7403bd5/matchlogs/2017-2018/passing/Afriyie-Acquah-Match-Logs
5,Claud Adjapong,it,"DF,MF",Sassuolo,19,1998,13.6,360,514,70.0,5818,2379,360,514,70.0,360,514,70.0,360,514,70.0,0,0.7,-0.7,9,25,6,2,50,/en/players/ce5b170a/matchlogs/2017-2018/passing/Claud-Adjapong-Match-Logs
6,Ali Adnan Kadhim,iq,"DF,MF",Udinese,23,1993,18.6,588,902,65.2,10954,5194,588,902,65.2,588,902,65.2,588,902,65.2,1,1.8,-0.8,21,37,18,11,133,/en/players/06050480/matchlogs/2017-2018/passing/Ali-Adnan-Kadhim-Match-Logs
7,Arlind Ajeti,al,"DF,MF",Crotone,23,1993,14.1,286,365,78.4,6321,2365,286,365,78.4,286,365,78.4,286,365,78.4,1,1.1,-0.1,5,19,2,0,29,/en/players/f9714604/matchlogs/2017-2018/passing/Arlind-Ajeti-Match-Logs
8,Luis Alberto,es,"MF,FW",Lazio,24,1992,29.7,1339,1824,73.4,25102,9173,1339,1824,73.4,1339,1824,73.4,1339,1824,73.4,14,10.2,+3.8,91,184,79,4,310,/en/players/5294a83f/matchlogs/2017-2018/passing/Luis-Alberto-Match-Logs
9,Raúl Albiol,es,DF,Napoli,31,1985,30.5,2223,2510,88.6,51015,16364,2223,2510,88.6,2223,2510,88.6,2223,2510,88.6,1,1.2,-0.2,7,221,3,0,174,/en/players/4bd414c1/matchlogs/2017-2018/passing/Raul-Albiol-Match-Logs
10,Alisson,br,GK,Roma,24,1992,37.0,959,1175,81.6,30238,18872,959,1175,81.6,959,1175,81.6,959,1175,81.6,0,0.0,0.0,1,12,0,0,0,/en/players/7a2e46a8/matchlogs/2017-2018/passing/Alisson-Match-Logs
