Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Enrico Alfonso,it,GK,Brescia,31,1988,3.1,4,0,0,0,0,2.0,0.18,-2.0,-0.66,11,32,34.4,32,8,45.1,37.0,32,45.1,37.0,38,2,5.3,4,1.29,16.3,/en/players/95adf1e1/matchlogs/2019-2020/keeper/Enrico-Alfonso-Match-Logs
2,Lorenzo Andrenacci,it,GK,Brescia,24,1995,5.9,16,0,1,1,0,12.9,0.29,-3.1,-0.53,33,66,50.0,66,45,33.0,35.4,66,33.0,35.4,56,1,1.8,2,0.34,12.4,/en/players/fe471a89/matchlogs/2019-2020/keeper/Lorenzo-Andrenacci-Match-Logs
3,Emil Audero,it,GK,Sampdoria,22,1997,36.0,60,7,0,11,4,52.8,0.29,-3.2,-0.09,203,558,36.4,558,130,50.1,41.5,558,50.1,41.5,399,32,8.0,19,0.53,14.2,/en/players/649b01d8/matchlogs/2019-2020/keeper/Emil-Audero-Match-Logs
4,Asmir Begović,ba,GK,Milan,32,1987,1.4,3,1,0,0,0,3.1,0.39,+0.1,+0.06,4,11,36.4,11,5,33.3,32.8,11,33.3,32.8,8,0,0.0,0,0.00,15.5,/en/players/7b4de647/matchlogs/2019-2020/keeper/Asmir-Begovic-Match-Logs
5,Etrit Berisha,al,GK,SPAL,30,1989,26.0,41,6,1,2,2,44.2,0.28,+2.2,+0.09,196,440,44.5,440,136,46.0,37.4,440,46.0,37.4,276,21,7.6,14,0.54,13.6,/en/players/ee833569/matchlogs/2019-2020/keeper/Etrit-Berisha-Match-Logs
6,Federico Brancolini,it,GK,Fiorentina,18,2001,0.1,0,0,0,0,0,0.0,,0.0,0.00,1,1,100.0,1,0,0.0,27.5,1,0.0,27.5,0,0,,0,0.00,21.0,/en/players/d4890c25/matchlogs/2019-2020/keeper/Federico-Brancolini-Match-Logs
7,Gianluigi Buffon,it,GK,Juventus,41,1978,9.0,10,1,0,2,0,7.7,0.21,-2.3,-0.26,22,38,57.9,38,40,17.8,27.4,38,17.8,27.4,76,1,1.3,7,0.78,16.4,/en/players/e40d028b/matchlogs/2019-2020/keeper/Gianluigi-Buffon-Match-Logs
8,Simone Colombi,it,GK,Parma,28,1991,4.0,4,1,0,0,0,4.1,0.20,+0.1,+0.03,11,24,45.8,24,16,27.1,31.1,24,27.1,31.1,33,2,6.1,0,0.00,11.7,/en/players/72be9309/matchlogs/2019-2020/keeper/Simone-Colombi-Match-Logs
9,Andrea Consigli,it,GK,Sassuolo,32,1987,31.0,55,7,1,9,3,49.9,0.32,-2.1,-0.07,141,339,41.6,339,136,34.2,32.7,339,34.2,32.7,292,25,8.6,20,0.65,14.9,/en/players/8cabdc1e/matchlogs/2019-2020/keeper/Andrea-Consigli-Match-Logs
10,Angelo da Costa Júnior,br,GK,Bologna,35,1983,1.0,1,0,0,0,0,0.9,0.46,-0.1,-0.08,2,4,50.0,4,4,16.7,28.1,4,16.7,28.1,3,0,0.0,1,1.00,18.8,/en/players/18736214/matchlogs/2019-2020/keeper/Angelo-da-Costa-Junior-Match-Logs
11,Alessio Cragno,it,GK,Cagliari,25,1994,16.0,21,1,0,2,1,23.9,0.26,+3.9,+0.24,87,251,34.7,251,67,51.6,40.7,251,51.6,40.7,176,14,8.0,5,0.31,11.5,/en/players/f554e29b/matchlogs/2019-2020/keeper/Alessio-Cragno-Match-Logs
