Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
325,Charalambos Lykogiannis,gr,DF,Cagliari,25,1993,14.9,810,96,302,355,202,11,685,11,20,55.0,12,0,427,2462,1448,484,431,89.0,8,8,/en/players/5efc5389/matchlogs/2019-2020/possession/Charalambos-Lykogiannis-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Francesco Magnanelli,it,MF,Sassuolo,34,1984,15.5,1318,70,317,847,207,3,1258,9,10,90.0,9,0,873,3476,1565,984,943,95.8,5,9,/en/players/07767f42/matchlogs/2019-2020/possession/Francesco-Magnanelli-Match-Logs
327,Giangiacomo Magnani,it,"DF,MF",Brescia,23,1995,1.3,52,12,33,16,5,5,52,1,1,100.0,1,0,30,131,77,32,31,96.9,0,1,/en/players/cce9f582/matchlogs/2019-2020/possession/Giangiacomo-Magnani-Match-Logs
328,Giangiacomo Magnani,it,DF,Sassuolo,23,1995,1.6,97,9,40,56,4,3,92,0,0,,0,0,58,289,151,61,60,98.4,1,0,/en/players/cce9f582/matchlogs/2019-2020/possession/Giangiacomo-Magnani-Match-Logs
329,Žan Majer,si,MF,Lecce,27,1992,18.5,938,49,277,474,252,23,909,13,24,54.2,13,1,605,3867,2165,683,598,87.6,18,19,/en/players/bf13975c/matchlogs/2019-2020/possession/Zan-Majer-Match-Logs
330,Nikola Maksimović,rs,DF,Napoli,27,1991,20.0,1546,233,789,782,77,21,1501,6,9,66.7,6,1,1079,6570,3778,1163,1151,99.0,2,5,/en/players/16b9d5cf/matchlogs/2019-2020/possession/Nikola-Maksimovic-Match-Logs
331,Kévin Malcuit,ma,DF,Napoli,28,1991,2.8,203,5,58,92,64,4,168,6,9,66.7,6,1,133,709,393,140,123,87.9,2,2,/en/players/d6a889ea/matchlogs/2019-2020/possession/Kevin-Malcuit-Match-Logs
332,Daniel Maldini,it,FW,Milan,17,2001,0.3,21,0,3,9,12,2,21,0,1,0.0,0,0,13,104,66,22,17,77.3,2,0,/en/players/801831fe/matchlogs/2019-2020/possession/Daniel-Maldini-Match-Logs
333,Ruslan Malinovskyi,ua,"MF,FW",Atalanta,26,1993,17.1,1266,5,97,616,671,47,1175,59,81,72.8,59,0,1020,6421,3325,1110,972,87.6,42,46,/en/players/48d5bd33/matchlogs/2019-2020/possession/Ruslan-Malinovskyi-Match-Logs
334,Gianluca Mancini,it,"DF,MF",Roma,23,1996,30.4,1973,247,936,1046,140,33,1913,10,14,71.4,10,0,1303,8183,4651,1410,1373,97.4,10,10,/en/players/5aa53281/matchlogs/2019-2020/possession/Gianluca-Mancini-Match-Logs
335,Marco Mancosu,it,"MF,FW",Lecce,30,1988,27.1,1200,37,221,592,479,110,1160,27,42,64.3,28,0,763,5233,3265,1092,863,79.0,47,28,/en/players/2c3a6c21/matchlogs/2019-2020/possession/Marco-Mancosu-Match-Logs
336,Rolando Mandragora,it,MF,Udinese,22,1997,22.8,1245,36,271,626,392,48,1158,13,30,43.3,14,1,720,2820,1416,905,782,86.4,20,19,/en/players/c7259b83/matchlogs/2019-2020/possession/Rolando-Mandragora-Match-Logs
337,Massimiliano Mangraviti,it,DF,Brescia,21,1998,10.8,540,75,283,232,48,4,479,0,0,,0,0,301,1830,1070,319,309,96.9,3,1,/en/players/33914f14/matchlogs/2019-2020/possession/Massimiliano-Mangraviti-Match-Logs
338,Kostas Manolas,gr,DF,Napoli,28,1991,24.2,1677,244,850,909,38,24,1630,2,2,100.0,2,0,1092,6612,3725,1220,1209,99.1,5,2,/en/players/c707411f/matchlogs/2019-2020/possession/Kostas-Manolas-Match-Logs
339,Giacomo Manzari,it,"FW,MF",Sassuolo,18,2000,0.2,8,0,1,6,2,0,8,1,1,100.0,1,0,5,29,25,8,5,62.5,1,0,/en/players/d8dfae8a/matchlogs/2019-2020/possession/Giacomo-Manzari-Match-Logs
340,Gian Marco Ferrari,it,DF,Sassuolo,27,1992,21.1,1610,246,733,956,55,21,1561,4,4,100.0,4,0,1194,7872,5036,1290,1273,98.7,6,5,/en/players/8650af85/matchlogs/2019-2020/possession/Gian-Marco-Ferrari-Match-Logs
341,Federico Marigosu,it,MF,Cagliari,18,2001,0.3,18,0,4,7,8,1,18,0,0,,0,0,11,92,40,21,17,81.0,0,0,/en/players/66a9470c/matchlogs/2019-2020/possession/Federico-Marigosu-Match-Logs
342,Marlon,br,DF,Sassuolo,23,1995,20.2,1640,227,794,938,33,5,1607,7,7,100.0,7,0,1191,7096,4233,1271,1259,99.1,2,2,/en/players/cdf65d12/matchlogs/2019-2020/possession/Marlon-Match-Logs
343,Gonzalo Maroni,ar,MF,Sampdoria,20,1999,2.0,105,1,10,59,54,6,94,2,3,66.7,2,0,82,858,570,86,73,84.9,3,2,/en/players/e01ca8f4/matchlogs/2019-2020/possession/Gonzalo-Maroni-Match-Logs
344,Bruno Martella,it,"DF,MF",Brescia,26,1992,14.1,719,74,286,282,197,9,617,12,25,48.0,13,1,405,2448,1554,455,408,89.7,12,12,/en/players/1e12c53b/matchlogs/2019-2020/possession/Bruno-Martella-Match-Logs
345,Lautaro Martínez,ar,FW,Inter,21,1997,27.2,978,14,58,375,604,238,956,47,83,56.6,51,2,671,3976,2547,1217,714,58.7,86,60,/en/players/f7036e1c/matchlogs/2019-2020/possession/Lautaro-Martinez-Match-Logs
346,Adam Marušić,me,DF,Lazio,26,1992,10.5,497,29,155,175,189,30,425,9,18,50.0,12,1,313,1582,825,335,296,88.4,6,11,/en/players/d4535821/matchlogs/2019-2020/possession/Adam-Marusic-Match-Logs
347,Andrea Masiello,it,DF,Genoa,33,1986,14.7,938,102,409,483,103,13,880,6,7,85.7,6,0,579,3072,1765,623,618,99.2,2,5,/en/players/e0314d87/matchlogs/2019-2020/possession/Andrea-Masiello-Match-Logs
348,Andrea Masiello,it,DF,Atalanta,33,1986,6.0,358,28,161,189,25,0,335,1,1,100.0,1,0,215,986,503,224,220,98.2,0,2,/en/players/e0314d87/matchlogs/2019-2020/possession/Andrea-Masiello-Match-Logs
349,Aleš Matějů,cz,DF,Brescia,23,1996,28.3,1436,222,775,583,175,17,1295,18,19,94.7,18,0,791,5593,2757,805,760,94.4,10,10,/en/players/deb748c9/matchlogs/2019-2020/possession/Ales-Mateju-Match-Logs
350,Alessandro Matri,it,"FW,MF",Brescia,34,1984,1.0,50,1,2,20,30,11,46,2,5,40.0,3,0,34,83,17,72,41,56.9,1,8,/en/players/58d97e77/matchlogs/2019-2020/possession/Alessandro-Matri-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Federico Mattiello,it,DF,Cagliari,24,1995,10.3,550,42,172,251,173,12,506,10,16,62.5,11,0,356,2647,1594,364,323,88.7,6,12,/en/players/fba81826/matchlogs/2019-2020/possession/Federico-Mattiello-Match-Logs
352,Blaise Matuidi,fr,MF,Juventus,32,1987,24.9,1374,28,213,787,425,50,1334,13,28,46.4,16,2,903,3619,1471,1186,1017,85.8,30,32,/en/players/c0cddebe/matchlogs/2019-2020/possession/Blaise-Matuidi-Match-Logs
353,Luca Mazzitelli,it,MF,Sassuolo,23,1995,0.1,31,0,1,27,5,0,31,0,0,,0,0,21,82,47,27,23,85.2,0,0,/en/players/dc61b402/matchlogs/2019-2020/possession/Luca-Mazzitelli-Match-Logs
354,Ibrahima Mbaye,sn,DF,Bologna,24,1994,16.7,992,80,380,489,178,11,833,11,15,73.3,12,1,576,3104,1513,613,575,93.8,7,9,/en/players/cfbf9881/matchlogs/2019-2020/possession/Ibrahima-Mbaye-Match-Logs
355,Biagio Meccariello,it,DF,Lecce,28,1991,8.5,490,59,251,200,64,11,448,6,8,75.0,6,1,287,1473,810,311,292,93.9,2,1,/en/players/1eeeff8a/matchlogs/2019-2020/possession/Biagio-Meccariello-Match-Logs
356,Gary Medel,cl,MF,Bologna,31,1987,19.8,1256,84,379,788,148,2,1205,12,15,80.0,13,0,772,3734,1927,841,794,94.4,7,9,/en/players/563a68ad/matchlogs/2019-2020/possession/Gary-Medel-Match-Logs
357,Soualiho Meïté,fr,MF,Torino,25,1994,24.5,1213,61,268,700,344,37,1195,63,89,70.8,66,1,856,5501,3190,911,800,87.8,39,26,/en/players/5cec2c74/matchlogs/2019-2020/possession/Soualiho-Meite-Match-Logs
358,Alex Meret,it,GK,Napoli,22,1997,21.7,638,594,638,0,0,0,463,0,0,,0,0,299,1021,438,290,286,98.6,0,0,/en/players/9413b19f/matchlogs/2019-2020/possession/Alex-Meret-Match-Logs
359,Yıldırım Mert Çetin,tr,DF,Roma,22,1997,2.9,165,26,92,75,9,4,160,3,3,100.0,3,0,107,563,303,115,110,95.7,0,2,/en/players/c730da00/matchlogs/2019-2020/possession/Yildirim-Mert-Cetin-Match-Logs
360,Dries Mertens,be,FW,Napoli,32,1987,18.8,909,5,61,327,566,125,828,26,48,54.2,28,0,676,3477,2064,911,679,74.5,19,13,/en/players/89b2c8a9/matchlogs/2019-2020/possession/Dries-Mertens-Match-Logs
361,Kingsley Michael,ng,MF,Bologna,19,1999,0.8,63,2,4,40,20,2,60,0,0,,0,0,45,248,125,49,43,87.8,1,0,/en/players/e63e122d/matchlogs/2019-2020/possession/Kingsley-Michael-Match-Logs
362,Nikola Milenković,rs,DF,Fiorentina,21,1997,36.2,2115,322,1085,1053,145,34,2007,7,8,87.5,7,0,1277,8110,4991,1388,1346,97.0,16,11,/en/players/bee704fc/matchlogs/2019-2020/possession/Nikola-Milenkovic-Match-Logs
363,Arkadiusz Milik,pl,FW,Napoli,25,1994,19.4,663,14,48,309,343,105,626,15,24,62.5,15,2,406,1761,757,824,517,62.7,39,19,/en/players/85613cf0/matchlogs/2019-2020/possession/Arkadiusz-Milik-Match-Logs
364,Sergej Milinković-Savić,rs,MF,Lazio,24,1995,33.7,2269,86,469,1138,809,135,2224,42,64,65.6,46,1,1552,8262,3798,1946,1663,85.5,71,51,/en/players/4e6dbac4/matchlogs/2019-2020/possession/Sergej-Milinkovic-Savic-Match-Logs
365,Vincenzo Millico,it,"MF,FW",Torino,18,2000,2.4,114,1,10,37,79,9,104,6,9,66.7,7,0,96,926,555,107,90,84.1,6,4,/en/players/6817095b/matchlogs/2019-2020/possession/Vincenzo-Millico-Match-Logs
366,Antonio Mirante,it,GK,Roma,36,1983,5.0,192,165,189,3,0,0,143,1,1,100.0,1,0,81,338,217,86,83,96.5,0,0,/en/players/30223b33/matchlogs/2019-2020/possession/Antonio-Mirante-Match-Logs
367,Simone Missiroli,it,MF,SPAL,33,1986,31.1,1746,122,477,1077,311,18,1692,25,33,75.8,26,1,1064,6258,3104,1191,1115,93.6,16,17,/en/players/331c0a43/matchlogs/2019-2020/possession/Simone-Missiroli-Match-Logs
368,Henrikh Mkhitaryan,am,"MF,FW",Roma,30,1989,17.0,915,11,120,492,393,67,897,21,41,51.2,21,1,620,4789,2959,789,671,85.0,29,29,/en/players/dd0daf32/matchlogs/2019-2020/possession/Henrikh-Mkhitaryan-Match-Logs
369,Gabriele Moncini,it,"FW,MF",SPAL,23,1996,1.7,36,2,5,20,11,6,33,0,0,,0,0,16,92,9,38,20,52.6,3,3,/en/players/c4efe2b4/matchlogs/2019-2020/possession/Gabriele-Moncini-Match-Logs
370,Ilario Monterisi,it,DF,Lecce,17,2001,0.0,4,1,2,2,0,0,4,0,0,,0,0,3,17,14,3,3,100.0,0,0,/en/players/31b252fc/matchlogs/2019-2020/possession/Ilario-Monterisi-Match-Logs
371,Raúl Moro,es,DF,Lazio,16,2002,0.0,1,0,0,0,1,0,1,0,0,,0,0,1,2,1,2,1,50.0,0,1,/en/players/919dd4b1/matchlogs/2019-2020/possession/Raul-Moro-Match-Logs
372,Leonardo Morosini,it,"FW,MF",Brescia,23,1995,0.3,9,1,3,3,3,0,9,1,1,100.0,1,0,4,40,24,9,4,44.4,0,0,/en/players/d89b0ebb/matchlogs/2019-2020/possession/Leonardo-Morosini-Match-Logs
373,Victor Moses,ng,DF,Inter,28,1990,4.7,325,11,62,139,147,24,286,12,18,66.7,12,0,237,1539,1084,242,230,95.0,6,6,/en/players/e726e11e/matchlogs/2019-2020/possession/Victor-Moses-Match-Logs
374,Mert Müldür,tr,DF,Sassuolo,20,1999,14.1,987,47,283,490,283,33,877,24,43,55.8,26,0,636,3610,2466,689,632,91.7,11,8,/en/players/1295552e/matchlogs/2019-2020/possession/Mert-Muldur-Match-Logs
375,Simone Muratore,it,MF,Juventus,21,1998,1.8,154,2,28,97,35,1,152,1,1,100.0,1,0,117,480,178,127,122,96.1,1,1,/en/players/04989945/matchlogs/2019-2020/possession/Simone-Muratore-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Alessandro Murgia,it,MF,SPAL,22,1996,19.4,1009,51,245,503,309,30,896,13,17,76.5,13,1,615,2470,1162,735,646,87.9,10,19,/en/players/fb2c533b/matchlogs/2019-2020/possession/Alessandro-Murgia-Match-Logs
377,Luis Muriel,co,FW,Atalanta,28,1991,14.0,798,2,35,336,484,128,742,31,62,50.0,33,1,596,4337,2431,858,600,69.9,39,57,/en/players/eb2fe5b6/matchlogs/2019-2020/possession/Luis-Muriel-Match-Logs
378,Jeison Murillo,co,DF,Sampdoria,27,1992,7.4,351,55,180,165,24,3,312,3,4,75.0,3,1,175,942,509,186,180,96.8,0,5,/en/players/b233e8e4/matchlogs/2019-2020/possession/Jeison-Murillo-Match-Logs
379,Nicola Murru,it,DF,Sampdoria,24,1994,25.1,1293,79,374,627,362,13,1090,28,44,63.6,30,1,742,4236,2622,779,695,89.2,15,16,/en/players/d183e9d6/matchlogs/2019-2020/possession/Nicola-Murru-Match-Logs
380,Mateo Musacchio,ar,DF,Milan,28,1990,16.3,1119,120,491,682,48,12,1084,3,4,75.0,3,0,794,5233,3079,849,831,97.9,3,4,/en/players/91899ca8/matchlogs/2019-2020/possession/Mateo-Musacchio-Match-Logs
381,Juan Musso,ar,GK,Udinese,25,1994,38.0,1283,1158,1279,8,2,1,842,1,1,100.0,1,0,524,3045,1742,416,415,99.8,3,0,/en/players/a111cf41/matchlogs/2019-2020/possession/Juan-Musso-Match-Logs
