Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
1,Francesco Acerbi,it,DF,Lazio,31,1988,35.1,27,0.77,24,0,1,1,1,3,0.09,24,0,1,1,1,0,/en/players/b96b595c/matchlogs/2019-2020/gca/Francesco-Acerbi-Match-Logs
2,Bobby Adekanye,nl,FW,Lazio,20,1999,2.1,6,2.87,3,0,0,1,2,0,0.00,3,0,0,1,2,0,/en/players/3ed84b2c/matchlogs/2019-2020/gca/Bobby-Adekanye-Match-Logs
3,Claud Adjapong,it,DF,Hellas Verona,21,1998,2.6,1,0.39,0,0,1,0,0,0,0.00,0,0,1,0,0,0,/en/players/ce5b170a/matchlogs/2019-2020/gca/Claud-Adjapong-Match-Logs
4,Lucien Agoume,fr,MF,Inter,17,2002,0.8,2,2.65,2,0,0,0,0,1,1.32,2,0,0,0,0,0,/en/players/8bc8829a/matchlogs/2019-2020/gca/Lucien-Agoume-Match-Logs
5,Kevin Agudelo,co,"MF,FW",Fiorentina,20,1998,0.7,6,8.44,4,0,2,0,0,1,1.41,4,0,2,0,0,0,/en/players/46fa7204/matchlogs/2019-2020/gca/Kevin-Agudelo-Match-Logs
6,Kevin Agudelo,co,"MF,FW",Genoa,20,1998,7.4,27,3.65,21,0,5,0,1,1,0.14,21,0,5,0,1,0,/en/players/46fa7204/matchlogs/2019-2020/gca/Kevin-Agudelo-Match-Logs
7,Emmanuel Agyemang-Badu,gh,"MF,FW",Hellas Verona,28,1990,2.6,3,1.17,3,0,0,0,0,0,0.00,3,0,0,0,0,0,/en/players/fe0b8f0e/matchlogs/2019-2020/gca/Emmanuel-Agyemang-Badu-Match-Logs
8,Ola Aina,ng,DF,Torino,22,1996,23.1,45,1.95,25,11,4,0,5,7,0.30,25,11,4,0,5,0,/en/players/246d153b/matchlogs/2019-2020/gca/Ola-Aina-Match-Logs
9,Luis Alberto,es,MF,Lazio,26,1992,34.6,203,5.87,135,37,16,12,2,28,0.81,135,37,16,12,2,1,/en/players/5294a83f/matchlogs/2019-2020/gca/Luis-Alberto-Match-Logs
10,Enrico Alfonso,it,GK,Brescia,31,1988,3.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,/en/players/95adf1e1/matchlogs/2019-2020/gca/Enrico-Alfonso-Match-Logs
11,Allan,br,MF,Napoli,28,1991,14.2,40,2.81,36,0,4,0,0,3,0.21,36,0,4,0,0,0,/en/players/cc700722/matchlogs/2019-2020/gca/Allan-Match-Logs
12,Bruno Alves,pt,DF,Parma,37,1981,29.7,14,0.47,11,1,0,2,0,0,0.00,11,1,0,2,0,0,/en/players/585a73a8/matchlogs/2019-2020/gca/Bruno-Alves-Match-Logs
13,Sofyan Amrabat,ma,MF,Hellas Verona,22,1996,32.4,72,2.22,63,0,5,0,4,5,0.15,63,0,5,0,4,0,/en/players/5a2cb25d/matchlogs/2019-2020/gca/Sofyan-Amrabat-Match-Logs
14,Djavan Anderson,nl,"DF,MF",Lazio,24,1995,1.9,2,1.08,2,0,0,0,0,0,0.00,2,0,0,0,0,0,/en/players/ca241ad3/matchlogs/2019-2020/gca/Djavan-Anderson-Match-Logs
15,Lorenzo Andrenacci,it,GK,Brescia,24,1995,5.9,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,/en/players/fe471a89/matchlogs/2019-2020/gca/Lorenzo-Andrenacci-Match-Logs
