Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
16,Peter Ankersen,dk,DF,Genoa,28,1990,11.8,21,1.78,17,0,3,1,0,1,0.08,17,0,3,1,0,0,/en/players/df525574/matchlogs/2019-2020/gca/Peter-Ankersen-Match-Logs
17,Cristian Ansaldi,ar,"DF,MF",Torino,32,1986,19.6,55,2.80,42,4,5,2,2,8,0.41,42,4,5,2,2,0,/en/players/bbafc0c4/matchlogs/2019-2020/gca/Cristian-Ansaldi-Match-Logs
18,Mirko Antonucci,it,"FW,MF",Roma,20,1999,0.9,1,1.10,1,0,0,0,0,0,0.00,1,0,0,0,0,0,/en/players/91976866/matchlogs/2019-2020/gca/Mirko-Antonucci-Match-Logs
19,Guilherme Arana,br,DF,Atalanta,22,1997,0.9,2,2.25,2,0,0,0,0,0,0.00,2,0,0,0,0,0,/en/players/2b15a82a/matchlogs/2019-2020/gca/Guilherme-Arana-Match-Logs
20,Nicolò Armini,it,DF,Lazio,18,2001,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,/en/players/2f7407fa/matchlogs/2019-2020/gca/Nicolo-Armini-Match-Logs
21,Kwadwo Asamoah,gh,DF,Inter,30,1988,7.1,16,2.25,16,0,0,0,0,3,0.42,16,0,0,0,0,0,/en/players/089550f5/matchlogs/2019-2020/gca/Kwadwo-Asamoah-Match-Logs
22,Kristoffer Askildsen,no,MF,Sampdoria,18,2001,0.8,5,5.92,3,0,2,0,0,0,0.00,3,0,2,0,0,0,/en/players/a69cc629/matchlogs/2019-2020/gca/Kristoffer-Askildsen-Match-Logs
23,Emil Audero,it,GK,Sampdoria,22,1997,36.0,2,0.06,2,0,0,0,0,0,0.00,2,0,0,0,0,0,/en/players/649b01d8/matchlogs/2019-2020/gca/Emil-Audero-Match-Logs
24,Tommaso Augello,it,DF,Sampdoria,24,1994,12.6,39,3.09,35,2,2,0,0,3,0.24,35,2,2,0,0,0,/en/players/3cd3b384/matchlogs/2019-2020/gca/Tommaso-Augello-Match-Logs
25,Florian Ayé,fr,"FW,MF",Brescia,22,1997,15.3,30,1.96,16,1,4,6,3,1,0.07,16,1,4,6,3,0,/en/players/718b8afd/matchlogs/2019-2020/gca/Florian-Aye-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,
26,Khouma Babacar,sn,FW,Lecce,26,1993,15.8,45,2.85,27,0,6,5,7,5,0.32,27,0,6,5,7,0,/en/players/422ec08a/matchlogs/2019-2020/gca/Khouma-Babacar-Match-Logs
27,Milan Badelj,hr,MF,Fiorentina,30,1989,17.6,43,2.44,36,2,2,0,3,1,0.06,36,2,2,0,3,0,/en/players/e8c930bb/matchlogs/2019-2020/gca/Milan-Badelj-Match-Logs
28,Marco Ballarini,it,MF,Udinese,18,2001,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,/en/players/8cb494c9/matchlogs/2019-2020/gca/Marco-Ballarini-Match-Logs
29,Mario Balotelli,it,FW,Brescia,28,1990,15.6,33,2.12,17,0,2,8,6,1,0.06,17,0,2,8,6,0,/en/players/8ff07990/matchlogs/2019-2020/gca/Mario-Balotelli-Match-Logs
30,Mattia Bani,it,DF,Bologna,25,1993,24.5,8,0.33,8,0,0,0,0,1,0.04,8,0,0,0,0,0,/en/players/0821331c/matchlogs/2019-2020/gca/Mattia-Bani-Match-Logs
31,Antonín Barák,cz,MF,Udinese,24,1994,2.2,6,2.78,5,1,0,0,0,0,0.00,5,1,0,0,0,0,/en/players/01efac19/matchlogs/2019-2020/gca/Antonin-Barak-Match-Logs
32,Antonín Barák,cz,MF,Lecce,24,1994,15.2,41,2.70,38,0,1,1,1,5,0.33,38,0,1,1,1,0,/en/players/01efac19/matchlogs/2019-2020/gca/Antonin-Barak-Match-Logs
33,Nicolò Barella,it,MF,Inter,22,1997,22.4,55,2.46,47,0,3,2,3,5,0.22,47,0,3,2,3,0,/en/players/6928979a/matchlogs/2019-2020/gca/Nicolo-Barella-Match-Logs
34,Antonino Barillà,it,MF,Parma,31,1988,18.8,22,1.17,16,3,0,0,2,4,0.21,16,3,0,0,2,1,/en/players/a64cbd35/matchlogs/2019-2020/gca/Antonino-Barilla-Match-Logs
35,Antonio Barreca,it,"DF,MF",Genoa,24,1995,12.2,14,1.15,10,3,0,1,0,1,0.08,10,3,0,1,0,0,/en/players/6a189491/matchlogs/2019-2020/gca/Antonio-Barreca-Match-Logs
36,Édgar Barreto,py,MF,Sampdoria,35,1984,1.0,2,2.00,1,0,0,0,1,0,0.00,1,0,0,0,1,0,/en/players/43a1bea5/matchlogs/2019-2020/gca/Edgar-Barreto-Match-Logs
37,Musa Barrow,gm,"FW,MF",Atalanta,20,1998,2.1,12,5.68,7,0,2,2,1,2,0.95,7,0,2,2,1,0,/en/players/e5bf73f3/matchlogs/2019-2020/gca/Musa-Barrow-Match-Logs
38,Musa Barrow,gm,FW,Bologna,20,1998,15.0,81,5.38,48,9,16,6,2,6,0.40,48,9,16,6,2,0,/en/players/e5bf73f3/matchlogs/2019-2020/gca/Musa-Barrow-Match-Logs
39,Daniele Baselli,it,MF,Torino,27,1992,14.2,28,1.97,18,10,0,0,0,2,0.14,18,10,0,0,0,0,/en/players/ea06dd97/matchlogs/2019-2020/gca/Daniele-Baselli-Match-Logs
40,Alessandro Bastoni,it,DF,Inter,20,1999,21.3,30,1.41,27,1,1,1,0,2,0.09,27,1,1,1,0,0,/en/players/75b86fb3/matchlogs/2019-2020/gca/Alessandro-Bastoni-Match-Logs
41,Bastos,ao,DF,Lazio,28,1991,8.5,7,0.82,3,0,3,0,1,0,0.00,3,0,3,0,1,0,/en/players/c01c66d9/matchlogs/2019-2020/gca/Bastos-Match-Logs
42,Rodrigo Becão,br,DF,Udinese,23,1996,24.6,6,0.24,5,0,0,1,0,1,0.04,5,0,0,1,0,0,/en/players/19e4eab9/matchlogs/2019-2020/gca/Rodrigo-Becao-Match-Logs
43,Asmir Begović,ba,GK,Milan,32,1987,1.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,/en/players/7b4de647/matchlogs/2019-2020/gca/Asmir-Begovic-Match-Logs
44,Valon Behrami,ch,MF,Genoa,34,1985,12.3,10,0.81,7,0,0,0,3,0,0.00,7,0,0,0,3,0,/en/players/d3d758d8/matchlogs/2019-2020/gca/Valon-Behrami-Match-Logs
45,Raoul Bellanova,it,DF,Atalanta,19,2000,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,/en/players/e3756e72/matchlogs/2019-2020/gca/Raoul-Bellanova-Match-Logs
46,Andrea Belotti,it,FW,Torino,25,1993,33.4,95,2.84,62,0,9,8,16,11,0.33,62,0,9,8,16,0,/en/players/d705ba44/matchlogs/2019-2020/gca/Andrea-Belotti-Match-Logs
47,Marco Benassi,it,MF,Fiorentina,24,1994,10.9,27,2.48,25,0,0,1,1,2,0.18,25,0,0,1,1,0,/en/players/0000acda/matchlogs/2019-2020/gca/Marco-Benassi-Match-Logs
48,Ismaël Bennacer,dz,MF,Milan,21,1997,27.6,65,2.35,52,9,1,0,3,4,0.14,52,9,1,0,3,0,/en/players/db092d3b/matchlogs/2019-2020/gca/Ismael-Bennacer-Match-Logs
49,Rodrigo Bentancur,uy,MF,Juventus,22,1997,24.4,75,3.07,53,17,2,0,3,10,0.41,53,17,2,0,3,0,/en/players/3b8674e6/matchlogs/2019-2020/gca/Rodrigo-Bentancur-Match-Logs
50,Romario Benzar,ro,DF,Lecce,27,1992,1.1,3,2.78,3,0,0,0,0,0,0.00,3,0,0,0,0,0,/en/players/2e3596d1/matchlogs/2019-2020/gca/Romario-Benzar-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,
51,Domenico Berardi,it,FW,Sassuolo,24,1994,27.7,115,4.15,74,12,7,11,11,14,0.51,74,12,7,11,11,0,/en/players/53a0e358/matchlogs/2019-2020/gca/Domenico-Berardi-Match-Logs
52,Álex Berenguer,es,"MF,FW",Torino,24,1995,20.3,76,3.75,41,11,15,5,4,9,0.44,41,11,15,5,4,0,/en/players/dc1c2fce/matchlogs/2019-2020/gca/Alex-Berenguer-Match-Logs
53,Bartosz Bereszyński,pl,DF,Sampdoria,27,1992,26.7,29,1.09,24,3,0,0,2,2,0.07,24,3,0,0,2,0,/en/players/61b3978f/matchlogs/2019-2020/gca/Bartosz-Bereszynski-Match-Logs
54,Etrit Berisha,al,GK,SPAL,30,1989,26.0,4,0.15,3,1,0,0,0,0,0.00,3,1,0,0,0,0,/en/players/ee833569/matchlogs/2019-2020/gca/Etrit-Berisha-Match-Logs
55,Valon Berisha,xk,"MF,FW",Lazio,26,1993,0.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,/en/players/d5575935/matchlogs/2019-2020/gca/Valon-Berisha-Match-Logs
56,Federico Bernardeschi,it,"MF,FW",Juventus,25,1994,17.5,62,3.55,42,8,3,4,5,1,0.06,42,8,3,4,5,0,/en/players/ee93c1a9/matchlogs/2019-2020/gca/Federico-Bernardeschi-Match-Logs
57,Andrea Bertolacci,it,MF,Sampdoria,28,1991,5.9,12,2.02,9,0,1,0,2,0,0.00,9,0,1,0,2,0,/en/players/c75b6a02/matchlogs/2019-2020/gca/Andrea-Bertolacci-Match-Logs
58,Lucas Biglia,ar,MF,Milan,33,1986,7.6,12,1.58,10,2,0,0,0,1,0.13,10,2,0,0,0,0,/en/players/5710a281/matchlogs/2019-2020/gca/Lucas-Biglia-Match-Logs
59,Cristiano Biraghi,it,"DF,MF",Inter,26,1992,17.5,57,3.26,38,13,3,0,3,12,0.69,38,13,3,0,3,0,/en/players/9e1577aa/matchlogs/2019-2020/gca/Cristiano-Biraghi-Match-Logs
60,Davide Biraschi,it,DF,Genoa,25,1994,21.9,21,0.96,14,1,1,1,4,3,0.14,14,1,1,1,4,0,/en/players/64cd167d/matchlogs/2019-2020/gca/Davide-Biraschi-Match-Logs
61,Valter Birsa,si,MF,Cagliari,32,1986,4.8,17,3.56,11,5,0,0,0,1,0.21,11,5,0,0,0,1,/en/players/455a2b79/matchlogs/2019-2020/gca/Valter-Birsa-Match-Logs
62,Dimitri Bisoli,it,MF,Brescia,25,1994,23.9,46,1.92,36,0,5,3,1,3,0.13,36,0,5,3,1,1,/en/players/16569fef/matchlogs/2019-2020/gca/Dimitri-Bisoli-Match-Logs
63,Birkir Bjarnason,is,"MF,FW",Brescia,31,1988,8.9,14,1.58,11,0,0,2,1,3,0.34,11,0,0,2,1,0,/en/players/da13074e/matchlogs/2019-2020/gca/Birkir-Bjarnason-Match-Logs
64,Kevin-Prince Boateng,gh,FW,Fiorentina,32,1987,6.7,19,2.85,17,0,0,0,2,2,0.30,17,0,0,0,2,0,/en/players/f4ec4fd0/matchlogs/2019-2020/gca/Kevin-Prince-Boateng-Match-Logs
65,Salvatore Bocchetti,it,DF,Hellas Verona,32,1986,3.4,1,0.30,1,0,0,0,0,0,0.00,1,0,0,0,0,0,/en/players/faa1b07d/matchlogs/2019-2020/gca/Salvatore-Bocchetti-Match-Logs
66,Jeremie Boga,ci,FW,Sassuolo,22,1997,27.9,92,3.29,51,0,28,3,10,13,0.47,51,0,28,3,10,0,/en/players/fe012aca/matchlogs/2019-2020/gca/Jeremie-Boga-Match-Logs
67,Giacomo Bonaventura,it,"MF,FW",Milan,29,1989,14.9,75,5.04,52,1,8,6,8,12,0.81,52,1,8,6,8,0,/en/players/d995ed27/matchlogs/2019-2020/gca/Giacomo-Bonaventura-Match-Logs
68,Federico Bonazzoli,it,"FW,MF",Sampdoria,22,1997,8.3,27,3.27,17,0,2,4,4,2,0.24,17,0,2,4,4,0,/en/players/bf57eaab/matchlogs/2019-2020/gca/Federico-Bonazzoli-Match-Logs
69,Kevin Bonifazi,it,DF,SPAL,23,1996,13.2,5,0.38,3,0,1,1,0,0,0.00,3,0,1,1,0,0,/en/players/fb77bfef/matchlogs/2019-2020/gca/Kevin-Bonifazi-Match-Logs
70,Kevin Bonifazi,it,DF,Torino,23,1996,2.7,1,0.36,1,0,0,0,0,0,0.00,1,0,0,0,0,0,/en/players/fb77bfef/matchlogs/2019-2020/gca/Kevin-Bonifazi-Match-Logs
71,Federico Bonini,it,DF,Bologna,17,2001,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,/en/players/f8f0744b/matchlogs/2019-2020/gca/Federico-Bonini-Match-Logs
72,Leonardo Bonucci,it,DF,Juventus,32,1987,34.2,28,0.82,27,0,0,1,0,2,0.06,27,0,0,1,0,0,/en/players/52ec54d0/matchlogs/2019-2020/gca/Leonardo-Bonucci-Match-Logs
73,Fabio Borini,it,"MF,FW",Milan,28,1991,0.8,1,1.29,0,0,1,0,0,0,0.00,0,0,1,0,0,0,/en/players/ef5b337e/matchlogs/2019-2020/gca/Fabio-Borini-Match-Logs
74,Fabio Borini,it,"FW,MF",Hellas Verona,28,1991,9.0,24,2.67,12,2,3,5,2,1,0.11,12,2,3,5,2,0,/en/players/ef5b337e/matchlogs/2019-2020/gca/Fabio-Borini-Match-Logs
75,Mehdi Bourabia,ma,MF,Sassuolo,27,1991,10.3,25,2.43,22,1,1,0,1,5,0.49,22,1,1,0,1,0,/en/players/0d077b88/matchlogs/2019-2020/gca/Mehdi-Bourabia-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,
76,Federico Brancolini,it,GK,Fiorentina,18,2001,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,/en/players/d4890c25/matchlogs/2019-2020/gca/Federico-Brancolini-Match-Logs
77,Gleison Bremer,br,DF,Torino,22,1997,25.2,14,0.56,12,0,0,0,2,0,0.00,12,0,0,0,2,0,/en/players/5fd5ed86/matchlogs/2019-2020/gca/Gleison-Bremer-Match-Logs
78,Marco Brescianini,it,MF,Milan,19,2000,0.3,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,/en/players/dfd56738/matchlogs/2019-2020/gca/Marco-Brescianini-Match-Logs
79,Marcelo Brozović,hr,MF,Inter,26,1992,30.0,94,3.13,77,7,2,8,0,15,0.50,77,7,2,8,0,0,/en/players/33b8d077/matchlogs/2019-2020/gca/Marcelo-Brozovic-Match-Logs
80,Gastón Brugman,uy,MF,Parma,26,1992,16.2,26,1.60,20,2,2,0,2,3,0.19,20,2,2,0,2,0,/en/players/e947ee4a/matchlogs/2019-2020/gca/Gaston-Brugman-Match-Logs
81,Gianluigi Buffon,it,GK,Juventus,41,1978,9.0,2,0.22,2,0,0,0,0,0,0.00,2,0,0,0,0,0,/en/players/e40d028b/matchlogs/2019-2020/gca/Gianluigi-Buffon-Match-Logs
82,Fabrizio Cacciatore,it,DF,Cagliari,32,1986,12.8,15,1.17,14,1,0,0,0,2,0.16,14,1,0,0,0,0,/en/players/00b0bb87/matchlogs/2019-2020/gca/Fabrizio-Cacciatore-Match-Logs
83,Martín Cáceres,uy,DF,Fiorentina,32,1987,26.2,27,1.03,17,4,0,5,1,1,0.04,17,4,0,5,1,0,/en/players/e94d79e3/matchlogs/2019-2020/gca/Martin-Caceres-Match-Logs
84,Felipe Caicedo,ec,FW,Lazio,30,1988,15.6,42,2.69,36,0,2,0,4,9,0.58,36,0,2,0,4,0,/en/players/93b891d1/matchlogs/2019-2020/gca/Felipe-Caicedo-Match-Logs
85,Davide Calabria,it,DF,Milan,22,1996,18.0,28,1.55,21,6,0,0,1,5,0.28,21,6,0,0,1,0,/en/players/2146785a/matchlogs/2019-2020/gca/Davide-Calabria-Match-Logs
86,Riccardo Calafiori,it,DF,Roma,17,2002,0.7,1,1.53,0,0,0,0,1,1,1.53,0,0,0,0,1,0,/en/players/aded8e6f/matchlogs/2019-2020/gca/Riccardo-Calafiori-Match-Logs
87,Mattia Caldara,it,DF,Atalanta,25,1994,10.7,3,0.28,3,0,0,0,0,1,0.09,3,0,0,0,0,0,/en/players/ac7e640b/matchlogs/2019-2020/gca/Mattia-Caldara-Match-Logs
88,Marco Calderoni,it,DF,Lecce,30,1989,22.9,38,1.66,26,8,1,2,1,5,0.22,26,8,1,2,1,0,/en/players/652811aa/matchlogs/2019-2020/gca/Marco-Calderoni-Match-Logs
89,Hakan Çalhanoğlu,tr,"MF,FW",Milan,25,1994,30.0,127,4.23,90,21,9,5,2,14,0.47,90,21,9,5,2,0,/en/players/cd0fa27b/matchlogs/2019-2020/gca/Hakan-Calhanoglu-Match-Logs
90,José Callejón,es,"FW,MF",Napoli,32,1987,24.1,98,4.06,66,26,0,2,4,9,0.37,66,26,0,2,4,0,/en/players/78841da9/matchlogs/2019-2020/gca/Jose-Callejon-Match-Logs
91,Emre Can,de,MF,Juventus,25,1994,3.2,7,2.22,4,1,1,0,1,0,0.00,4,1,1,0,1,0,/en/players/a65ce836/matchlogs/2019-2020/gca/Emre-Can-Match-Logs
92,Antonio Candreva,it,DF,Inter,32,1987,22.1,78,3.52,57,12,3,4,2,13,0.59,57,12,3,4,2,0,/en/players/356c9002/matchlogs/2019-2020/gca/Antonio-Candreva-Match-Logs
93,Gianmarco Cangiano,it,"FW,MF",Bologna,17,2001,0.2,2,8.57,0,0,1,0,1,0,0.00,0,0,1,0,1,0,/en/players/a36084cd/matchlogs/2019-2020/gca/Gianmarco-Cangiano-Match-Logs
94,Gianluca Caprari,it,"FW,MF",Parma,26,1993,6.5,29,4.43,21,2,2,3,1,3,0.46,21,2,2,3,1,0,/en/players/54e53b7e/matchlogs/2019-2020/gca/Gianluca-Caprari-Match-Logs
95,Gianluca Caprari,it,"FW,MF",Sampdoria,26,1993,7.4,29,3.91,20,1,4,3,1,2,0.27,20,1,4,3,1,0,/en/players/54e53b7e/matchlogs/2019-2020/gca/Gianluca-Caprari-Match-Logs
96,Francesco Caputo,it,FW,Sassuolo,31,1987,32.6,94,2.89,82,0,4,2,6,16,0.49,82,0,4,2,6,0,/en/players/5bd72174/matchlogs/2019-2020/gca/Francesco-Caputo-Match-Logs
97,Andrea Carboni,it,"DF,MF",Cagliari,18,2001,4.1,2,0.49,2,0,0,0,0,0,0.00,2,0,0,0,0,0,/en/players/f7e2af2c/matchlogs/2019-2020/gca/Andrea-Carboni-Match-Logs
98,Francesco Cassata,it,MF,Genoa,22,1997,16.2,29,1.79,27,0,0,0,2,2,0.12,27,0,0,0,2,0,/en/players/96960855/matchlogs/2019-2020/gca/Francesco-Cassata-Match-Logs
99,Timothy Castagne,be,DF,Atalanta,23,1995,19.7,44,2.24,38,2,1,1,2,6,0.31,38,2,1,1,2,0,/en/players/197640fd/matchlogs/2019-2020/gca/Timothy-Castagne-Match-Logs
100,Samu Castillejo,es,"FW,MF",Milan,24,1995,13.4,63,4.69,42,11,6,1,3,6,0.45,42,11,6,1,3,0,/en/players/130a7a3f/matchlogs/2019-2020/gca/Samu-Castillejo-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,
101,Lucas Castro,ar,MF,Cagliari,30,1989,6.7,13,1.93,10,1,2,0,0,1,0.15,10,1,2,0,0,0,/en/players/56b2957b/matchlogs/2019-2020/gca/Lucas-Castro-Match-Logs
102,Lucas Castro,ar,MF,SPAL,30,1989,4.7,13,2.75,12,0,0,0,1,0,0.00,12,0,0,0,1,0,/en/players/56b2957b/matchlogs/2019-2020/gca/Lucas-Castro-Match-Logs
103,Gaetano Castrovilli,it,MF,Fiorentina,22,1997,29.7,97,3.27,70,1,12,2,12,6,0.20,70,1,12,2,12,0,/en/players/0728bebe/matchlogs/2019-2020/gca/Gaetano-Castrovilli-Match-Logs
104,Danilo Cataldi,it,MF,Lazio,24,1994,6.6,27,4.10,19,6,1,1,0,1,0.15,19,6,1,1,0,0,/en/players/ba3d3bea/matchlogs/2019-2020/gca/Danilo-Cataldi-Match-Logs
105,Federico Ceccherini,it,DF,Fiorentina,27,1992,9.3,4,0.43,3,0,1,0,0,0,0.00,3,0,1,0,0,0,/en/players/d9624b51/matchlogs/2019-2020/gca/Federico-Ceccherini-Match-Logs
106,Christian Celesia,it,DF,Torino,17,2002,0.0,1,90.00,1,0,0,0,0,0,0.00,1,0,0,0,0,0,/en/players/d2fd20d6/matchlogs/2019-2020/gca/Christian-Celesia-Match-Logs
107,Luca Ceppitelli,it,DF,Cagliari,29,1989,13.8,6,0.43,6,0,0,0,0,1,0.07,6,0,0,0,0,0,/en/players/7d50454d/matchlogs/2019-2020/gca/Luca-Ceppitelli-Match-Logs
108,Alberto Cerri,it,FW,SPAL,23,1996,4.7,11,2.36,9,0,0,1,1,0,0.00,9,0,0,1,1,0,/en/players/1079c685/matchlogs/2019-2020/gca/Alberto-Cerri-Match-Logs
109,Alberto Cerri,it,FW,Cagliari,23,1996,2.7,4,1.48,4,0,0,0,0,0,0.00,4,0,0,0,0,0,/en/players/1079c685/matchlogs/2019-2020/gca/Alberto-Cerri-Match-Logs
110,Julian Chabot,de,DF,Sampdoria,21,1998,6.3,1,0.16,1,0,0,0,0,0,0.00,1,0,0,0,0,0,/en/players/ae7058f9/matchlogs/2019-2020/gca/Julian-Chabot-Match-Logs
111,Jhon Chancellor,ve,DF,Brescia,27,1992,24.9,1,0.04,1,0,0,0,0,0,0.00,1,0,0,0,0,0,/en/players/84b6acaa/matchlogs/2019-2020/gca/Jhon-Chancellor-Match-Logs
112,Giorgio Chiellini,it,DF,Juventus,34,1984,2.2,2,0.89,2,0,0,0,0,0,0.00,2,0,0,0,0,0,/en/players/e85fb9b8/matchlogs/2019-2020/gca/Giorgio-Chiellini-Match-Logs
113,Federico Chiesa,it,"FW,DF",Fiorentina,21,1997,29.3,105,3.58,67,2,12,9,14,14,0.48,67,2,12,9,14,1,/en/players/b0f7e36c/matchlogs/2019-2020/gca/Federico-Chiesa-Match-Logs
114,Vlad Chiricheș,ro,DF,Sassuolo,29,1989,7.9,2,0.25,2,0,0,0,0,1,0.13,2,0,0,0,0,0,/en/players/c316607a/matchlogs/2019-2020/gca/Vlad-Chiriches-Match-Logs
115,Luca Cigarini,it,MF,Cagliari,33,1986,17.8,62,3.49,38,22,1,0,1,9,0.51,38,22,1,0,1,0,/en/players/ae64d449/matchlogs/2019-2020/gca/Luca-Cigarini-Match-Logs
116,Thiago Cionek,pl,DF,SPAL,33,1986,24.1,29,1.20,24,3,0,1,1,3,0.12,24,3,0,1,1,0,/en/players/46f5c54d/matchlogs/2019-2020/gca/Thiago-Cionek-Match-Logs
117,Andrea Cistana,it,DF,Brescia,22,1997,20.4,9,0.44,8,0,0,1,0,1,0.05,8,0,0,1,0,0,/en/players/fe6a7685/matchlogs/2019-2020/gca/Andrea-Cistana-Match-Logs
118,Denilho Cleonise,nl,FW,Genoa,17,2001,0.5,1,1.91,1,0,0,0,0,0,0.00,1,0,0,0,0,0,/en/players/91c9de34/matchlogs/2019-2020/gca/Denilho-Cleonise-Match-Logs
119,Ebrima Colley,gm,FW,Atalanta,19,2000,0.9,6,6.59,3,0,1,1,1,1,1.10,3,0,1,1,1,0,/en/players/bf356094/matchlogs/2019-2020/gca/Ebrima-Colley-Match-Logs
120,Omar Colley,gm,DF,Sampdoria,26,1992,30.8,21,0.68,18,0,0,2,1,3,0.10,18,0,0,2,1,0,/en/players/8b95acda/matchlogs/2019-2020/gca/Omar-Colley-Match-Logs
121,Simone Colombi,it,GK,Parma,28,1991,4.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,/en/players/72be9309/matchlogs/2019-2020/gca/Simone-Colombi-Match-Logs
122,Lorenzo Colombo,it,FW,Milan,17,2002,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,/en/players/04df29a5/matchlogs/2019-2020/gca/Lorenzo-Colombo-Match-Logs
123,Andrea Consigli,it,GK,Sassuolo,32,1987,31.0,8,0.26,8,0,0,0,0,0,0.00,8,0,0,0,0,0,/en/players/8cabdc1e/matchlogs/2019-2020/gca/Andrea-Consigli-Match-Logs
124,Andrea Conti,it,DF,Milan,25,1994,19.2,24,1.25,21,3,0,0,0,2,0.10,21,3,0,0,0,0,/en/players/8fef5412/matchlogs/2019-2020/gca/Andrea-Conti-Match-Logs
