Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Francesco Acerbi,it,DF,Lazio,31,1988,35.1,1808,2010,90.0,41344,12487,1808,2010,90.0,1808,2010,90.0,1808,2010,90.0,2,1.6,+0.4,7,138,14,3,127,/en/players/b96b595c/matchlogs/2019-2020/passing/Francesco-Acerbi-Match-Logs
2,Bobby Adekanye,nl,FW,Lazio,20,1999,2.1,41,46,89.1,546,68,41,46,89.1,41,46,89.1,41,46,89.1,0,0.1,-0.1,2,1,0,0,1,/en/players/3ed84b2c/matchlogs/2019-2020/passing/Bobby-Adekanye-Match-Logs
3,Claud Adjapong,it,DF,Hellas Verona,21,1998,2.6,61,80,76.3,1113,358,61,80,76.3,61,80,76.3,61,80,76.3,0,0.0,0.0,0,6,0,0,8,/en/players/ce5b170a/matchlogs/2019-2020/passing/Claud-Adjapong-Match-Logs
4,Lucien Agoume,fr,MF,Inter,17,2002,0.8,36,39,92.3,671,201,36,39,92.3,36,39,92.3,36,39,92.3,0,0.1,-0.1,1,4,2,1,6,/en/players/8bc8829a/matchlogs/2019-2020/passing/Lucien-Agoume-Match-Logs
5,Kevin Agudelo,co,"MF,FW",Fiorentina,20,1998,0.7,29,36,80.6,458,141,29,36,80.6,29,36,80.6,29,36,80.6,0,0.1,-0.1,2,1,1,0,3,/en/players/46fa7204/matchlogs/2019-2020/passing/Kevin-Agudelo-Match-Logs
6,Kevin Agudelo,co,"MF,FW",Genoa,20,1998,7.4,245,301,81.4,3840,902,245,301,81.4,245,301,81.4,245,301,81.4,1,1.2,-0.2,11,20,5,0,17,/en/players/46fa7204/matchlogs/2019-2020/passing/Kevin-Agudelo-Match-Logs
7,Emmanuel Agyemang-Badu,gh,"MF,FW",Hellas Verona,28,1990,2.6,91,104,87.5,1746,291,91,104,87.5,91,104,87.5,91,104,87.5,0,0.0,0.0,1,4,1,0,6,/en/players/fe0b8f0e/matchlogs/2019-2020/passing/Emmanuel-Agyemang-Badu-Match-Logs
8,Ola Aina,ng,DF,Torino,22,1996,23.1,863,1160,74.4,15454,6409,863,1160,74.4,863,1160,74.4,863,1160,74.4,2,2.2,-0.2,21,56,21,11,133,/en/players/246d153b/matchlogs/2019-2020/passing/Ola-Aina-Match-Logs
9,Luis Alberto,es,MF,Lazio,26,1992,34.6,1792,2263,79.2,33398,11824,1792,2263,79.2,1792,2263,79.2,1792,2263,79.2,15,10.8,+4.2,108,255,97,5,376,/en/players/5294a83f/matchlogs/2019-2020/passing/Luis-Alberto-Match-Logs
10,Enrico Alfonso,it,GK,Brescia,31,1988,3.1,53,75,70.7,1492,856,53,75,70.7,53,75,70.7,53,75,70.7,0,0.0,0.0,0,0,0,0,0,/en/players/95adf1e1/matchlogs/2019-2020/passing/Enrico-Alfonso-Match-Logs
11,Allan,br,MF,Napoli,28,1991,14.2,718,829,86.6,13383,3236,718,829,86.6,718,829,86.6,718,829,86.6,1,1.1,-0.1,16,76,9,1,60,/en/players/cc700722/matchlogs/2019-2020/passing/Allan-Match-Logs
12,Bruno Alves,pt,DF,Parma,37,1981,29.7,1096,1312,83.5,30909,10181,1096,1312,83.5,1096,1312,83.5,1096,1312,83.5,0,0.5,-0.5,7,73,5,1,89,/en/players/585a73a8/matchlogs/2019-2020/passing/Bruno-Alves-Match-Logs
13,Sofyan Amrabat,ma,MF,Hellas Verona,22,1996,32.4,1525,1738,87.7,31615,6295,1525,1738,87.7,1525,1738,87.7,1525,1738,87.7,1,1.6,-0.6,30,150,33,9,157,/en/players/5a2cb25d/matchlogs/2019-2020/passing/Sofyan-Amrabat-Match-Logs
14,Djavan Anderson,nl,"DF,MF",Lazio,24,1995,1.9,58,68,85.3,1005,206,58,68,85.3,58,68,85.3,58,68,85.3,0,0.0,0.0,0,0,1,1,1,/en/players/ca241ad3/matchlogs/2019-2020/passing/Djavan-Anderson-Match-Logs
15,Lorenzo Andrenacci,it,GK,Brescia,24,1995,5.9,128,163,78.5,4227,2624,128,163,78.5,128,163,78.5,128,163,78.5,0,0.0,0.0,0,0,0,0,0,/en/players/fe471a89/matchlogs/2019-2020/passing/Lorenzo-Andrenacci-Match-Logs
16,Peter Ankersen,dk,DF,Genoa,28,1990,11.8,501,607,82.5,8128,2996,501,607,82.5,501,607,82.5,501,607,82.5,1,0.7,+0.3,8,18,12,6,61,/en/players/df525574/matchlogs/2019-2020/passing/Peter-Ankersen-Match-Logs
17,Cristian Ansaldi,ar,"DF,MF",Torino,32,1986,19.6,582,825,70.5,12734,4919,582,825,70.5,582,825,70.5,582,825,70.5,4,3.0,+1.0,32,47,47,35,128,/en/players/bbafc0c4/matchlogs/2019-2020/passing/Cristian-Ansaldi-Match-Logs
18,Mirko Antonucci,it,"FW,MF",Roma,20,1999,0.9,17,22,77.3,211,23,17,22,77.3,17,22,77.3,17,22,77.3,0,0.0,0.0,0,2,0,0,0,/en/players/91976866/matchlogs/2019-2020/passing/Mirko-Antonucci-Match-Logs
19,Guilherme Arana,br,DF,Atalanta,22,1997,0.9,42,54,77.8,796,273,42,54,77.8,42,54,77.8,42,54,77.8,0,0.0,0.0,1,2,3,1,6,/en/players/2b15a82a/matchlogs/2019-2020/passing/Guilherme-Arana-Match-Logs
