Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
24,Tommaso Augello,it,DF,Sampdoria,24,1994,12.6,825,696,129,9,1,83,15,80,2,0,1,0,436,221,168,634,31,29,118,1,635,2,1,18,29,/en/players/3cd3b384/matchlogs/2019-2020/passing_types/Tommaso-Augello-Match-Logs
25,Florian Ayé,fr,"FW,MF",Brescia,22,1997,15.3,308,297,11,0,0,103,2,7,0,0,0,0,185,77,46,43,208,24,2,2,219,1,0,9,19,/en/players/718b8afd/matchlogs/2019-2020/passing_types/Florian-Aye-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Khouma Babacar,sn,FW,Lecce,26,1993,15.8,306,291,15,2,0,96,5,2,0,0,0,0,179,88,39,25,229,19,2,15,225,0,0,5,13,/en/players/422ec08a/matchlogs/2019-2020/passing_types/Khouma-Babacar-Match-Logs
27,Milan Badelj,hr,MF,Fiorentina,30,1989,17.6,963,906,57,51,1,156,34,4,1,0,0,1,653,138,172,141,772,33,2,8,786,3,0,19,22,/en/players/e8c930bb/matchlogs/2019-2020/passing_types/Milan-Badelj-Match-Logs
28,Marco Ballarini,it,MF,Udinese,18,2001,0.0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,/en/players/8cb494c9/matchlogs/2019-2020/passing_types/Marco-Ballarini-Match-Logs
29,Mario Balotelli,it,FW,Brescia,28,1990,15.6,368,346,22,2,1,109,23,8,1,1,0,0,175,97,96,22,290,18,2,13,238,4,0,13,15,/en/players/8ff07990/matchlogs/2019-2020/passing_types/Mario-Balotelli-Match-Logs
30,Mattia Bani,it,DF,Bologna,25,1993,24.5,1109,1058,51,47,0,156,41,6,0,0,0,0,749,114,246,85,921,50,4,4,908,3,0,7,13,/en/players/0821331c/matchlogs/2019-2020/passing_types/Mattia-Bani-Match-Logs
31,Antonín Barák,cz,MF,Udinese,24,1994,2.2,104,98,6,2,0,29,1,7,2,1,1,0,69,16,19,87,8,3,2,1,76,0,1,3,5,/en/players/01efac19/matchlogs/2019-2020/passing_types/Antonin-Barak-Match-Logs
32,Antonín Barák,cz,MF,Lecce,24,1994,15.2,701,688,13,8,0,132,13,20,0,0,0,0,491,113,97,561,97,21,5,7,571,1,0,7,22,/en/players/01efac19/matchlogs/2019-2020/passing_types/Antonin-Barak-Match-Logs
33,Nicolò Barella,it,MF,Inter,22,1997,22.4,1237,1218,19,10,1,224,38,38,5,2,0,1,829,199,209,134,1053,19,4,8,1015,7,0,28,42,/en/players/6928979a/matchlogs/2019-2020/passing_types/Nicolo-Barella-Match-Logs
34,Antonino Barillà,it,MF,Parma,31,1988,18.8,521,504,17,4,2,78,13,25,9,3,3,0,350,73,98,372,105,30,2,2,402,3,3,15,14,/en/players/a64cbd35/matchlogs/2019-2020/passing_types/Antonino-Barilla-Match-Logs
35,Antonio Barreca,it,"DF,MF",Genoa,24,1995,12.2,400,317,83,4,0,62,20,63,2,0,1,0,182,84,134,285,19,11,77,0,266,1,1,8,27,/en/players/6a189491/matchlogs/2019-2020/passing_types/Antonio-Barreca-Match-Logs
36,Édgar Barreto,py,MF,Sampdoria,35,1984,1.0,33,31,2,2,0,6,0,0,0,0,0,0,25,5,3,6,26,1,0,0,28,0,0,1,0,/en/players/43a1bea5/matchlogs/2019-2020/passing_types/Edgar-Barreto-Match-Logs
37,Musa Barrow,gm,"FW,MF",Atalanta,20,1998,2.1,52,51,1,0,1,21,2,3,1,0,0,0,39,7,6,5,44,1,0,1,43,0,0,1,3,/en/players/e5bf73f3/matchlogs/2019-2020/passing_types/Musa-Barrow-Match-Logs
38,Musa Barrow,gm,FW,Bologna,20,1998,15.0,598,529,69,13,0,98,45,58,36,20,4,7,402,78,118,74,489,17,9,1,431,4,4,8,26,/en/players/e5bf73f3/matchlogs/2019-2020/passing_types/Musa-Barrow-Match-Logs
39,Daniele Baselli,it,MF,Torino,27,1992,14.2,724,626,98,59,0,111,40,51,30,1,4,3,443,106,175,74,604,32,6,2,584,2,4,11,7,/en/players/ea06dd97/matchlogs/2019-2020/passing_types/Daniele-Baselli-Match-Logs
40,Alessandro Bastoni,it,DF,Inter,20,1999,21.3,1428,1345,83,58,2,210,48,20,0,0,0,0,1035,171,222,1115,220,42,23,5,1256,7,0,7,22,/en/players/75b86fb3/matchlogs/2019-2020/passing_types/Alessandro-Bastoni-Match-Logs
41,Bastos,ao,DF,Lazio,28,1991,8.5,416,405,11,9,0,47,7,0,0,0,0,0,355,31,30,86,315,10,2,1,378,1,0,6,5,/en/players/c01c66d9/matchlogs/2019-2020/passing_types/Bastos-Match-Logs
42,Rodrigo Becão,br,DF,Udinese,23,1996,24.6,1042,990,52,45,0,111,31,5,0,0,0,0,797,100,145,91,886,23,7,9,899,1,0,10,18,/en/players/19e4eab9/matchlogs/2019-2020/passing_types/Rodrigo-Becao-Match-Logs
43,Asmir Begović,ba,GK,Milan,32,1987,1.4,36,19,17,5,0,0,1,0,0,0,0,0,25,1,10,4,27,0,0,5,29,0,0,0,0,/en/players/7b4de647/matchlogs/2019-2020/passing_types/Asmir-Begovic-Match-Logs
44,Valon Behrami,ch,MF,Genoa,34,1985,12.3,440,428,12,12,1,70,5,1,0,0,0,0,331,44,65,53,343,32,0,1,369,3,0,5,12,/en/players/d3d758d8/matchlogs/2019-2020/passing_types/Valon-Behrami-Match-Logs
45,Raoul Bellanova,it,DF,Atalanta,19,2000,0.2,13,12,1,0,0,4,0,0,0,0,0,0,11,2,0,1,11,0,1,0,12,0,0,0,0,/en/players/e3756e72/matchlogs/2019-2020/passing_types/Raoul-Bellanova-Match-Logs
46,Andrea Belotti,it,FW,Torino,25,1993,33.4,750,698,52,4,3,234,18,48,0,0,0,0,463,158,129,118,508,36,1,4,502,0,0,16,66,/en/players/d705ba44/matchlogs/2019-2020/passing_types/Andrea-Belotti-Match-Logs
47,Marco Benassi,it,MF,Fiorentina,24,1994,10.9,342,331,11,2,1,71,5,19,1,0,0,0,211,78,53,84,237,12,5,1,262,1,0,7,10,/en/players/0000acda/matchlogs/2019-2020/passing_types/Marco-Benassi-Match-Logs
48,Ismaël Bennacer,dz,MF,Milan,21,1997,27.6,1808,1691,117,72,0,287,44,34,26,6,17,1,1341,228,239,1560,169,51,2,5,1585,6,17,24,22,/en/players/db092d3b/matchlogs/2019-2020/passing_types/Ismael-Bennacer-Match-Logs
49,Rodrigo Bentancur,uy,MF,Juventus,22,1997,24.4,1640,1556,84,35,5,284,50,53,41,11,18,1,1294,180,166,303,1269,35,6,4,1434,4,18,14,40,/en/players/3b8674e6/matchlogs/2019-2020/passing_types/Rodrigo-Bentancur-Match-Logs
50,Romario Benzar,ro,DF,Lecce,27,1992,1.1,69,57,12,0,0,20,2,7,0,0,0,0,34,12,23,5,51,1,12,0,50,0,0,1,3,/en/players/2e3596d1/matchlogs/2019-2020/passing_types/Romario-Benzar-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Domenico Berardi,it,FW,Sassuolo,24,1994,27.7,1192,1093,99,30,12,267,55,111,60,33,20,4,782,180,230,1004,139,22,5,6,879,5,20,36,48,/en/players/53a0e358/matchlogs/2019-2020/passing_types/Domenico-Berardi-Match-Logs
52,Álex Berenguer,es,"MF,FW",Torino,24,1995,20.3,791,694,97,25,10,132,24,71,28,7,7,0,495,146,150,87,624,24,42,1,587,0,7,15,35,/en/players/dc1c2fce/matchlogs/2019-2020/passing_types/Alex-Berenguer-Match-Logs
53,Bartosz Bereszyński,pl,DF,Sampdoria,27,1992,26.7,1332,1068,264,33,0,148,13,49,1,0,0,0,773,234,325,104,925,51,230,4,1040,3,0,14,37,/en/players/61b3978f/matchlogs/2019-2020/passing_types/Bartosz-Bereszynski-Match-Logs
54,Etrit Berisha,al,GK,SPAL,30,1989,26.0,884,569,315,81,0,86,11,0,0,0,0,0,370,64,450,555,169,2,0,137,623,4,0,4,2,/en/players/ee833569/matchlogs/2019-2020/passing_types/Etrit-Berisha-Match-Logs
55,Valon Berisha,xk,"MF,FW",Lazio,26,1993,0.4,7,7,0,0,0,1,0,0,0,0,0,0,6,0,1,1,5,1,0,0,5,0,0,0,0,/en/players/d5575935/matchlogs/2019-2020/passing_types/Valon-Berisha-Match-Logs
56,Federico Bernardeschi,it,"MF,FW",Juventus,25,1994,17.5,685,635,50,16,2,121,28,55,23,2,12,5,502,93,90,630,28,9,10,4,561,1,12,11,23,/en/players/ee93c1a9/matchlogs/2019-2020/passing_types/Federico-Bernardeschi-Match-Logs
57,Andrea Bertolacci,it,MF,Sampdoria,28,1991,5.9,255,243,12,11,0,47,6,3,0,0,0,0,170,42,43,171,66,10,1,0,205,0,0,5,3,/en/players/c75b6a02/matchlogs/2019-2020/passing_types/Andrea-Bertolacci-Match-Logs
58,Lucas Biglia,ar,MF,Milan,33,1986,7.6,438,399,39,30,0,76,16,3,2,0,2,0,320,67,51,96,313,13,2,1,398,0,2,6,6,/en/players/5710a281/matchlogs/2019-2020/passing_types/Lucas-Biglia-Match-Logs
59,Cristiano Biraghi,it,"DF,MF",Inter,26,1992,17.5,901,698,203,21,0,106,30,139,37,15,7,4,425,202,274,596,138,20,145,1,646,8,7,18,48,/en/players/9e1577aa/matchlogs/2019-2020/passing_types/Cristiano-Biraghi-Match-Logs
60,Davide Biraschi,it,DF,Genoa,25,1994,21.9,1194,1006,188,39,0,160,20,40,0,0,0,0,654,190,350,68,918,38,149,3,895,4,0,17,44,/en/players/64cd167d/matchlogs/2019-2020/passing_types/Davide-Biraschi-Match-Logs
61,Valter Birsa,si,MF,Cagliari,32,1986,4.8,330,293,37,16,1,32,14,24,15,7,6,0,222,44,64,228,82,13,5,0,270,2,6,4,8,/en/players/455a2b79/matchlogs/2019-2020/passing_types/Valter-Birsa-Match-Logs
62,Dimitri Bisoli,it,MF,Brescia,25,1994,23.9,781,755,26,8,0,186,13,64,0,0,0,0,399,183,199,106,598,39,18,8,509,9,0,21,50,/en/players/16569fef/matchlogs/2019-2020/passing_types/Dimitri-Bisoli-Match-Logs
63,Birkir Bjarnason,is,"MF,FW",Brescia,31,1988,8.9,268,254,14,7,0,59,10,13,1,1,0,0,165,44,59,54,194,6,3,1,205,2,0,2,10,/en/players/da13074e/matchlogs/2019-2020/passing_types/Birkir-Bjarnason-Match-Logs
64,Kevin-Prince Boateng,gh,FW,Fiorentina,32,1987,6.7,199,184,15,1,0,51,4,4,0,0,0,0,124,38,37,31,135,12,1,6,155,0,0,2,4,/en/players/f4ec4fd0/matchlogs/2019-2020/passing_types/Kevin-Prince-Boateng-Match-Logs
65,Salvatore Bocchetti,it,DF,Hellas Verona,32,1986,3.4,176,166,10,5,0,23,0,0,0,0,0,0,119,30,27,125,25,10,5,3,147,1,0,3,3,/en/players/faa1b07d/matchlogs/2019-2020/passing_types/Salvatore-Bocchetti-Match-Logs
66,Jeremie Boga,ci,FW,Sassuolo,22,1997,27.9,986,976,10,3,0,215,5,24,1,1,0,0,811,129,46,89,857,25,5,5,840,0,0,21,29,/en/players/fe012aca/matchlogs/2019-2020/passing_types/Jeremie-Boga-Match-Logs
67,Giacomo Bonaventura,it,"MF,FW",Milan,29,1989,14.9,701,671,30,10,2,161,15,28,15,7,4,1,531,96,74,105,566,18,1,6,588,2,4,5,20,/en/players/d995ed27/matchlogs/2019-2020/passing_types/Giacomo-Bonaventura-Match-Logs
68,Federico Bonazzoli,it,"FW,MF",Sampdoria,22,1997,8.3,209,198,11,1,0,48,13,10,0,0,0,0,141,41,27,161,38,4,1,1,146,0,0,10,14,/en/players/bf57eaab/matchlogs/2019-2020/passing_types/Federico-Bonazzoli-Match-Logs
69,Kevin Bonifazi,it,DF,SPAL,23,1996,13.2,670,646,24,19,0,93,11,4,0,0,0,0,479,68,123,221,406,25,5,2,575,0,0,6,7,/en/players/fb77bfef/matchlogs/2019-2020/passing_types/Kevin-Bonifazi-Match-Logs
70,Kevin Bonifazi,it,DF,Torino,23,1996,2.7,88,85,3,3,0,10,3,0,0,0,0,0,63,12,13,23,59,4,0,0,76,0,0,1,1,/en/players/fb77bfef/matchlogs/2019-2020/passing_types/Kevin-Bonifazi-Match-Logs
71,Federico Bonini,it,DF,Bologna,17,2001,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,2,3,0,0,0,5,0,0,0,0,/en/players/f8f0744b/matchlogs/2019-2020/passing_types/Federico-Bonini-Match-Logs
72,Leonardo Bonucci,it,DF,Juventus,32,1987,34.2,2087,2004,83,80,8,192,85,6,0,0,0,0,1469,246,372,303,1672,61,3,17,1829,7,0,14,20,/en/players/52ec54d0/matchlogs/2019-2020/passing_types/Leonardo-Bonucci-Match-Logs
73,Fabio Borini,it,"MF,FW",Milan,28,1991,0.8,22,21,1,1,0,2,0,0,0,0,0,0,15,4,3,8,12,2,0,0,17,0,0,0,1,/en/players/ef5b337e/matchlogs/2019-2020/passing_types/Fabio-Borini-Match-Logs
74,Fabio Borini,it,"FW,MF",Hellas Verona,28,1991,9.0,263,244,19,4,2,51,10,19,8,0,7,0,146,57,60,47,184,19,6,0,181,2,7,5,14,/en/players/ef5b337e/matchlogs/2019-2020/passing_types/Fabio-Borini-Match-Logs
75,Mehdi Bourabia,ma,MF,Sassuolo,27,1991,10.3,758,729,29,22,4,117,18,7,4,1,1,2,583,93,82,106,623,9,3,6,658,3,1,8,7,/en/players/0d077b88/matchlogs/2019-2020/passing_types/Mehdi-Bourabia-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Federico Brancolini,it,GK,Fiorentina,18,2001,0.1,3,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,3,0,0,0,0,/en/players/d4890c25/matchlogs/2019-2020/passing_types/Federico-Brancolini-Match-Logs
77,Gleison Bremer,br,DF,Torino,22,1997,25.2,1125,1088,37,31,0,165,52,1,1,0,0,0,803,114,208,267,772,47,5,5,921,0,0,17,19,/en/players/5fd5ed86/matchlogs/2019-2020/passing_types/Gleison-Bremer-Match-Logs
78,Marco Brescianini,it,MF,Milan,19,2000,0.3,23,23,0,0,0,2,0,0,0,0,0,0,19,3,1,13,8,1,0,0,23,0,0,0,0,/en/players/dfd56738/matchlogs/2019-2020/passing_types/Marco-Brescianini-Match-Logs
79,Marcelo Brozović,hr,MF,Inter,26,1992,30.0,2159,2032,127,92,3,306,123,49,26,8,3,2,1513,365,281,288,1775,68,7,4,1905,11,3,36,32,/en/players/33b8d077/matchlogs/2019-2020/passing_types/Marcelo-Brozovic-Match-Logs
80,Gastón Brugman,uy,MF,Parma,26,1992,16.2,678,638,40,28,2,122,24,12,6,4,2,0,441,108,129,101,547,18,3,3,567,1,2,18,11,/en/players/e947ee4a/matchlogs/2019-2020/passing_types/Gaston-Brugman-Match-Logs
81,Gianluigi Buffon,it,GK,Juventus,41,1978,9.0,212,145,67,10,1,17,2,0,0,0,0,0,159,14,39,20,148,0,1,40,195,0,0,0,1,/en/players/e40d028b/matchlogs/2019-2020/passing_types/Gianluigi-Buffon-Match-Logs
82,Fabrizio Cacciatore,it,DF,Cagliari,32,1986,12.8,705,574,131,17,0,94,29,37,0,0,0,0,349,155,201,115,449,20,114,2,557,0,0,16,16,/en/players/00b0bb87/matchlogs/2019-2020/passing_types/Fabrizio-Cacciatore-Match-Logs
83,Martín Cáceres,uy,DF,Fiorentina,32,1987,26.2,1306,1162,144,62,2,163,44,12,0,0,0,0,888,141,277,368,799,34,82,13,1098,2,0,15,18,/en/players/e94d79e3/matchlogs/2019-2020/passing_types/Martin-Caceres-Match-Logs
84,Felipe Caicedo,ec,FW,Lazio,30,1988,15.6,404,399,5,2,1,111,4,0,0,0,0,0,282,95,27,290,72,13,1,10,321,2,0,10,5,/en/players/93b891d1/matchlogs/2019-2020/passing_types/Felipe-Caicedo-Match-Logs
85,Davide Calabria,it,DF,Milan,22,1996,18.0,1169,980,189,23,1,121,24,47,0,0,0,0,685,211,273,74,868,45,166,5,945,1,0,17,26,/en/players/2146785a/matchlogs/2019-2020/passing_types/Davide-Calabria-Match-Logs
86,Riccardo Calafiori,it,DF,Roma,17,2002,0.7,14,14,0,0,0,0,0,0,0,0,0,0,10,2,2,8,3,3,0,0,10,0,0,0,0,/en/players/aded8e6f/matchlogs/2019-2020/passing_types/Riccardo-Calafiori-Match-Logs
87,Mattia Caldara,it,DF,Atalanta,25,1994,10.7,424,409,15,15,0,43,5,2,0,0,0,0,313,53,58,34,351,21,0,2,381,1,0,2,5,/en/players/ac7e640b/matchlogs/2019-2020/passing_types/Mattia-Caldara-Match-Logs
88,Marco Calderoni,it,DF,Lecce,30,1989,22.9,1122,891,231,32,1,140,34,103,23,1,11,1,579,224,319,830,96,12,176,3,829,5,11,19,61,/en/players/652811aa/matchlogs/2019-2020/passing_types/Marco-Calderoni-Match-Logs
89,Hakan Çalhanoğlu,tr,"MF,FW",Milan,25,1994,30.0,1649,1496,153,45,8,276,76,151,92,37,36,3,1070,260,319,179,1396,32,13,12,1289,9,36,34,46,/en/players/cd0fa27b/matchlogs/2019-2020/passing_types/Hakan-Calhanoglu-Match-Logs
90,José Callejón,es,"FW,MF",Napoli,32,1987,24.1,1246,1126,120,31,3,182,72,170,63,7,45,4,780,194,272,163,1014,31,25,7,993,3,45,15,38,/en/players/78841da9/matchlogs/2019-2020/passing_types/Jose-Callejon-Match-Logs
91,Emre Can,de,MF,Juventus,25,1994,3.2,164,159,5,3,1,27,3,3,0,0,0,0,130,21,13,23,133,3,2,1,142,0,0,1,2,/en/players/a65ce836/matchlogs/2019-2020/passing_types/Emre-Can-Match-Logs
92,Antonio Candreva,it,DF,Inter,32,1987,22.1,1371,1155,216,13,2,165,79,178,31,6,15,7,664,310,397,227,949,15,172,6,1053,8,15,27,53,/en/players/356c9002/matchlogs/2019-2020/passing_types/Antonio-Candreva-Match-Logs
93,Gianmarco Cangiano,it,"FW,MF",Bologna,17,2001,0.2,12,11,1,0,0,1,2,1,0,0,0,0,8,0,4,0,11,1,0,0,9,0,0,0,0,/en/players/a36084cd/matchlogs/2019-2020/passing_types/Gianmarco-Cangiano-Match-Logs
94,Gianluca Caprari,it,"FW,MF",Parma,26,1993,6.5,212,186,26,7,2,33,5,21,10,1,4,2,146,29,37,24,179,3,1,4,169,2,4,4,8,/en/players/54e53b7e/matchlogs/2019-2020/passing_types/Gianluca-Caprari-Match-Logs
95,Gianluca Caprari,it,"FW,MF",Sampdoria,26,1993,7.4,256,220,36,6,0,67,11,25,18,11,3,1,165,43,48,34,209,8,5,0,189,0,3,6,12,/en/players/54e53b7e/matchlogs/2019-2020/passing_types/Gianluca-Caprari-Match-Logs
96,Francesco Caputo,it,FW,Sassuolo,31,1987,32.6,813,734,79,2,6,212,5,9,0,0,0,0,587,149,77,134,618,21,1,30,636,5,0,29,21,/en/players/5bd72174/matchlogs/2019-2020/passing_types/Francesco-Caputo-Match-Logs
97,Andrea Carboni,it,"DF,MF",Cagliari,18,2001,4.1,163,148,15,7,0,13,5,2,0,0,0,0,101,18,44,122,23,8,8,0,134,0,0,0,2,/en/players/f7e2af2c/matchlogs/2019-2020/passing_types/Andrea-Carboni-Match-Logs
98,Francesco Cassata,it,MF,Genoa,22,1997,16.2,653,628,25,8,0,146,20,26,1,0,0,1,442,101,110,39,576,10,16,3,511,3,0,8,30,/en/players/96960855/matchlogs/2019-2020/passing_types/Francesco-Cassata-Match-Logs
99,Timothy Castagne,be,DF,Atalanta,23,1995,19.7,1133,990,143,6,1,163,9,60,1,0,0,1,752,217,164,147,791,41,136,0,952,0,0,18,24,/en/players/197640fd/matchlogs/2019-2020/passing_types/Timothy-Castagne-Match-Logs
100,Samu Castillejo,es,"FW,MF",Milan,24,1995,13.4,560,510,50,10,4,100,18,68,26,11,8,0,353,86,121,449,77,8,12,3,422,4,8,11,19,/en/players/130a7a3f/matchlogs/2019-2020/passing_types/Samu-Castillejo-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Lucas Castro,ar,MF,Cagliari,30,1989,6.7,294,286,8,0,0,55,11,21,3,0,2,0,162,57,75,17,253,14,5,2,218,3,2,7,11,/en/players/56b2957b/matchlogs/2019-2020/passing_types/Lucas-Castro-Match-Logs
102,Lucas Castro,ar,MF,SPAL,30,1989,4.7,213,211,2,2,0,37,4,4,0,0,0,0,135,37,41,16,184,6,0,2,166,0,0,3,5,/en/players/56b2957b/matchlogs/2019-2020/passing_types/Lucas-Castro-Match-Logs
103,Gaetano Castrovilli,it,MF,Fiorentina,22,1997,29.7,1141,1098,43,18,3,243,34,39,7,2,2,2,854,147,140,165,936,17,8,6,922,4,2,23,41,/en/players/0728bebe/matchlogs/2019-2020/passing_types/Gaetano-Castrovilli-Match-Logs
104,Danilo Cataldi,it,MF,Lazio,24,1994,6.6,454,406,48,18,1,53,15,35,26,5,14,3,323,49,82,78,361,7,4,1,377,0,14,8,10,/en/players/ba3d3bea/matchlogs/2019-2020/passing_types/Danilo-Cataldi-Match-Logs
