Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Francesco Acerbi,it,DF,Lazio,31,1988,35.1,4,0,0,25,41,5,26,42,33,1,0,0,356,73,35,67.6,/en/players/b96b595c/matchlogs/2019-2020/misc/Francesco-Acerbi-Match-Logs
2,Bobby Adekanye,nl,FW,Lazio,20,1999,2.1,1,0,0,2,3,1,1,3,3,0,0,0,10,1,6,14.3,/en/players/3ed84b2c/matchlogs/2019-2020/misc/Bobby-Adekanye-Match-Logs
3,Claud Adjapong,it,DF,Hellas Verona,21,1998,2.6,0,0,0,3,2,1,2,4,3,0,0,0,12,4,2,66.7,/en/players/ce5b170a/matchlogs/2019-2020/misc/Claud-Adjapong-Match-Logs
4,Lucien Agoume,fr,MF,Inter,17,2002,0.8,1,0,0,1,0,0,2,0,3,0,0,0,10,1,0,100.0,/en/players/8bc8829a/matchlogs/2019-2020/misc/Lucien-Agoume-Match-Logs
5,Kevin Agudelo,co,"MF,FW",Fiorentina,20,1998,0.7,0,0,0,3,1,0,0,1,1,0,0,0,11,0,2,0.0,/en/players/46fa7204/matchlogs/2019-2020/misc/Kevin-Agudelo-Match-Logs
6,Kevin Agudelo,co,"MF,FW",Genoa,20,1998,7.4,5,1,1,20,11,1,11,6,18,0,1,0,55,4,6,40.0,/en/players/46fa7204/matchlogs/2019-2020/misc/Kevin-Agudelo-Match-Logs
7,Emmanuel Agyemang-Badu,gh,"MF,FW",Hellas Verona,28,1990,2.6,2,0,0,7,3,1,1,1,1,0,0,0,22,5,12,29.4,/en/players/fe0b8f0e/matchlogs/2019-2020/misc/Emmanuel-Agyemang-Badu-Match-Logs
8,Ola Aina,ng,DF,Torino,22,1996,23.1,8,0,0,26,35,2,62,42,28,0,0,0,165,26,23,53.1,/en/players/246d153b/matchlogs/2019-2020/misc/Ola-Aina-Match-Logs
9,Luis Alberto,es,MF,Lazio,26,1992,34.6,5,0,0,20,38,1,179,24,34,0,0,0,291,8,15,34.8,/en/players/5294a83f/matchlogs/2019-2020/misc/Luis-Alberto-Match-Logs
10,Enrico Alfonso,it,GK,Brescia,31,1988,3.1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,/en/players/95adf1e1/matchlogs/2019-2020/misc/Enrico-Alfonso-Match-Logs
11,Allan,br,MF,Napoli,28,1991,14.2,3,0,0,30,24,0,13,13,36,0,0,0,123,10,7,58.8,/en/players/cc700722/matchlogs/2019-2020/misc/Allan-Match-Logs
12,Bruno Alves,pt,DF,Parma,37,1981,29.7,4,0,0,24,12,1,13,28,11,0,2,0,256,88,23,79.3,/en/players/585a73a8/matchlogs/2019-2020/misc/Bruno-Alves-Match-Logs
13,Sofyan Amrabat,ma,MF,Hellas Verona,22,1996,32.4,10,2,0,63,60,0,23,31,42,1,0,0,356,24,41,36.9,/en/players/5a2cb25d/matchlogs/2019-2020/misc/Sofyan-Amrabat-Match-Logs
14,Djavan Anderson,nl,"DF,MF",Lazio,24,1995,1.9,1,0,0,4,1,0,2,3,1,0,0,0,19,1,2,33.3,/en/players/ca241ad3/matchlogs/2019-2020/misc/Djavan-Anderson-Match-Logs
15,Lorenzo Andrenacci,it,GK,Brescia,24,1995,5.9,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,,/en/players/fe471a89/matchlogs/2019-2020/misc/Lorenzo-Andrenacci-Match-Logs
16,Peter Ankersen,dk,DF,Genoa,28,1990,11.8,2,0,0,9,12,1,22,9,5,0,0,0,73,9,4,69.2,/en/players/df525574/matchlogs/2019-2020/misc/Peter-Ankersen-Match-Logs
