Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
34,Antonino Barillà,it,MF,Parma,31,1988,18.8,48,33,21,19,8,48,46,28.3,33,453,107,23.6,21,19,8,41,6,0,35,19,67,35,0,/en/players/a64cbd35/matchlogs/2019-2020/defense/Antonino-Barilla-Match-Logs
35,Antonio Barreca,it,"DF,MF",Genoa,24,1995,12.2,9,3,4,3,2,9,5,40.0,3,110,26,23.6,4,3,2,23,6,0,17,1,10,21,0,/en/players/6a189491/matchlogs/2019-2020/defense/Antonio-Barreca-Match-Logs
36,Édgar Barreto,py,MF,Sampdoria,35,1984,1.0,5,2,0,2,3,5,4,75.0,1,19,6,31.6,0,2,3,1,0,0,1,0,5,0,0,/en/players/43a1bea5/matchlogs/2019-2020/defense/Edgar-Barreto-Match-Logs
37,Musa Barrow,gm,"FW,MF",Atalanta,20,1998,2.1,1,1,1,0,0,1,1,0.0,1,46,10,21.7,1,0,0,3,0,0,3,0,1,1,0,/en/players/e5bf73f3/matchlogs/2019-2020/defense/Musa-Barrow-Match-Logs
38,Musa Barrow,gm,FW,Bologna,20,1998,15.0,18,9,9,7,2,18,22,22.7,17,296,75,25.3,9,7,2,19,0,0,19,4,22,11,1,/en/players/e5bf73f3/matchlogs/2019-2020/defense/Musa-Barrow-Match-Logs
39,Daniele Baselli,it,MF,Torino,27,1992,14.2,48,32,24,15,9,48,46,26.1,34,329,87,26.4,24,15,9,32,5,0,27,25,73,31,1,/en/players/ea06dd97/matchlogs/2019-2020/defense/Daniele-Baselli-Match-Logs
40,Alessandro Bastoni,it,DF,Inter,20,1999,21.3,38,21,16,15,7,38,32,50.0,16,246,67,27.2,16,15,7,34,13,0,21,26,64,74,0,/en/players/75b86fb3/matchlogs/2019-2020/defense/Alessandro-Bastoni-Match-Logs
41,Bastos,ao,DF,Lazio,28,1991,8.5,13,10,7,6,0,13,14,28.6,10,111,32,28.8,7,6,0,17,10,0,7,14,27,33,0,/en/players/c01c66d9/matchlogs/2019-2020/defense/Bastos-Match-Logs
42,Rodrigo Becão,br,DF,Udinese,23,1996,24.6,69,45,44,20,5,69,52,53.8,24,329,103,31.3,44,20,5,50,22,0,28,43,112,95,1,/en/players/19e4eab9/matchlogs/2019-2020/defense/Rodrigo-Becao-Match-Logs
43,Asmir Begović,ba,GK,Milan,32,1987,1.4,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,/en/players/7b4de647/matchlogs/2019-2020/defense/Asmir-Begovic-Match-Logs
44,Valon Behrami,ch,MF,Genoa,34,1985,12.3,36,25,12,18,6,36,35,22.9,27,358,100,27.9,12,18,6,35,10,0,25,9,45,17,0,/en/players/d3d758d8/matchlogs/2019-2020/defense/Valon-Behrami-Match-Logs
45,Raoul Bellanova,it,DF,Atalanta,19,2000,0.2,0,0,0,0,0,0,0,,0,3,2,66.7,0,0,0,0,0,0,0,0,0,0,0,/en/players/e3756e72/matchlogs/2019-2020/defense/Raoul-Bellanova-Match-Logs
46,Andrea Belotti,it,FW,Torino,25,1993,33.4,34,26,13,11,10,34,41,14.6,35,459,104,22.7,13,11,10,26,6,0,20,6,40,18,1,/en/players/d705ba44/matchlogs/2019-2020/defense/Andrea-Belotti-Match-Logs
47,Marco Benassi,it,MF,Fiorentina,24,1994,10.9,17,10,10,3,4,17,31,32.3,21,226,50,22.1,10,3,4,19,2,0,17,4,21,13,0,/en/players/0000acda/matchlogs/2019-2020/defense/Marco-Benassi-Match-Logs
48,Ismaël Bennacer,dz,MF,Milan,21,1997,27.6,90,59,30,50,10,90,66,40.9,39,588,176,29.9,30,50,10,39,9,0,30,52,142,19,2,/en/players/db092d3b/matchlogs/2019-2020/defense/Ismael-Bennacer-Match-Logs
49,Rodrigo Bentancur,uy,MF,Juventus,22,1997,24.4,77,49,31,29,17,77,67,41.8,39,577,160,27.7,31,29,17,58,6,0,52,30,107,34,0,/en/players/3b8674e6/matchlogs/2019-2020/defense/Rodrigo-Bentancur-Match-Logs
50,Romario Benzar,ro,DF,Lecce,27,1992,1.1,2,2,1,1,0,2,3,66.7,1,10,2,20.0,1,1,0,1,0,0,1,0,2,5,0,/en/players/2e3596d1/matchlogs/2019-2020/defense/Romario-Benzar-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Domenico Berardi,it,FW,Sassuolo,24,1994,27.7,38,22,19,13,6,38,68,17.6,56,635,144,22.7,19,13,6,47,4,1,43,33,71,26,0,/en/players/53a0e358/matchlogs/2019-2020/defense/Domenico-Berardi-Match-Logs
52,Álex Berenguer,es,"MF,FW",Torino,24,1995,20.3,22,12,8,10,4,22,38,23.7,29,441,99,22.4,8,10,4,34,1,0,33,17,39,19,0,/en/players/dc1c2fce/matchlogs/2019-2020/defense/Alex-Berenguer-Match-Logs
53,Bartosz Bereszyński,pl,DF,Sampdoria,27,1992,26.7,61,33,28,27,6,61,65,43.1,37,379,109,28.8,28,27,6,72,16,0,56,33,94,97,1,/en/players/61b3978f/matchlogs/2019-2020/defense/Bartosz-Bereszynski-Match-Logs
54,Etrit Berisha,al,GK,SPAL,30,1989,26.0,1,0,1,0,0,1,4,25.0,3,8,1,12.5,1,0,0,0,0,0,0,0,1,1,0,/en/players/ee833569/matchlogs/2019-2020/defense/Etrit-Berisha-Match-Logs
55,Valon Berisha,xk,"MF,FW",Lazio,26,1993,0.4,1,0,0,1,0,1,2,50.0,1,14,2,14.3,0,1,0,0,0,0,0,0,1,2,0,/en/players/d5575935/matchlogs/2019-2020/defense/Valon-Berisha-Match-Logs
56,Federico Bernardeschi,it,"MF,FW",Juventus,25,1994,17.5,14,7,5,3,6,14,24,16.7,20,310,73,23.5,5,3,6,21,1,0,20,14,28,12,0,/en/players/ee93c1a9/matchlogs/2019-2020/defense/Federico-Bernardeschi-Match-Logs
57,Andrea Bertolacci,it,MF,Sampdoria,28,1991,5.9,10,5,2,6,2,10,10,10.0,9,82,26,31.7,2,6,2,9,1,0,8,2,12,9,0,/en/players/c75b6a02/matchlogs/2019-2020/defense/Andrea-Bertolacci-Match-Logs
58,Lucas Biglia,ar,MF,Milan,33,1986,7.6,12,8,7,5,0,12,21,23.8,16,213,50,23.5,7,5,0,14,5,0,9,10,22,13,0,/en/players/5710a281/matchlogs/2019-2020/defense/Lucas-Biglia-Match-Logs
59,Cristiano Biraghi,it,"DF,MF",Inter,26,1992,17.5,28,14,13,10,5,28,27,37.0,17,230,53,23.0,13,10,5,51,7,0,44,13,41,39,0,/en/players/9e1577aa/matchlogs/2019-2020/defense/Cristiano-Biraghi-Match-Logs
60,Davide Biraschi,it,DF,Genoa,25,1994,21.9,49,31,28,17,4,49,23,56.5,10,288,98,34.0,28,17,4,39,16,0,23,35,84,74,0,/en/players/64cd167d/matchlogs/2019-2020/defense/Davide-Biraschi-Match-Logs
61,Valter Birsa,si,MF,Cagliari,32,1986,4.8,9,8,2,6,1,9,21,28.6,15,73,20,27.4,2,6,1,9,1,0,8,4,13,7,0,/en/players/455a2b79/matchlogs/2019-2020/defense/Valter-Birsa-Match-Logs
62,Dimitri Bisoli,it,MF,Brescia,25,1994,23.9,80,48,38,36,6,80,68,38.2,42,622,166,26.7,38,36,6,71,7,0,64,23,103,48,0,/en/players/16569fef/matchlogs/2019-2020/defense/Dimitri-Bisoli-Match-Logs
63,Birkir Bjarnason,is,"MF,FW",Brescia,31,1988,8.9,10,5,2,7,1,10,20,10.0,18,142,21,14.8,2,7,1,10,3,0,7,5,15,5,0,/en/players/da13074e/matchlogs/2019-2020/defense/Birkir-Bjarnason-Match-Logs
64,Kevin-Prince Boateng,gh,FW,Fiorentina,32,1987,6.7,3,2,0,2,1,3,7,14.3,6,119,21,17.6,0,2,1,5,1,0,4,1,4,6,0,/en/players/f4ec4fd0/matchlogs/2019-2020/defense/Kevin-Prince-Boateng-Match-Logs
65,Salvatore Bocchetti,it,DF,Hellas Verona,32,1986,3.4,5,2,3,2,0,5,1,0.0,1,40,10,25.0,3,2,0,7,2,0,5,18,23,27,1,/en/players/faa1b07d/matchlogs/2019-2020/defense/Salvatore-Bocchetti-Match-Logs
66,Jeremie Boga,ci,FW,Sassuolo,22,1997,27.9,23,17,5,11,7,23,22,40.9,13,409,137,33.5,5,11,7,29,0,0,29,4,27,4,0,/en/players/fe012aca/matchlogs/2019-2020/defense/Jeremie-Boga-Match-Logs
67,Giacomo Bonaventura,it,"MF,FW",Milan,29,1989,14.9,19,14,6,8,5,19,20,35.0,13,244,63,25.8,6,8,5,15,4,1,11,8,27,4,0,/en/players/d995ed27/matchlogs/2019-2020/defense/Giacomo-Bonaventura-Match-Logs
68,Federico Bonazzoli,it,"FW,MF",Sampdoria,22,1997,8.3,7,6,1,2,4,7,9,11.1,8,159,32,20.1,1,2,4,4,1,0,3,4,11,2,0,/en/players/bf57eaab/matchlogs/2019-2020/defense/Federico-Bonazzoli-Match-Logs
69,Kevin Bonifazi,it,DF,SPAL,23,1996,13.2,20,13,17,3,0,20,22,45.5,12,126,46,36.5,17,3,0,28,12,0,16,33,53,66,1,/en/players/fb77bfef/matchlogs/2019-2020/defense/Kevin-Bonifazi-Match-Logs
70,Kevin Bonifazi,it,DF,Torino,23,1996,2.7,9,5,6,3,0,9,6,66.7,2,48,14,29.2,6,3,0,3,2,0,1,5,14,16,0,/en/players/fb77bfef/matchlogs/2019-2020/defense/Kevin-Bonifazi-Match-Logs
71,Federico Bonini,it,DF,Bologna,17,2001,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,/en/players/f8f0744b/matchlogs/2019-2020/defense/Federico-Bonini-Match-Logs
72,Leonardo Bonucci,it,DF,Juventus,32,1987,34.2,32,17,21,9,2,32,21,57.1,9,184,64,34.8,21,9,2,57,34,0,23,30,62,137,3,/en/players/52ec54d0/matchlogs/2019-2020/defense/Leonardo-Bonucci-Match-Logs
73,Fabio Borini,it,"MF,FW",Milan,28,1991,0.8,2,2,0,0,2,2,1,0.0,1,13,4,30.8,0,0,2,3,0,0,3,0,2,1,0,/en/players/ef5b337e/matchlogs/2019-2020/defense/Fabio-Borini-Match-Logs
74,Fabio Borini,it,"FW,MF",Hellas Verona,28,1991,9.0,5,3,4,0,1,5,8,0.0,8,126,33,26.2,4,0,1,10,1,0,9,12,17,7,0,/en/players/ef5b337e/matchlogs/2019-2020/defense/Fabio-Borini-Match-Logs
75,Mehdi Bourabia,ma,MF,Sassuolo,27,1991,10.3,27,23,9,15,3,27,25,40.0,15,182,74,40.7,9,15,3,20,2,0,18,21,48,25,0,/en/players/0d077b88/matchlogs/2019-2020/defense/Mehdi-Bourabia-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Federico Brancolini,it,GK,Fiorentina,18,2001,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,/en/players/d4890c25/matchlogs/2019-2020/defense/Federico-Brancolini-Match-Logs
77,Gleison Bremer,br,DF,Torino,22,1997,25.2,71,40,41,26,4,71,33,66.7,11,431,134,31.1,41,26,4,68,24,0,44,73,144,149,0,/en/players/5fd5ed86/matchlogs/2019-2020/defense/Gleison-Bremer-Match-Logs
78,Marco Brescianini,it,MF,Milan,19,2000,0.3,2,2,1,1,0,2,0,,0,10,4,40.0,1,1,0,0,0,0,0,2,4,0,0,/en/players/dfd56738/matchlogs/2019-2020/defense/Marco-Brescianini-Match-Logs
79,Marcelo Brozović,hr,MF,Inter,26,1992,30.0,72,56,29,36,7,72,90,32.2,61,639,160,25.0,29,36,7,50,10,1,40,46,118,52,1,/en/players/33b8d077/matchlogs/2019-2020/defense/Marcelo-Brozovic-Match-Logs
80,Gastón Brugman,uy,MF,Parma,26,1992,16.2,51,36,27,18,6,51,37,32.4,25,363,102,28.1,27,18,6,35,13,0,22,25,76,26,2,/en/players/e947ee4a/matchlogs/2019-2020/defense/Gaston-Brugman-Match-Logs
81,Gianluigi Buffon,it,GK,Juventus,41,1978,9.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,/en/players/e40d028b/matchlogs/2019-2020/defense/Gianluigi-Buffon-Match-Logs
82,Fabrizio Cacciatore,it,DF,Cagliari,32,1986,12.8,12,5,8,3,1,12,12,25.0,9,129,36,27.9,8,3,1,31,9,0,22,15,27,39,1,/en/players/00b0bb87/matchlogs/2019-2020/defense/Fabrizio-Cacciatore-Match-Logs
83,Martín Cáceres,uy,DF,Fiorentina,32,1987,26.2,57,36,43,10,4,57,28,39.3,17,255,83,32.5,43,10,4,43,14,0,29,30,87,116,2,/en/players/e94d79e3/matchlogs/2019-2020/defense/Martin-Caceres-Match-Logs
84,Felipe Caicedo,ec,FW,Lazio,30,1988,15.6,27,24,10,11,6,27,10,20.0,8,232,63,27.2,10,11,6,6,3,0,3,4,31,3,0,/en/players/93b891d1/matchlogs/2019-2020/defense/Felipe-Caicedo-Match-Logs
85,Davide Calabria,it,DF,Milan,22,1996,18.0,46,20,24,21,1,46,49,40.8,29,296,78,26.4,24,21,1,42,5,2,37,22,68,53,2,/en/players/2146785a/matchlogs/2019-2020/defense/Davide-Calabria-Match-Logs
86,Riccardo Calafiori,it,DF,Roma,17,2002,0.7,0,0,0,0,0,0,1,0.0,1,8,0,0.0,0,0,0,0,0,0,0,2,2,1,0,/en/players/aded8e6f/matchlogs/2019-2020/defense/Riccardo-Calafiori-Match-Logs
87,Mattia Caldara,it,DF,Atalanta,25,1994,10.7,25,14,14,10,1,25,15,33.3,10,144,52,36.1,14,10,1,16,7,0,9,32,57,45,2,/en/players/ac7e640b/matchlogs/2019-2020/defense/Mattia-Caldara-Match-Logs
88,Marco Calderoni,it,DF,Lecce,30,1989,22.9,45,30,28,15,2,45,46,47.8,24,349,88,25.2,28,15,2,60,11,0,49,35,80,48,0,/en/players/652811aa/matchlogs/2019-2020/defense/Marco-Calderoni-Match-Logs
89,Hakan Çalhanoğlu,tr,"MF,FW",Milan,25,1994,30.0,43,34,18,19,6,43,37,27.0,27,539,158,29.3,18,19,6,33,3,0,30,26,69,23,0,/en/players/cd0fa27b/matchlogs/2019-2020/defense/Hakan-Calhanoglu-Match-Logs
90,José Callejón,es,"FW,MF",Napoli,32,1987,24.1,16,7,4,9,3,16,20,30.0,14,334,77,23.1,4,9,3,30,3,0,27,9,25,13,1,/en/players/78841da9/matchlogs/2019-2020/defense/Jose-Callejon-Match-Logs
91,Emre Can,de,MF,Juventus,25,1994,3.2,10,4,5,2,3,10,11,36.4,7,87,24,27.6,5,2,3,9,1,0,8,3,13,2,0,/en/players/a65ce836/matchlogs/2019-2020/defense/Emre-Can-Match-Logs
92,Antonio Candreva,it,DF,Inter,32,1987,22.1,19,13,12,6,1,19,34,32.4,23,197,55,27.9,12,6,1,46,10,0,36,14,33,25,0,/en/players/356c9002/matchlogs/2019-2020/defense/Antonio-Candreva-Match-Logs
93,Gianmarco Cangiano,it,"FW,MF",Bologna,17,2001,0.2,1,1,0,1,0,1,0,,0,5,2,40.0,0,1,0,0,0,0,0,1,2,0,0,/en/players/a36084cd/matchlogs/2019-2020/defense/Gianmarco-Cangiano-Match-Logs
94,Gianluca Caprari,it,"FW,MF",Parma,26,1993,6.5,4,4,2,2,0,4,8,25.0,6,95,27,28.4,2,2,0,10,2,0,8,4,8,0,0,/en/players/54e53b7e/matchlogs/2019-2020/defense/Gianluca-Caprari-Match-Logs
95,Gianluca Caprari,it,"FW,MF",Sampdoria,26,1993,7.4,10,8,1,7,2,10,11,27.3,8,171,41,24.0,1,7,2,5,1,0,4,7,17,3,0,/en/players/54e53b7e/matchlogs/2019-2020/defense/Gianluca-Caprari-Match-Logs
96,Francesco Caputo,it,FW,Sassuolo,31,1987,32.6,8,5,0,6,2,8,12,0.0,12,374,99,26.5,0,6,2,17,3,0,14,1,9,9,0,/en/players/5bd72174/matchlogs/2019-2020/defense/Francesco-Caputo-Match-Logs
97,Andrea Carboni,it,"DF,MF",Cagliari,18,2001,4.1,7,2,4,3,0,7,3,66.7,1,53,8,15.1,4,3,0,9,6,0,3,7,14,17,0,/en/players/f7e2af2c/matchlogs/2019-2020/defense/Andrea-Carboni-Match-Logs
98,Francesco Cassata,it,MF,Genoa,22,1997,16.2,23,13,14,6,3,23,28,25.0,21,353,104,29.5,14,6,3,20,3,0,17,11,34,13,0,/en/players/96960855/matchlogs/2019-2020/defense/Francesco-Cassata-Match-Logs
99,Timothy Castagne,be,DF,Atalanta,23,1995,19.7,39,23,12,17,10,39,38,44.7,21,278,80,28.8,12,17,10,49,5,0,44,18,57,30,0,/en/players/197640fd/matchlogs/2019-2020/defense/Timothy-Castagne-Match-Logs
100,Samu Castillejo,es,"FW,MF",Milan,24,1995,13.4,25,18,9,11,5,25,35,25.7,26,329,88,26.7,9,11,5,37,2,0,35,24,49,6,0,/en/players/130a7a3f/matchlogs/2019-2020/defense/Samu-Castillejo-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Lucas Castro,ar,MF,Cagliari,30,1989,6.7,14,8,5,7,2,14,21,33.3,14,107,28,26.2,5,7,2,7,1,0,6,11,25,17,0,/en/players/56b2957b/matchlogs/2019-2020/defense/Lucas-Castro-Match-Logs
102,Lucas Castro,ar,MF,SPAL,30,1989,4.7,11,6,5,5,1,11,9,55.6,4,65,20,30.8,5,5,1,6,0,0,6,3,14,3,0,/en/players/56b2957b/matchlogs/2019-2020/defense/Lucas-Castro-Match-Logs
103,Gaetano Castrovilli,it,MF,Fiorentina,22,1997,29.7,74,46,33,24,17,74,54,25.9,40,690,185,26.8,33,24,17,53,5,0,48,16,90,28,1,/en/players/0728bebe/matchlogs/2019-2020/defense/Gaetano-Castrovilli-Match-Logs
104,Danilo Cataldi,it,MF,Lazio,24,1994,6.6,19,14,11,5,3,19,18,33.3,12,115,28,24.3,11,5,3,8,1,0,7,13,32,6,0,/en/players/ba3d3bea/matchlogs/2019-2020/defense/Danilo-Cataldi-Match-Logs
105,Federico Ceccherini,it,DF,Fiorentina,27,1992,9.3,12,10,8,4,0,12,8,75.0,2,63,28,44.4,8,4,0,12,5,0,7,13,25,56,1,/en/players/d9624b51/matchlogs/2019-2020/defense/Federico-Ceccherini-Match-Logs
106,Christian Celesia,it,DF,Torino,17,2002,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,/en/players/d2fd20d6/matchlogs/2019-2020/defense/Christian-Celesia-Match-Logs
107,Luca Ceppitelli,it,DF,Cagliari,29,1989,13.8,20,12,16,4,0,20,7,71.4,2,99,26,26.3,16,4,0,30,16,1,14,22,42,85,1,/en/players/7d50454d/matchlogs/2019-2020/defense/Luca-Ceppitelli-Match-Logs
108,Alberto Cerri,it,FW,SPAL,23,1996,4.7,3,1,0,2,1,3,3,33.3,2,46,9,19.6,0,2,1,1,0,0,1,0,3,4,0,/en/players/1079c685/matchlogs/2019-2020/defense/Alberto-Cerri-Match-Logs
