Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Francesco Acerbi,it,DF,Lazio,31,1988,35.1,52,33,36,10,6,52,26,50.0,13,320,114,35.6,36,10,6,61,30,0,31,42,94,166,2,/en/players/b96b595c/matchlogs/2019-2020/defense/Francesco-Acerbi-Match-Logs
2,Bobby Adekanye,nl,FW,Lazio,20,1999,2.1,4,3,0,4,0,4,5,20.0,4,60,10,16.7,0,4,0,0,0,0,0,3,7,1,0,/en/players/3ed84b2c/matchlogs/2019-2020/defense/Bobby-Adekanye-Match-Logs
3,Claud Adjapong,it,DF,Hellas Verona,21,1998,2.6,5,3,2,2,1,5,2,0.0,2,50,12,24.0,2,2,1,5,3,0,2,4,9,9,0,/en/players/ce5b170a/matchlogs/2019-2020/defense/Claud-Adjapong-Match-Logs
4,Lucien Agoume,fr,MF,Inter,17,2002,0.8,4,3,1,1,2,4,1,100.0,0,15,2,13.3,1,1,2,3,1,0,2,0,4,1,0,/en/players/8bc8829a/matchlogs/2019-2020/defense/Lucien-Agoume-Match-Logs
5,Kevin Agudelo,co,"MF,FW",Fiorentina,20,1998,0.7,3,1,1,1,1,3,1,0.0,1,22,6,27.3,1,1,1,1,0,0,1,1,4,0,0,/en/players/46fa7204/matchlogs/2019-2020/defense/Kevin-Agudelo-Match-Logs
6,Kevin Agudelo,co,"MF,FW",Genoa,20,1998,7.4,25,18,12,10,3,25,26,38.5,16,217,46,21.2,12,10,3,12,1,0,11,6,31,3,0,/en/players/46fa7204/matchlogs/2019-2020/defense/Kevin-Agudelo-Match-Logs
7,Emmanuel Agyemang-Badu,gh,"MF,FW",Hellas Verona,28,1990,2.6,2,1,0,2,0,2,3,0.0,3,30,4,13.3,0,2,0,4,2,0,2,1,3,6,0,/en/players/fe0b8f0e/matchlogs/2019-2020/defense/Emmanuel-Agyemang-Badu-Match-Logs
8,Ola Aina,ng,DF,Torino,22,1996,23.1,49,28,26,19,4,49,49,49.0,25,330,96,29.1,26,19,4,70,9,0,61,42,91,56,1,/en/players/246d153b/matchlogs/2019-2020/defense/Ola-Aina-Match-Logs
9,Luis Alberto,es,MF,Lazio,26,1992,34.6,52,34,25,21,6,52,87,24.1,66,676,203,30.0,25,21,6,43,1,0,42,24,76,16,0,/en/players/5294a83f/matchlogs/2019-2020/defense/Luis-Alberto-Match-Logs
10,Enrico Alfonso,it,GK,Brescia,31,1988,3.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,/en/players/95adf1e1/matchlogs/2019-2020/defense/Enrico-Alfonso-Match-Logs
11,Allan,br,MF,Napoli,28,1991,14.2,55,36,21,25,9,55,50,34.0,33,411,105,25.5,21,25,9,26,3,0,23,13,68,16,0,/en/players/cc700722/matchlogs/2019-2020/defense/Allan-Match-Logs
12,Bruno Alves,pt,DF,Parma,37,1981,29.7,23,11,17,6,0,23,14,64.3,5,172,49,28.5,17,6,0,40,26,1,14,28,51,189,3,/en/players/585a73a8/matchlogs/2019-2020/defense/Bruno-Alves-Match-Logs
13,Sofyan Amrabat,ma,MF,Hellas Verona,22,1996,32.4,63,42,28,25,10,63,65,30.8,45,592,171,28.9,28,25,10,43,13,0,30,31,94,31,2,/en/players/5a2cb25d/matchlogs/2019-2020/defense/Sofyan-Amrabat-Match-Logs
14,Djavan Anderson,nl,"DF,MF",Lazio,24,1995,1.9,1,1,1,0,0,1,0,,0,24,5,20.8,1,0,0,5,0,0,5,3,4,2,0,/en/players/ca241ad3/matchlogs/2019-2020/defense/Djavan-Anderson-Match-Logs
15,Lorenzo Andrenacci,it,GK,Brescia,24,1995,5.9,0,0,0,0,0,0,2,0.0,2,4,2,50.0,0,0,0,0,0,0,0,0,0,0,0,/en/players/fe471a89/matchlogs/2019-2020/defense/Lorenzo-Andrenacci-Match-Logs
16,Peter Ankersen,dk,DF,Genoa,28,1990,11.8,10,5,5,4,1,10,15,13.3,13,151,34,22.5,5,4,1,29,5,0,24,9,19,22,2,/en/players/df525574/matchlogs/2019-2020/defense/Peter-Ankersen-Match-Logs
17,Cristian Ansaldi,ar,"DF,MF",Torino,32,1986,19.6,44,27,29,9,6,44,39,35.9,25,271,91,33.6,29,9,6,28,3,0,25,15,59,32,2,/en/players/bbafc0c4/matchlogs/2019-2020/defense/Cristian-Ansaldi-Match-Logs
18,Mirko Antonucci,it,"FW,MF",Roma,20,1999,0.9,4,2,1,0,3,4,3,66.7,1,23,6,26.1,1,0,3,2,0,0,2,2,6,2,0,/en/players/91976866/matchlogs/2019-2020/defense/Mirko-Antonucci-Match-Logs
19,Guilherme Arana,br,DF,Atalanta,22,1997,0.9,5,2,2,3,0,5,4,75.0,1,24,7,29.2,2,3,0,2,0,0,2,2,7,2,0,/en/players/2b15a82a/matchlogs/2019-2020/defense/Guilherme-Arana-Match-Logs
20,Nicolò Armini,it,DF,Lazio,18,2001,0.0,1,0,1,0,0,1,1,100.0,0,5,1,20.0,1,0,0,0,0,0,0,0,1,1,0,/en/players/2f7407fa/matchlogs/2019-2020/defense/Nicolo-Armini-Match-Logs
21,Kwadwo Asamoah,gh,DF,Inter,30,1988,7.1,9,5,4,4,1,9,15,40.0,9,96,25,26.0,4,4,1,9,1,0,8,10,19,12,0,/en/players/089550f5/matchlogs/2019-2020/defense/Kwadwo-Asamoah-Match-Logs
22,Kristoffer Askildsen,no,MF,Sampdoria,18,2001,0.8,2,1,2,0,0,2,3,66.7,1,12,1,8.3,2,0,0,1,0,0,1,1,3,0,0,/en/players/a69cc629/matchlogs/2019-2020/defense/Kristoffer-Askildsen-Match-Logs
23,Emil Audero,it,GK,Sampdoria,22,1997,36.0,0,0,0,0,0,0,2,0.0,2,2,0,0.0,0,0,0,0,0,0,0,0,0,1,2,/en/players/649b01d8/matchlogs/2019-2020/defense/Emil-Audero-Match-Logs
24,Tommaso Augello,it,DF,Sampdoria,24,1994,12.6,15,13,7,4,4,15,8,62.5,3,97,17,17.5,7,4,4,19,2,0,17,14,29,19,1,/en/players/3cd3b384/matchlogs/2019-2020/defense/Tommaso-Augello-Match-Logs
25,Florian Ayé,fr,"FW,MF",Brescia,22,1997,15.3,20,13,10,6,4,20,15,40.0,9,494,100,20.2,10,6,4,34,3,0,31,4,24,19,0,/en/players/718b8afd/matchlogs/2019-2020/defense/Florian-Aye-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Khouma Babacar,sn,FW,Lecce,26,1993,15.8,17,9,2,7,8,17,15,13.3,13,290,47,16.2,2,7,8,19,6,0,13,3,20,30,0,/en/players/422ec08a/matchlogs/2019-2020/defense/Khouma-Babacar-Match-Logs
27,Milan Badelj,hr,MF,Fiorentina,30,1989,17.6,36,26,11,23,2,36,51,21.6,40,318,87,27.4,11,23,2,35,3,0,32,42,78,42,1,/en/players/e8c930bb/matchlogs/2019-2020/defense/Milan-Badelj-Match-Logs
28,Marco Ballarini,it,MF,Udinese,18,2001,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,/en/players/8cb494c9/matchlogs/2019-2020/defense/Marco-Ballarini-Match-Logs
29,Mario Balotelli,it,FW,Brescia,28,1990,15.6,4,2,1,3,0,4,2,0.0,2,153,28,18.3,1,3,0,10,3,0,7,8,12,20,0,/en/players/8ff07990/matchlogs/2019-2020/defense/Mario-Balotelli-Match-Logs
30,Mattia Bani,it,DF,Bologna,25,1993,24.5,54,33,28,25,1,54,32,56.3,14,389,129,33.2,28,25,1,46,17,0,29,51,105,172,0,/en/players/0821331c/matchlogs/2019-2020/defense/Mattia-Bani-Match-Logs
31,Antonín Barák,cz,MF,Lecce,24,1994,15.2,24,18,14,9,1,24,27,40.7,16,310,83,26.8,14,9,1,29,0,0,29,9,33,14,0,/en/players/01efac19/matchlogs/2019-2020/defense/Antonin-Barak-Match-Logs
32,Antonín Barák,cz,MF,Udinese,24,1994,2.2,4,1,3,0,1,4,6,0.0,6,79,15,19.0,3,0,1,6,1,0,5,0,4,1,0,/en/players/01efac19/matchlogs/2019-2020/defense/Antonin-Barak-Match-Logs
33,Nicolò Barella,it,MF,Inter,22,1997,22.4,41,31,15,20,6,41,48,22.9,37,402,109,27.1,15,20,6,33,5,0,28,14,55,21,0,/en/players/6928979a/matchlogs/2019-2020/defense/Nicolo-Barella-Match-Logs
