Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Matches
14,Wladimiro Falcone,it,GK,Sampdoria,24,1995,2,2,180,5,2.50,14,9,.714,0,1,1,0,0.0,1,1,0,0,/en/players/9f5a610b/matchlogs/2019-2020/keeper/Wladimiro-Falcone-Match-Logs
15,Daniel Fuzato,br,GK,Roma,22,1997,1,1,90,1,1.00,2,1,.500,1,0,0,0,0.0,0,0,0,0,/en/players/82328faf/matchlogs/2019-2020/keeper/Daniel-Fuzato-Match-Logs
16,Gabriel,br,GK,Lecce,26,1992,34,34,"2,997",76,2.28,217,153,.696,6,8,20,2,5.9,12,10,2,0,/en/players/f93ed0df/matchlogs/2019-2020/keeper/Gabriel-Match-Logs
17,Pierluigi Gollini,it,GK,Atalanta,24,1995,33,33,"2,884",42,1.31,113,78,.681,19,9,5,8,24.2,6,6,0,0,/en/players/f0f7f62f/matchlogs/2019-2020/keeper/Pierluigi-Gollini-Match-Logs
18,Samir Handanović,si,GK,Inter,35,1984,35,35,"3,150",32,0.91,108,79,.722,22,10,3,13,37.1,3,2,1,0,/en/players/74419746/matchlogs/2019-2020/keeper/Samir-Handanovic-Match-Logs
19,Jesse Joronen,fi,GK,Brescia,26,1993,29,29,"2,610",59,2.03,172,123,.709,5,6,18,5,17.2,10,9,1,0,/en/players/7f66ea09/matchlogs/2019-2020/keeper/Jesse-Joronen-Match-Logs
20,Karlo Letica,hr,GK,SPAL,22,1997,10,10,900,29,2.90,66,38,.561,0,1,9,0,0.0,1,0,1,0,/en/players/4a6914ff/matchlogs/2019-2020/keeper/Karlo-Letica-Match-Logs
21,Pau López,es,GK,Roma,24,1994,32,32,"2,880",45,1.41,122,83,.697,18,6,8,5,15.6,9,8,1,0,/en/players/20b9f052/matchlogs/2019-2020/keeper/Pau-Lopez-Match-Logs
22,Alex Meret,it,GK,Napoli,22,1997,22,21,"1,951",33,1.52,76,46,.632,9,5,7,3,14.3,6,5,1,0,/en/players/9413b19f/matchlogs/2019-2020/keeper/Alex-Meret-Match-Logs
23,Antonio Mirante,it,GK,Roma,36,1983,5,5,450,5,1.00,22,17,.818,2,1,2,2,40.0,1,1,0,0,/en/players/30223b33/matchlogs/2019-2020/keeper/Antonio-Mirante-Match-Logs
24,Juan Musso,ar,GK,Udinese,25,1994,38,38,"3,420",51,1.34,186,139,.769,12,9,17,14,36.8,10,8,2,0,/en/players/a111cf41/matchlogs/2019-2020/keeper/Juan-Musso-Match-Logs
25,Robin Olsen,se,GK,Cagliari,29,1990,17,17,"1,524",24,1.42,83,63,.759,8,5,4,4,23.5,4,4,0,0,/en/players/e7ee38c3/matchlogs/2019-2020/keeper/Robin-Olsen-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,
26,David Ospina,co,GK,Napoli,30,1988,17,17,"1,469",17,1.04,54,37,.722,9,3,5,4,23.5,2,2,0,0,/en/players/82b1198a/matchlogs/2019-2020/keeper/David-Ospina-Match-Logs
27,Daniele Padelli,it,GK,Inter,33,1985,4,4,270,4,1.33,6,3,.500,2,0,1,1,25.0,1,1,0,0,/en/players/cf1c23d8/matchlogs/2019-2020/keeper/Daniele-Padelli-Match-Logs
28,Gianluca Pegolo,it,GK,Sassuolo,38,1981,5,5,450,4,0.80,26,23,.846,2,2,1,2,40.0,0,0,0,0,/en/players/f058ed1f/matchlogs/2019-2020/keeper/Gianluca-Pegolo-Match-Logs
29,Mattia Perin,it,GK,Genoa,26,1992,21,21,"1,890",38,1.81,99,63,.626,8,4,9,5,23.8,2,1,0,1,/en/players/4c62d0c8/matchlogs/2019-2020/keeper/Mattia-Perin-Match-Logs
30,Carlo Pinsoglio,it,GK,Juventus,29,1990,1,0,19,0,0.00,0,0,,0,0,0,0,,0,0,0,0,/en/players/f6a06749/matchlogs/2019-2020/keeper/Carlo-Pinsoglio-Match-Logs
31,Ionuț Radu,ro,GK,Genoa,22,1997,17,17,"1,530",35,2.06,89,61,.674,2,5,10,2,11.8,7,6,0,1,/en/players/67f649be/matchlogs/2019-2020/keeper/Ionut-Radu-Match-Logs
32,Boris Radunović,rs,GK,Hellas Verona,23,1996,3,3,270,8,2.67,13,7,.538,1,0,2,1,33.3,2,2,0,0,/en/players/0dfce079/matchlogs/2019-2020/keeper/Boris-Radunovic-Match-Logs
33,Rafael,br,GK,Cagliari,37,1982,6,5,454,11,2.18,15,6,.400,1,1,3,0,0.0,3,2,0,1,/en/players/dd06d56c/matchlogs/2019-2020/keeper/Rafael-Match-Logs
34,Pepe Reina,es,GK,Milan,36,1982,2,2,90,1,1.00,5,4,.800,1,0,0,0,0.0,1,0,1,0,/en/players/e358587b/matchlogs/2019-2020/keeper/Pepe-Reina-Match-Logs
35,Antonio Rosati,it,GK,Torino,36,1983,1,1,90,1,1.00,5,4,.800,0,1,0,0,0.0,0,0,0,0,/en/players/28a15394/matchlogs/2019-2020/keeper/Antonio-Rosati-Match-Logs
36,Francesco Rossi,it,GK,Atalanta,28,1991,1,0,11,1,8.18,1,0,.000,0,0,0,0,,0,0,0,0,/en/players/7b5f516f/matchlogs/2019-2020/keeper/Francesco-Rossi-Match-Logs
37,Luigi Sepe,it,GK,Parma,28,1991,34,34,"3,060",53,1.56,184,134,.745,13,6,15,5,14.7,9,6,3,0,/en/players/343f753a/matchlogs/2019-2020/keeper/Luigi-Sepe-Match-Logs
38,Marco Silvestri,it,GK,Hellas Verona,28,1991,35,35,"3,150",43,1.23,148,108,.757,11,13,11,9,25.7,7,7,0,0,/en/players/0d422df7/matchlogs/2019-2020/keeper/Marco-Silvestri-Match-Logs
39,Salvatore Sirigu,it,GK,Torino,32,1987,36,36,"3,240",64,1.78,189,135,.709,11,6,19,7,19.4,10,9,1,0,/en/players/10dc46f0/matchlogs/2019-2020/keeper/Salvatore-Sirigu-Match-Logs
40,Łukasz Skorupski,pl,GK,Bologna,28,1991,37,37,"3,330",64,1.73,180,122,.678,12,10,15,2,5.4,8,6,1,1,/en/players/ab4449d6/matchlogs/2019-2020/keeper/Lukasz-Skorupski-Match-Logs
41,Marco Sportiello,it,GK,Atalanta,27,1992,6,5,525,5,0.86,19,14,.737,4,0,1,2,40.0,0,0,0,0,/en/players/ac4003af/matchlogs/2019-2020/keeper/Marco-Sportiello-Match-Logs
42,Thomas Strakosha,al,GK,Lazio,24,1995,38,38,"3,420",42,1.11,145,111,.759,24,6,8,11,28.9,9,7,1,1,/en/players/339fe0e8/matchlogs/2019-2020/keeper/Thomas-Strakosha-Match-Logs
43,Wojciech Szczęsny,pl,GK,Juventus,29,1990,29,29,"2,591",33,1.15,120,95,.792,19,4,6,11,37.9,10,8,1,1,/en/players/01b8a2b2/matchlogs/2019-2020/keeper/Wojciech-Szczesny-Match-Logs
44,Pietro Terracciano,it,GK,Fiorentina,29,1990,7,7,624,5,0.72,19,16,.895,5,1,1,3,42.9,3,3,0,0,/en/players/e1b0a70d/matchlogs/2019-2020/keeper/Pietro-Terracciano-Match-Logs
45,Demba Thiam,sn,GK,SPAL,21,1998,2,2,180,4,2.00,14,11,.786,0,1,1,0,0.0,1,1,0,0,/en/players/0f47717b/matchlogs/2019-2020/keeper/Demba-Thiam-Match-Logs
46,Stefano Turati,it,GK,Sassuolo,,,2,2,180,4,2.00,11,8,.727,0,2,0,0,0.0,1,1,0,0,/en/players/bf168004/matchlogs/2019-2020/keeper/Stefano-Turati-Match-Logs
47,Samir Ujkani,xk,GK,Torino,31,1988,1,1,90,3,3.00,5,3,.600,0,0,1,0,0.0,1,1,0,0,/en/players/96640846/matchlogs/2019-2020/keeper/Samir-Ujkani-Match-Logs
48,Mauro Vigorito,it,GK,Lecce,29,1990,5,4,423,9,1.91,27,19,.704,3,0,1,1,25.0,1,1,0,0,/en/players/582a251c/matchlogs/2019-2020/keeper/Mauro-Vigorito-Match-Logs
