Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Matches
1,Enrico Alfonso,it,GK,Brescia,31,1988,4,4,279,4,1.29,11,7,.636,1,0,3,1,25.0,0,0,0,0,/en/players/95adf1e1/matchlogs/2019-2020/keeper/Enrico-Alfonso-Match-Logs
2,Lorenzo Andrenacci,it,GK,Brescia,24,1995,6,5,531,16,2.71,45,28,.644,0,1,4,0,0.0,1,0,0,1,/en/players/fe471a89/matchlogs/2019-2020/keeper/Lorenzo-Andrenacci-Match-Logs
3,Emil Audero,it,GK,Sampdoria,22,1997,36,36,"3,240",60,1.67,160,110,.669,12,5,19,9,25.0,8,7,0,1,/en/players/649b01d8/matchlogs/2019-2020/keeper/Emil-Audero-Match-Logs
4,Asmir Begović,ba,GK,Milan,32,1987,2,1,129,3,2.09,6,4,.667,0,0,1,0,0.0,1,1,0,0,/en/players/7b4de647/matchlogs/2019-2020/keeper/Asmir-Begovic-Match-Logs
5,Etrit Berisha,al,GK,SPAL,30,1989,26,26,"2,340",41,1.58,142,106,.754,5,3,18,3,11.5,6,6,0,0,/en/players/ee833569/matchlogs/2019-2020/keeper/Etrit-Berisha-Match-Logs
6,Federico Brancolini,it,GK,Fiorentina,18,2001,1,0,6,0,0.00,0,0,,0,0,0,1,,0,0,0,0,/en/players/d4890c25/matchlogs/2019-2020/keeper/Federico-Brancolini-Match-Logs
7,Gianluigi Buffon,it,GK,Juventus,41,1978,9,9,810,10,1.11,32,23,.719,7,1,1,1,11.1,2,1,0,1,/en/players/e40d028b/matchlogs/2019-2020/keeper/Gianluigi-Buffon-Match-Logs
8,Simone Colombi,it,GK,Parma,28,1991,4,4,360,4,1.00,17,14,.824,1,1,2,1,25.0,2,1,0,1,/en/players/72be9309/matchlogs/2019-2020/keeper/Simone-Colombi-Match-Logs
9,Andrea Consigli,it,GK,Sassuolo,32,1987,31,31,"2,790",55,1.77,140,93,.657,12,5,14,5,16.1,8,7,1,0,/en/players/8cabdc1e/matchlogs/2019-2020/keeper/Andrea-Consigli-Match-Logs
10,Angelo da Costa Júnior,br,GK,Bologna,35,1983,1,1,90,1,1.00,2,1,.500,0,1,0,0,0.0,0,0,0,0,/en/players/18736214/matchlogs/2019-2020/keeper/Angelo-da-Costa-Junior-Match-Logs
11,Alessio Cragno,it,GK,Cagliari,25,1994,16,16,"1,440",21,1.31,86,66,.767,2,6,8,3,18.8,2,1,1,0,/en/players/f554e29b/matchlogs/2019-2020/keeper/Alessio-Cragno-Match-Logs
12,Gianluigi Donnarumma,it,GK,Milan,20,1999,36,36,"3,201",42,1.18,134,97,.716,18,9,9,12,33.3,8,4,4,0,/en/players/08f5afaa/matchlogs/2019-2020/keeper/Gianluigi-Donnarumma-Match-Logs
13,Bartłomiej Drągowski,pl,GK,Fiorentina,21,1997,31,31,"2,790",43,1.39,131,94,.718,7,12,12,8,25.8,8,6,2,0,/en/players/085e71a7/matchlogs/2019-2020/keeper/Bartlomiej-Dragowski-Match-Logs
