Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Atalanta,3,38.0,47,4,3,6,3,41.5,0.29,-1.5,-0.04,199,491,40.5,491,175,35.7,35.3,491,35.7,35.3,297,28,9.4,33,0.87,15.9
Bologna,1,38.0,56,4,1,5,1,50.4,0.28,-4.6,-0.12,265,607,43.7,607,221,48.5,40.8,607,48.5,40.8,406,41,10.1,9,0.24,12.3
Cagliari,1,38.0,54,8,1,5,2,56.3,0.25,+4.3,+0.11,356,766,46.5,766,172,53.5,42.0,766,53.5,42.0,449,34,7.6,11,0.29,12.9
Chievo,3,38.0,76,2,2,10,2,65.0,0.30,-8.0,-0.21,302,666,45.3,666,127,54.1,41.8,666,54.1,41.8,419,17,4.1,9,0.24,11.9
Empoli,3,38.0,70,6,0,8,2,64.5,0.26,-3.5,-0.09,193,512,37.7,512,229,41.4,37.8,512,41.4,37.8,440,30,6.8,18,0.47,13.2
Fiorentina,3,38.0,45,5,1,6,3,39.5,0.25,-2.5,-0.06,204,565,36.1,565,185,45.0,39.9,565,45.0,39.9,390,29,7.4,34,0.89,15.1
Frosinone,2,38.0,69,5,3,10,1,60.3,0.28,-7.7,-0.20,201,620,32.4,620,244,40.9,38.3,620,40.9,38.3,428,37,8.6,11,0.29,12.1
Genoa,3,38.0,58,5,0,11,2,55.3,0.31,+0.3,+0.01,275,807,34.1,807,114,66.4,51.4,807,66.4,51.4,385,23,6.0,17,0.45,13.4
Inter,1,38.0,35,3,1,3,3,35.3,0.26,+5.3,+0.14,172,360,47.8,360,201,27.6,30.1,360,27.6,30.1,337,16,4.7,13,0.34,12.6
Juventus,3,38.0,30,2,1,4,1,32.7,0.28,+3.7,+0.10,201,392,51.3,392,165,36.6,35.7,392,36.6,35.7,305,24,7.9,23,0.61,14.3
Lazio,3,38.0,46,5,2,6,1,44.4,0.27,-0.6,-0.02,231,551,41.9,551,176,44.8,38.4,551,44.8,38.4,355,22,6.2,21,0.55,15.0
Milan,2,38.0,37,4,1,5,1,39.4,0.27,+4.4,+0.12,219,424,51.7,424,213,28.8,30.7,424,28.8,30.7,400,35,8.8,16,0.42,13.8
Napoli,3,38.0,36,4,1,4,0,36.1,0.24,+0.1,0.00,130,384,33.9,384,149,32.0,33.0,384,32.0,33.0,316,26,8.2,11,0.29,13.6
Parma,2,38.0,62,8,1,9,4,55.0,0.24,-2.0,-0.05,351,800,43.9,800,135,54.4,44.5,800,54.4,44.5,582,39,6.7,10,0.26,11.1
Roma,2,38.0,49,4,0,9,1,48.4,0.28,+1.4,+0.04,247,548,45.1,548,195,40.8,37.1,548,40.8,37.1,368,18,4.9,16,0.42,12.8
Sampdoria,2,38.0,52,7,2,6,1,51.5,0.32,+1.5,+0.04,157,458,34.3,458,194,32.7,32.1,458,32.7,32.1,402,34,8.5,25,0.66,14.9
Sassuolo,2,37.9,61,4,0,13,2,52.1,0.31,-5.9,-0.15,244,569,42.9,569,170,43.4,36.8,569,43.4,36.8,382,24,6.3,18,0.47,13.8
SPAL,4,38.0,56,5,0,11,0,52.3,0.28,-3.7,-0.10,255,637,40.0,637,178,43.4,38.7,637,43.4,38.7,325,19,5.8,15,0.40,13.5
Torino,2,38.0,38,3,0,5,0,45.6,0.30,+8.6,+0.23,337,749,45.0,749,130,54.9,42.7,749,54.9,42.7,345,30,8.7,24,0.63,15.0
Udinese,2,38.0,54,9,0,7,1,53.8,0.29,+1.8,+0.05,322,751,42.9,751,131,57.9,42.8,751,57.9,42.8,443,31,7.0,17,0.45,12.6
