Squad,# Pl,MP,Min,Mn/MP,Min%,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Atalanta,27,38,"3,420",90,100,418,84,109,21,311,1.82,77,46,+31,+0.82,66.8,41.6,+25.3,+0.66
Bologna,29,38,"3,420",90,100,418,85,112,18,339,1.16,48,56,-8,-0.21,47.3,46.5,+0.8,+0.02
Cagliari,30,38,"3,420",90,100,418,84,113,20,310,1.08,36,54,-18,-0.47,39.2,58.8,-19.6,-0.52
Chievo,36,38,"3,420",90,100,418,83,113,23,327,0.45,25,75,-50,-1.32,35.9,59.4,-23.5,-0.62
Empoli,29,38,"3,420",90,100,418,85,106,20,319,1.00,51,70,-19,-0.50,52.1,60.9,-8.8,-0.23
Fiorentina,27,38,"3,420",90,100,418,84,109,22,316,1.08,47,45,+2,+0.05,52.3,42.2,+10.1,+0.27
Frosinone,33,38,"3,420",90,100,418,85,110,19,339,0.66,29,69,-40,-1.05,35.6,60.9,-25.3,-0.66
Genoa,31,38,"3,420",90,100,418,83,112,22,327,1.00,39,57,-18,-0.47,43.7,54.2,-10.5,-0.28
Inter,23,38,"3,420",90,100,418,85,114,19,251,1.82,57,33,+24,+0.63,64.4,38.2,+26.2,+0.69
Juventus,31,38,"3,420",90,100,418,85,102,19,251,2.37,70,30,+40,+1.05,58.3,35.9,+22.4,+0.59
Lazio,30,38,"3,420",90,100,418,84,113,23,328,1.55,56,46,+10,+0.26,56.4,42.7,+13.7,+0.36
Milan,23,38,"3,420",90,100,418,85,104,19,334,1.79,55,36,+19,+0.50,48.3,40.3,+8.0,+0.21
Napoli,26,38,"3,420",90,100,418,84,113,22,261,2.08,74,36,+38,+1.00,68.3,34.2,+34.1,+0.90
Parma,31,38,"3,420",90,100,418,85,113,18,306,1.08,41,61,-20,-0.53,38.5,65.4,-26.9,-0.71
Roma,26,38,"3,420",90,100,418,84,111,22,287,1.74,66,48,+18,+0.47,64.2,54.4,+9.7,+0.26
Sampdoria,24,38,"3,420",90,100,418,84,112,21,314,1.39,60,51,+9,+0.24,49.6,52.7,-3.0,-0.08
Sassuolo,29,38,"3,420",90,100,418,84,113,20,333,1.13,53,60,-7,-0.18,46.4,57.4,-11.0,-0.29
SPAL,28,38,"3,420",90,100,418,85,113,18,332,1.11,44,56,-12,-0.32,41.4,48.5,-7.1,-0.19
Torino,25,38,"3,420",90,100,418,85,112,19,273,1.66,52,37,+15,+0.39,49.4,47.9,+1.5,+0.04
Udinese,32,38,"3,420",90,100,418,85,104,18,297,1.13,39,53,-14,-0.37,41.5,57.6,-16.2,-0.43
