Squad,# Pl,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Atalanta,27,62,3,1,453,508,72,813,464,470,3,5,3,3708,486,473,50.7
Bologna,29,91,6,3,521,530,86,739,385,420,3,4,1,3374,623,613,50.4
Cagliari,30,94,9,5,580,464,62,797,348,421,3,9,2,3622,711,640,52.6
Chievo,36,110,7,6,596,491,79,679,490,460,2,4,2,3289,551,583,48.6
Empoli,29,73,3,1,464,447,78,654,336,372,5,8,2,3082,327,420,43.8
Fiorentina,27,89,5,2,564,514,48,787,418,404,5,4,3,3649,476,504,48.6
Frosinone,33,99,2,0,567,544,77,819,398,385,5,5,1,3239,479,596,44.6
Genoa,31,94,7,2,563,483,67,800,435,470,4,4,2,3549,597,620,49.1
Inter,23,73,3,2,472,499,67,1084,314,401,5,3,2,3402,418,445,48.4
Juventus,31,76,4,2,473,476,76,869,413,383,5,4,1,3223,446,382,53.9
Lazio,30,89,4,1,509,402,99,747,431,434,3,6,1,3570,501,436,53.5
Milan,23,80,5,2,458,484,64,762,381,453,2,5,1,3090,389,404,49.1
Napoli,26,72,5,3,415,423,89,779,359,446,0,4,0,3278,334,365,47.8
Parma,31,82,3,2,505,440,94,520,411,366,5,8,4,2944,457,511,47.2
Roma,26,88,2,2,466,397,51,860,416,351,5,7,1,3382,591,417,58.6
Sampdoria,24,89,3,3,497,514,74,640,370,411,7,7,1,3578,379,401,48.6
Sassuolo,29,87,8,3,535,534,76,669,390,378,4,7,2,3196,378,422,47.3
SPAL,28,112,3,1,512,561,41,869,396,389,7,5,0,3019,469,461,50.4
Torino,25,88,4,1,623,577,77,753,446,469,4,5,0,3719,686,620,52.5
Udinese,32,90,4,2,515,478,69,588,391,427,7,9,1,3012,529,529,50.0
