Squad,# Pl,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG
Atalanta,27,1022,26.89,769,87,80,58,27,132,3.47,769,87,80,58,27,1
Bologna,29,745,19.61,532,78,36,51,45,80,2.11,532,78,36,51,45,3
Cagliari,30,631,16.61,455,80,23,41,31,55,1.45,455,80,23,41,31,1
Chievo,36,590,15.53,439,57,31,31,32,35,0.92,439,57,31,31,32,0
Empoli,29,686,18.05,519,52,45,39,28,83,2.18,519,52,45,39,28,3
Fiorentina,27,869,22.87,653,77,54,45,38,68,1.79,653,77,54,45,38,2
Frosinone,33,653,17.18,473,75,31,30,43,48,1.26,473,75,31,30,43,1
Genoa,31,768,20.21,532,91,44,48,51,52,1.37,532,91,44,48,51,2
Inter,23,960,25.26,767,77,36,47,33,88,2.32,767,77,36,47,33,0
Juventus,31,953,25.08,713,80,47,57,53,99,2.61,713,80,47,57,53,3
Lazio,30,973,25.61,758,75,52,51,35,86,2.26,758,75,52,51,35,2
Milan,23,958,25.21,749,60,70,37,38,88,2.32,749,60,70,37,38,4
Napoli,26,1145,30.13,951,54,58,52,29,123,3.24,951,54,58,52,29,1
Parma,31,504,13.26,329,55,54,32,33,58,1.53,329,55,54,32,33,1
Roma,26,964,25.37,692,103,69,57,43,102,2.68,692,103,69,57,43,0
Sampdoria,24,703,18.50,551,47,32,32,41,99,2.61,551,47,32,32,41,0
Sassuolo,29,768,20.21,592,51,45,40,37,87,2.29,592,51,45,40,37,3
SPAL,28,695,18.29,517,74,31,27,46,74,1.95,517,74,31,27,46,0
Torino,25,791,20.82,564,77,54,46,48,70,1.84,564,77,54,46,48,2
Udinese,32,708,18.63,523,58,57,31,38,68,1.79,523,58,57,31,38,1
