Squad,# Pl,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm
Atalanta,3,38,38,"3,420",47,1.24,132,93,.674,20,9,9,9,23.7,5,4,0,1
Bologna,1,38,38,"3,420",56,1.47,173,121,.699,11,11,16,10,26.3,4,4,0,0
Cagliari,1,38,38,"3,420",54,1.42,195,147,.764,10,11,17,7,18.4,10,8,2,0
Chievo,3,38,38,"3,420",76,2.00,210,139,.648,2,14,22,7,18.4,4,2,2,0
Empoli,3,38,38,"3,420",70,1.84,226,164,.717,10,8,20,5,13.2,8,6,1,1
Fiorentina,3,38,38,"3,420",45,1.18,136,98,.706,8,17,13,9,23.7,6,5,1,0
Frosinone,2,38,38,"3,420",69,1.82,209,146,.694,5,10,23,9,23.7,5,5,0,0
Genoa,3,38,38,"3,420",58,1.53,163,112,.675,8,14,16,7,18.4,6,5,1,0
Inter,1,38,38,"3,420",35,0.92,128,101,.750,20,9,9,17,44.7,5,3,0,2
Juventus,3,38,38,"3,420",30,0.79,107,79,.738,28,6,4,16,42.1,4,2,1,1
Lazio,3,38,38,"3,420",46,1.21,147,107,.721,17,8,13,10,26.3,7,5,2,0
Milan,2,38,38,"3,420",37,0.97,133,102,.752,19,11,8,12,31.6,5,4,1,0
Napoli,3,38,38,"3,417",36,0.95,135,103,.763,24,7,7,14,36.8,4,4,0,0
Parma,2,38,38,"3,420",62,1.63,200,151,.730,10,11,17,10,26.3,8,8,0,0
Roma,2,38,38,"3,420",49,1.29,160,115,.719,18,12,8,10,26.3,7,4,1,2
Sampdoria,2,38,38,"3,420",52,1.37,144,100,.688,15,8,15,13,34.2,8,7,1,0
Sassuolo,2,38,38,"3,415",61,1.61,156,102,.635,9,16,13,12,31.6,8,4,3,1
SPAL,4,38,38,"3,417",56,1.47,174,122,.707,11,9,18,10,26.3,5,5,0,0
Torino,2,38,38,"3,420",38,1.00,144,110,.757,16,15,7,15,39.5,5,3,2,0
Udinese,2,38,38,"3,420",54,1.42,169,125,.734,11,10,17,9,23.7,9,9,0,0
