player,nation,position,squad,age,born,matches_played,startsminutes,goals,assists,penalties,penalties_scored,yellow_cards,red_cards,goals_per_90,assists_per_90,goals_and_assists_per_90,goals_minus_pens_per_90,goals_plus_assists_minus_pens_per_90,xG,npxG,xA,xG90,xA90,xG_plus_xA_90,npxG90,npxG_plus_xA90
Tommaso Augello,it,DF,Sampdoria,24,1994,17,,0,2,0,0,2,0,0.00,0.16,0.16,0.00,0.16,0.0,0.0,1.5,0.00,0.12,0.12,0.00,0.12
Florian Ayé,fr,"FW,MF",Brescia,22,1997,22,,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,3.1,3.1,0.5,0.21,0.03,0.24,0.21,0.24
Khouma Babacar,sn,FW,Lecce,26,1993,25,,3,0,0,2,4,0,0.19,0.00,0.19,0.19,0.19,6.1,4.4,0.7,0.38,0.04,0.43,0.28,0.32
Milan Badelj,hr,MF,Fiorentina,30,1989,22,,1,0,0,0,3,1,0.06,0.00,0.06,0.06,0.06,1.3,1.3,1.0,0.08,0.06,0.13,0.08,0.13
Marco Ballarini,it,MF,Udinese,18,2001,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Mario Balotelli,it,FW,Brescia,28,1990,19,,5,0,0,0,6,1,0.32,0.00,0.32,0.32,0.32,7.2,7.2,0.4,0.46,0.03,0.49,0.46,0.49
Mattia Bani,it,DF,Bologna,25,1993,27,,4,0,0,0,13,1,0.16,0.00,0.16,0.16,0.16,3.3,3.3,0.0,0.14,0.00,0.14,0.14,0.14
Antonín Barák,cz,MF,Lecce,24,1994,16,,2,1,0,0,0,0,0.13,0.07,0.20,0.13,0.20,3.2,3.2,1.3,0.21,0.09,0.30,0.21,0.30
Antonín Barák,cz,MF,Udinese,24,1994,8,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.06,0.08,0.15,0.06,0.15
Nicolò Barella,it,MF,Inter,22,1997,27,,1,4,0,0,11,0,0.04,0.18,0.22,0.04,0.22,1.7,1.7,1.6,0.07,0.07,0.14,0.07,0.14
Antonino Barillà,it,MF,Parma,31,1988,26,,1,2,0,0,6,0,0.05,0.11,0.16,0.05,0.16,1.2,1.2,2.1,0.06,0.11,0.17,0.06,0.17
Antonio Barreca,it,"DF,MF",Genoa,24,1995,18,,0,1,0,0,0,0,0.00,0.08,0.08,0.00,0.08,0.2,0.2,0.4,0.01,0.03,0.05,0.01,0.05
Édgar Barreto,py,MF,Sampdoria,35,1984,2,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03
Musa Barrow,gm,"FW,MF",Atalanta,20,1998,7,,0,2,0,1,0,0,0.00,0.95,0.95,0.00,0.95,1.8,1.0,0.6,0.86,0.28,1.14,0.50,0.78
Musa Barrow,gm,FW,Bologna,20,1998,18,,9,2,1,1,1,0,0.60,0.13,0.73,0.53,0.66,5.9,5.2,3.2,0.39,0.21,0.61,0.34,0.56
