home,homeXg,score,awayXg,away
Newcastle Utd,0.3,2–2,2.7,Manchester City
Tottenham,2.7,3–2,1.4,Bournemouth
Liverpool,1.9,2–1,0.9,Brighton
Burnley,1.6,0–2,0.7,Crystal Palace
Chelsea,2.2,0–1,0.9,West Ham
Southampton,1.3,2–1,0.7,Watford
Norwich City,1.2,2–2,2.1,Arsenal
Wolves,1.0,1–1,1.1,Sheffield Utd
Leicester City,2.4,2–1,0.9,Everton
Manchester Utd,1.7,2–2,1.4,Aston Villa
Crystal Palace,0.3,1–0,0.3,Bournemouth
Burnley,0.5,1–4,1.8,Manchester City
Wolves,1.8,2–0,0.5,West Ham
Manchester Utd,1.2,2–1,0.4,Tottenham
Leicester City,2.9,2–0,0.3,Watford
Southampton,1.1,2–1,0.8,Norwich City
Chelsea,2.2,2–1,0.8,Aston Villa
Liverpool,2.5,5–2,1.4,Everton
Sheffield Utd,1.2,0–2,0.8,Newcastle Utd
Arsenal,0.9,1–2,2.1,Brighton
Everton,1.7,3–1,0.9,Chelsea
Watford,1.2,0–0,0.2,Crystal Palace
Bournemouth,0.2,0–3,2.4,Liverpool
Tottenham,2.3,5–0,0.5,Burnley
Manchester City,1.9,1–2,1.7,Manchester Utd
Aston Villa,1.0,1–4,4.4,Leicester City
Newcastle Utd,1.3,2–1,2.2,Southampton
Norwich City,0.7,1–2,0.7,Sheffield Utd
Brighton,0.9,2–2,1.6,Wolves
West Ham,0.5,1–3,1.7,Arsenal
Liverpool,1.5,2–0,1.3,Watford
Chelsea,1.5,0–1,0.8,Bournemouth
Leicester City,1.3,1–1,1.7,Norwich City
Sheffield Utd,1.4,2–0,1.1,Aston Villa
Burnley,1.1,1–0,0.6,Newcastle Utd
Southampton,0.9,0–1,1.0,West Ham
Wolves,0.8,1–2,0.8,Tottenham
Manchester Utd,1.7,1–1,0.3,Everton
Arsenal,0.4,0–3,1.9,Manchester City
Crystal Palace,0.8,1–1,2.3,Brighton
Everton,0.4,0–0,0.7,Arsenal
Newcastle Utd,0.5,1–0,1.4,Crystal Palace
Aston Villa,1.1,1–3,3.0,Southampton
Brighton,0.5,0–1,1.3,Sheffield Utd
Bournemouth,0.2,0–1,0.2,Burnley
Norwich City,1.3,1–2,1.4,Wolves
Manchester City,3.5,3–1,1.0,Leicester City
Watford,1.5,2–0,1.7,Manchester Utd
Tottenham,0.3,0–2,1.3,Chelsea
Tottenham,1.5,2–1,0.6,Brighton
Bournemouth,0.9,1–1,1.5,Arsenal
Everton,1.6,1–0,0.5,Burnley
Sheffield Utd,2.1,1–1,0.7,Watford
Aston Villa,0.6,1–0,1.2,Norwich City
Crystal Palace,2.1,2–1,0.9,West Ham
Chelsea,0.5,0–2,0.7,Southampton
Manchester Utd,1.5,4–1,0.9,Newcastle Utd
Leicester City,0.2,0–4,3.1,Liverpool
Wolves,1.8,3–2,1.6,Manchester City
Brighton,0.9,2–0,0.6,Bournemouth
Watford,2.7,3–0,0.6,Aston Villa
Newcastle Utd,1.6,1–2,3.4,Everton
Southampton,1.4,1–1,0.2,Crystal Palace
Norwich City,0.4,2–2,1.9,Tottenham
West Ham,0.9,1–2,2.2,Leicester City
Burnley,0.4,0–2,1.9,Manchester Utd
