Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
646,Łukasz Skorupski,pl,GK,Bologna,28,1991,37,"3,330",90,97.4,37.0,37,90,0,,0,1.24,51,64,-13,-0.35,-0.35,51.9,53.7,-1.7,-0.05,-0.35,/en/players/ab4449d6/matchlogs/2019-2020/summary/Lukasz-Skorupski-Match-Logs
647,Andreas Skov Olsen,dk,"FW,MF",Bologna,19,1999,26,760,29,22.2,8.4,7,61,19,18,8,1.12,11,14,-3,-0.36,-0.02,9.9,13.9,-4.0,-0.47,-0.02,/en/players/c50cee19/matchlogs/2019-2020/summary/Andreas-Skov-Olsen-Match-Logs
648,Simon Skrabb,fi,"MF,FW",Brescia,24,1995,10,257,26,7.5,2.9,3,48,7,16,3,0.50,1,7,-6,-2.10,-1.02,3.4,7.2,-3.8,-1.33,-1.02,/en/players/45af5134/matchlogs/2019-2020/summary/Simon-Skrabb-Match-Logs
649,Milan Škriniar,sk,DF,Inter,24,1995,32,"2,627",82,76.8,29.2,30,87,2,15,2,2.22,61,30,+31,+1.06,-0.53,53.5,31.1,+22.4,+0.77,-0.53,/en/players/30f5ffa9/matchlogs/2019-2020/summary/Milan-Skriniar-Match-Logs
650,Martin Škrtel,sk,DF,Atalanta,34,1984,0,,,,,0,,0,,1,,,,,,,,,,,,/en/players/defb905a/matchlogs/2019-2020/summary/Martin-Skrtel-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,Chris Smalling,eng,DF,Roma,29,1989,30,"2,566",86,75.0,28.5,29,88,1,17,1,1.67,54,38,+16,+0.56,-0.49,52.3,36.6,+15.7,+0.55,-0.49,/en/players/b6964eb6/matchlogs/2019-2020/summary/Chris-Smalling-Match-Logs
652,Matteo Soncin,it,GK,Milan,18,2001,0,,,,,0,,0,,4,,,,,,,,,,,,/en/players/c5bf2290/matchlogs/2019-2020/summary/Matteo-Soncin-Match-Logs
653,Roberto Soriano,it,MF,Bologna,28,1991,29,"2,469",85,72.2,27.4,29,85,0,,0,1.31,35,40,-5,-0.18,+0.57,40.5,35.5,+5.0,+0.18,+0.57,/en/players/9d4c45d6/matchlogs/2019-2020/summary/Roberto-Soriano-Match-Logs
654,Riccardo Sottil,it,"FW,DF",Fiorentina,20,1999,18,514,29,15.0,5.7,4,63,14,19,20,1.00,9,16,-7,-1.23,-1.54,8.6,9.0,-0.5,-0.08,-1.54,/en/players/94816803/matchlogs/2019-2020/summary/Riccardo-Sottil-Match-Logs
655,Adama Soumaoro,fr,DF,Genoa,27,1992,8,637,80,18.6,7.1,7,85,1,45,4,1.38,13,14,-1,-0.14,+0.67,11.0,9.7,+1.4,+0.19,+0.67,/en/players/7b075c75/matchlogs/2019-2020/summary/Adama-Soumaoro-Match-Logs
656,Nikolas Špalek,sk,"MF,FW",Brescia,22,1997,25,"1,579",63,46.2,17.5,20,71,5,33,11,0.84,18,33,-15,-0.85,+0.56,20.3,34.7,-14.4,-0.82,+0.56,/en/players/9e90fb5d/matchlogs/2019-2020/summary/Nikolas-Spalek-Match-Logs
657,Leonardo Spinazzola,it,DF,Roma,26,1993,24,"1,548",65,45.3,17.2,18,78,6,23,10,1.83,26,22,+4,+0.23,-0.83,29.8,22.0,+7.7,+0.45,-0.83,/en/players/3626daea/matchlogs/2019-2020/summary/Leonardo-Spinazzola-Match-Logs
