Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Rk,,,,,,,,,,,,,,,,,,,,,,,,
76,Fabrizio Cacciatore,it,DF,Chievo,31,1986,5.5,1,0,0,3,5,0,16,5,7,0,0,0,44,5,4,55.6,/en/players/00b0bb87/matchlogs/2018-2019/misc/Fabrizio-Cacciatore-Match-Logs
77,Martín Cáceres,uy,DF,Juventus,31,1987,7.0,1,0,0,6,1,0,5,4,7,0,0,0,62,14,16,46.7,/en/players/e94d79e3/matchlogs/2018-2019/misc/Martin-Caceres-Match-Logs
78,Martín Cáceres,uy,"DF,FW",Lazio,31,1987,3.4,0,0,0,1,3,0,4,1,2,0,0,0,28,3,2,60.0,/en/players/e94d79e3/matchlogs/2018-2019/misc/Martin-Caceres-Match-Logs
79,Felipe Caicedo,ec,FW,Lazio,29,1988,15.2,4,0,0,28,24,11,1,4,13,1,0,0,56,22,36,37.9,/en/players/93b891d1/matchlogs/2018-2019/misc/Felipe-Caicedo-Match-Logs
80,Arturo Calabresi,it,DF,Bologna,22,1996,15.7,8,0,0,18,12,2,19,34,23,0,2,0,132,12,14,46.2,/en/players/34bb6fbd/matchlogs/2018-2019/misc/Arturo-Calabresi-Match-Logs
81,Davide Calabria,it,DF,Milan,21,1996,21.7,5,0,0,16,20,1,67,31,43,0,0,0,203,13,15,46.4,/en/players/2146785a/matchlogs/2018-2019/misc/Davide-Calabria-Match-Logs
82,Hakan Çalhanoğlu,tr,"FW,MF",Milan,24,1994,32.0,3,0,0,30,38,4,152,28,44,0,0,0,256,13,19,40.6,/en/players/cd0fa27b/matchlogs/2018-2019/misc/Hakan-Calhanoglu-Match-Logs
83,José Callejón,es,"MF,FW",Napoli,31,1987,29.4,1,0,0,15,50,18,157,21,21,0,0,0,209,5,26,16.1,/en/players/78841da9/matchlogs/2018-2019/misc/Jose-Callejon-Match-Logs
84,Joel Campbell,cr,"FW,MF",Frosinone,26,1992,9.9,4,0,0,16,36,9,21,4,9,0,0,0,37,3,11,21.4,/en/players/895ff3ca/matchlogs/2018-2019/misc/Joel-Campbell-Match-Logs
85,Emre Can,de,MF,Juventus,24,1994,20.1,7,0,0,44,23,5,19,30,58,0,1,1,185,35,23,60.3,/en/players/a65ce836/matchlogs/2018-2019/misc/Emre-Can-Match-Logs
86,João Cancelo,pt,DF,Juventus,24,1994,21.9,6,0,0,33,25,1,110,15,32,1,1,0,204,23,26,46.9,/en/players/bd6351cd/matchlogs/2018-2019/misc/Joao-Cancelo-Match-Logs
87,Antonio Candreva,it,"FW,MF",Inter,31,1987,5.6,0,0,0,8,10,4,71,4,0,0,0,0,35,0,2,0.0,/en/players/356c9002/matchlogs/2018-2019/misc/Antonio-Candreva-Match-Logs
88,Luan Capanni,br,FW,Lazio,18,2000,0.1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,100.0,/en/players/28237d7e/matchlogs/2018-2019/misc/Luan-Capanni-Match-Logs
89,Leonardo Capezzi,it,MF,Empoli,23,1995,8.6,4,0,0,22,6,0,8,10,14,0,1,1,125,6,7,46.2,/en/players/07ea0ef2/matchlogs/2018-2019/misc/Leonardo-Capezzi-Match-Logs
90,Gianluca Caprari,it,"FW,MF",Sampdoria,25,1993,11.5,1,0,0,21,25,6,40,4,7,0,0,0,54,2,12,14.3,/en/players/54e53b7e/matchlogs/2018-2019/misc/Gianluca-Caprari-Match-Logs
91,Marco Capuano,it,DF,Frosinone,26,1991,25.6,5,1,0,21,12,0,3,34,37,0,0,0,244,59,33,64.1,/en/players/616aea37/matchlogs/2018-2019/misc/Marco-Capuano-Match-Logs
92,Francesco Caputo,it,FW,Empoli,30,1987,38.0,3,0,0,27,35,32,20,4,11,2,0,0,143,20,38,34.5,/en/players/5bd72174/matchlogs/2018-2019/misc/Francesco-Caputo-Match-Logs
93,Francesco Cassata,it,"MF,FW",Frosinone,21,1997,12.5,9,1,0,31,22,0,8,6,12,0,0,0,102,5,7,41.7,/en/players/96960855/matchlogs/2018-2019/misc/Francesco-Cassata-Match-Logs
94,Timothy Castagne,be,"DF,MF",Atalanta,22,1995,22.3,3,0,0,21,14,0,58,27,34,0,0,0,194,19,22,46.3,/en/players/197640fd/matchlogs/2018-2019/misc/Timothy-Castagne-Match-Logs
95,Samu Castillejo,es,"FW,MF",Milan,23,1995,11.4,3,0,0,27,26,4,55,10,10,0,1,0,73,10,24,29.4,/en/players/130a7a3f/matchlogs/2018-2019/misc/Samu-Castillejo-Match-Logs
96,Lucas Castro,ar,"MF,FW",Cagliari,29,1989,10.0,1,0,0,17,10,2,27,16,12,0,0,0,103,5,14,26.3,/en/players/56b2957b/matchlogs/2018-2019/misc/Lucas-Castro-Match-Logs
97,Danilo Cataldi,it,"MF,FW",Lazio,23,1994,6.4,2,0,0,7,3,1,41,8,10,0,0,0,55,3,6,33.3,/en/players/ba3d3bea/matchlogs/2018-2019/misc/Danilo-Cataldi-Match-Logs
98,Federico Ceccherini,it,DF,Fiorentina,26,1992,11.0,2,0,0,17,20,1,2,21,9,0,0,0,120,28,21,57.1,/en/players/d9624b51/matchlogs/2018-2019/misc/Federico-Ceccherini-Match-Logs
99,Žan Celar,si,FW,Roma,19,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,/en/players/868c6958/matchlogs/2018-2019/misc/Zan-Celar-Match-Logs
100,Luca Ceppitelli,it,DF,Cagliari,28,1989,22.8,6,2,0,21,15,0,3,20,27,0,1,1,267,59,40,59.6,/en/players/7d50454d/matchlogs/2018-2019/misc/Luca-Ceppitelli-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,
101,Fabio Ceravolo,it,FW,Parma,31,1987,13.2,1,0,0,22,22,30,5,1,5,0,0,0,60,21,52,28.8,/en/players/4cc93246/matchlogs/2018-2019/misc/Fabio-Ceravolo-Match-Logs
102,Alberto Cerri,it,FW,Cagliari,22,1996,7.4,3,0,0,23,10,3,5,3,6,0,0,0,37,36,43,45.6,/en/players/1079c685/matchlogs/2018-2019/misc/Alberto-Cerri-Match-Logs
103,Boštjan Cesar,si,DF,Chievo,36,1982,12.0,3,0,0,17,6,2,0,12,15,0,0,0,89,23,11,67.6,/en/players/c1d18f10/matchlogs/2018-2019/misc/Bostjan-Cesar-Match-Logs
104,Raman Chibsah,gh,MF,Frosinone,25,1993,29.1,5,0,0,46,30,6,19,32,38,0,1,0,247,11,31,26.2,/en/players/aa5a409a/matchlogs/2018-2019/misc/Raman-Chibsah-Match-Logs
105,Giorgio Chiellini,it,DF,Juventus,33,1984,22.1,3,0,0,14,21,1,6,30,9,0,0,0,251,44,23,65.7,/en/players/e85fb9b8/matchlogs/2018-2019/misc/Giorgio-Chiellini-Match-Logs
106,Federico Chiesa,it,"FW,MF",Fiorentina,20,1997,33.7,4,0,0,57,58,10,97,11,27,4,0,0,226,14,37,27.5,/en/players/b0f7e36c/matchlogs/2018-2019/misc/Federico-Chiesa-Match-Logs
107,Vlad Chiricheș,ro,DF,Napoli,28,1989,1.6,0,0,0,2,1,0,0,1,2,0,0,0,15,3,2,60.0,/en/players/c316607a/matchlogs/2018-2019/misc/Vlad-Chiriches-Match-Logs
108,Camillo Ciano,it,"FW,MF",Frosinone,28,1990,27.3,12,0,0,69,89,18,226,8,17,2,0,0,181,18,75,19.4,/en/players/2114abf9/matchlogs/2018-2019/misc/Camillo-Ciano-Match-Logs
109,Amato Ciciretti,it,"FW,MF",Parma,24,1993,1.5,0,0,0,1,4,0,4,3,1,0,0,0,9,0,3,0.0,/en/players/1ab0b878/matchlogs/2018-2019/misc/Amato-Ciciretti-Match-Logs
110,Luca Cigarini,it,MF,Cagliari,32,1986,18.7,9,0,0,33,18,0,71,26,42,0,0,0,285,16,9,64.0,/en/players/ae64d449/matchlogs/2018-2019/misc/Luca-Cigarini-Match-Logs
111,Daniel Ciofani,it,FW,Frosinone,33,1985,18.0,1,0,0,27,19,8,4,3,5,0,0,0,67,81,94,46.3,/en/players/b09a3ecc/matchlogs/2018-2019/misc/Daniel-Ciofani-Match-Logs
112,Thiago Cionek,pl,DF,SPAL,32,1986,28.2,12,2,0,55,39,1,20,54,50,1,2,0,287,55,43,56.1,/en/players/46f5c54d/matchlogs/2018-2019/misc/Thiago-Cionek-Match-Logs
113,Omar Colley,gm,DF,Sampdoria,25,1992,19.6,1,1,1,17,6,2,2,22,16,0,1,0,228,36,35,50.7,/en/players/8b95acda/matchlogs/2018-2019/misc/Omar-Colley-Match-Logs
114,Andrea Consigli,it,GK,Sassuolo,31,1987,35.7,2,1,0,1,7,0,0,2,0,0,0,0,184,0,0,,/en/players/8cabdc1e/matchlogs/2018-2019/misc/Andrea-Consigli-Match-Logs
115,Andrea Conti,it,DF,Milan,24,1994,5.6,3,0,0,11,4,1,20,15,5,0,0,0,35,8,11,42.1,/en/players/8fef5412/matchlogs/2018-2019/misc/Andrea-Conti-Match-Logs
116,Gabriele Corbo,it,DF,Bologna,18,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,/en/players/091795f2/matchlogs/2018-2019/misc/Gabriele-Corbo-Match-Logs
117,Ante Ćorić,hr,MF,Roma,21,1997,0.3,0,0,0,1,0,0,4,0,0,0,0,0,1,0,1,0.0,/en/players/2d3f7367/matchlogs/2018-2019/misc/Ante-Coric-Match-Logs
118,Joaquín Correa,ar,"FW,MF",Lazio,23,1994,21.4,5,0,0,29,43,8,18,2,18,1,0,0,93,19,35,35.2,/en/players/45b9b619/matchlogs/2018-2019/misc/Joaquin-Correa-Match-Logs
119,Douglas Costa,br,"FW,MF",Juventus,27,1990,6.9,2,1,0,13,8,1,46,4,7,0,0,0,46,0,2,0.0,/en/players/4fa7cb9b/matchlogs/2018-2019/misc/Douglas-Costa-Match-Logs
120,Filippo Costa,it,"MF,DF",SPAL,23,1995,6.3,0,0,0,6,8,0,17,9,10,0,0,0,44,7,5,58.3,/en/players/00528660/matchlogs/2018-2019/misc/Filippo-Costa-Match-Logs
121,Alessio Cragno,it,GK,Cagliari,24,1994,38.0,1,0,0,0,8,0,1,3,0,0,0,0,192,0,0,,/en/players/f554e29b/matchlogs/2018-2019/misc/Alessio-Cragno-Match-Logs
122,Domenico Criscito,it,DF,Genoa,31,1986,34.1,12,1,0,47,49,2,165,65,68,0,2,0,363,36,30,54.5,/en/players/35dd6d80/matchlogs/2018-2019/misc/Domenico-Criscito-Match-Logs
123,Lorenzo Crisetig,it,MF,Frosinone,25,1993,5.6,3,0,0,15,11,0,1,12,7,0,0,0,46,4,1,80.0,/en/players/f54dfca8/matchlogs/2018-2019/misc/Lorenzo-Crisetig-Match-Logs
124,Bryan Cristante,it,MF,Roma,23,1995,26.9,10,0,0,63,15,0,25,26,42,0,0,0,303,55,38,59.1,/en/players/16657b95/matchlogs/2018-2019/misc/Bryan-Cristante-Match-Logs
