Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Ignazio Abate,it,DF,Milan,31,1986,14.5,4,0,0,13,7,0,26,18,21,0,1,0,113,10,7,58.8,/en/players/1c529186/matchlogs/2018-2019/misc/Ignazio-Abate-Match-Logs
2,Francesco Acerbi,it,DF,Lazio,30,1988,36.8,4,1,1,26,42,4,7,66,30,0,2,0,424,78,36,68.4,/en/players/b96b595c/matchlogs/2018-2019/misc/Francesco-Acerbi-Match-Logs
3,Afriyie Acquah,gh,MF,Empoli,26,1992,16.8,4,0,0,28,32,1,34,13,13,0,0,0,130,14,20,41.2,/en/players/d7403bd5/matchlogs/2018-2019/misc/Afriyie-Acquah-Match-Logs
4,Claud Adjapong,it,"MF,DF",Sassuolo,20,1998,3.0,1,0,0,3,6,2,5,1,3,0,0,0,21,2,3,40.0,/en/players/ce5b170a/matchlogs/2018-2019/misc/Claud-Adjapong-Match-Logs
5,Ali Adnan Kadhim,iq,"MF,DF",Atalanta,24,1993,1.8,0,0,0,2,2,0,14,3,2,0,0,0,20,4,1,80.0,/en/players/06050480/matchlogs/2018-2019/misc/Ali-Adnan-Kadhim-Match-Logs
6,Emmanuel Agyemang-Badu,gh,MF,Udinese,27,1990,1.8,0,0,0,2,4,0,2,1,4,0,0,0,10,4,5,44.4,/en/players/fe0b8f0e/matchlogs/2018-2019/misc/Emmanuel-Agyemang-Badu-Match-Logs
7,Ola Aina,ng,"DF,MF",Torino,21,1996,24.0,5,1,0,31,39,4,62,39,44,0,0,0,244,28,20,58.3,/en/players/246d153b/matchlogs/2018-2019/misc/Ola-Aina-Match-Logs
8,Luis Alberto,es,"MF,FW",Lazio,25,1992,22.1,5,1,0,24,24,3,170,10,28,0,0,0,173,12,22,35.3,/en/players/5294a83f/matchlogs/2018-2019/misc/Luis-Alberto-Match-Logs
9,Raúl Albiol,es,DF,Napoli,32,1985,19.0,4,0,0,10,8,0,3,20,17,0,0,0,193,40,32,55.6,/en/players/4bd414c1/matchlogs/2018-2019/misc/Raul-Albiol-Match-Logs
10,Allan,br,MF,Napoli,27,1991,29.1,10,0,0,50,61,0,14,35,92,0,0,0,329,8,16,33.3,/en/players/cc700722/matchlogs/2018-2019/misc/Allan-Match-Logs
11,Bruno Alves,pt,DF,Parma,36,1981,32.5,9,1,1,32,13,1,17,29,8,0,1,1,310,88,29,75.2,/en/players/585a73a8/matchlogs/2018-2019/misc/Bruno-Alves-Match-Logs
12,Joachim Andersen,dk,DF,Sampdoria,22,1996,32.0,7,0,0,31,14,0,1,35,20,0,1,0,388,64,38,62.7,/en/players/e34fc66d/matchlogs/2018-2019/misc/Joachim-Andersen-Match-Logs
13,Marco Andreolli,it,DF,Cagliari,32,1986,1.2,1,0,0,4,1,0,0,1,1,0,1,0,10,3,0,100.0,/en/players/13d820de/matchlogs/2018-2019/misc/Marco-Andreolli-Match-Logs
14,Marco Andreolli,it,DF,Chievo,32,1986,7.2,2,0,0,7,3,1,0,6,7,0,2,0,45,29,7,80.6,/en/players/13d820de/matchlogs/2018-2019/misc/Marco-Andreolli-Match-Logs
15,Cristian Ansaldi,ar,"DF,MF",Torino,31,1986,20.1,3,0,0,23,32,2,147,17,24,0,0,0,150,4,18,18.2,/en/players/bbafc0c4/matchlogs/2018-2019/misc/Cristian-Ansaldi-Match-Logs
16,Mirco Antenucci,it,FW,SPAL,33,1984,23.7,0,0,0,29,37,17,29,6,7,0,0,0,107,25,34,42.4,/en/players/43a2e16c/matchlogs/2018-2019/misc/Mirco-Antenucci-Match-Logs
17,Luca Antonelli,it,"DF,MF",Empoli,31,1987,8.4,1,0,0,11,22,3,10,14,9,0,0,0,74,6,3,66.7,/en/players/40f0ed6c/matchlogs/2018-2019/misc/Luca-Antonelli-Match-Logs
18,Mauro Antonio Burruchaga,ar,MF,Chievo,20,1998,0.6,0,0,0,1,0,0,0,0,2,0,0,0,11,1,1,50.0,/en/players/0830a4f9/matchlogs/2018-2019/misc/Mauro-Antonio-Burruchaga-Match-Logs
19,Joaquín Ardaiz,uy,FW,Frosinone,19,1999,0.2,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,50.0,/en/players/eb823875/matchlogs/2018-2019/misc/Joaquin-Ardaiz-Match-Logs
20,Lorenzo Ariaudo,it,DF,Frosinone,29,1989,18.7,2,0,0,16,22,2,1,18,12,0,0,1,120,35,31,53.0,/en/players/68b78c2a/matchlogs/2018-2019/misc/Lorenzo-Ariaudo-Match-Logs
21,Nicolò Armini,it,DF,Lazio,17,2001,0.4,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0.0,/en/players/2f7407fa/matchlogs/2018-2019/misc/Nicolo-Armini-Match-Logs
22,Kwadwo Asamoah,gh,DF,Inter,29,1988,29.7,6,0,0,29,69,0,72,38,21,0,0,0,307,16,22,42.1,/en/players/089550f5/matchlogs/2018-2019/misc/Kwadwo-Asamoah-Match-Logs
23,Emil Audero,it,GK,Sampdoria,21,1997,36.0,4,0,0,2,5,0,1,1,0,0,2,0,181,0,0,,/en/players/649b01d8/matchlogs/2018-2019/misc/Emil-Audero-Match-Logs
24,Khouma Babacar,sn,FW,Sassuolo,25,1993,16.5,0,0,0,30,20,10,4,3,8,1,1,0,63,24,32,42.9,/en/players/422ec08a/matchlogs/2018-2019/misc/Khouma-Babacar-Match-Logs
25,Milan Badelj,hr,MF,Lazio,29,1989,12.7,6,0,0,25,15,0,17,33,21,0,0,0,176,13,10,56.5,/en/players/e8c930bb/matchlogs/2018-2019/misc/Milan-Badelj-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,
26,Tiemoué Bakayoko,fr,MF,Milan,23,1994,25.6,6,1,1,48,71,0,2,51,60,0,0,0,317,58,36,61.7,/en/players/59bf127b/matchlogs/2018-2019/misc/Tiemoue-Bakayoko-Match-Logs
27,Keita Baldé,sn,"FW,MF",Inter,23,1995,9.9,2,1,1,18,24,8,49,2,7,0,0,0,52,4,9,30.8,/en/players/509a4ccb/matchlogs/2018-2019/misc/Keita-Balde-Match-Logs
28,Andrija Balić,hr,"FW,MF",Udinese,20,1997,0.3,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,,/en/players/9be4ee80/matchlogs/2018-2019/misc/Andrija-Balic-Match-Logs
29,Mattia Bani,it,DF,Chievo,24,1993,29.0,8,1,1,32,33,2,7,62,39,0,1,1,270,65,40,61.9,/en/players/0821331c/matchlogs/2018-2019/misc/Mattia-Bani-Match-Logs
30,Antonín Barák,cz,"MF,FW",Udinese,23,1994,3.7,0,0,0,4,3,0,5,2,8,0,0,0,23,2,4,33.3,/en/players/01efac19/matchlogs/2018-2019/misc/Antonin-Barak-Match-Logs
31,Federico Barba,it,DF,Chievo,24,1993,27.6,6,2,1,36,13,1,26,68,28,0,0,0,293,49,26,65.3,/en/players/c010b898/matchlogs/2018-2019/misc/Federico-Barba-Match-Logs
32,Francesco Bardi,it,GK,Frosinone,26,1992,3.0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,,/en/players/0acda699/matchlogs/2018-2019/misc/Francesco-Bardi-Match-Logs
33,Nicolò Barella,it,"MF,FW",Cagliari,21,1997,34.5,10,2,2,61,82,4,93,39,61,0,2,0,362,19,40,32.2,/en/players/6928979a/matchlogs/2018-2019/misc/Nicolo-Barella-Match-Logs
34,Antonino Barillà,it,MF,Parma,30,1988,29.1,10,0,0,67,33,4,38,37,48,1,0,0,205,17,34,33.3,/en/players/a64cbd35/matchlogs/2018-2019/misc/Antonino-Barilla-Match-Logs
35,Édgar Barreto,py,MF,Sampdoria,34,1984,8.7,2,0,0,18,9,1,20,15,12,0,0,0,86,4,4,50.0,/en/players/43a1bea5/matchlogs/2018-2019/misc/Edgar-Barreto-Match-Logs
36,Musa Barrow,gm,"FW,MF",Atalanta,19,1998,6.7,0,0,0,7,5,3,9,0,6,0,0,0,36,4,14,22.2,/en/players/e5bf73f3/matchlogs/2018-2019/misc/Musa-Barrow-Match-Logs
37,Andrea Barzagli,it,DF,Juventus,37,1981,2.9,0,0,0,3,1,0,0,4,3,0,0,0,30,7,3,70.0,/en/players/7c0000fd/matchlogs/2018-2019/misc/Andrea-Barzagli-Match-Logs
38,Daniele Baselli,it,MF,Torino,26,1992,26.4,5,0,0,49,37,1,82,34,44,0,1,0,290,27,24,52.9,/en/players/ea06dd97/matchlogs/2018-2019/misc/Daniele-Baselli-Match-Logs
39,Alessandro Bastoni,it,DF,Parma,19,1999,18.8,2,0,0,16,19,0,3,22,18,0,1,0,140,28,36,43.8,/en/players/75b86fb3/matchlogs/2018-2019/misc/Alessandro-Bastoni-Match-Logs
40,Bastos,ao,DF,Lazio,27,1991,12.7,3,0,0,12,7,1,3,6,20,0,1,0,95,19,13,59.4,/en/players/c01c66d9/matchlogs/2018-2019/misc/Bastos-Match-Logs
41,Andrea Beghetto,it,"DF,MF",Frosinone,23,1994,24.7,3,0,0,25,16,3,218,19,19,0,0,0,170,6,4,60.0,/en/players/438dfc6a/matchlogs/2018-2019/misc/Andrea-Beghetto-Match-Logs
42,Valon Behrami,ch,MF,Udinese,33,1985,15.1,6,0,0,47,34,0,3,19,41,0,1,0,173,19,11,63.3,/en/players/d3d758d8/matchlogs/2018-2019/misc/Valon-Behrami-Match-Logs
43,Andrea Belotti,it,FW,Torino,24,1993,36.7,5,0,0,72,111,29,24,15,18,1,0,0,188,116,134,46.4,/en/players/d705ba44/matchlogs/2018-2019/misc/Andrea-Belotti-Match-Logs
44,Marco Benassi,it,MF,Fiorentina,23,1994,25.4,6,1,0,25,22,2,34,9,16,0,0,0,192,5,31,13.9,/en/players/0000acda/matchlogs/2018-2019/misc/Marco-Benassi-Match-Logs
45,Medhi Benatia,ma,DF,Juventus,31,1987,5.0,2,0,0,13,3,0,0,15,6,0,1,0,53,8,7,53.3,/en/players/3b15ef2d/matchlogs/2018-2019/misc/Medhi-Benatia-Match-Logs
46,Ismaël Bennacer,dz,MF,Empoli,20,1997,32.9,7,0,0,48,59,0,76,55,68,0,1,0,395,24,26,48.0,/en/players/db092d3b/matchlogs/2018-2019/misc/Ismael-Bennacer-Match-Logs
47,Rodrigo Bentancur,uy,MF,Juventus,21,1997,22.3,8,1,1,39,15,2,18,44,28,0,0,0,216,30,23,56.6,/en/players/3b8674e6/matchlogs/2018-2019/misc/Rodrigo-Bentancur-Match-Logs
48,Domenico Berardi,it,"FW,MF",Sassuolo,23,1994,31.9,5,1,0,65,92,12,121,28,23,0,0,0,243,20,29,40.8,/en/players/53a0e358/matchlogs/2018-2019/misc/Domenico-Berardi-Match-Logs
49,Álex Berenguer,es,"MF,FW",Torino,23,1995,16.5,4,0,0,29,34,3,87,8,27,1,0,0,104,11,34,24.4,/en/players/dc1c2fce/matchlogs/2018-2019/misc/Alex-Berenguer-Match-Logs
50,Bartosz Bereszyński,pl,DF,Sampdoria,26,1992,24.4,6,1,1,26,30,0,52,33,25,0,0,0,229,20,13,60.6,/en/players/61b3978f/matchlogs/2018-2019/misc/Bartosz-Bereszynski-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,
51,Etrit Berisha,al,GK,Atalanta,29,1989,18.0,1,0,0,0,2,0,0,1,0,0,0,0,92,0,0,,/en/players/ee833569/matchlogs/2018-2019/misc/Etrit-Berisha-Match-Logs
52,Valon Berisha,xk,MF,Lazio,25,1993,2.2,0,0,0,3,4,0,9,4,5,1,0,0,26,0,2,0.0,/en/players/d5575935/matchlogs/2018-2019/misc/Valon-Berisha-Match-Logs
53,Federico Bernardeschi,it,"FW,MF",Juventus,24,1994,16.4,5,1,0,20,31,7,82,7,11,0,0,0,119,3,8,27.3,/en/players/ee93c1a9/matchlogs/2018-2019/misc/Federico-Bernardeschi-Match-Logs
54,Daniel Bessa,it,MF,Genoa,25,1993,27.1,8,0,0,55,19,4,55,21,36,1,0,0,237,12,27,30.8,/en/players/88895312/matchlogs/2018-2019/misc/Daniel-Bessa-Match-Logs
55,Jonathan Biabiany,fr,"FW,MF",Parma,30,1988,11.9,4,0,0,22,16,4,16,11,14,0,0,0,81,14,15,48.3,/en/players/6b99d135/matchlogs/2018-2019/misc/Jonathan-Biabiany-Match-Logs
56,Lucas Biglia,ar,MF,Milan,32,1986,12.4,3,0,0,22,16,0,3,22,37,0,1,0,162,5,12,29.4,/en/players/5710a281/matchlogs/2018-2019/misc/Lucas-Biglia-Match-Logs
57,Cristiano Biraghi,it,DF,Fiorentina,25,1992,35.5,8,0,0,36,28,3,270,41,26,0,0,0,323,24,18,57.1,/en/players/9e1577aa/matchlogs/2018-2019/misc/Cristiano-Biraghi-Match-Logs
58,Davide Biraschi,it,DF,Genoa,24,1994,31.6,3,1,0,38,31,0,48,64,42,0,0,1,326,49,37,57.0,/en/players/64cd167d/matchlogs/2018-2019/misc/Davide-Biraschi-Match-Logs
59,Valter Birsa,si,"MF,FW",Chievo,31,1986,12.2,1,0,0,11,13,3,62,5,11,0,0,0,79,7,11,38.9,/en/players/455a2b79/matchlogs/2018-2019/misc/Valter-Birsa-Match-Logs
60,Valter Birsa,si,"MF,FW",Cagliari,31,1986,3.9,0,0,0,4,4,0,36,4,2,0,0,0,32,2,9,18.2,/en/players/455a2b79/matchlogs/2018-2019/misc/Valter-Birsa-Match-Logs
61,Kevin-Prince Boateng,gh,FW,Sassuolo,31,1987,10.4,1,0,0,25,27,8,5,3,4,0,0,0,44,16,25,39.0,/en/players/f4ec4fd0/matchlogs/2018-2019/misc/Kevin-Prince-Boateng-Match-Logs
62,Jeremie Boga,ci,"FW,MF",Sassuolo,21,1997,16.0,0,0,0,9,29,8,15,5,10,0,0,0,81,2,8,20.0,/en/players/fe012aca/matchlogs/2018-2019/misc/Jeremie-Boga-Match-Logs
63,Giacomo Bonaventura,it,MF,Milan,28,1989,7.2,0,0,0,5,8,1,8,7,2,0,0,0,44,5,5,50.0,/en/players/d995ed27/matchlogs/2018-2019/misc/Giacomo-Bonaventura-Match-Logs
64,Kevin Bonifazi,it,DF,SPAL,22,1996,25.6,2,0,0,20,19,0,6,37,29,0,0,0,256,36,30,54.5,/en/players/fb77bfef/matchlogs/2018-2019/misc/Kevin-Bonifazi-Match-Logs
65,Leonardo Bonucci,it,DF,Juventus,31,1987,27.5,2,0,0,14,24,2,5,38,12,0,0,0,247,35,40,46.7,/en/players/52ec54d0/matchlogs/2018-2019/misc/Leonardo-Bonucci-Match-Logs
66,Fabio Borini,it,"FW,MF",Milan,27,1991,11.7,3,0,0,14,34,3,14,12,11,0,0,0,64,19,14,57.6,/en/players/ef5b337e/matchlogs/2018-2019/misc/Fabio-Borini-Match-Logs
67,Mehdi Bourabia,ma,MF,Sassuolo,26,1991,22.3,8,1,1,43,25,1,48,33,37,0,1,0,219,36,31,53.7,/en/players/0d077b88/matchlogs/2018-2019/misc/Mehdi-Bourabia-Match-Logs
68,Filip Bradarić,hr,MF,Cagliari,26,1992,16.6,5,0,0,27,9,0,12,35,24,0,2,1,192,19,11,63.3,/en/players/605873e1/matchlogs/2018-2019/misc/Filip-Bradaric-Match-Logs
69,Gleison Bremer,br,DF,Torino,21,1997,2.0,1,0,0,3,4,0,0,8,3,0,0,0,25,6,9,40.0,/en/players/5fd5ed86/matchlogs/2018-2019/misc/Gleison-Bremer-Match-Logs
70,Nicolò Brighenti,it,DF,Frosinone,28,1989,11.0,4,0,0,16,19,0,8,31,17,0,0,0,108,14,14,50.0,/en/players/54c356b0/matchlogs/2018-2019/misc/Nicolo-Brighenti-Match-Logs
71,Matteo Brighi,it,MF,Empoli,37,1981,2.6,1,0,0,6,9,0,0,3,6,0,0,0,32,3,3,50.0,/en/players/d417b306/matchlogs/2018-2019/misc/Matteo-Brighi-Match-Logs
72,Enrico Brignola,it,FW,Sassuolo,19,1999,1.9,2,0,0,6,1,1,4,2,1,0,0,0,13,1,3,25.0,/en/players/d0643f8f/matchlogs/2018-2019/misc/Enrico-Brignola-Match-Logs
73,Marcelo Brozović,hr,MF,Inter,25,1992,29.4,11,1,1,48,28,0,127,45,78,0,0,0,329,17,21,44.7,/en/players/33b8d077/matchlogs/2018-2019/misc/Marcelo-Brozovic-Match-Logs
74,Rafael Cabral,br,GK,Sampdoria,28,1990,2.0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,/en/players/806f7a26/matchlogs/2018-2019/misc/Rafael-Cabral-Match-Logs
75,Fabrizio Cacciatore,it,DF,Cagliari,31,1986,6.4,2,0,0,8,3,0,22,7,8,0,1,0,61,4,10,28.6,/en/players/00b0bb87/matchlogs/2018-2019/misc/Fabrizio-Cacciatore-Match-Logs
