Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
1,Ignazio Abate,it,DF,Milan,31,1986,14.5,1056,74,351,587,165,9,946,5,9,55.6,8,2,700,2778,1506,709,687,96.9,6,3,/en/players/1c529186/matchlogs/2018-2019/possession/Ignazio-Abate-Match-Logs
2,Francesco Acerbi,it,DF,Lazio,30,1988,36.8,2162,279,1117,1108,127,27,2104,9,11,81.8,9,0,1360,9766,5119,1344,1307,97.2,7,14,/en/players/b96b595c/matchlogs/2018-2019/possession/Francesco-Acerbi-Match-Logs
3,Afriyie Acquah,gh,MF,Empoli,26,1992,16.8,921,26,151,508,360,33,911,37,48,77.1,39,1,786,5663,3296,807,699,86.6,26,28,/en/players/d7403bd5/matchlogs/2018-2019/possession/Afriyie-Acquah-Match-Logs
4,Claud Adjapong,it,"MF,DF",Sassuolo,20,1998,3.0,146,5,38,59,61,9,124,8,13,61.5,8,0,109,634,399,104,85,81.7,13,7,/en/players/ce5b170a/matchlogs/2018-2019/possession/Claud-Adjapong-Match-Logs
5,Ali Adnan Kadhim,iq,"MF,DF",Atalanta,24,1993,1.8,138,8,37,54,53,4,114,4,5,80.0,4,0,88,409,264,87,79,90.8,0,0,/en/players/06050480/matchlogs/2018-2019/possession/Ali-Adnan-Kadhim-Match-Logs
6,Emmanuel Agyemang-Badu,gh,MF,Udinese,27,1990,1.8,56,4,13,30,14,3,56,0,4,0.0,0,0,25,98,37,45,34,75.6,3,1,/en/players/fe0b8f0e/matchlogs/2018-2019/possession/Emmanuel-Agyemang-Badu-Match-Logs
7,Ola Aina,ng,"DF,MF",Torino,21,1996,24.0,1483,66,407,692,477,44,1244,37,68,54.4,39,1,847,5968,3697,880,766,87.0,26,30,/en/players/246d153b/matchlogs/2018-2019/possession/Ola-Aina-Match-Logs
8,Luis Alberto,es,"MF,FW",Lazio,25,1992,22.1,1757,12,170,851,901,67,1527,24,54,44.4,32,3,1287,8185,5309,1459,1235,84.6,35,46,/en/players/5294a83f/matchlogs/2018-2019/possession/Luis-Alberto-Match-Logs
9,Raúl Albiol,es,DF,Napoli,32,1985,19.0,1287,157,594,725,31,7,1255,1,2,50.0,1,0,885,4255,2292,899,885,98.4,4,2,/en/players/4bd414c1/matchlogs/2018-2019/possession/Raul-Albiol-Match-Logs
10,Allan,br,MF,Napoli,27,1991,29.1,2583,80,551,1680,519,34,2489,56,78,71.8,58,2,2066,10334,5832,1998,1886,94.4,30,38,/en/players/cc700722/matchlogs/2018-2019/possession/Allan-Match-Logs
11,Bruno Alves,pt,DF,Parma,36,1981,32.5,1549,323,960,609,76,30,1471,5,5,100.0,5,0,793,5046,2672,824,806,97.8,4,3,/en/players/585a73a8/matchlogs/2018-2019/possession/Bruno-Alves-Match-Logs
12,Joachim Andersen,dk,DF,Sampdoria,22,1996,32.0,2307,345,1135,1281,69,18,2222,14,15,93.3,14,0,1529,8727,5431,1598,1576,98.6,3,8,/en/players/e34fc66d/matchlogs/2018-2019/possession/Joachim-Andersen-Match-Logs
13,Marco Andreolli,it,DF,Cagliari,32,1986,1.2,82,13,45,40,1,1,82,0,0,,0,0,52,184,98,62,60,96.8,0,0,/en/players/13d820de/matchlogs/2018-2019/possession/Marco-Andreolli-Match-Logs
14,Marco Andreolli,it,DF,Chievo,32,1986,7.2,315,45,192,127,6,4,308,1,1,100.0,1,0,164,701,263,193,186,96.4,2,1,/en/players/13d820de/matchlogs/2018-2019/possession/Marco-Andreolli-Match-Logs
15,Cristian Ansaldi,ar,"DF,MF",Torino,31,1986,20.1,1141,44,259,506,510,45,951,59,95,62.1,61,2,785,6957,4177,778,665,85.5,25,34,/en/players/bbafc0c4/matchlogs/2018-2019/possession/Cristian-Ansaldi-Match-Logs
16,Mirco Antenucci,it,FW,SPAL,33,1984,23.7,821,6,58,392,432,104,779,29,51,56.9,29,0,641,3955,1592,968,622,64.3,66,47,/en/players/43a2e16c/matchlogs/2018-2019/possession/Mirco-Antenucci-Match-Logs
17,Luca Antonelli,it,"DF,MF",Empoli,31,1987,8.4,494,39,162,240,131,23,445,5,8,62.5,5,0,296,1814,1261,307,285,92.8,12,4,/en/players/40f0ed6c/matchlogs/2018-2019/possession/Luca-Antonelli-Match-Logs
18,Mauro Antonio Burruchaga,ar,MF,Chievo,20,1998,0.6,49,3,16,32,7,0,47,0,2,0.0,0,0,35,205,120,29,28,96.6,0,3,/en/players/0830a4f9/matchlogs/2018-2019/possession/Mauro-Antonio-Burruchaga-Match-Logs
19,Joaquín Ardaiz,uy,FW,Frosinone,19,1999,0.2,6,0,0,4,3,0,6,0,0,,0,0,4,31,21,11,4,36.4,0,2,/en/players/eb823875/matchlogs/2018-2019/possession/Joaquin-Ardaiz-Match-Logs
20,Lorenzo Ariaudo,it,DF,Frosinone,29,1989,18.7,811,176,516,342,22,14,777,3,3,100.0,3,0,450,3227,1798,465,453,97.4,3,1,/en/players/68b78c2a/matchlogs/2018-2019/possession/Lorenzo-Ariaudo-Match-Logs
21,Nicolò Armini,it,DF,Lazio,17,2001,0.4,26,2,12,17,3,0,24,0,0,,0,0,20,187,145,19,19,100.0,0,0,/en/players/2f7407fa/matchlogs/2018-2019/possession/Nicolo-Armini-Match-Logs
22,Kwadwo Asamoah,gh,DF,Inter,29,1988,29.7,2480,79,631,1379,669,33,2269,53,73,72.6,54,1,1898,9847,6263,1855,1774,95.6,23,20,/en/players/089550f5/matchlogs/2018-2019/possession/Kwadwo-Asamoah-Match-Logs
23,Emil Audero,it,GK,Sampdoria,21,1997,36.0,1248,1152,1244,6,1,1,867,0,0,,0,0,602,2122,938,490,488,99.6,1,0,/en/players/649b01d8/matchlogs/2018-2019/possession/Emil-Audero-Match-Logs
24,Khouma Babacar,sn,FW,Sassuolo,25,1993,16.5,527,25,48,232,270,86,486,11,20,55.0,11,0,358,1900,879,663,367,55.4,55,29,/en/players/422ec08a/matchlogs/2018-2019/possession/Khouma-Babacar-Match-Logs
25,Milan Badelj,hr,MF,Lazio,29,1989,12.7,1017,26,236,640,210,7,993,24,34,70.6,25,0,705,3303,1769,729,692,94.9,5,7,/en/players/e8c930bb/matchlogs/2018-2019/possession/Milan-Badelj-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Tiemoué Bakayoko,fr,MF,Milan,23,1994,25.6,1706,78,397,1138,305,35,1689,59,84,70.2,60,1,1209,6863,3808,1207,1123,93.0,32,40,/en/players/59bf127b/matchlogs/2018-2019/possession/Tiemoue-Bakayoko-Match-Logs
27,Keita Baldé,sn,"FW,MF",Inter,23,1995,9.9,474,6,29,174,309,66,469,20,29,69.0,20,0,405,3014,1730,492,378,76.8,23,22,/en/players/509a4ccb/matchlogs/2018-2019/possession/Keita-Balde-Match-Logs
28,Andrija Balić,hr,"FW,MF",Udinese,20,1997,0.3,30,1,7,13,10,0,26,2,3,66.7,2,0,23,101,50,23,18,78.3,0,1,/en/players/9be4ee80/matchlogs/2018-2019/possession/Andrija-Balic-Match-Logs
29,Mattia Bani,it,DF,Chievo,24,1993,29.0,1618,261,1025,629,62,21,1562,2,3,66.7,2,0,919,4502,2353,963,935,97.1,7,7,/en/players/0821331c/matchlogs/2018-2019/possession/Mattia-Bani-Match-Logs
30,Antonín Barák,cz,"MF,FW",Udinese,23,1994,3.7,216,2,42,135,53,2,207,3,5,60.0,3,0,168,976,487,193,161,83.4,3,8,/en/players/01efac19/matchlogs/2018-2019/possession/Antonin-Barak-Match-Logs
31,Federico Barba,it,DF,Chievo,24,1993,27.6,1576,166,736,735,188,15,1406,7,12,58.3,8,0,874,4929,2739,878,835,95.1,10,5,/en/players/c010b898/matchlogs/2018-2019/possession/Federico-Barba-Match-Logs
32,Francesco Bardi,it,GK,Frosinone,26,1992,3.0,80,73,80,1,0,0,53,0,0,,0,0,35,186,113,24,24,100.0,0,0,/en/players/0acda699/matchlogs/2018-2019/possession/Francesco-Bardi-Match-Logs
33,Nicolò Barella,it,"MF,FW",Cagliari,21,1997,34.5,2443,51,421,1441,799,65,2340,53,95,55.8,59,2,1832,11820,6143,2011,1711,85.1,72,70,/en/players/6928979a/matchlogs/2018-2019/possession/Nicolo-Barella-Match-Logs
34,Antonino Barillà,it,MF,Parma,30,1988,29.1,1156,74,341,592,308,35,1142,26,41,63.4,29,3,787,4439,2282,854,712,83.4,29,43,/en/players/a64cbd35/matchlogs/2018-2019/possession/Antonino-Barilla-Match-Logs
35,Édgar Barreto,py,MF,Sampdoria,34,1984,8.7,597,14,98,354,162,19,583,6,10,60.0,6,0,434,1106,478,470,434,92.3,5,9,/en/players/43a1bea5/matchlogs/2018-2019/possession/Edgar-Barreto-Match-Logs
36,Musa Barrow,gm,"FW,MF",Atalanta,19,1998,6.7,372,1,17,131,253,71,358,18,34,52.9,19,2,320,1987,1060,456,299,65.6,32,19,/en/players/e5bf73f3/matchlogs/2018-2019/possession/Musa-Barrow-Match-Logs
37,Andrea Barzagli,it,DF,Juventus,37,1981,2.9,219,16,96,120,14,0,215,0,1,0.0,0,0,160,664,374,172,169,98.3,0,0,/en/players/7c0000fd/matchlogs/2018-2019/possession/Andrea-Barzagli-Match-Logs
38,Daniele Baselli,it,MF,Torino,26,1992,26.4,1593,45,292,846,558,55,1482,31,53,58.5,32,2,1044,5908,3121,1128,983,87.1,44,37,/en/players/ea06dd97/matchlogs/2018-2019/possession/Daniele-Baselli-Match-Logs
39,Alessandro Bastoni,it,DF,Parma,19,1999,18.8,831,162,494,364,28,5,785,8,10,80.0,8,1,454,2834,1584,447,434,97.1,4,5,/en/players/75b86fb3/matchlogs/2018-2019/possession/Alessandro-Bastoni-Match-Logs
40,Bastos,ao,DF,Lazio,27,1991,12.7,675,79,318,329,83,11,653,12,13,92.3,12,0,467,3271,1819,448,437,97.5,3,7,/en/players/c01c66d9/matchlogs/2018-2019/possession/Bastos-Match-Logs
41,Andrea Beghetto,it,"DF,MF",Frosinone,23,1994,24.7,1310,70,391,503,473,34,1090,9,25,36.0,14,3,828,3708,2247,874,759,86.8,14,12,/en/players/438dfc6a/matchlogs/2018-2019/possession/Andrea-Beghetto-Match-Logs
42,Valon Behrami,ch,MF,Udinese,33,1985,15.1,685,42,221,420,71,9,650,11,14,78.6,11,0,370,1629,755,336,302,89.9,11,14,/en/players/d3d758d8/matchlogs/2018-2019/possession/Valon-Behrami-Match-Logs
43,Andrea Belotti,it,FW,Torino,24,1993,36.7,1386,29,113,609,782,230,1360,45,92,48.9,47,1,918,6616,4238,1763,1025,58.1,99,91,/en/players/d705ba44/matchlogs/2018-2019/possession/Andrea-Belotti-Match-Logs
44,Marco Benassi,it,MF,Fiorentina,23,1994,25.4,1070,34,165,556,421,80,1046,24,34,70.6,24,2,770,4046,2364,933,736,78.9,26,25,/en/players/0000acda/matchlogs/2018-2019/possession/Marco-Benassi-Match-Logs
45,Medhi Benatia,ma,DF,Juventus,31,1987,5.0,370,42,183,190,10,3,365,1,1,100.0,1,0,258,1011,444,264,260,98.5,0,1,/en/players/3b15ef2d/matchlogs/2018-2019/possession/Medhi-Benatia-Match-Logs
46,Ismaël Bennacer,dz,MF,Empoli,20,1997,32.9,2345,77,602,1423,497,15,2166,60,82,73.2,62,1,1698,9998,5017,1561,1474,94.4,24,38,/en/players/db092d3b/matchlogs/2018-2019/possession/Ismael-Bennacer-Match-Logs
47,Rodrigo Bentancur,uy,MF,Juventus,21,1997,22.3,1480,63,305,903,371,27,1463,26,43,60.5,27,1,1119,6017,2911,1177,1056,89.7,19,27,/en/players/3b8674e6/matchlogs/2018-2019/possession/Rodrigo-Bentancur-Match-Logs
48,Domenico Berardi,it,"FW,MF",Sassuolo,23,1994,31.9,1820,27,207,761,996,119,1731,59,103,57.3,63,6,1448,9513,5721,1663,1330,80.0,68,64,/en/players/53a0e358/matchlogs/2018-2019/possession/Domenico-Berardi-Match-Logs
49,Álex Berenguer,es,"MF,FW",Torino,23,1995,16.5,998,11,136,446,510,60,875,48,83,57.8,50,6,712,5256,3223,846,676,79.9,41,57,/en/players/dc1c2fce/matchlogs/2018-2019/possession/Alex-Berenguer-Match-Logs
50,Bartosz Bereszyński,pl,DF,Sampdoria,26,1992,24.4,1821,92,509,929,473,19,1589,29,43,67.4,29,2,1249,5638,3108,1232,1166,94.6,17,20,/en/players/61b3978f/matchlogs/2018-2019/possession/Bartosz-Bereszynski-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Etrit Berisha,al,GK,Atalanta,29,1989,18.0,521,447,521,1,0,0,356,0,0,,0,0,248,1228,714,174,174,100.0,0,0,/en/players/ee833569/matchlogs/2018-2019/possession/Etrit-Berisha-Match-Logs
52,Valon Berisha,xk,MF,Lazio,25,1993,2.2,179,3,30,109,57,3,170,5,5,100.0,5,1,129,670,335,145,125,86.2,1,4,/en/players/d5575935/matchlogs/2018-2019/possession/Valon-Berisha-Match-Logs
