Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
28,Andrija Balić,hr,"FW,MF",Udinese,20,1997,0.3,2,6.67,2,0,0,0,0,0,0.00,2,0,0,0,0,0,/en/players/9be4ee80/matchlogs/2018-2019/gca/Andrija-Balic-Match-Logs
29,Mattia Bani,it,DF,Chievo,24,1993,29.0,10,0.34,9,0,0,1,0,0,0.00,9,0,0,1,0,0,/en/players/0821331c/matchlogs/2018-2019/gca/Mattia-Bani-Match-Logs
30,Antonín Barák,cz,"MF,FW",Udinese,23,1994,3.7,5,1.37,4,1,0,0,0,1,0.27,4,1,0,0,0,0,/en/players/01efac19/matchlogs/2018-2019/gca/Antonin-Barak-Match-Logs
31,Federico Barba,it,DF,Chievo,24,1993,27.6,23,0.83,17,3,1,1,1,1,0.04,17,3,1,1,1,0,/en/players/c010b898/matchlogs/2018-2019/gca/Federico-Barba-Match-Logs
32,Francesco Bardi,it,GK,Frosinone,26,1992,3.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,/en/players/0acda699/matchlogs/2018-2019/gca/Francesco-Bardi-Match-Logs
33,Nicolò Barella,it,"MF,FW",Cagliari,21,1997,34.5,95,2.75,73,6,4,5,7,6,0.17,73,6,4,5,7,0,/en/players/6928979a/matchlogs/2018-2019/gca/Nicolo-Barella-Match-Logs
34,Antonino Barillà,it,MF,Parma,30,1988,29.1,37,1.27,29,2,2,2,2,5,0.17,29,2,2,2,2,0,/en/players/a64cbd35/matchlogs/2018-2019/gca/Antonino-Barilla-Match-Logs
35,Édgar Barreto,py,MF,Sampdoria,34,1984,8.7,18,2.06,16,2,0,0,0,3,0.34,16,2,0,0,0,0,/en/players/43a1bea5/matchlogs/2018-2019/gca/Edgar-Barreto-Match-Logs
36,Musa Barrow,gm,"FW,MF",Atalanta,19,1998,6.7,28,4.19,20,2,4,2,0,3,0.45,20,2,4,2,0,0,/en/players/e5bf73f3/matchlogs/2018-2019/gca/Musa-Barrow-Match-Logs
37,Andrea Barzagli,it,DF,Juventus,37,1981,2.9,1,0.35,1,0,0,0,0,0,0.00,1,0,0,0,0,0,/en/players/7c0000fd/matchlogs/2018-2019/gca/Andrea-Barzagli-Match-Logs
38,Daniele Baselli,it,MF,Torino,26,1992,26.4,75,2.84,49,19,6,1,0,6,0.23,49,19,6,1,0,0,/en/players/ea06dd97/matchlogs/2018-2019/gca/Daniele-Baselli-Match-Logs
39,Alessandro Bastoni,it,DF,Parma,19,1999,18.8,2,0.11,2,0,0,0,0,0,0.00,2,0,0,0,0,0,/en/players/75b86fb3/matchlogs/2018-2019/gca/Alessandro-Bastoni-Match-Logs
40,Bastos,ao,DF,Lazio,27,1991,12.7,6,0.47,4,0,2,0,0,0,0.00,4,0,2,0,0,0,/en/players/c01c66d9/matchlogs/2018-2019/gca/Bastos-Match-Logs
41,Andrea Beghetto,it,"DF,MF",Frosinone,23,1994,24.7,74,2.99,60,11,1,1,1,8,0.32,60,11,1,1,1,0,/en/players/438dfc6a/matchlogs/2018-2019/gca/Andrea-Beghetto-Match-Logs
42,Valon Behrami,ch,MF,Udinese,33,1985,15.1,14,0.93,11,0,0,3,0,1,0.07,11,0,0,3,0,0,/en/players/d3d758d8/matchlogs/2018-2019/gca/Valon-Behrami-Match-Logs
43,Andrea Belotti,it,FW,Torino,24,1993,36.7,98,2.67,64,0,7,14,13,7,0.19,64,0,7,14,13,0,/en/players/d705ba44/matchlogs/2018-2019/gca/Andrea-Belotti-Match-Logs
44,Marco Benassi,it,MF,Fiorentina,23,1994,25.4,52,2.05,43,0,4,4,1,3,0.12,43,0,4,4,1,0,/en/players/0000acda/matchlogs/2018-2019/gca/Marco-Benassi-Match-Logs
45,Medhi Benatia,ma,DF,Juventus,31,1987,5.0,1,0.20,1,0,0,0,0,0,0.00,1,0,0,0,0,0,/en/players/3b15ef2d/matchlogs/2018-2019/gca/Medhi-Benatia-Match-Logs
46,Ismaël Bennacer,dz,MF,Empoli,20,1997,32.9,65,1.98,47,15,0,0,3,11,0.33,47,15,0,0,3,0,/en/players/db092d3b/matchlogs/2018-2019/gca/Ismael-Bennacer-Match-Logs
47,Rodrigo Bentancur,uy,MF,Juventus,21,1997,22.3,44,1.98,43,0,0,1,0,9,0.40,43,0,0,1,0,0,/en/players/3b8674e6/matchlogs/2018-2019/gca/Rodrigo-Bentancur-Match-Logs
48,Domenico Berardi,it,"FW,MF",Sassuolo,23,1994,31.9,124,3.88,78,10,13,12,10,13,0.41,78,10,13,12,10,1,/en/players/53a0e358/matchlogs/2018-2019/gca/Domenico-Berardi-Match-Logs
49,Álex Berenguer,es,"MF,FW",Torino,23,1995,16.5,68,4.12,40,13,7,2,6,6,0.36,40,13,7,2,6,0,/en/players/dc1c2fce/matchlogs/2018-2019/gca/Alex-Berenguer-Match-Logs
50,Bartosz Bereszyński,pl,DF,Sampdoria,26,1992,24.4,24,0.98,23,1,0,0,0,4,0.16,23,1,0,0,0,0,/en/players/61b3978f/matchlogs/2018-2019/gca/Bartosz-Bereszynski-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,
51,Etrit Berisha,al,GK,Atalanta,29,1989,18.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,/en/players/ee833569/matchlogs/2018-2019/gca/Etrit-Berisha-Match-Logs
52,Valon Berisha,xk,MF,Lazio,25,1993,2.2,7,3.18,4,2,0,0,1,1,0.45,4,2,0,0,1,0,/en/players/d5575935/matchlogs/2018-2019/gca/Valon-Berisha-Match-Logs
53,Federico Bernardeschi,it,"FW,MF",Juventus,24,1994,16.4,70,4.28,40,13,7,3,6,5,0.31,40,13,7,3,6,1,/en/players/ee93c1a9/matchlogs/2018-2019/gca/Federico-Bernardeschi-Match-Logs
