Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Ignazio Abate,it,DF,Milan,31,1986,14.5,918,804,114,19,3,144,14,26,0,0,0,0,625,139,154,59,736,21,95,2,766,1,0,14,23,/en/players/1c529186/matchlogs/2018-2019/passing_types/Ignazio-Abate-Match-Logs
2,Francesco Acerbi,it,DF,Lazio,30,1988,36.8,1787,1721,66,51,1,262,48,7,0,0,0,0,1284,184,319,1278,318,121,15,7,1554,3,0,16,9,/en/players/b96b595c/matchlogs/2018-2019/passing_types/Francesco-Acerbi-Match-Logs
3,Afriyie Acquah,gh,MF,Empoli,26,1992,16.8,735,722,13,5,3,146,20,34,0,0,0,0,566,72,97,32,660,23,8,0,591,1,0,10,27,/en/players/d7403bd5/matchlogs/2018-2019/passing_types/Afriyie-Acquah-Match-Logs
4,Claud Adjapong,it,"MF,DF",Sassuolo,20,1998,3.0,101,78,23,0,0,11,1,5,0,0,0,0,65,24,12,10,66,1,23,0,77,2,0,3,7,/en/players/ce5b170a/matchlogs/2018-2019/passing_types/Claud-Adjapong-Match-Logs
5,Ali Adnan Kadhim,iq,"MF,DF",Atalanta,24,1993,1.8,123,99,24,4,0,24,4,14,6,0,0,0,69,27,27,78,22,5,14,1,78,2,0,4,5,/en/players/06050480/matchlogs/2018-2019/passing_types/Ali-Adnan-Kadhim-Match-Logs
6,Emmanuel Agyemang-Badu,gh,MF,Udinese,27,1990,1.8,31,31,0,0,0,2,2,2,0,0,0,0,19,8,4,2,22,3,0,2,26,0,0,1,2,/en/players/fe0b8f0e/matchlogs/2018-2019/passing_types/Emmanuel-Agyemang-Badu-Match-Logs
7,Ola Aina,ng,"DF,MF",Torino,21,1996,24.0,1160,913,247,13,1,171,35,62,1,0,0,0,615,224,321,220,608,73,232,4,845,1,0,17,48,/en/players/246d153b/matchlogs/2018-2019/passing_types/Ola-Aina-Match-Logs
8,Luis Alberto,es,"MF,FW",Lazio,25,1992,22.1,1479,1247,232,50,9,285,76,170,135,17,22,8,999,165,315,68,1343,27,26,7,1121,9,22,40,39,/en/players/5294a83f/matchlogs/2018-2019/passing_types/Luis-Alberto-Match-Logs
9,Raúl Albiol,es,DF,Napoli,32,1985,19.0,1126,1094,32,32,1,117,54,3,0,0,0,0,820,112,194,134,917,45,0,5,1000,1,0,3,11,/en/players/4bd414c1/matchlogs/2018-2019/passing_types/Raul-Albiol-Match-Logs
10,Allan,br,MF,Napoli,27,1991,29.1,2235,2128,107,69,12,271,43,14,1,0,0,0,1644,307,284,152,2006,48,17,9,1981,13,0,38,43,/en/players/cc700722/matchlogs/2018-2019/passing_types/Allan-Match-Logs
11,Bruno Alves,pt,DF,Parma,36,1981,32.5,1204,1132,72,69,0,168,66,17,0,0,0,0,695,168,341,132,913,106,0,11,963,12,0,10,12,/en/players/585a73a8/matchlogs/2018-2019/passing_types/Bruno-Alves-Match-Logs
12,Joachim Andersen,dk,DF,Sampdoria,22,1996,32.0,2048,1957,91,89,0,284,118,1,0,0,0,0,1551,174,323,350,1546,100,2,5,1816,3,0,22,14,/en/players/e34fc66d/matchlogs/2018-2019/passing_types/Joachim-Andersen-Match-Logs
13,Marco Andreolli,it,DF,Cagliari,32,1986,1.2,69,69,0,0,0,6,0,0,0,0,0,0,54,4,11,9,54,6,0,0,62,0,0,0,1,/en/players/13d820de/matchlogs/2018-2019/passing_types/Marco-Andreolli-Match-Logs
