Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
14,Marco Andreolli,it,DF,Chievo,32,1986,7.2,233,226,7,7,0,40,6,0,0,0,0,0,153,22,58,51,160,10,0,2,191,1,0,0,1,/en/players/13d820de/matchlogs/2018-2019/passing_types/Marco-Andreolli-Match-Logs
15,Cristian Ansaldi,ar,"DF,MF",Torino,31,1986,20.1,878,675,203,31,0,122,82,147,24,1,3,0,391,136,351,354,361,12,147,1,579,7,3,18,26,/en/players/bbafc0c4/matchlogs/2018-2019/passing_types/Cristian-Ansaldi-Match-Logs
16,Mirco Antenucci,it,FW,SPAL,33,1984,23.7,563,523,40,1,1,132,3,29,0,0,0,0,404,98,61,74,419,30,4,13,425,0,0,15,29,/en/players/43a2e16c/matchlogs/2018-2019/passing_types/Mirco-Antenucci-Match-Logs
17,Luca Antonelli,it,"DF,MF",Empoli,31,1987,8.4,379,326,53,8,0,31,5,10,0,0,0,0,240,52,87,238,80,14,45,0,273,4,0,8,14,/en/players/40f0ed6c/matchlogs/2018-2019/passing_types/Luca-Antonelli-Match-Logs
18,Mauro Antonio Burruchaga,ar,MF,Chievo,20,1998,0.6,37,35,2,2,0,11,0,0,0,0,0,0,27,6,4,27,9,0,0,0,31,0,0,1,1,/en/players/0830a4f9/matchlogs/2018-2019/passing_types/Mauro-Antonio-Burruchaga-Match-Logs
19,Joaquín Ardaiz,uy,FW,Frosinone,19,1999,0.2,4,4,0,0,0,1,0,0,0,0,0,0,2,2,0,2,0,1,0,0,2,0,0,0,0,/en/players/eb823875/matchlogs/2018-2019/passing_types/Joaquin-Ardaiz-Match-Logs
20,Lorenzo Ariaudo,it,DF,Frosinone,29,1989,18.7,608,570,38,37,1,84,18,1,0,0,0,0,427,44,137,271,275,42,1,4,512,1,0,1,2,/en/players/68b78c2a/matchlogs/2018-2019/passing_types/Lorenzo-Ariaudo-Match-Logs
21,Nicolò Armini,it,DF,Lazio,17,2001,0.4,25,23,2,0,0,5,0,0,0,0,0,0,18,4,3,3,19,1,2,0,17,0,0,1,0,/en/players/2f7407fa/matchlogs/2018-2019/passing_types/Nicolo-Armini-Match-Logs
22,Kwadwo Asamoah,gh,DF,Inter,29,1988,29.7,2216,1990,226,25,0,264,51,72,0,0,0,0,1571,331,314,1769,194,35,201,8,1933,1,0,42,44,/en/players/089550f5/matchlogs/2018-2019/passing_types/Kwadwo-Asamoah-Match-Logs
23,Emil Audero,it,GK,Sampdoria,21,1997,36.0,1158,775,383,88,0,93,13,1,0,0,0,0,636,61,461,127,810,0,0,187,849,4,0,7,4,/en/players/649b01d8/matchlogs/2018-2019/passing_types/Emil-Audero-Match-Logs
24,Khouma Babacar,sn,FW,Sassuolo,25,1993,16.5,303,264,39,0,1,59,2,4,0,0,0,0,228,46,29,28,240,17,4,4,248,0,0,4,12,/en/players/422ec08a/matchlogs/2018-2019/passing_types/Khouma-Babacar-Match-Logs
25,Milan Badelj,hr,MF,Lazio,29,1989,12.7,877,849,28,20,1,124,24,17,4,0,0,0,643,98,136,132,680,49,3,3,736,4,0,19,16,/en/players/e8c930bb/matchlogs/2018-2019/passing_types/Milan-Badelj-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Tiemoué Bakayoko,fr,MF,Milan,23,1994,25.6,1353,1322,31,31,4,208,26,2,0,0,0,0,1051,185,117,249,980,73,0,5,1177,1,0,27,16,/en/players/59bf127b/matchlogs/2018-2019/passing_types/Tiemoue-Bakayoko-Match-Logs
27,Keita Baldé,sn,"FW,MF",Inter,23,1995,9.9,344,337,7,2,0,45,11,49,3,1,1,0,252,40,52,79,251,8,2,3,259,0,1,8,18,/en/players/509a4ccb/matchlogs/2018-2019/passing_types/Keita-Balde-Match-Logs
28,Andrija Balić,hr,"FW,MF",Udinese,20,1997,0.3,25,21,4,3,0,1,3,1,1,0,0,0,18,4,3,2,23,0,0,0,24,0,0,0,0,/en/players/9be4ee80/matchlogs/2018-2019/passing_types/Andrija-Balic-Match-Logs
29,Mattia Bani,it,DF,Chievo,24,1993,29.0,1261,1203,58,33,1,165,51,7,0,0,0,0,811,138,312,83,1028,77,25,15,1008,7,0,12,17,/en/players/0821331c/matchlogs/2018-2019/passing_types/Mattia-Bani-Match-Logs
30,Antonín Barák,cz,"MF,FW",Udinese,23,1994,3.7,183,174,9,3,0,32,4,5,4,0,0,0,144,22,17,136,34,8,2,2,152,1,0,3,1,/en/players/01efac19/matchlogs/2018-2019/passing_types/Antonin-Barak-Match-Logs
31,Federico Barba,it,DF,Chievo,24,1993,27.6,1309,1134,175,47,0,187,49,26,0,0,0,0,745,198,366,885,189,75,128,6,1021,6,0,13,25,/en/players/c010b898/matchlogs/2018-2019/passing_types/Federico-Barba-Match-Logs
32,Francesco Bardi,it,GK,Frosinone,26,1992,3.0,74,46,28,13,0,5,1,0,0,0,0,0,31,3,40,2,51,0,0,15,42,1,0,1,0,/en/players/0acda699/matchlogs/2018-2019/passing_types/Francesco-Bardi-Match-Logs
33,Nicolò Barella,it,"MF,FW",Cagliari,21,1997,34.5,1926,1814,112,44,1,356,83,93,27,2,0,0,1299,295,332,199,1619,63,20,9,1532,3,0,41,56,/en/players/6928979a/matchlogs/2018-2019/passing_types/Nicolo-Barella-Match-Logs
34,Antonino Barillà,it,MF,Parma,30,1988,29.1,848,832,16,7,1,163,13,38,4,0,0,0,557,129,162,594,188,45,3,6,604,8,0,24,43,/en/players/a64cbd35/matchlogs/2018-2019/passing_types/Antonino-Barilla-Match-Logs
35,Édgar Barreto,py,MF,Sampdoria,34,1984,8.7,515,502,13,0,1,54,11,20,13,0,0,0,371,68,76,80,404,23,0,4,396,4,0,11,22,/en/players/43a1bea5/matchlogs/2018-2019/passing_types/Edgar-Barreto-Match-Logs
36,Musa Barrow,gm,"FW,MF",Atalanta,19,1998,6.7,248,234,14,0,1,65,9,9,6,3,0,0,206,22,20,35,200,7,0,2,192,0,0,8,4,/en/players/e5bf73f3/matchlogs/2018-2019/passing_types/Musa-Barrow-Match-Logs
37,Andrea Barzagli,it,DF,Juventus,37,1981,2.9,205,201,4,1,0,15,16,0,0,0,0,0,148,17,40,31,154,12,3,0,183,1,0,3,3,/en/players/7c0000fd/matchlogs/2018-2019/passing_types/Andrea-Barzagli-Match-Logs
38,Daniele Baselli,it,MF,Torino,26,1992,26.4,1245,1139,106,46,2,193,57,82,49,9,9,1,788,191,266,131,1001,77,1,10,973,6,9,15,48,/en/players/ea06dd97/matchlogs/2018-2019/passing_types/Daniele-Baselli-Match-Logs
39,Alessandro Bastoni,it,DF,Parma,19,1999,18.8,610,561,49,37,2,103,27,3,0,0,0,0,409,78,123,469,82,34,12,3,509,1,0,4,8,/en/players/75b86fb3/matchlogs/2018-2019/passing_types/Alessandro-Bastoni-Match-Logs
40,Bastos,ao,DF,Lazio,27,1991,12.7,550,527,23,11,0,91,18,3,0,0,0,0,405,54,91,169,348,14,12,0,469,2,0,5,7,/en/players/c01c66d9/matchlogs/2018-2019/passing_types/Bastos-Match-Logs
41,Andrea Beghetto,it,"DF,MF",Frosinone,23,1994,24.7,1095,876,219,11,2,139,53,218,25,5,8,1,394,211,490,774,119,13,183,2,696,2,8,20,75,/en/players/438dfc6a/matchlogs/2018-2019/passing_types/Andrea-Beghetto-Match-Logs
42,Valon Behrami,ch,MF,Udinese,33,1985,15.1,492,453,39,34,0,68,9,3,0,0,0,0,365,53,74,52,381,35,5,4,396,1,0,6,9,/en/players/d3d758d8/matchlogs/2018-2019/passing_types/Valon-Behrami-Match-Logs
43,Andrea Belotti,it,FW,Torino,24,1993,36.7,809,790,19,3,3,225,16,24,0,0,0,0,477,194,138,116,500,82,1,14,529,8,0,23,45,/en/players/d705ba44/matchlogs/2018-2019/passing_types/Andrea-Belotti-Match-Logs
44,Marco Benassi,it,MF,Fiorentina,23,1994,25.4,837,813,24,4,3,130,15,34,0,0,0,0,566,140,131,178,593,40,18,3,632,2,0,23,32,/en/players/0000acda/matchlogs/2018-2019/passing_types/Marco-Benassi-Match-Logs
45,Medhi Benatia,ma,DF,Juventus,31,1987,5.0,324,319,5,3,0,23,20,0,0,0,0,0,248,16,60,22,274,20,2,1,292,0,0,2,2,/en/players/3b15ef2d/matchlogs/2018-2019/passing_types/Medhi-Benatia-Match-Logs
46,Ismaël Bennacer,dz,MF,Empoli,20,1997,32.9,1997,1804,193,90,6,341,95,76,70,11,10,9,1394,265,338,1658,235,71,7,5,1664,6,10,45,29,/en/players/db092d3b/matchlogs/2018-2019/passing_types/Ismael-Bennacer-Match-Logs
47,Rodrigo Bentancur,uy,MF,Juventus,21,1997,22.3,1239,1220,19,13,2,180,44,18,1,0,0,0,1008,87,144,197,972,43,5,2,1072,1,0,27,20,/en/players/3b8674e6/matchlogs/2018-2019/passing_types/Rodrigo-Bentancur-Match-Logs
48,Domenico Berardi,it,"FW,MF",Sassuolo,23,1994,31.9,1333,1241,92,29,5,235,42,121,57,2,9,2,912,183,238,1070,203,31,4,9,955,4,9,28,78,/en/players/53a0e358/matchlogs/2018-2019/passing_types/Domenico-Berardi-Match-Logs
49,Álex Berenguer,es,"MF,FW",Torino,23,1995,16.5,753,627,126,21,2,105,29,87,33,1,3,0,428,142,183,106,526,38,70,3,529,2,3,15,32,/en/players/dc1c2fce/matchlogs/2018-2019/passing_types/Alex-Berenguer-Match-Logs
50,Bartosz Bereszyński,pl,DF,Sampdoria,26,1992,24.4,1586,1336,250,41,0,208,19,52,0,0,0,0,1111,270,205,97,1219,45,209,1,1304,3,0,40,55,/en/players/61b3978f/matchlogs/2018-2019/passing_types/Bartosz-Bereszynski-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Etrit Berisha,al,GK,Atalanta,29,1989,18.0,476,310,166,37,0,31,11,0,0,0,0,0,213,40,223,284,92,1,0,94,343,0,0,0,0,/en/players/ee833569/matchlogs/2018-2019/passing_types/Etrit-Berisha-Match-Logs
52,Valon Berisha,xk,MF,Lazio,25,1993,2.2,152,143,9,2,0,20,4,9,7,0,0,0,117,15,20,12,127,12,0,1,123,1,0,3,2,/en/players/d5575935/matchlogs/2018-2019/passing_types/Valon-Berisha-Match-Logs
53,Federico Bernardeschi,it,"FW,MF",Juventus,24,1994,16.4,713,640,73,13,5,118,45,82,47,3,7,1,491,78,144,631,50,14,7,8,548,3,7,11,24,/en/players/ee93c1a9/matchlogs/2018-2019/passing_types/Federico-Bernardeschi-Match-Logs
54,Daniel Bessa,it,MF,Genoa,25,1993,27.1,1106,1033,73,13,4,256,40,55,29,2,1,0,841,114,151,95,953,29,14,5,899,4,1,22,41,/en/players/88895312/matchlogs/2018-2019/passing_types/Daniel-Bessa-Match-Logs
55,Jonathan Biabiany,fr,"FW,MF",Parma,30,1988,11.9,325,313,12,0,2,96,7,16,0,0,0,0,204,51,70,27,249,26,12,0,238,1,0,10,11,/en/players/6b99d135/matchlogs/2018-2019/passing_types/Jonathan-Biabiany-Match-Logs
56,Lucas Biglia,ar,MF,Milan,32,1986,12.4,825,785,40,36,0,94,32,3,1,0,0,0,627,92,106,179,602,34,2,3,753,2,0,15,8,/en/players/5710a281/matchlogs/2018-2019/passing_types/Lucas-Biglia-Match-Logs
57,Cristiano Biraghi,it,DF,Fiorentina,25,1992,35.5,1958,1488,470,69,3,226,75,270,85,20,17,4,950,371,637,1316,215,90,316,5,1379,5,17,35,81,/en/players/9e1577aa/matchlogs/2018-2019/passing_types/Cristiano-Biraghi-Match-Logs
58,Davide Biraschi,it,DF,Genoa,24,1994,31.6,1288,1114,174,44,5,214,13,48,1,0,1,0,614,160,514,56,986,89,129,3,849,9,1,17,38,/en/players/64cd167d/matchlogs/2018-2019/passing_types/Davide-Biraschi-Match-Logs
59,Valter Birsa,si,"MF,FW",Chievo,31,1986,12.2,564,505,59,20,5,82,29,62,30,0,0,0,367,65,132,371,160,23,4,1,408,6,0,9,31,/en/players/455a2b79/matchlogs/2018-2019/passing_types/Valter-Birsa-Match-Logs
60,Valter Birsa,si,"MF,FW",Cagliari,31,1986,3.9,244,215,29,4,0,41,14,36,20,8,9,0,159,30,55,173,62,8,0,0,192,1,9,4,6,/en/players/455a2b79/matchlogs/2018-2019/passing_types/Valter-Birsa-Match-Logs
61,Kevin-Prince Boateng,gh,FW,Sassuolo,31,1987,10.4,320,292,28,3,1,45,8,5,0,0,0,0,235,48,37,48,235,16,2,6,255,2,0,3,13,/en/players/f4ec4fd0/matchlogs/2018-2019/passing_types/Kevin-Prince-Boateng-Match-Logs
62,Jeremie Boga,ci,"FW,MF",Sassuolo,21,1997,16.0,494,486,8,0,0,87,5,15,3,0,0,0,400,66,28,57,418,9,2,6,419,0,0,8,20,/en/players/fe012aca/matchlogs/2018-2019/passing_types/Jeremie-Boga-Match-Logs
63,Giacomo Bonaventura,it,MF,Milan,28,1989,7.2,374,369,5,0,0,49,9,8,2,0,0,0,308,24,42,59,293,13,3,2,327,2,0,4,6,/en/players/d995ed27/matchlogs/2018-2019/passing_types/Giacomo-Bonaventura-Match-Logs
64,Kevin Bonifazi,it,DF,SPAL,22,1996,25.6,1222,1153,69,52,1,215,24,6,0,0,0,0,925,121,176,410,730,47,17,4,1076,2,0,9,11,/en/players/fb77bfef/matchlogs/2018-2019/passing_types/Kevin-Bonifazi-Match-Logs
65,Leonardo Bonucci,it,DF,Juventus,31,1987,27.5,1610,1534,76,75,3,157,68,5,0,0,0,0,1115,178,317,214,1301,61,1,12,1399,6,0,14,4,/en/players/52ec54d0/matchlogs/2018-2019/passing_types/Leonardo-Bonucci-Match-Logs
66,Fabio Borini,it,"FW,MF",Milan,27,1991,11.7,381,343,38,8,0,72,9,14,4,2,0,0,230,63,88,62,270,12,24,1,263,3,0,11,16,/en/players/ef5b337e/matchlogs/2018-2019/passing_types/Fabio-Borini-Match-Logs
67,Mehdi Bourabia,ma,MF,Sassuolo,26,1991,22.3,1086,1038,48,21,4,188,10,48,20,0,1,2,840,118,128,178,831,36,7,6,888,2,1,17,42,/en/players/0d077b88/matchlogs/2018-2019/passing_types/Mehdi-Bourabia-Match-Logs
68,Filip Bradarić,hr,MF,Cagliari,26,1992,16.6,1042,1001,41,38,1,137,29,12,2,1,1,0,765,118,159,157,818,50,1,2,883,7,1,18,17,/en/players/605873e1/matchlogs/2018-2019/passing_types/Filip-Bradaric-Match-Logs
69,Gleison Bremer,br,DF,Torino,21,1997,2.0,103,101,2,2,0,13,10,0,0,0,0,0,74,15,14,22,70,8,0,1,85,0,0,0,2,/en/players/5fd5ed86/matchlogs/2018-2019/passing_types/Gleison-Bremer-Match-Logs
70,Nicolò Brighenti,it,DF,Frosinone,28,1989,11.0,556,495,61,22,0,74,12,8,0,0,0,0,355,72,129,87,394,25,39,3,440,0,0,9,12,/en/players/54c356b0/matchlogs/2018-2019/passing_types/Nicolo-Brighenti-Match-Logs
71,Matteo Brighi,it,MF,Empoli,37,1981,2.6,91,86,5,2,0,14,1,0,0,0,0,0,54,24,13,4,73,8,1,2,72,0,0,1,4,/en/players/d417b306/matchlogs/2018-2019/passing_types/Matteo-Brighi-Match-Logs
72,Enrico Brignola,it,FW,Sassuolo,19,1999,1.9,73,70,3,0,0,19,3,4,2,0,0,0,48,16,9,67,4,0,1,1,59,0,0,5,3,/en/players/d0643f8f/matchlogs/2018-2019/passing_types/Enrico-Brignola-Match-Logs
73,Marcelo Brozović,hr,MF,Inter,25,1992,29.4,2647,2428,219,108,3,367,134,127,98,20,4,2,1933,300,414,383,2182,51,13,5,2301,7,4,37,34,/en/players/33b8d077/matchlogs/2018-2019/passing_types/Marcelo-Brozovic-Match-Logs
74,Rafael Cabral,br,GK,Sampdoria,28,1990,2.0,64,39,25,10,0,10,0,0,0,0,0,0,30,3,31,4,52,0,0,8,46,1,0,1,1,/en/players/806f7a26/matchlogs/2018-2019/passing_types/Rafael-Cabral-Match-Logs
75,Fabrizio Cacciatore,it,DF,Cagliari,31,1986,6.4,375,329,46,2,0,53,13,22,0,0,0,0,202,64,109,61,253,13,44,3,293,0,0,4,16,/en/players/00b0bb87/matchlogs/2018-2019/passing_types/Fabrizio-Cacciatore-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Fabrizio Cacciatore,it,DF,Chievo,31,1986,5.5,267,222,45,3,0,24,4,16,0,0,0,0,137,42,88,65,137,18,42,0,198,1,0,6,7,/en/players/00b0bb87/matchlogs/2018-2019/passing_types/Fabrizio-Cacciatore-Match-Logs
77,Martín Cáceres,uy,DF,Juventus,31,1987,7.0,461,446,15,8,0,50,6,5,0,0,0,0,379,35,47,79,354,15,7,2,420,1,0,4,8,/en/players/e94d79e3/matchlogs/2018-2019/passing_types/Martin-Caceres-Match-Logs
78,Martín Cáceres,uy,"DF,FW",Lazio,31,1987,3.4,154,141,13,6,0,21,2,4,0,0,0,0,116,12,26,37,105,1,7,2,128,1,0,4,4,/en/players/e94d79e3/matchlogs/2018-2019/passing_types/Martin-Caceres-Match-Logs
79,Felipe Caicedo,ec,FW,Lazio,29,1988,15.2,367,361,6,0,1,94,2,1,0,0,0,0,268,58,41,250,69,25,1,7,277,2,0,10,10,/en/players/93b891d1/matchlogs/2018-2019/passing_types/Felipe-Caicedo-Match-Logs
80,Arturo Calabresi,it,DF,Bologna,22,1996,15.7,723,624,99,18,1,85,13,19,0,0,0,0,431,139,153,45,551,34,81,5,577,1,0,13,18,/en/players/34bb6fbd/matchlogs/2018-2019/passing_types/Arturo-Calabresi-Match-Logs
81,Davide Calabria,it,DF,Milan,21,1996,21.7,1476,1279,197,20,4,219,28,67,1,0,0,0,973,213,290,121,1116,54,176,4,1194,8,0,25,39,/en/players/2146785a/matchlogs/2018-2019/passing_types/Davide-Calabria-Match-Logs
82,Hakan Çalhanoğlu,tr,"FW,MF",Milan,24,1994,32.0,1887,1718,169,56,11,360,142,152,94,17,11,2,1291,241,355,138,1674,38,18,8,1507,4,11,36,52,/en/players/cd0fa27b/matchlogs/2018-2019/passing_types/Hakan-Calhanoglu-Match-Logs
83,José Callejón,es,"MF,FW",Napoli,31,1987,29.4,1683,1547,136,17,11,249,73,157,82,5,14,3,1077,290,316,182,1399,56,36,5,1369,2,14,30,44,/en/players/78841da9/matchlogs/2018-2019/passing_types/Jose-Callejon-Match-Logs
84,Joel Campbell,cr,"FW,MF",Frosinone,26,1992,9.9,270,247,23,4,0,51,15,21,6,0,0,0,189,38,43,217,39,5,3,3,193,1,0,12,13,/en/players/895ff3ca/matchlogs/2018-2019/passing_types/Joel-Campbell-Match-Logs
85,Emre Can,de,MF,Juventus,24,1994,20.1,1026,1003,23,15,2,193,31,19,1,0,0,0,751,142,133,206,727,53,7,7,890,2,0,12,10,/en/players/a65ce836/matchlogs/2018-2019/passing_types/Emre-Can-Match-Logs
86,João Cancelo,pt,DF,Juventus,24,1994,21.9,1526,1344,182,19,6,170,50,110,12,1,1,0,999,233,294,157,1143,52,151,7,1261,1,1,29,29,/en/players/bd6351cd/matchlogs/2018-2019/passing_types/Joao-Cancelo-Match-Logs
87,Antonio Candreva,it,"FW,MF",Inter,31,1987,5.6,302,264,38,6,0,40,11,71,22,1,3,1,183,32,87,53,230,8,10,1,210,0,3,5,22,/en/players/356c9002/matchlogs/2018-2019/passing_types/Antonio-Candreva-Match-Logs
88,Luan Capanni,br,FW,Lazio,18,2000,0.1,5,5,0,0,0,1,0,0,0,0,0,0,3,0,2,0,3,1,0,0,3,0,0,0,2,/en/players/28237d7e/matchlogs/2018-2019/passing_types/Luan-Capanni-Match-Logs
89,Leonardo Capezzi,it,MF,Empoli,23,1995,8.6,546,526,20,17,0,62,23,8,1,0,0,0,417,36,93,115,392,29,1,3,459,1,0,4,10,/en/players/07ea0ef2/matchlogs/2018-2019/passing_types/Leonardo-Capezzi-Match-Logs
90,Gianluca Caprari,it,"FW,MF",Sampdoria,25,1993,11.5,440,396,44,11,2,75,19,40,25,3,1,1,316,58,66,57,368,8,2,4,342,2,1,8,14,/en/players/54e53b7e/matchlogs/2018-2019/passing_types/Gianluca-Caprari-Match-Logs
91,Marco Capuano,it,DF,Frosinone,26,1991,25.6,1172,1110,62,45,0,182,13,3,0,0,0,0,831,103,238,855,204,64,17,6,973,4,0,10,15,/en/players/616aea37/matchlogs/2018-2019/passing_types/Marco-Capuano-Match-Logs
92,Francesco Caputo,it,FW,Empoli,30,1987,38.0,921,865,56,4,4,197,22,20,2,1,0,0,702,154,65,147,705,23,9,21,712,3,0,23,30,/en/players/5bd72174/matchlogs/2018-2019/passing_types/Francesco-Caputo-Match-Logs
93,Francesco Cassata,it,"MF,FW",Frosinone,21,1997,12.5,352,348,4,2,0,66,16,8,1,0,0,0,240,58,54,27,315,6,1,0,270,2,0,10,12,/en/players/96960855/matchlogs/2018-2019/passing_types/Francesco-Cassata-Match-Logs
94,Timothy Castagne,be,"DF,MF",Atalanta,22,1995,22.3,1251,1080,171,11,3,188,15,58,0,0,0,0,824,214,213,174,860,46,160,2,1043,4,0,29,37,/en/players/197640fd/matchlogs/2018-2019/passing_types/Timothy-Castagne-Match-Logs
95,Samu Castillejo,es,"FW,MF",Milan,23,1995,11.4,508,451,57,10,6,110,21,55,26,1,1,2,371,61,76,388,86,7,18,3,409,2,1,5,18,/en/players/130a7a3f/matchlogs/2018-2019/passing_types/Samu-Castillejo-Match-Logs
96,Lucas Castro,ar,"MF,FW",Cagliari,29,1989,10.0,488,478,10,5,1,87,12,27,2,0,0,0,331,53,104,38,412,28,3,2,371,4,0,14,12,/en/players/56b2957b/matchlogs/2018-2019/passing_types/Lucas-Castro-Match-Logs
97,Danilo Cataldi,it,"MF,FW",Lazio,23,1994,6.4,385,334,51,17,1,67,9,41,29,2,1,1,277,42,66,68,301,6,4,3,307,1,1,5,9,/en/players/ba3d3bea/matchlogs/2018-2019/passing_types/Danilo-Cataldi-Match-Logs
98,Federico Ceccherini,it,DF,Fiorentina,26,1992,11.0,581,546,35,23,1,106,15,2,0,0,0,0,415,68,98,196,334,21,12,1,503,1,0,6,0,/en/players/d9624b51/matchlogs/2018-2019/passing_types/Federico-Ceccherini-Match-Logs
99,Žan Celar,si,FW,Roma,19,1999,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,/en/players/868c6958/matchlogs/2018-2019/passing_types/Zan-Celar-Match-Logs
100,Luca Ceppitelli,it,DF,Cagliari,28,1989,22.8,1186,1148,38,36,0,203,49,3,0,0,0,0,785,129,272,241,843,61,2,5,995,2,0,7,11,/en/players/7d50454d/matchlogs/2018-2019/passing_types/Luca-Ceppitelli-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Fabio Ceravolo,it,FW,Parma,31,1987,13.2,267,240,27,0,0,74,2,5,0,0,0,0,170,50,47,54,167,21,0,10,193,2,0,6,10,/en/players/4cc93246/matchlogs/2018-2019/passing_types/Fabio-Ceravolo-Match-Logs
102,Alberto Cerri,it,FW,Cagliari,22,1996,7.4,216,214,2,1,1,60,5,5,0,0,0,0,98,68,50,16,133,36,0,4,135,0,0,14,14,/en/players/1079c685/matchlogs/2018-2019/passing_types/Alberto-Cerri-Match-Logs
103,Boštjan Cesar,si,DF,Chievo,36,1982,12.0,385,371,14,14,0,36,10,0,0,0,0,0,276,38,71,266,82,25,0,2,331,1,0,5,3,/en/players/c1d18f10/matchlogs/2018-2019/passing_types/Bostjan-Cesar-Match-Logs
104,Raman Chibsah,gh,MF,Frosinone,25,1993,29.1,941,923,18,11,1,136,25,19,1,0,0,0,701,116,124,43,835,43,5,8,761,0,0,22,32,/en/players/aa5a409a/matchlogs/2018-2019/passing_types/Raman-Chibsah-Match-Logs
105,Giorgio Chiellini,it,DF,Juventus,33,1984,22.1,1339,1305,34,23,4,154,51,6,1,0,0,0,934,154,251,989,245,59,10,13,1147,3,0,15,12,/en/players/e85fb9b8/matchlogs/2018-2019/passing_types/Giorgio-Chiellini-Match-Logs
