Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
22,Kwadwo Asamoah,gh,DF,Inter,29,1988,32,30,"2,671",0,1,0,0,6,0,0,1,0.03,0.00,0.03,0.2,0.2,1.5,0.2,1.5,0.06,0.2,0.06,/en/players/089550f5/matchlogs/2018-2019/summary/Kwadwo-Asamoah-Match-Logs
23,Emil Audero,it,GK,Sampdoria,21,1997,36,36,"3,240",0,0,0,0,4,0,0,0,0.00,0.00,0.00,0.0,0.0,0.1,0.0,0.1,0.00,0.0,0.00,/en/players/649b01d8/matchlogs/2018-2019/summary/Emil-Audero-Match-Logs
24,Khouma Babacar,sn,FW,Sassuolo,25,1993,29,16,"1,488",7,2,2,2,0,0,7,2,0.54,0.30,0.42,7.7,6.2,1.1,7.7,1.1,0.53,6.2,0.44,/en/players/422ec08a/matchlogs/2018-2019/summary/Khouma-Babacar-Match-Logs
25,Milan Badelj,hr,MF,Lazio,29,1989,23,14,"1,141",1,0,0,0,6,0,1,0,0.08,0.08,0.08,0.5,0.5,0.6,0.5,0.6,0.08,0.5,0.08,/en/players/e8c930bb/matchlogs/2018-2019/summary/Milan-Badelj-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Tiemoué Bakayoko,fr,MF,Milan,23,1994,31,26,"2,301",1,1,0,0,6,1,1,1,0.08,0.04,0.08,1.3,1.3,1.7,1.3,1.7,0.12,1.3,0.12,/en/players/59bf127b/matchlogs/2018-2019/summary/Tiemoue-Bakayoko-Match-Logs
27,Keita Baldé,sn,"FW,MF",Inter,23,1995,24,8,889,5,2,0,0,2,1,5,2,0.71,0.51,0.71,3.4,3.4,1.7,3.4,1.7,0.52,3.4,0.52,/en/players/509a4ccb/matchlogs/2018-2019/summary/Keita-Balde-Match-Logs
28,Andrija Balić,hr,"FW,MF",Udinese,20,1997,4,0,27,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.0,0.0,0.1,0.0,0.1,0.36,0.0,0.36,/en/players/9be4ee80/matchlogs/2018-2019/summary/Andrija-Balic-Match-Logs
29,Mattia Bani,it,DF,Chievo,24,1993,30,29,"2,610",0,0,0,0,8,1,0,0,0.00,0.00,0.00,1.1,1.1,0.3,1.1,0.3,0.05,1.1,0.05,/en/players/0821331c/matchlogs/2018-2019/summary/Mattia-Bani-Match-Logs
30,Antonín Barák,cz,"MF,FW",Udinese,23,1994,8,4,329,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.3,0.3,0.1,0.3,0.1,0.09,0.3,0.09,/en/players/01efac19/matchlogs/2018-2019/summary/Antonin-Barak-Match-Logs
31,Federico Barba,it,DF,Chievo,24,1993,30,29,"2,483",0,0,0,0,6,2,0,0,0.00,0.00,0.00,0.7,0.7,1.2,0.7,1.2,0.07,0.7,0.07,/en/players/c010b898/matchlogs/2018-2019/summary/Federico-Barba-Match-Logs
32,Francesco Bardi,it,GK,Frosinone,26,1992,3,3,270,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00,/en/players/0acda699/matchlogs/2018-2019/summary/Francesco-Bardi-Match-Logs
33,Nicolò Barella,it,"MF,FW",Cagliari,21,1997,35,35,"3,107",1,3,0,1,10,2,1,3,0.12,0.03,0.12,2.9,2.1,3.0,2.9,3.0,0.17,2.1,0.15,/en/players/6928979a/matchlogs/2018-2019/summary/Nicolo-Barella-Match-Logs
34,Antonino Barillà,it,MF,Parma,30,1988,31,30,"2,618",3,2,0,0,10,0,3,2,0.17,0.10,0.17,2.4,2.4,1.8,2.4,1.8,0.14,2.4,0.14,/en/players/a64cbd35/matchlogs/2018-2019/summary/Antonino-Barilla-Match-Logs
35,Édgar Barreto,py,MF,Sampdoria,34,1984,12,9,785,0,2,0,0,2,0,0,2,0.23,0.00,0.23,0.6,0.6,1.3,0.6,1.3,0.22,0.6,0.22,/en/players/43a1bea5/matchlogs/2018-2019/summary/Edgar-Barreto-Match-Logs
36,Musa Barrow,gm,"FW,MF",Atalanta,19,1998,22,6,601,1,2,0,0,0,0,1,2,0.45,0.15,0.45,3.1,3.1,0.8,3.1,0.8,0.57,3.1,0.57,/en/players/e5bf73f3/matchlogs/2018-2019/summary/Musa-Barrow-Match-Logs
37,Andrea Barzagli,it,DF,Juventus,37,1981,7,4,260,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00,/en/players/7c0000fd/matchlogs/2018-2019/summary/Andrea-Barzagli-Match-Logs
38,Daniele Baselli,it,MF,Torino,26,1992,34,27,"2,379",4,1,0,0,5,0,4,1,0.19,0.15,0.19,2.7,2.7,3.4,2.7,3.4,0.23,2.7,0.23,/en/players/ea06dd97/matchlogs/2018-2019/summary/Daniele-Baselli-Match-Logs
39,Alessandro Bastoni,it,DF,Parma,19,1999,24,18,"1,690",1,0,0,0,2,0,1,0,0.05,0.05,0.05,0.6,0.6,0.2,0.6,0.2,0.04,0.6,0.04,/en/players/75b86fb3/matchlogs/2018-2019/summary/Alessandro-Bastoni-Match-Logs
