Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Ignazio Abate,it,DF,Milan,31,1986,19,"1,302",69,38.1,14.5,15,83,4,16,19,2.11,22,12,+10,+0.69,+0.31,20.3,14.3,+6.0,+0.41,+0.31,/en/players/1c529186/matchlogs/2018-2019/summary/Ignazio-Abate-Match-Logs
2,Francesco Acerbi,it,DF,Lazio,30,1988,37,"3,309",89,96.8,36.8,37,89,0,,0,1.59,55,44,+11,+0.30,+1.11,55.0,41.4,+13.6,+0.37,+1.11,/en/players/b96b595c/matchlogs/2018-2019/summary/Francesco-Acerbi-Match-Logs
3,Afriyie Acquah,gh,MF,Empoli,26,1992,28,"1,510",54,44.2,16.8,19,73,9,13,6,1.11,20,29,-9,-0.54,-0.07,19.1,23.5,-4.4,-0.26,-0.07,/en/players/d7403bd5/matchlogs/2018-2019/summary/Afriyie-Acquah-Match-Logs
4,Claud Adjapong,it,"MF,DF",Sassuolo,20,1998,5,270,54,7.9,3.0,3,82,2,13,21,1.40,3,2,+1,+0.33,+0.56,2.1,3.8,-1.7,-0.57,+0.56,/en/players/ce5b170a/matchlogs/2018-2019/summary/Claud-Adjapong-Match-Logs
5,Ali Adnan Kadhim,iq,"MF,DF",Atalanta,24,1993,3,166,55,4.9,1.8,2,77,1,13,13,0.33,3,5,-2,-1.08,-2.00,3.2,2.4,+0.8,+0.46,-2.00,/en/players/06050480/matchlogs/2018-2019/summary/Ali-Adnan-Kadhim-Match-Logs
6,Emmanuel Agyemang-Badu,gh,MF,Udinese,27,1990,4,161,40,4.7,1.8,2,70,2,11,7,1.50,2,5,-3,-1.68,-1.37,1.8,4.4,-2.6,-1.44,-1.37,/en/players/fe0b8f0e/matchlogs/2018-2019/summary/Emmanuel-Agyemang-Badu-Match-Logs
7,Ola Aina,ng,"DF,MF",Torino,21,1996,30,"2,160",72,63.2,24.0,22,86,8,33,2,1.63,31,23,+8,+0.33,-0.17,31.3,32.6,-1.3,-0.05,-0.17,/en/players/246d153b/matchlogs/2018-2019/summary/Ola-Aina-Match-Logs
8,Luis Alberto,es,"MF,FW",Lazio,25,1992,27,"1,990",74,58.2,22.1,25,78,2,20,4,1.44,30,22,+8,+0.36,+0.24,32.3,21.9,+10.4,+0.47,+0.24,/en/players/5294a83f/matchlogs/2018-2019/summary/Luis-Alberto-Match-Logs
9,Raúl Albiol,es,DF,Napoli,32,1985,20,"1,713",86,50.1,19.0,19,90,1,2,6,2.10,33,22,+11,+0.58,-0.85,34.3,19.3,+15.0,+0.79,-0.85,/en/players/4bd414c1/matchlogs/2018-2019/summary/Raul-Albiol-Match-Logs
10,Marco Alia,al,GK,Lazio,18,2000,0,,,,,0,,0,,1,,,,,,,,,,,,/en/players/261dfc43/matchlogs/2018-2019/summary/Marco-Alia-Match-Logs
11,Allan,br,MF,Napoli,27,1991,33,"2,616",79,76.5,29.1,28,88,5,29,0,2.09,57,29,+28,+0.96,-0.16,51.7,26.2,+25.5,+0.88,-0.16,/en/players/cc700722/matchlogs/2018-2019/summary/Allan-Match-Logs
12,Bruno Alves,pt,DF,Parma,36,1981,33,"2,922",89,85.4,32.5,33,89,0,,0,1.00,36,56,-20,-0.62,-0.62,33.4,57.6,-24.2,-0.75,-0.62,/en/players/585a73a8/matchlogs/2018-2019/summary/Bruno-Alves-Match-Logs
13,Joachim Andersen,dk,DF,Sampdoria,22,1996,32,"2,880",90,84.2,32.0,32,90,0,,1,1.50,52,42,+10,+0.31,+0.48,41.5,44.2,-2.7,-0.08,+0.48,/en/players/e34fc66d/matchlogs/2018-2019/summary/Joachim-Andersen-Match-Logs
14,Nícolas Andrade,br,GK,Udinese,30,1988,0,,,,,0,,0,,38,,,,,,,,,,,,/en/players/326d09ef/matchlogs/2018-2019/summary/Nicolas-Andrade-Match-Logs
15,Marco Andreolli,it,DF,Cagliari,32,1986,3,106,35,3.1,1.2,1,92,2,7,17,0.33,0,3,-3,-2.55,-2.14,0.2,2.3,-2.0,-1.74,-2.14,/en/players/13d820de/matchlogs/2018-2019/summary/Marco-Andreolli-Match-Logs
16,Marco Andreolli,it,DF,Chievo,32,1986,8,646,81,18.9,7.2,7,90,1,16,7,0.25,3,19,-16,-2.23,-1.13,3.1,11.6,-8.4,-1.17,-1.13,/en/players/13d820de/matchlogs/2018-2019/summary/Marco-Andreolli-Match-Logs
17,Cristian Ansaldi,ar,"DF,MF",Torino,31,1986,24,"1,807",75,52.8,20.1,23,78,1,24,4,1.71,23,15,+8,+0.40,+0.01,21.4,27.3,-5.8,-0.29,+0.01,/en/players/bbafc0c4/matchlogs/2018-2019/summary/Cristian-Ansaldi-Match-Logs
18,Mirco Antenucci,it,FW,SPAL,33,1984,35,"2,133",61,62.4,23.7,22,89,13,14,3,1.00,26,34,-8,-0.34,-0.06,25.6,33.1,-7.5,-0.32,-0.06,/en/players/43a2e16c/matchlogs/2018-2019/summary/Mirco-Antenucci-Match-Logs
19,Luca Antonelli,it,"DF,MF",Empoli,31,1987,13,755,58,22.1,8.4,10,67,3,27,8,0.92,10,18,-8,-0.95,-0.58,9.9,14.4,-4.4,-0.53,-0.58,/en/players/40f0ed6c/matchlogs/2018-2019/summary/Luca-Antonelli-Match-Logs
20,Mauro Antonio Burruchaga,ar,MF,Chievo,20,1998,1,58,58,1.7,0.6,0,,1,57,24,1.00,0,0,0,0.00,+1.34,0.0,0.6,-0.5,-0.84,+1.34,/en/players/0830a4f9/matchlogs/2018-2019/summary/Mauro-Antonio-Burruchaga-Match-Logs
21,Giorgos Antzoulas,gr,DF,Fiorentina,18,2000,0,,,,,0,,0,,3,,,,,,,,,,,,/en/players/4b2a53a6/matchlogs/2018-2019/summary/Giorgos-Antzoulas-Match-Logs
22,Joaquín Ardaiz,uy,FW,Frosinone,19,1999,1,20,20,0.6,0.2,0,,1,19,1,0.00,0,0,0,0.00,+1.06,0.1,0.2,-0.1,-0.37,+1.06,/en/players/eb823875/matchlogs/2018-2019/summary/Joaquin-Ardaiz-Match-Logs
