Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
23,Simone Aresti,it,GK,Cagliari,32,1986,0,,,,,0,,0,,37,,,,,,,,,,,,/en/players/a9eaccda/matchlogs/2018-2019/summary/Simone-Aresti-Match-Logs
24,Lorenzo Ariaudo,it,DF,Frosinone,29,1989,19,"1,682",89,49.2,18.7,19,89,0,,10,0.58,13,33,-20,-1.07,-0.03,17.4,29.0,-11.6,-0.62,-0.03,/en/players/68b78c2a/matchlogs/2018-2019/summary/Lorenzo-Ariaudo-Match-Logs
25,Nicolò Armini,it,DF,Lazio,17,2001,1,38,38,1.1,0.4,0,,1,37,1,1.00,2,1,+1,+2.37,+2.13,0.5,0.6,0.0,-0.12,+2.13,/en/players/2f7407fa/matchlogs/2018-2019/summary/Nicolo-Armini-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Kwadwo Asamoah,gh,DF,Inter,29,1988,32,"2,671",83,78.1,29.7,30,87,2,24,5,1.84,42,26,+16,+0.54,-0.42,48.9,30.5,+18.4,+0.62,-0.42,/en/players/089550f5/matchlogs/2018-2019/summary/Kwadwo-Asamoah-Match-Logs
27,Emil Audero,it,GK,Sampdoria,21,1997,36,"3,240",90,94.7,36.0,36,90,0,,2,1.36,58,51,+7,+0.19,-0.81,48.3,51.5,-3.3,-0.09,-0.81,/en/players/649b01d8/matchlogs/2018-2019/summary/Emil-Audero-Match-Logs
28,Khouma Babacar,sn,FW,Sassuolo,25,1993,29,"1,488",51,43.5,16.5,16,78,13,18,7,1.21,31,23,+8,+0.48,+1.18,22.7,22.3,+0.3,+0.02,+1.18,/en/players/422ec08a/matchlogs/2018-2019/summary/Khouma-Babacar-Match-Logs
29,Milan Badelj,hr,MF,Lazio,29,1989,23,"1,141",50,33.4,12.7,14,70,9,18,12,1.30,15,22,-7,-0.55,-1.22,15.7,14.3,+1.4,+0.11,-1.22,/en/players/e8c930bb/matchlogs/2018-2019/summary/Milan-Badelj-Match-Logs
30,Fabrizio Bagheria,it,GK,Parma,17,2001,0,,,,,0,,0,,22,,,,,,,,,,,,/en/players/3f9e5324/matchlogs/2018-2019/summary/Fabrizio-Bagheria-Match-Logs
31,Mohamed Bahlouli,fr,MF,Sampdoria,18,2000,0,,,,,0,,0,,2,,,,,,,,,,,,/en/players/433030e4/matchlogs/2018-2019/summary/Mohamed-Bahlouli-Match-Logs
32,Tiemoué Bakayoko,fr,MF,Milan,23,1994,31,"2,301",74,67.3,25.6,26,85,5,18,6,1.61,30,23,+7,+0.27,-0.69,30.9,29.6,+1.3,+0.05,-0.69,/en/players/59bf127b/matchlogs/2018-2019/summary/Tiemoue-Bakayoko-Match-Logs
33,Keita Baldé,sn,"FW,MF",Inter,23,1995,24,889,37,26.0,9.9,8,74,16,19,7,1.96,16,5,+11,+1.11,+0.65,17.5,9.3,+8.2,+0.83,+0.65,/en/players/509a4ccb/matchlogs/2018-2019/summary/Keita-Balde-Match-Logs
34,Andrija Balić,hr,"FW,MF",Udinese,20,1997,4,27,7,0.8,0.3,0,,4,6,8,1.00,0,1,-1,-3.33,-2.99,0.6,0.2,+0.3,+1.16,-2.99,/en/players/9be4ee80/matchlogs/2018-2019/summary/Andrija-Balic-Match-Logs
35,Mattia Bani,it,DF,Chievo,24,1993,30,"2,610",87,76.3,29.0,29,89,1,37,3,0.60,19,48,-29,-1.00,+1.33,27.6,42.1,-14.5,-0.50,+1.33,/en/players/0821331c/matchlogs/2018-2019/summary/Mattia-Bani-Match-Logs
36,Antonín Barák,cz,"MF,FW",Udinese,23,1994,8,329,41,9.6,3.7,4,73,4,10,7,0.88,3,10,-7,-1.91,-1.71,3.1,6.9,-3.9,-1.06,-1.71,/en/players/01efac19/matchlogs/2018-2019/summary/Antonin-Barak-Match-Logs
37,Yves Baraye,sn,"FW,MF",Parma,26,1992,0,,,,,0,,0,,1,,,,,,,,,,,,/en/players/9cf87d33/matchlogs/2018-2019/summary/Yves-Baraye-Match-Logs
38,Federico Barba,it,DF,Chievo,24,1993,30,"2,483",83,72.6,27.6,29,85,1,20,2,0.63,17,48,-31,-1.12,+0.70,26.9,40.9,-14.0,-0.51,+0.70,/en/players/c010b898/matchlogs/2018-2019/summary/Federico-Barba-Match-Logs
39,Francesco Bardi,it,GK,Frosinone,26,1992,3,270,90,7.9,3.0,3,90,0,,26,0.33,1,5,-4,-1.33,-0.30,4.4,3.5,+0.9,+0.30,-0.30,/en/players/0acda699/matchlogs/2018-2019/summary/Francesco-Bardi-Match-Logs
40,Nicolò Barella,it,"MF,FW",Cagliari,21,1997,35,"3,107",89,90.8,34.5,35,89,0,,0,1.06,32,50,-18,-0.52,-0.52,33.6,54.5,-20.9,-0.60,-0.52,/en/players/6928979a/matchlogs/2018-2019/summary/Nicolo-Barella-Match-Logs
41,Antonino Barillà,it,MF,Parma,30,1988,31,"2,618",84,76.5,29.1,30,87,1,15,3,1.19,33,40,-7,-0.24,+1.22,30.4,49.6,-19.1,-0.66,+1.22,/en/players/a64cbd35/matchlogs/2018-2019/summary/Antonino-Barilla-Match-Logs
42,Édgar Barreto,py,MF,Sampdoria,34,1984,12,785,65,23.0,8.7,9,79,3,23,5,1.58,12,7,+5,+0.57,+0.44,10.3,10.5,-0.2,-0.02,+0.44,/en/players/43a1bea5/matchlogs/2018-2019/summary/Edgar-Barreto-Match-Logs
43,Musa Barrow,gm,"FW,MF",Atalanta,19,1998,22,601,27,17.6,6.7,6,61,16,15,13,1.41,14,8,+6,+0.90,+0.10,13.0,6.4,+6.6,+0.98,+0.10,/en/players/e5bf73f3/matchlogs/2018-2019/summary/Musa-Barrow-Match-Logs
44,Andrea Barzagli,it,DF,Juventus,37,1981,7,260,37,7.6,2.9,4,63,3,3,17,2.29,5,3,+2,+0.69,-0.39,3.2,3.3,-0.1,-0.03,-0.39,/en/players/7c0000fd/matchlogs/2018-2019/summary/Andrea-Barzagli-Match-Logs
45,Daniele Baselli,it,MF,Torino,26,1992,34,"2,379",70,69.6,26.4,27,83,7,21,1,1.65,37,27,+10,+0.38,-0.05,34.3,31.4,+2.9,+0.11,-0.05,/en/players/ea06dd97/matchlogs/2018-2019/summary/Daniele-Baselli-Match-Logs
46,Dušan Basta,rs,"DF,MF",Lazio,33,1984,0,,,,,0,,0,,6,,,,,,,,,,,,/en/players/3b57f7f8/matchlogs/2018-2019/summary/Dusan-Basta-Match-Logs
47,Alessandro Bastoni,it,DF,Parma,19,1999,24,"1,690",70,49.4,18.8,18,90,6,12,9,1.21,22,31,-9,-0.48,+0.09,19.0,32.6,-13.6,-0.72,+0.09,/en/players/75b86fb3/matchlogs/2018-2019/summary/Alessandro-Bastoni-Match-Logs
48,Bastos,ao,DF,Lazio,27,1991,18,"1,139",63,33.3,12.7,11,88,7,24,19,1.44,15,20,-5,-0.40,-0.99,15.5,17.5,-2.0,-0.16,-0.99,/en/players/c01c66d9/matchlogs/2018-2019/summary/Bastos-Match-Logs
49,Thomas Battistella,it,MF,Udinese,17,2001,0,,,,,0,,0,,1,,,,,,,,,,,,/en/players/1ebee5ea/matchlogs/2018-2019/summary/Thomas-Battistella-Match-Logs
50,Andrea Beghetto,it,"DF,MF",Frosinone,23,1994,27,"2,226",82,65.1,24.7,25,87,2,20,11,0.85,20,37,-17,-0.69,+1.05,22.7,36.4,-13.7,-0.56,+1.05,/en/players/438dfc6a/matchlogs/2018-2019/summary/Andrea-Beghetto-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Valon Behrami,ch,MF,Udinese,33,1985,19,"1,361",72,39.8,15.1,17,78,2,15,4,1.16,12,15,-3,-0.20,+0.28,15.4,21.5,-6.1,-0.40,+0.28,/en/players/d3d758d8/matchlogs/2018-2019/summary/Valon-Behrami-Match-Logs
52,Luca Belardinelli,it,MF,Empoli,17,2001,0,,,,,0,,0,,2,,,,,,,,,,,,/en/players/97066336/matchlogs/2018-2019/summary/Luca-Belardinelli-Match-Logs
53,Vid Belec,si,GK,Sampdoria,28,1990,0,,,,,0,,0,,37,,,,,,,,,,,,/en/players/4f8ce0e1/matchlogs/2018-2019/summary/Vid-Belec-Match-Logs
54,Raoul Bellanova,it,DF,Milan,18,2000,0,,,,,0,,0,,2,,,,,,,,,,,,/en/players/e3756e72/matchlogs/2018-2019/summary/Raoul-Bellanova-Match-Logs
55,Andrea Belotti,it,FW,Torino,24,1993,37,"3,299",89,96.5,36.7,37,89,0,,0,1.68,51,35,+16,+0.44,+1.18,47.9,46.7,+1.2,+0.03,+1.18,/en/players/d705ba44/matchlogs/2018-2019/summary/Andrea-Belotti-Match-Logs
56,Marco Benassi,it,MF,Fiorentina,23,1994,32,"2,282",71,66.7,25.4,29,76,3,22,4,1.16,31,28,+3,+0.12,+0.20,33.5,24.9,+8.5,+0.34,+0.20,/en/players/0000acda/matchlogs/2018-2019/summary/Marco-Benassi-Match-Logs
57,Medhi Benatia,ma,DF,Juventus,31,1987,5,450,90,13.2,5.0,5,90,0,,14,2.60,10,3,+7,+1.40,+0.40,8.2,3.4,+4.8,+0.96,+0.40,/en/players/3b15ef2d/matchlogs/2018-2019/summary/Medhi-Benatia-Match-Logs
58,Ismaël Bennacer,dz,MF,Empoli,20,1997,37,"2,961",80,86.6,32.9,32,89,5,26,0,1.00,44,59,-15,-0.46,+0.33,44.2,54.7,-10.5,-0.32,+0.33,/en/players/db092d3b/matchlogs/2018-2019/summary/Ismael-Bennacer-Match-Logs
59,Rodrigo Bentancur,uy,MF,Juventus,21,1997,31,"2,003",65,58.6,22.3,21,86,10,19,3,2.42,39,16,+23,+1.03,-0.05,33.1,20.2,+12.9,+0.58,-0.05,/en/players/3b8674e6/matchlogs/2018-2019/summary/Rodrigo-Bentancur-Match-Logs
60,Domenico Berardi,it,"FW,MF",Sassuolo,23,1994,35,"2,875",82,84.1,31.9,32,87,3,36,1,1.11,45,46,-1,-0.03,+0.96,41.1,45.3,-4.2,-0.13,+0.96,/en/players/53a0e358/matchlogs/2018-2019/summary/Domenico-Berardi-Match-Logs
61,Álex Berenguer,es,"MF,FW",Torino,23,1995,31,"1,486",48,43.5,16.5,15,83,16,15,7,1.68,25,16,+9,+0.55,+0.27,24.1,18.8,+5.3,+0.32,+0.27,/en/players/dc1c2fce/matchlogs/2018-2019/summary/Alex-Berenguer-Match-Logs
62,Bartosz Bereszyński,pl,DF,Sampdoria,26,1992,27,"2,200",81,64.3,24.4,24,90,3,16,6,1.44,40,33,+7,+0.29,+0.14,29.3,34.5,-5.2,-0.21,+0.14,/en/players/61b3978f/matchlogs/2018-2019/summary/Bartosz-Bereszynski-Match-Logs
63,Etrit Berisha,al,GK,Atalanta,29,1989,18,"1,620",90,47.4,18.0,18,90,0,,20,1.67,37,25,+12,+0.67,-0.28,28.9,20.2,+8.7,+0.48,-0.28,/en/players/ee833569/matchlogs/2018-2019/summary/Etrit-Berisha-Match-Logs
64,Valon Berisha,xk,MF,Lazio,25,1993,8,198,25,5.8,2.2,1,83,7,16,9,2.13,3,1,+2,+0.91,+0.69,4.2,2.2,+2.0,+0.89,+0.69,/en/players/d5575935/matchlogs/2018-2019/summary/Valon-Berisha-Match-Logs
65,Federico Bernardeschi,it,"FW,MF",Juventus,24,1994,28,"1,473",53,43.1,16.4,14,80,14,25,5,2.43,34,12,+22,+1.34,+0.51,28.3,15.5,+12.8,+0.79,+0.51,/en/players/ee93c1a9/matchlogs/2018-2019/summary/Federico-Bernardeschi-Match-Logs
66,Tommaso Berni,it,GK,Inter,35,1983,0,,,,,0,,0,,1,,,,,,,,,,,,/en/players/7b8f85c7/matchlogs/2018-2019/summary/Tommaso-Berni-Match-Logs
67,Andrea Bertolacci,it,MF,Milan,27,1991,0,,,,,0,,0,,34,,,,,,,,,,,,/en/players/c75b6a02/matchlogs/2018-2019/summary/Andrea-Bertolacci-Match-Logs
68,Emmanuel Besea,gh,MF,Frosinone,21,1997,0,,,,,0,,0,,9,,,,,,,,,,,,/en/players/fef67c38/matchlogs/2018-2019/summary/Emmanuel-Besea-Match-Logs
69,Daniel Bessa,it,MF,Genoa,25,1993,34,"2,441",72,71.4,27.1,25,87,9,30,3,0.88,25,38,-13,-0.48,-0.02,31.0,37.4,-6.4,-0.24,-0.02,/en/players/88895312/matchlogs/2018-2019/summary/Daniel-Bessa-Match-Logs
70,Davide Bettella,it,DF,Atalanta,18,2000,0,,,,,0,,0,,9,,,,,,,,,,,,/en/players/2edcd048/matchlogs/2018-2019/summary/Davide-Bettella-Match-Logs
71,Jonathan Biabiany,fr,"FW,MF",Parma,30,1988,18,"1,069",59,31.3,11.9,12,79,6,21,7,1.06,12,26,-14,-1.18,-0.95,11.2,22.3,-11.1,-0.93,-0.95,/en/players/6b99d135/matchlogs/2018-2019/summary/Jonathan-Biabiany-Match-Logs
72,Alessio Bianchi,it,MF,Lazio,17,2000,0,,,,,0,,0,,1,,,,,,,,,,,,/en/players/8b3b2e10/matchlogs/2018-2019/summary/Alessio-Bianchi-Match-Logs
73,Lucas Biglia,ar,MF,Milan,32,1986,16,"1,114",70,32.6,12.4,13,81,3,20,9,1.81,21,15,+6,+0.48,-0.02,18.5,12.5,+6.0,+0.48,-0.02,/en/players/5710a281/matchlogs/2018-2019/summary/Lucas-Biglia-Match-Logs
74,Cristiano Biraghi,it,DF,Fiorentina,25,1992,36,"3,194",89,93.4,35.5,36,89,0,,1,1.06,41,40,+1,+0.03,-0.37,48.0,37.8,+10.2,+0.29,-0.37,/en/players/9e1577aa/matchlogs/2018-2019/summary/Cristiano-Biraghi-Match-Logs
75,Davide Biraschi,it,DF,Genoa,24,1994,34,"2,841",84,83.1,31.6,32,87,2,36,3,1.03,34,48,-14,-0.44,+0.18,35.4,45.8,-10.4,-0.33,+0.18,/en/players/64cd167d/matchlogs/2018-2019/summary/Davide-Biraschi-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Valter Birsa,si,"MF,FW",Chievo,31,1986,17,"1,101",65,32.2,12.2,12,81,5,26,1,0.65,9,18,-9,-0.74,+0.86,13.6,17.5,-3.9,-0.32,+0.86,/en/players/455a2b79/matchlogs/2018-2019/summary/Valter-Birsa-Match-Logs
77,Valter Birsa,si,"MF,FW",Cagliari,31,1986,12,353,29,10.3,3.9,4,57,8,16,3,1.00,3,6,-3,-0.76,-0.32,4.8,6.4,-1.5,-0.39,-0.32,/en/players/455a2b79/matchlogs/2018-2019/summary/Valter-Birsa-Match-Logs
78,Kevin-Prince Boateng,gh,FW,Sassuolo,31,1987,13,938,72,27.4,10.4,11,80,2,31,1,1.23,17,19,-2,-0.19,-0.01,12.8,17.2,-4.4,-0.42,-0.01,/en/players/f4ec4fd0/matchlogs/2018-2019/summary/Kevin-Prince-Boateng-Match-Logs
79,Milos Bocic,rs,FW,Udinese,18,2000,0,,,,,0,,0,,5,,,,,,,,,,,,/en/players/e6d74685/matchlogs/2018-2019/summary/Milos-Bocic-Match-Logs
80,Jeremie Boga,ci,"FW,MF",Sassuolo,21,1997,25,"1,443",58,42.2,16.0,14,83,11,25,2,1.12,22,27,-5,-0.31,-0.22,16.5,25.6,-9.1,-0.57,-0.22,/en/players/fe012aca/matchlogs/2018-2019/summary/Jeremie-Boga-Match-Logs
81,Giacomo Bonaventura,it,MF,Milan,28,1989,8,646,81,18.9,7.2,8,81,0,,0,1.50,14,10,+4,+0.56,+0.07,10.5,8.2,+2.3,+0.31,+0.07,/en/players/d995ed27/matchlogs/2018-2019/summary/Giacomo-Bonaventura-Match-Logs
82,Kevin Bonifazi,it,DF,SPAL,22,1996,27,"2,301",85,67.3,25.6,26,88,1,21,7,1.07,34,39,-5,-0.20,+0.37,27.2,34.1,-6.9,-0.27,+0.37,/en/players/fb77bfef/matchlogs/2018-2019/summary/Kevin-Bonifazi-Match-Logs
83,Leonardo Bonucci,it,DF,Juventus,31,1987,29,"2,472",85,72.3,27.5,27,88,2,45,6,2.45,50,21,+29,+1.06,+0.01,42.0,26.9,+15.1,+0.55,+0.01,/en/players/52ec54d0/matchlogs/2018-2019/summary/Leonardo-Bonucci-Match-Logs
84,Fabio Borini,it,"FW,MF",Milan,27,1991,20,"1,054",53,30.8,11.7,10,86,10,20,14,2.00,19,12,+7,+0.60,+0.14,14.2,15.4,-1.2,-0.10,+0.14,/en/players/ef5b337e/matchlogs/2018-2019/summary/Fabio-Borini-Match-Logs
85,Mehdi Bourabia,ma,MF,Sassuolo,26,1991,32,"2,010",63,58.8,22.3,21,82,11,26,2,1.13,29,32,-3,-0.13,+0.12,30.1,34.0,-3.9,-0.18,+0.12,/en/players/0d077b88/matchlogs/2018-2019/summary/Mehdi-Bourabia-Match-Logs
86,Filip Bradarić,hr,MF,Cagliari,26,1992,27,"1,494",55,43.7,16.6,17,79,10,14,8,1.15,14,23,-9,-0.54,-0.12,17.5,25.7,-8.2,-0.50,-0.12,/en/players/605873e1/matchlogs/2018-2019/summary/Filip-Bradaric-Match-Logs
87,Michele Bragantini,it,GK,Chievo,17,2001,0,,,,,0,,0,,1,,,,,,,,,,,,/en/players/7dbe93bf/matchlogs/2018-2019/summary/Michele-Bragantini-Match-Logs
88,Federico Brancolini,it,GK,Fiorentina,17,2001,0,,,,,0,,0,,26,,,,,,,,,,,,/en/players/d4890c25/matchlogs/2018-2019/summary/Federico-Brancolini-Match-Logs
89,Gabriel Brazão,br,GK,Parma,17,2000,0,,,,,0,,0,,12,,,,,,,,,,,,/en/players/18c697e8/matchlogs/2018-2019/summary/Gabriel-Brazao-Match-Logs
90,Gleison Bremer,br,DF,Torino,21,1997,5,183,37,5.4,2.0,2,86,3,4,33,2.00,3,3,0,0.00,-0.42,2.4,2.6,-0.3,-0.14,-0.42,/en/players/5fd5ed86/matchlogs/2018-2019/summary/Gleison-Bremer-Match-Logs
91,Marco Brescianini,it,MF,Milan,18,2000,0,,,,,0,,0,,2,,,,,,,,,,,,/en/players/dfd56738/matchlogs/2018-2019/summary/Marco-Brescianini-Match-Logs
92,Nicolò Brighenti,it,DF,Frosinone,28,1989,11,990,90,28.9,11.0,11,90,0,,24,0.55,6,23,-17,-1.55,-0.69,12.6,17.5,-4.8,-0.44,-0.69,/en/players/54c356b0/matchlogs/2018-2019/summary/Nicolo-Brighenti-Match-Logs
93,Matteo Brighi,it,MF,Empoli,37,1981,10,231,23,6.8,2.6,1,65,9,18,28,1.70,5,4,+1,+0.39,+0.95,5.2,3.6,+1.7,+0.65,+0.95,/en/players/d417b306/matchlogs/2018-2019/summary/Matteo-Brighi-Match-Logs
94,Enrico Brignola,it,FW,Sassuolo,19,1999,7,175,25,5.1,1.9,2,56,5,13,24,1.57,3,5,-2,-1.03,-0.89,3.5,3.9,-0.4,-0.23,-0.89,/en/players/d0643f8f/matchlogs/2018-2019/summary/Enrico-Brignola-Match-Logs
95,Marcelo Brozović,hr,MF,Inter,25,1992,32,"2,650",83,77.5,29.4,31,84,1,33,0,1.66,39,29,+10,+0.34,-1.30,50.1,30.7,+19.4,+0.66,-1.30,/en/players/33b8d077/matchlogs/2018-2019/summary/Marcelo-Brozovic-Match-Logs
96,Eduardo Bubacar Baldé,it,FW,Empoli,19,1999,0,,,,,0,,0,,2,,,,,,,,,,,,/en/players/3caf4f73/matchlogs/2018-2019/summary/Eduardo-Bubacar-Balde-Match-Logs
97,Rafael Cabral,br,GK,Sampdoria,28,1990,2,180,90,5.3,2.0,2,90,0,,35,2.00,2,0,+2,+1.00,+0.81,1.4,1.1,+0.2,+0.12,+0.81,/en/players/806f7a26/matchlogs/2018-2019/summary/Rafael-Cabral-Match-Logs
98,Fabrizio Cacciatore,it,DF,Cagliari,31,1986,7,580,83,17.0,6.4,7,83,0,,3,1.43,10,7,+3,+0.47,+1.13,6.3,7.9,-1.6,-0.25,+1.13,/en/players/00b0bb87/matchlogs/2018-2019/summary/Fabrizio-Cacciatore-Match-Logs
99,Fabrizio Cacciatore,it,DF,Chievo,31,1986,7,497,71,14.5,5.5,5,90,2,23,0,0.43,3,10,-7,-1.27,+0.06,6.0,10.5,-4.5,-0.81,+0.06,/en/players/00b0bb87/matchlogs/2018-2019/summary/Fabrizio-Cacciatore-Match-Logs
100,Martín Cáceres,uy,DF,Juventus,31,1987,9,628,70,18.4,7.0,7,86,2,13,4,1.78,11,10,+1,+0.14,-1.11,8.9,6.3,+2.6,+0.37,-1.11,/en/players/e94d79e3/matchlogs/2018-2019/summary/Martin-Caceres-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Martín Cáceres,uy,"DF,FW",Lazio,31,1987,4,307,77,9.0,3.4,3,90,1,36,11,1.50,6,6,0,0.00,-0.29,5.6,4.7,+0.9,+0.26,-0.29,/en/players/e94d79e3/matchlogs/2018-2019/summary/Martin-Caceres-Match-Logs
102,Felipe Caicedo,ec,FW,Lazio,29,1988,28,"1,371",49,40.1,15.2,17,65,11,24,7,1.68,26,17,+9,+0.59,+0.55,21.2,15.5,+5.7,+0.37,+0.55,/en/players/93b891d1/matchlogs/2018-2019/summary/Felipe-Caicedo-Match-Logs
103,Arturo Calabresi,it,DF,Bologna,22,1996,18,"1,412",78,41.3,15.7,16,85,2,23,19,0.89,14,27,-13,-0.83,-1.05,15.0,21.8,-6.7,-0.43,-1.05,/en/players/34bb6fbd/matchlogs/2018-2019/summary/Arturo-Calabresi-Match-Logs
