Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
25,Milan Badelj,hr,MF,Lazio,29,1989,12.7,35,21,11,19,5,35,31,29.0,22,234,59,25.2,11,19,5,36,9,0,27,33,68,14,0,/en/players/e8c930bb/matchlogs/2018-2019/defense/Milan-Badelj-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Tiemoué Bakayoko,fr,MF,Milan,23,1994,25.6,80,60,36,35,9,80,59,37.3,37,572,170,29.7,36,35,9,38,5,0,33,51,131,51,0,/en/players/59bf127b/matchlogs/2018-2019/defense/Tiemoue-Bakayoko-Match-Logs
27,Keita Baldé,sn,"FW,MF",Inter,23,1995,9.9,10,7,3,1,6,10,10,30.0,7,194,42,21.6,3,1,6,10,0,0,10,2,12,2,0,/en/players/509a4ccb/matchlogs/2018-2019/defense/Keita-Balde-Match-Logs
28,Andrija Balić,hr,"FW,MF",Udinese,20,1997,0.3,1,0,0,0,1,1,1,100.0,0,11,1,9.1,0,0,1,1,0,0,1,0,1,0,0,/en/players/9be4ee80/matchlogs/2018-2019/defense/Andrija-Balic-Match-Logs
29,Mattia Bani,it,DF,Chievo,24,1993,29.0,65,39,45,20,0,65,45,55.6,20,389,114,29.3,45,20,0,59,36,0,23,62,127,174,2,/en/players/0821331c/matchlogs/2018-2019/defense/Mattia-Bani-Match-Logs
30,Antonín Barák,cz,"MF,FW",Udinese,23,1994,3.7,10,8,5,5,0,10,8,12.5,7,87,19,21.8,5,5,0,3,0,0,3,2,12,1,0,/en/players/01efac19/matchlogs/2018-2019/defense/Antonin-Barak-Match-Logs
31,Federico Barba,it,DF,Chievo,24,1993,27.6,36,28,25,10,1,36,23,47.8,12,319,93,29.2,25,10,1,54,13,0,41,68,104,124,0,/en/players/c010b898/matchlogs/2018-2019/defense/Federico-Barba-Match-Logs
32,Francesco Bardi,it,GK,Frosinone,26,1992,3.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,/en/players/0acda699/matchlogs/2018-2019/defense/Francesco-Bardi-Match-Logs
33,Nicolò Barella,it,"MF,FW",Cagliari,21,1997,34.5,101,61,43,30,28,101,90,33.3,60,752,208,27.7,43,30,28,65,3,0,62,39,140,30,0,/en/players/6928979a/matchlogs/2018-2019/defense/Nicolo-Barella-Match-Logs
34,Antonino Barillà,it,MF,Parma,30,1988,29.1,62,48,39,20,3,62,67,23.9,51,767,186,24.3,39,20,3,66,12,0,54,37,99,37,0,/en/players/a64cbd35/matchlogs/2018-2019/defense/Antonino-Barilla-Match-Logs
35,Édgar Barreto,py,MF,Sampdoria,34,1984,8.7,20,12,9,5,6,20,32,28.1,23,145,38,26.2,9,5,6,19,2,0,17,15,35,5,0,/en/players/43a1bea5/matchlogs/2018-2019/defense/Edgar-Barreto-Match-Logs
36,Musa Barrow,gm,"FW,MF",Atalanta,19,1998,6.7,10,6,7,2,1,10,6,33.3,4,135,38,28.1,7,2,1,5,2,0,3,0,10,1,0,/en/players/e5bf73f3/matchlogs/2018-2019/defense/Musa-Barrow-Match-Logs
37,Andrea Barzagli,it,DF,Juventus,37,1981,2.9,3,3,1,2,0,3,4,25.0,3,20,5,25.0,1,2,0,3,3,0,0,4,7,6,0,/en/players/7c0000fd/matchlogs/2018-2019/defense/Andrea-Barzagli-Match-Logs
38,Daniele Baselli,it,MF,Torino,26,1992,26.4,65,44,27,30,8,65,59,23.7,45,514,138,26.8,27,30,8,48,8,0,40,34,99,28,0,/en/players/ea06dd97/matchlogs/2018-2019/defense/Daniele-Baselli-Match-Logs
39,Alessandro Bastoni,it,DF,Parma,19,1999,18.8,32,18,22,9,1,32,16,43.8,9,180,56,31.1,22,9,1,44,18,0,26,22,54,116,0,/en/players/75b86fb3/matchlogs/2018-2019/defense/Alessandro-Bastoni-Match-Logs
40,Bastos,ao,DF,Lazio,27,1991,12.7,27,20,21,5,1,27,29,55.2,13,151,43,28.5,21,5,1,23,9,0,14,6,33,56,1,/en/players/c01c66d9/matchlogs/2018-2019/defense/Bastos-Match-Logs
41,Andrea Beghetto,it,"DF,MF",Frosinone,23,1994,24.7,29,19,16,9,4,29,24,41.7,14,380,95,25.0,16,9,4,42,5,0,37,19,48,57,1,/en/players/438dfc6a/matchlogs/2018-2019/defense/Andrea-Beghetto-Match-Logs
42,Valon Behrami,ch,MF,Udinese,33,1985,15.1,68,41,31,30,7,68,61,41.0,36,521,129,24.8,31,30,7,37,12,0,25,19,87,26,0,/en/players/d3d758d8/matchlogs/2018-2019/defense/Valon-Behrami-Match-Logs
43,Andrea Belotti,it,FW,Torino,24,1993,36.7,28,18,9,10,9,28,29,20.7,23,505,131,25.9,9,10,9,54,11,0,43,15,43,22,0,/en/players/d705ba44/matchlogs/2018-2019/defense/Andrea-Belotti-Match-Logs
44,Marco Benassi,it,MF,Fiorentina,23,1994,25.4,25,16,6,15,4,25,46,21.7,36,344,89,25.9,6,15,4,26,5,2,21,9,34,27,0,/en/players/0000acda/matchlogs/2018-2019/defense/Marco-Benassi-Match-Logs
