home,homeXg,score,awayXg,away
Sheffield Utd,1.2,3–3,1.2,Manchester Utd
Aston Villa,2.0,2–0,0.8,Newcastle Utd
,,,,
Newcastle Utd,0.3,2–2,2.5,Manchester City
Tottenham,2.4,3–2,1.3,Bournemouth
Liverpool,1.8,2–1,1.2,Brighton
Chelsea,2.0,0–1,0.9,West Ham
Burnley,1.7,0–2,0.6,Crystal Palace
Southampton,1.4,2–1,0.7,Watford
Wolves,1.3,1–1,1.0,Sheffield Utd
Norwich City,1.4,2–2,2.0,Arsenal
Manchester Utd,1.7,2–2,1.2,Aston Villa
Leicester City,2.3,2–1,0.9,Everton
,,,,
Crystal Palace,0.3,1–0,0.3,Bournemouth
Burnley,0.5,1–4,1.8,Manchester City
Chelsea,2.3,2–1,0.8,Aston Villa
Wolves,1.9,2–0,0.4,West Ham
Southampton,1.2,2–1,0.9,Norwich City
Leicester City,2.8,2–0,0.3,Watford
Manchester Utd,1.2,2–1,0.5,Tottenham
Liverpool,2.5,5–2,1.5,Everton
Sheffield Utd,1.3,0–2,0.8,Newcastle Utd
Arsenal,1.1,1–2,2.2,Brighton
,,,,
Everton,1.6,3–1,1.0,Chelsea
Watford,1.3,0–0,0.3,Crystal Palace
Bournemouth,0.2,0–3,2.4,Liverpool
Tottenham,2.3,5–0,0.5,Burnley
Manchester City,2.2,1–2,1.6,Manchester Utd
Aston Villa,1.1,1–4,4.4,Leicester City
Norwich City,0.8,1–2,0.8,Sheffield Utd
Newcastle Utd,1.2,2–1,2.4,Southampton
Brighton,0.9,2–2,1.5,Wolves
West Ham,0.6,1–3,1.7,Arsenal
,,,,
Liverpool,1.5,2–0,1.2,Watford
Burnley,0.9,1–0,0.7,Newcastle Utd
Chelsea,1.7,0–1,0.9,Bournemouth
Sheffield Utd,1.5,2–0,1.2,Aston Villa
Leicester City,1.4,1–1,1.8,Norwich City
Southampton,0.9,0–1,1.0,West Ham
Manchester Utd,1.6,1–1,0.3,Everton
Wolves,0.8,1–2,0.9,Tottenham
Arsenal,0.4,0–3,1.8,Manchester City
Crystal Palace,0.8,1–1,2.2,Brighton
,,,,
Everton,0.4,0–0,0.9,Arsenal
Aston Villa,1.1,1–3,3.0,Southampton
Norwich City,1.4,1–2,1.3,Wolves
Brighton,0.6,0–1,1.2,Sheffield Utd
Bournemouth,0.2,0–1,0.2,Burnley
Newcastle Utd,0.4,1–0,1.5,Crystal Palace
Manchester City,3.3,3–1,0.9,Leicester City
Watford,1.5,2–0,1.8,Manchester Utd
Tottenham,0.4,0–2,1.4,Chelsea
,,,,
Tottenham,1.4,2–1,0.6,Brighton
Sheffield Utd,2.1,1–1,0.6,Watford
Bournemouth,1.0,1–1,1.7,Arsenal
Chelsea,0.5,0–2,0.8,Southampton
Aston Villa,0.6,1–0,1.3,Norwich City
Everton,1.8,1–0,0.5,Burnley
Crystal Palace,2.3,2–1,0.9,West Ham
Manchester Utd,1.5,4–1,0.8,Newcastle Utd
Leicester City,0.1,0–4,3.1,Liverpool
Wolves,2.0,3–2,1.6,Manchester City
,,,,
Brighton,0.9,2–0,0.6,Bournemouth
Newcastle Utd,1.7,1–2,3.5,Everton
Southampton,1.4,1–1,0.2,Crystal Palace
Watford,2.6,3–0,0.7,Aston Villa
Norwich City,0.4,2–2,1.9,Tottenham
West Ham,1.0,1–2,2.2,Leicester City
Burnley,0.4,0–2,1.9,Manchester Utd
Arsenal,0.9,1–2,1.7,Chelsea
Liverpool,1.2,1–0,0.7,Wolves
Manchester City,1.0,2–0,0.9,Sheffield Utd
,,,,
Burnley,2.1,1–2,1.0,Aston Villa
Brighton,1.0,1–1,1.6,Chelsea
Newcastle Utd,0.8,0–3,1.6,Leicester City
Watford,0.9,2–1,1.4,Wolves
Southampton,1.4,1–0,0.7,Tottenham
West Ham,1.9,4–0,0.3,Bournemouth
Manchester City,1.6,2–1,1.1,Everton
Norwich City,1.6,1–1,1.5,Crystal Palace
Arsenal,1.4,2–0,0.9,Manchester Utd
Liverpool,3.0,2–0,0.9,Sheffield Utd
,,,,
Sheffield Utd,1.8,1–0,0.8,West Ham
Crystal Palace,0.4,1–1,1.3,Arsenal
Manchester Utd,2.1,4–0,0.4,Norwich City
Leicester City,0.8,1–2,2.3,Southampton
Everton,1.9,1–0,1.3,Brighton
Chelsea,2.7,3–0,0.5,Burnley
Wolves,1.0,1–1,0.3,Newcastle Utd
Tottenham,1.7,0–1,1.9,Liverpool
Bournemouth,0.3,0–3,1.9,Watford
Aston Villa,0.9,1–6,2.4,Manchester City
,,,,
Watford,1.8,0–0,1.8,Tottenham
Manchester City,2.0,2–2,0.5,Crystal Palace
West Ham,1.2,1–1,1.3,Everton
Arsenal,1.3,1–1,0.9,Sheffield Utd
Brighton,0.9,1–1,0.8,Aston Villa
Norwich City,2.1,1–0,1.0,Bournemouth
Southampton,0.9,2–3,1.7,Wolves
Newcastle Utd,0.6,1–0,2.1,Chelsea
Burnley,1.3,2–1,2.2,Leicester City
Liverpool,2.4,2–0,1.2,Manchester Utd
,,,,
Sheffield Utd,0.8,0–1,2.8,Manchester City
Crystal Palace,0.7,0–2,1.3,Southampton
Bournemouth,1.7,3–1,1.3,Brighton
Everton,1.7,2–2,1.0,Newcastle Utd
Aston Villa,0.9,2–1,1.3,Watford
Chelsea,2.9,2–2,0.5,Arsenal
Leicester City,2.9,4–1,1.6,West Ham
Tottenham,1.9,2–1,1.8,Norwich City
Manchester Utd,2.0,0–2,0.7,Burnley
Wolves,1.4,1–2,1.4,Liverpool
,,,,
West Ham,0.8,0–2,2.4,Liverpool
,,,,
Leicester City,1.5,2–2,0.5,Chelsea
Bournemouth,2.2,2–1,1.5,Aston Villa
Crystal Palace,1.1,0–1,0.7,Sheffield Utd
Newcastle Utd,0.8,0–0,1.5,Norwich City
Liverpool,3.1,4–0,1.1,Southampton
West Ham,0.9,3–3,2.1,Brighton
Watford,0.7,2–3,2.1,Everton
Manchester Utd,0.8,0–0,1.0,Wolves
Burnley,1.9,0–0,1.1,Arsenal
Tottenham,0.3,2–0,3.1,Manchester City
,,,,
Everton,2.2,3–1,1.1,Crystal Palace
Brighton,0.8,1–1,0.3,Watford
Sheffield Utd,1.8,2–1,1.2,Bournemouth
Wolves,1.0,0–0,0.7,Leicester City
Southampton,0.6,1–2,0.7,Burnley
Norwich City,0.4,0–1,2.1,Liverpool
Aston Villa,1.9,2–3,3.2,Tottenham
Arsenal,2.0,4–0,0.9,Newcastle Utd
Chelsea,1.3,0–2,0.8,Manchester Utd
Manchester City,2.3,2–0,0.1,West Ham
,,,,
Chelsea,1.7,2–1,0.5,Tottenham
Burnley,2.6,3–0,1.8,Bournemouth
Southampton,3.0,2–0,0.5,Aston Villa
Crystal Palace,1.3,1–0,0.2,Newcastle Utd
Sheffield Utd,1.7,1–1,1.1,Brighton
Leicester City,1.1,0–1,2.3,Manchester City
Manchester Utd,2.3,3–0,0.3,Watford
Wolves,2.8,3–0,0.4,Norwich City
Arsenal,1.3,3–2,2.0,Everton
Liverpool,2.8,3–2,0.6,West Ham
,,,,
Norwich City,0.9,1–0,1.4,Leicester City
Brighton,1.7,0–1,2.3,Crystal Palace
Bournemouth,2.0,2–2,1.9,Chelsea
